●全90レス前後,予定
そして、なれたんだと思います。,いい子
…,聞き分けのいい子
黒木,も、もう・・・
小宮山,何してるの
黒木,！！
加藤,あ、小宮山さん
小宮山,・・・加藤さん
黒木,・・・・・・・・・・な、なんだよ
小宮山,図書室は、携帯の使用は禁止じゃないけど。・・・できるだけ静かに使って
加藤,・・・ごめんなさい
小宮山,加藤さんのせいじゃないです、どうせこいつが悪いんでしょうから
黒木,・・・・・・・
小宮山,まさかと思うけど、お前
黒木,！！！
加藤,・・・・・・
小宮山,あんた、そんなことしたら今度こそ怒られるだけじゃすまないぞ
黒木,そ、そんな、こと
加藤,うーんヘンなのかもしれない
黒木,！！！！
小宮山,・・・え？。えっ・・・
黒木,え
加藤,うん。この本アニメになったって聞いたから
小宮山,あ、あー・・・そうでしたっけ
黒木,加藤さん・・・
加藤,根元さんと話をあわせたくって
黒木,あいかわらず、すごい度胸だよ・・・
小宮山,そう、だったんですか
黒木,顔色一つ変えずに、もっともらしいことをスラスラと・・・
小宮山,・・・ほんとあんた、迷惑かけるんじゃないぞ
加藤,・・・・・・・・・・・・・・
黒木,わ、わかってるよ。・・・わかってるって、言ってるだろ
小宮山,それならいいけど・・・あ、はい。いま行きまーす
黒木,・・・・・・・
加藤,ふふ、ドキドキしたね
黒木,ど、ドキドキどころじゃないよ、加藤さんったら・・・
加藤,また、本読んでるフリしよっか
黒木,い、いいけど・・・はああ加藤さん、もう・・・
加藤,・・・・・・・・・
黒木,放課後の教室とか、学食とか、中庭とか・・・
加藤,・・・・・・・・・・・・・・
黒木,・・・そのうち、授業中に見せろとか言ってくるんじゃないだろうな。これって、あれかな。いままで真面目にやってきた反動ってやつ。・・・・・・・
加藤,・・・・・・・・・・・・・・
黒木,・・・とんでもないことに目覚めさせちゃったなあ
加藤,・・・・・・・。・・・ね、黒木さん
黒木,えっ
加藤,また、見せて
黒木,え、で、でも
小宮山,―――。・・・―、――・・・
加藤,だいじょうぶ。小宮山さん、取り込み中みたいだし
黒木,それでも・・・
加藤,・・・だめ？
黒木,・・・ちょ、ちょっと、だけなら
加藤,ごめんね、黒木さん
黒木,は、はい・・・とほほ、まいったなあ
加藤,・・・・・・・・・・・・
黒木,そろそろ止めさせないと、ほんとうにバレちゃうかも。でも・・・
加藤,・・・・・・・・・・・・わっ。・・・。・・・こんなことも、するんだ。へえ・・・
黒木,加藤さんを目覚めさせちゃったの、わたしだからなあ。わたしのせいなんだから、あんまり強くもいいづらいよ。はああ・・・
加藤,こんなことまで。・・・ね、黒木さん
黒木,は、はい
加藤,今度、いつにする？
黒木,わ、わたしは、いつでも。・・・加藤さんの都合で
加藤,ほんと？ありがと、ね
黒木,え、あ、いえ・・・でも
加藤,なに？
黒木,こ、こんどは・・・あそこで、お願いします
加藤,・・・あそこ？
黒木,は、はい。あの、西側の・・・
加藤,あ、うん。わかるよ、はじめて見せてもらった場所だよね
黒木,・・・はい。あそこなら、その・・・行くところさえ、見つからなければ
加藤,・・・そうだね。やっぱり、やりすぎちゃったかな
黒木,え、いや・・・あ、その。わたし、も
加藤,うん。今日と同じでいいのかな
黒木,い、いや。教えてもらいたいのが。・・・・・
加藤,・・・それで、いいの？
黒木,はい、ぜひ
加藤,わかった。きっとかわいくするからね
黒木,あ、ありがとう・・・ございます
加藤,うん・・・まだ、ダメかな
田中,ゆり、何にする？
田村,ミートスパ
黒木,あ、同じの、で
根元,夏野菜カレーでお願いー
田中,はーい。いただきます
根元,いただきまーす
黒木,育ちいいなあ
田村,・・・・・・・・・・・
根元,なんかひさしぶりだなー、クロとごはん食べるの
黒木,そ、そうだっけ
根元,だってここ最近、いっつも加藤さんといっしょでしょ
黒木,い、いっつもなんて、そんな
田村,・・・昨日食べてたでしょ。先週も
黒木,このメンバーが一番多いよ
田村,放課後だって、いつも一緒にいるくせに
黒木,・・・いつもだなんて、そんなことないだろ
加藤,・・・・・・・・・・・・
根元,加藤さんに生徒会の仕事が入ってない日は、ほとんど一緒じゃん
黒木,そ、それは
根元,ま、クロは美人に弱いからね
田中,ふたりとも、すごくイライラしてる・・・
黒木,だ、だから、そんなんじゃ・・・
加藤,・・・・・・・・・・・・黒木さん
田村,・・・ほんと、会うたび、いやらしい顔で笑ってる
根元,ほーんと、そのうちなんかやっちゃうんじゃないかなー
加藤,あのふたりもやっぱり、わたしに含むところがある。・・・仕方のないことだけれど。わたしが黒木さんと仲良くなったのは、あのふたりよりあと。それにわたし、黒木さんとふたりきりで会ってばっかりだし。・・・ほかの人と一緒だと、黒木さんが遠慮しちゃうから。でも、わたし、黒木さんをひとりじめしちゃってるんだよね・・・
黒木,そ、それならお昼、加藤さんもいっしょに・・・
田村,わたしはいい
根元,どうしようかなー
加藤,できればわたしも、田村さんたちと、いっしょにいたいんだけど・・・。田村さんは、わたしを避けてる。根元さんも、なにか、ひっかかってるみたい。(黒木さんのこと？それとも、茜のことなのかな。・・・・・・・・
でも,いい子
田村,おはよう、黒木さん
黒木,お、おはよ
田中,あ、加藤さん
加藤,おはよう、みんな
黒木,お、おはよ
田村,・・・・・・・・・・・・
黒木,お、おいおい。シカトはないだろ
田中,・・・ゆりったら
加藤,え
田村,え、なに
黒木,げっ！！
田中,あ・・・あなた、比留間さん？
加藤,か、かとうさま？？
比留間,はい！はじめてお目にかかります！２－Bの比留間恵理子です！
黒木,騒ぐな、バカ！何の用だ！
比留間,はい！新刊ができあがりましたので、ぜひお目にかけたく参上つかまつりました！
加藤,しんかん？つかまつる？？？
比留間,はい！加藤さまもぜひ、ごらんになってください！
黒木,や、やめろバカ！
比留間,どうぞ先輩、お目通しを！
黒木,く、くそ・・・
田中,あ、愛？
田村,・・・なにこれ
黒木,・・・・・・・・・
加藤,これ、黒木さん？それに・・・えっ？！
田中,まさか、加藤さん、なの？
加藤,これ、わたし？
田村,・・・気持ち悪い
比留間,捕食者系完璧超人お姉さまと、獲物の小動物系お姉さまですっ！
黒木,・・・・・・・・・・・・・・・
比留間,絶対的強者に噛み砕かれ飲みこまれる愉悦！ああ、尊いっ！！
黒木,・・・・・・・・・・・・・・・・・・・・・
比留間,今年の文化祭でみなさまにおひろめを・・・
黒木,よしわかった。死ね。・・・騒がせてゴメン。行こう
田中,放っておいていいの？
黒木,いつものことだから
比留間,
田村,知り合い？
黒木,去年の体育祭の騎馬戦で、馬やってもらった子
田村,ふうん
田中,漫研の子なんだっけ
黒木,うん。なんか知らないけど、わたしにつきまとうようになって。ヘンな漫画のネタにしてきて、もう参ってる
田村,加藤さんとイチャイチャしてるからでしょ
黒木,だから迷惑だっての。わたしと加藤さんはそんなんじゃ・・・
田中,黒木さん、ゆり！
加藤,・・・・・・・・・・・・・・・・
黒木,・・・あっ
田村,・・・・・・・・・
加藤,・・・・・・・・・
黒木,そ、その
田村,・・・・・・・・・
加藤,・・・・・田村さん。わたし・・・。・・・・・・・・・・
田村,・・・・・・・・・・
黒木,あ、あ・・・
加藤,黒木さん。わたし―
田村,黒木さん、今日のお昼はどうするの
黒木,え？
田中,・・・ゆり？
田村,わたしたちと？加藤さんと？それとも・・・
加藤,え
黒木,み、みんな？いいの・・・
田村,・・・嫌なら
黒木,みっ、みんなでっ！みんなでお昼食べるっ！
田村,じゃあ、みんなで
田中,・・・ゆり
加藤,ありがとう・・・
田村,別、に
田中,加藤さん、生徒会の打ち合わせだって
田村,来られないの？
田中,ちょっと遅くなっちゃうって
根元,・・・そうなんだ
黒木,席、とっておこう
加藤,・・・ありがとうね、茜。手伝ってもらっちゃって
岡田,いいよ。わたしも明日香と陽菜たちとで、いっしょにごはん食べたかったから
加藤,みんな、どこにいるかな・・・
岡田,・・・ん
加藤,・・・・・・・・・
南,ほらほら、これ
ノリ,きゃははは！これ、黒木？！
マキ,ウケるー！！
岡田,・・・あいつら
加藤,・・・・・・・・・・・・・
南,そうー！明日香にメイクしてもらってこれだってさ！
サチ,え？加藤さんに？
南,そうそう！よっぽど素材がアレなんでしょ！
ノリ,いえてるー！
岡田,明日香ぁ？くそっ、調子に乗りやがって
加藤,・・・・・・・・・・・・・
マキ,あいつ最近調子乗ってるよね
南,ほーんと。自分でわかってないんだよ、あいつ。だから、言ってやったんだ
岡田,・・・・・・・あの野郎
加藤,・・・・・・・・・・・・・・・・・・・・
ノリ,ほんとにそーだね。言ってあげるのも優しさだよ
南,でもさ、あいつ、なんて言ったと思う？
加藤,！
岡田,・・・黒木
サチ,うわー、なにそれ？ちょー痛い
南,痛い通りこして気持ち悪いよ、なんなのあいつ
岡田,・・・もう我慢できない
加藤,待って
岡田,明日香？！
加藤,早く行こう、みんな待ってる
岡田,でもなあ！
加藤,・・・黒木さんが笑われてるのは、わたしのせい
岡田,・・・・・・・・・・・・・
加藤,わたしが、下手だったから。みんなが笑うのも仕方ないの
岡田,でも、なあ
加藤,わたしはもう、いいの。行こう・・・
南,だからわたし、あいつに教えてあげたんだよ。ほんとのこと。明日香は、荻野に言われて、あんたの面倒みてやってるだけだってさ！
ノリ,え、そうなの？
南,うん、そうだよ。わたし聞いちゃったもん
サチ,あー、でもなんかわかる。荻野も加藤さんもおせっかい焼きだしねー
南,ほんっと、そう。まあ上手くいってたんじゃない？。あいつ、あんなに浮かれてたんだから。なーんにも知らずに！
サチ,うん・・・あっ
南,教えてやった時の黒木、ちょーうけたよ！なんか口のなかでもごもご言ってさ！
ノリ,あ、あ・・・
南,薄気味悪い目つきでにらんできてさ・・・
マキ,小陽、うしろ！！
南,は？
加藤,
サチ,あ、加藤・・・さんっ
南,なんだー、明日香じゃん
マキ,・・・こ、小陽
ノリ,ちょ、ちょっと待ちなよ
南,聞いちゃってた？あはははー
加藤,ええ
サチ,・・・！
南,ごめんねー、笑っちゃって。明日香のメイクだなんて思わなかったからさー。しょうがないよね、素材がアレじゃ。明日香もたいへんだよねー
マキ,・・・・・・・・ちょっ、ちょっと、小陽！
ノリ,こ、小陽っ！もうやめ・・・
南,あんなやつにつきあわされちゃってさー
加藤,ごめんなさいね
南,はあ？
加藤,黒木さんがああなったのはわたしのせい
南,なに言ってんの、素材が最悪なんだよ
加藤,わたしのせいなの
南,・・・は？
ノリマキサチ,・・・・・・・・
加藤,でもわたしの下手なメイクを黒木さんはほめてくれた。気に入ってくれた最高だよって言ってくれた―
南,な、なによ、その言い方。わたし、あんたが大変だろうと思って
加藤,わたしは先生に何も言われてなんかいない
南,え
加藤,あなたが言ってたようなことはなにも
南,う、うそ。わたし、ちゃんとその場で。なっ・・・
加藤,みんなも勘違いしないでね
ノリマキサチ,は、はいっ・・・
南,明日香、さっきからなによ！わたしは・・・
加藤,それから南さん
岡田,明日香・・・
加藤,・・・行きましょう、茜
南,ふぐう・・・あ、あんなのって・・・あんなのって、ないよ・・・。わたし、あ、あすっ・・・・・・・・かとう、の、ために・・・。ぐず、ひぐっ・・・なんで・・・なんでぇ・・・
岡田,・・・・・・・・・・・・・。いい薬、だな
加藤,茜
岡田,うん？
加藤,あなたの言う通りだった
岡田,わたしの？
加藤,わたしやっぱり、調子に乗ってた
岡田,・・・なんだって
加藤,わたしが調子に乗ってたから、黒木さんを傷つけることになってしまった―
茜,明日香・・・
加藤,・・・茜。わたし今日、このまま教室に戻る
岡田,なんだって？
加藤,悪いけど、みんなに伝えて。じゃ
岡田,おい、待てよ明日香。なっ？！
加藤,黒木さん、きっと怒ってる！わたしのこと、嫌いになってる！
岡田,おちつけ、明日香！
加藤,いやあ、はなして！はなしてぇっ！！。・・・・・・・・・・・・・・・。・・・・・・・・・・・・。・・・・・・・・・・・・。・・・茜
黒木,加藤さん？
加藤,あ、あっ
黒木,どうしちゃったの
加藤,あ・・・その、ボーっとしてた
黒木,・・・疲れちゃってる？
加藤,ううん、ぜんぜん。・・・あ、よく塗れてるよ
黒木,こんな感じで、よかったのかな
加藤,うんうん、グーだよ
黒木,え、えへへ
加藤,どんどん上手になってくね
黒木,せ、先生が、いいから
加藤,ふふふ、ありがと。じゃあ、仕上げてみて
黒木,ほんとに、いつもありがと。今日だって、忙しかったのに・・・
加藤,・・・うん茜・・・。ありがとう、茜。・・・あなたのおかげで勇気を出せた
黒木,んしょ、んしょ
加藤,黒木さんも、気にしてないように・・・見える。・・・・・・・
黒木,んっと・・・よっと
加藤,・・・怖い。うん、オッケー。次はリップだね
黒木,うん・・・見てて
加藤,・・・・・・
黒木,・・・・・・・・・
加藤,・・・・・・・黒木さん
黒木,・・・・・・・・・
加藤,・・・・・・。・・・・・・・・・
黒木,・・・・・・・・・。・・・よっしゃ
加藤,うん、やっぱり可愛いよ。
黒木,ありがと。どっか、気になるところあったら手直しして
加藤,うん。・・・ねえ、黒木さん。これでよかったの？
黒木,はい？
加藤,これ、このあいだのメイク、でしょ
黒木,う、うん。自分でやれるようになりたくって
加藤,笑われたんじゃ、なかったの
黒木,・・・・・・・
加藤,わたしのせいで、あなたがバカにされて・・・
黒木,いや、こうしてくれって言ったのはこっちだし
加藤,でも・・・
黒木,まあ、似合ってはなかったのかも
加藤,ううん、似合ってた。とってもかわいかったよ
黒木,ありがと。・・・でも、やっぱりダメなんだと思う
加藤,自分で？
黒木,うん、調べて自分でやってみた。つやつやリップにうるうるアイメイク
加藤さん,そうなんだ・・・
黒木,そしたら
加藤,・・・・・・・・・
黒木,絶対かわいいと、思ってたんだけど。・・・でも、やっぱりダメなんだ。加藤さんにやってもらってもダメなんだったら
加藤,・・・・・・・・・
黒木,それでも、自分では気に入ってるんだ。やっぱ可愛いって思ったし。加藤さんも可愛いって言ってくれたし
加藤,・・・・・・・・・
黒木,でも、もう、これであきらめはついた。これ、自分専用にするんだ。自分ひとりで見るぶんには、誰にも迷惑かからないから
加藤,・・・・・・・・・
黒木,・・・？
加藤,違う！違うの、黒木さん！)
黒木,加藤さん・・・？
加藤,本当に、似合ってた！あなたは本当に可愛くなってた！
黒木,・・・・・・？？
加藤,お願い、黒木さん！そのすばらしいあなたを、縛りつけないであげて！。(せっかく・・・せっかく、あなたには、あなたがいてくれてるのにっ！！)
黒木,かとう、さん？
加藤,ご、ごめんなさい。・・・目のほうは、こんな感じかな
黒木,うふふふ、ますます美人美人
加藤,じゃあ、つぎはリップね
黒木,はーい
加藤,・・・・・・・・・。違う！違うの、黒木さん！)
黒木,加藤さん・・・？
加藤,本当に、似合ってた！あなたは本当に可愛くなってた！
黒木,・・・・・・？？
加藤,お願い、黒木さん！そのすばらしいあなたを、縛りつけないであげて！。(せっかく・・・せっかく、あなたには、あなたがいてくれてるのにっ！！)
黒木,かとう、さん？
加藤,ご、ごめんなさい。・・・目のほうは、こんな感じかな
黒木,うふふふ、ますます美人美人
加藤,じゃあ、つぎはリップね
黒木,はーい
加藤,・・・・・・・・・。こんな感じかな
黒木,ありがとー。動画は・・・よっしゃばっちり
加藤,自分でも練習するんだ
黒木,うん。オカズに・・・えっと、自分で見て楽しみたいから
加藤,おかず？
黒木,ふむふむ・・・なるほど
加藤,・・・お母さんなら、もしかしたら。相談だけなら、してもいいよね
黒木,おお、こうなるんだ
加藤,それにうちになら、なんでもある。コスメでもウィッグでも、衣装でも。黒木さん、誘ったら来てくれるかな・・・。・・・・・・・・・
黒木,ほうほう。ほー・・・。よーっし、ありがと。がんばるぞ
加藤,きっとすぐ、マスターできるよ。黒木さんは筋もいいし努力家だし
黒木,そ、そうかな？えへへ
加藤,なにより素材がいいもの
黒木,いやいやいやそれはない
加藤,ほんとだよ？ぱっちりして切れ長で、お月さまみたいにきれいな目
黒木,・・・こんな宇宙人っぽい目だと思うんだけど
