渋谷凛,ねぇ、プロデューサー。今週末オフだよね？何か予定あるの？
モバＰ,ん～？……なんで？
凛,私もオフだからさ、偶にはプロデューサーの家に遊びに行こうかなって
モバＰ,またおかしなことを……
凛,だってオフが一緒な時ってなかなか無いし……
モバＰ,いや、なんで俺ん家なんだよ。もっと自分の立場に責任を持っ
凛,言わせないでよ……そんな事……もう、馬鹿……
モバＰ,説教をメスの言動でキャンセルすなや
凛,それで、どうなの？予定は？
モバＰ,その前に、人の話は聞こうな？
新田美波,プロデューサーさん、週末の事で……っと、ごめんなさい。お話し中でしたか
モバＰ,いや、大丈夫。どした？
美波,あの……夜はプロデューサーの家がいいと……
モバＰ,あぁ……了解
凛,……オフじゃないの？
モバＰ,いや、オフだよ？予定はあるけど
凛,……何するの？
モバＰ,何って……
美波,……？
モバＰ,美波と俺ん家で……あ、言わせないでよ……そんな事……もう、馬鹿……
美波,！？
凛,は？は？はぁ！？美波っ！？はぁ！？？
美波,……
モバＰ,ははっ、冗
美波,プロデューサーさんがそんな事考えてたなんて……あ、でもでも、別に嫌な訳ではなくてっ、女の子には色々準備が……んもぅ……プロデューサーさんの馬鹿……
モバＰ,……おっと、被せてくるか
凛,どういう事なの！？ねぇ！！
モバＰ,いや、冗談……
美波,プロデューサーさんの家……ゆくゆくは合鍵とか……やだ、私ったら……でも……
モバＰ,……あれ？美波？
美波,あ、あの……これからは、プライベートでは名前で呼んでいいですか……？
モバＰ,えっと
美波,Ｐ……さん……ふふ、ＰさんＰさん……ドキドキしちゃいます
モバＰ,ちょ
美波,あ、これだけは言っとかないと。大好きです……Ｐさん
凛,！？
モバＰ,……
美波,……
モバＰ,…………
美波,…………
モバＰ,……変な冗談を言った俺が悪かったです。ごめんなさい
美波,…………。女の子には冗談で言って欲しくないことって多々あるんですからね？
モバＰ,はい。以後気を付けます
美波,ふぅ……。それじゃあ罰として、ホントにプロデューサーさんのお家にでも行きましょうか
モバ,え！？
美波,ふふふ。冗談です
モバＰ,……だよね？そんなん罰じゃなくてご褒美だもんね？
美波,も～、またそうやって……ふふ
モバＰ,ははは……って、凛？
凛,……い
モバ・美波,い？
凛,イチャイチャすんにゃあ！！結局何！？何なの！？二人だけの世界に入らないでよっ！全然ついていけてないんだけどっ！！プロデューサーはホントに週末美波としけこむの！？美波はそれを受け入れて、これ幸いと同棲まで持ち込む気なの！？冗談とか言ってたけど冗談とは思えない淫の気を感じたんだけど！？なんか、からかわれたからプロデューサーを困らせる茶番を演じましたって体だけど、そこはかとなく本気の想いが出てたからね！？だって、滲み出てたもの！淫の気が！淫の気がっ！！
美波,い、淫？凛ちゃん、落ち着いて？凄い早口で何が何だか……
凛,何が何だかは私のセリフっ！美波は何なの！？淫の者っ！？
美波,……プロデューサーさ～ん
モバＰ,……キャラ崩壊ってレベルじゃねぇな
凛,も゛おぉぉ！！あ゛あ゛あ゛！！
モバＰ,落ち着いたか？
凛,……うん。ごめん……少し前にちひろさんからのドリンク飲んだからかな？テンションがちょっとおかしくなっちゃった
美波,……ちょっと？
凛,う゛んっ！……それで、週末の夜プロデューサーの家で何なの？これだけはスルー出来ないんだけど
モバＰ,社長の誕生日会の話だよ。美波はその伝言。だろ？
美波,はい。大人組が結構行くみたいですけど、大丈夫なんですか？
モバＰ,あぁ、正確にはその誕生日会の後の二次会だから、一部の社員だけなんだよ。社長の家でもてなして貰おうと思ってたのに……くそぅ……
美波,ふふ。主役は社長なんですから、そんな事言っちゃダメですよ？
モバＰ,ですよねー
凛,……ていうか、その社長の誕生日会の所為で私がプロデューサーの家に行けないんだけど
モバＰ,こらこら。誕生日会があろうがなかろうが、俺ん家には来させんって
凛,……
モバＰ,睨んでもダメー。けど、俺ん家かぁ……片づけ面倒くせぇ
美波,……私が手伝いましょうか？なんて
凛,！
モバＰ,気持ちだけ受け取っとくよ。少々汚くても俺ん家を指定した社長の責任ってことで
美波,怒られますよ～？目上の人を迎え入れるんですから、ちゃんとしとかないと
モバＰ,そんなメチャクチャ汚い訳じゃないし、社長もその日は無礼講で構わんって言ってるからダイジョブダイジョブ
美波,……上司の言う無礼講ってただの罠だと思いますけど
モバＰ,……ヤなこと言うなよ。なぁ、凛？
凛,……
モバＰ,……凛？どうした？なんか考えこんでるようだけど
凛,……ん。ごめん、ちょっといい事思いついたから……じゃなくて、急用を思い出したから行ってくる
モバＰ,あ、おい、行くってどこへ……
美波,突っ込み所満載のセリフでしたね
モバＰ,……なんか面倒くさい事になる予感がするんだけど
美波,……その時は出来るだけ助けになれるよう頑張ります
モバＰ,……ホントいい子ね美波ちゃんは
美波,いえいえ……
凛,おはよう、プロデューサー
モバＰ,おー、おはよー……
凛,二日酔い？誕生日会、楽しかったみたいだね
モバＰ,そうだなー。ある意味楽しかったな……
凛,ある意味？
モバＰ,カラオケも出来る会場だったんだけど、菜々さんと瑞樹さんがデュエットしてな……
凛,菜々さんが大人組に入ってることに突っ込みたいけど……そのデュエットが面白かったの？
モバＰ,いや、まあ……WindClimbing～風にあそばれてって曲を歌ってな。……真に迫る表情で
凛,そ、そうなんだ
モバＰ,歌い出しも相まって、なんか笑ってはいけない～みたいな空気になっちゃって……
凛,よくわかんないけど、楽しかったんなら良かったね。っと……、私、打ち合わせがあるからもう行くよ
モバＰ,打ち合わせ？そんなのあったっけ？
凛,765さんの番組でちょっと。それじゃプロデューサー、二日酔いだからってあんまりだらけないようにね
モバＰ,ちょ……打ち合わせを聞いてないプロデューサーってどうなんだ……
千川ちひろ,おはようございまーす。……なにヘコんでるんです？
モバＰ,いえ……。おはようございます……
ちひろ,一発でハイになれる魔法のお水がここにありますが、どうします？
モバＰ,どうもしませんよ……
ちひろ,お買い得なのに。あら、内線。……はい、アイドル部署です。……はい、はい……失礼します。プロデューサーさん、社長からのお呼び出しでーす
モバＰ,えぇ……なんだろ……
ちひろ,昨日なんかやらかしたんじゃ？
モバＰ,やっぱり無礼講は罠だったのか……
ちひろ,まぁ、ファイトですよファイト
モバＰ,適当だなぁ……はぁ、行ってきます……。ただいまでーす
ちひろ,あら？意外と元気ですね。何だったんです？
モバＰ,説教っちゃ説教だったんですけど、部屋が汚かったからもう少しちゃんとしろと
ちひろ,あー、確かに片付いてるとは言い難い状態でしたもんね。いくら忙しいからって無精すぎますよ
