モバP(以後P表記),ネギま続編であるUQホルダーのアニメが始まったな。今の所は面白そうで一安心
比奈,そうっスね。今までネギまは映像作品に恵まれて来なかったから今回は成功して欲しいっス
P,アニメがニ回で実写が一回か。ビジュアル微妙なドラマ版が一番シナリオ良かったってオチか…
比奈,アニメは一期が火葬。二期はオリジナルでスっから…。でもOADは評判良いっスよ
奈緒,こんにちわ～って、比奈さんとPさんじゃん。二人揃ってどうしたの？
P,奈緒か。いや、懐かしのアニメ対談をしてた所だよ。奈緒はネギまは分かるか？
奈緒,あー、名前だけなら聞いた事あるけど内容までは知らないな。続編あるんだっけ？
比奈,そうっすね、今度漫画を貸すので是非読んでみるっスよ。なんだかんだ言って面白いっスから
奈緒,へー。そう言うなら読んでみようかな。それでPさん、腕を組んでどうしたんだ？
P,んっ、イヤここから本題で実は昨日の出来事なんだが……
美優,プロデューサーさんお疲れ様です…。今日はもうお帰りですか？
P,そうですね。この書類をちひろさんの方に渡したら今日はもう帰ります
美優,そうですか、なら代わりに私が千川さんの所まで持っていきましょうか…？丁度私も用がありましたし
P,良いんですか！それならお願いしたいと。ありがとうございます
美優,いえいえ、じゃあまた明日
P,いやぁ～、手間が省けて…ってヤバ！書類一枚渡しそびれた…。はぁ、結局自分で行かなきゃ…。んっ？。これは…ちひろさんと…誰だ？。第二会議室…ここだよな…
ちひろ,ダメです三船さん！貴女には私達が成し遂げられなかったオリコン１位を目指して貰います！
美優,は、は、はっ…はい！
ちひろ,その意気です！それワン、ツー
P,へっ……？なんだこれ…？
比奈,つまりちひろさんがマストレにも引けを取らない熱の篭った指導をしていたと、ハピマテでっスか？
P,そう、ハピマテで
奈緒,…何やっているんだちひろさん達は？
P,全然分からん。実際彼女達に聞いてみるには…
美優,プロデューサーさん、お疲れ様です
奈緒,あ、美優さん！Pさんが聞きたい事あるって
美優,どうかされましたか…？
P,んっ、あぁ…イヤ…ちょっと…。あのハピマテの事について…
美優,！！！な、なんの事でしょうか……
P,き、気のせいですよやっぱり。あ、アハハハ……
ちひろ,美優さん、バレてしまってはどうしようもありません…
比奈,いま何処から出て来たんスか！？
ちひろ,Pさん達には正体を明かしましょう。少しお待ち下さい…美優さん、ちょっと奥に行きますよ
美優,は、はい…
比奈,…そう言えばなんですがちひろさんの声ってネギ君に似てないっすカ？
P,言われてみれば…まさか…
ちひろ,準備が出来ました。三船さーん、入ってきて下さーい！
美優,は、はい…。こんにちわ。私、結城忍です
P,へっ！？
比奈,はっ！？
奈緒,？？？
美優,ど、どうも、結城忍役の三船美優です……
P,えぇ…っと、これ、どう言う事です…？
奈緒,えっ…つまり声優って事？
ちひろ,なので今回、三船さんには原田彩楓と言う別名義で演じて貰った訳です
美優,プロデューサーさんスミマセン…私、もっと変わりたくてちひろさんに相談したんです…そしたら…
ちひろ,美優さんはプロデューサーの手を煩わせたくないと言う事で私のコネを使わせて頂きました
比奈,ちひろさんのコネ…声が似てる…まさか！
ちひろ,そうです、私が前作ネギまでネギ君の役をやらせて頂いてのです。その時のコネですね
P,つまりちひろさんは佐藤利奈名義でネギ君に声を当てていて、今回美優さんも似たような事を…
ちひろ,そういう事です。他にも765や876プロの方にも私と同じ別名義で演じてる人が居ましたよ
奈緒,声優…う、羨ましい……
P,奈緒、ステイ。ちょっと待って下さい。それならプロデューサーである自分に通して貰わなきゃいけないでしょ
美優,スミマセン…私…いつもプロデューサーに迷惑かけてばかりで…
ちひろ,プロデューサーさんは沢山のアイドルをプロデュースしてますから煩わせないよう、私が上の方に掛け合った結果です。責任は私が持ちます…！
P,…はぁ、分かりました。スケジュールに組み込まなきゃいけないので後で収録の日程教えて下さいね
美優,ス、スミマセン！
P,良いですよ、これが三船さん名義だと問題でしたがちゃんと別名義使ってますし。でも…
ちひろ,あれ、ここは私も許される流れじゃ…
P,全ての元凶はちひろさんですからね…覚悟は出来てますか……
ちひろ,は、ははっ…加速(アクケレレット)!!
比奈・菜々,おぉ、生声だ(です)！！！
奈緒,うぉ！菜々さんビックリした！
P,うっせい！ただ走って逃げれるだけじゃねーか！よしのん、出番だ！
芳乃,わたくしの出番でしてー。捕まえてご覧見せましょう。ほいー
ちひろ,ちょ、芳乃ちゃん達リアルで超常現象扱いそうな組はダメぇ！！！
こずえ,こずえ、逃げるの、よくないと思う…
ちひろ,うわぁぁ！何時の間にか背中にこずえちゃんが！！
茄子,ちひろさん、ちゃんと反省しましょうね
ちひろ,ろ、廊下の先で茄子さんが待ち構えてる！！イヤぁ～！
美優,光る風を追い越したら君にきっと逢えるね～♪
菜々,凄いですよ美優さん、上手です！菜々の青春がフラッシュバックして…はっ！
芳乃,光る風を追い越した先、ちひろ殿は君という名の茄子殿に会えた訳でしたー。はっぴーれでぃーごー
比奈,さやさやが演じ、歌うアニメUQHOLDER！は只今絶賛放送中っス！
奈緒,へー。この千雨って眼鏡キャラ、主人公と…
比奈,ちょ！それ以上いけないっス！！
ちひろ,終わり、です…
