本田未央,あ〜づ〜いぃぃぃ
渋谷凛,水着
未央,あ、しぶりん……ごめんごめ……
凛,水着
未央,……
凛,水着
未央,しぶりん、暑さでとうとう頭が……
凛,水着
未央,ごめん、しぶりんの頭は元から……だったよね
凛,流石に酷くない？
未央,とはいえ事務所で水着はどうなのさ？
凛,でもこの前のオオカミ衣装の時は特に何も言わなかったよね？
未央,だってアレは見た瞬間に衣装合わせってわかったし……水着だと家からそれで来たのかと思っちゃうよ
凛,……ちゃんとこの上に服は着てたよ
未央,小学生かよ。とにかく！目のやり場に困るからなんか着て！
凛,あれ〜？どこ見てるの？
未央,べ、別に見てないけどっ！
凛,手先？もみあげ？唇？手首？目？
未央,それ全部水着じゃなくても見えるじゃん
凛,ハツ？ミノ？タン？
未央,焼肉みたいな呼び方やめてほしいしそもそも見えないし
凛,あ、おっぱい？
未央,だから見てないって！
凛,自分より小さいおっぱいには見る価値もないって言いたいの！？
未央,被害妄想で逆ギレするのやめてくれない！？
凛,はぁ……とりあえずTシャツ着るよ。これで満足？
未央,私がワガママ言ったみたいなの納得いかないなあ
凛,このTシャツ、この前安売りしてたから買ったんだ。どう？
未央,どうって……何も書いてないじゃん
凛,前面はね
未央,ってことは、うしろ？
凛,そうそう
未央,わあああああああ！？！？！？
凛,どう？
未央,ど、どうもこうもないよ！恥ずかしいから脱いで！
凛,そんな……脱いでだなんて……未央は大胆だね……
未央,そういう問題じゃないし！！！こんなの公式グッズにないじゃん！ってか安売りすんなし！！！！！
凛,ちなみにイチキュッパだったよ
未央,1980円……確かに安い……
凛,ううん、198円
未央,ふざけんな！！！！！
凛,そ、そんな怖い顔しないで、ね？
未央,198円ってなんだよ……！利益度外視ってレベルじゃないよ……！！！
凛,ま、まあファミチキよりは高いから……
未央,なんのフォローにもなってないよ！！！！！
凛,未央、落ち着いて。あんまり大きな声出すと暑いよ？
未央,もう遅いよ……暑い……
凛,まあ、流石にこの暑さは異常だよね……
未央,はぁ～、どこか涼しいとこ行きたいなぁ……
凛,……
未央,……どうかした？
凛,それだ……！
未央,へ？
凛,この場所が暑いんだから、暑くない場所に行こうよ！
未央,別にいいけど……どこ？プールとか？
凛,南極
未央,聞いた私がバカだった……
凛,そうと決めたら準備しなきゃ！Tシャツ1枚で大丈夫かな？
未央,即死だと思う
凛,あれ、そういえば南極ってどうやって行くの？Suica使える？
未央,鉄道で行けるつもり！？
凛,流石に冗談だよ。馬鹿にしないで
未央,どこから冗談だったのか全然わかんない……
凛,でもさ、南極が涼しいのは事実でしょ？
未央,涼しいとか超えてると思うけど
凛,実際、どれくらい寒いのかな
未央,うーん……そう言われると詳しくは知らないかな
凛,そんなことも知らずに私に説教してたの？
未央,別に説教はしてないじゃん！
凛,仕方ないから、調べてあげるよ
未央,求めてないけど……
凛,なになに……地球上で最も寒い気温”マイナス98度”南極で記録だって
未央,マイナス98度！すごいね！
凛,えっと……これは人間が数回呼吸しただけで肺から出血して即死する気温だ
未央,
凛,
未央,えっと……南極、行く？
凛,またの機会でいいかな……
未央,まあ、わかってくれてよかったよ……
凛,じゃ、北極行こうか？
未央,こいつなんもわかってねえ！！
凛,だって暑いんだもん！
未央,その代償に凍死してどうするのさ！
凛,どうにかして涼しいところに……
未央,目的は普通なのに発想が極端なんだから……
凛,あ！閃いた！
未央,どーせ高いところは涼しい！とか言い出して富士山とか目指すんじゃないの？
凛,その通りだけど悪い！？！？！？！？
未央,そこまでキレる！？
凛,わかった。どこかに行くのは諦めるよ
未央,それが無難だと思うよ
凛,私たちはどうせ、この事務所から逃れることができない奴隷なんだ……
未央,また誤解を招く言い方を
凛,だって若い女の子を使って儲けるなんて頭おかしいでしょ！
未央,じゃあなんでしぶりんここにいるの！？
凛,才能があるから……かな
未央,もう疲れるから会話しなくていいかな？
凛,私は未央を諦めないよ
未央,ちなみに私はしぶりんを諦めてるよ
凛,しゃべると体温が上がるね……
未央,無理してしゃべらなくていいじゃん……
凛,嫌だ！
未央,もうなんなの！
凛,未央と一緒にいるのにしゃべらないなんて嫌だよ！忙しい中せっかくこうして会えたのに！
未央,……っ
凛,……？
未央,……いいよ、何か……しゃべってよ
凛,未央……
未央,……
凛,……髪切った？
未央,結局ネタないんじゃん！
凛,じゃあ未央、次からあついって言ったら罰金にしようよ
未央,えぇ……まあいいけど……
凛,1回につき198円ね
未央,その金額やめてくれない？
凛,ファミチキは買えるけど
未央,その例えも気分悪いんだけど！
凛,スタート！
未央,無視するならいっそ話しかけないでほしいな
凛,ねえ未央
未央,……どしたの？
凛,ラーメン食べに行かない？
未央,はあ！？嫌だよこんなあつ……はっ！。危ない……！。お金ないからパスかな
凛,そっか……
未央,それよりしぶりん、近くに美味しいカレー屋さん見つけたんだけど、今度どう？
凛,未央と一緒ならいいよ
未央,……罪悪感！！！！！
凛,へ？
未央,ごめん、こっちの話。というかこんなのやめよ？結局温度は変わらないんだしさ？
凛,まあ、そうだよね……
未央,ゆっくり過ごす方がいいって
凛,じゃあ未央！じゃんけんして、負けた方が勝った方を1分間扇ぐゲームはどう？
未央,よく次から次へと浮かぶよね
凛,私はグーを出すよ……
未央,すでに心理戦始まってるし
凛,未央は決めた……？
未央,適当に出すよ……正直にパーにしとこ
凛,ふふ……優しい未央は私を信じてパーを出すはず……！悪いけどそれを私のチョキが切り裂くよ！。……でも待って……？未央はそれくらい読んでくるかも……その場合未央は……グー！？。危うく騙されるとこだったよ……つまり、私が出すべきはパー！。この勝負、いただき……いや！それも読まれてるとしたら！？
未央,早くしてくれない！？
凛,勝負はウラのウラをかくべき……！未央はここまで読んでチョキを出す！。残念だったね未央……私が出すのは……！。じゃんけんぽん！！！
未央,わ！いきなり！？
凛,……
未央,あ、勝った
凛,読み合いに負けた……か……
未央,読み合った覚えは全くないけど……
凛,じゃ、扇ぐよ
未央,いやあ、悪いねえ～
凛,次は勝つ次は勝つ次は勝つ次は勝つ……
未央,怖っ……
凛,ふう……そろそろ1分かな
未央,ありがと。結構涼しくなったよ
凛,つ、次はオセロで負けた方が扇ぐようにしよう？
未央,おおう……不屈だ……。しーぶりーん……
凛,ちょ、ちょっとまって！どこかに抜け道が……
未央,それで何分粘ってるの！！！早く最後の石置いて！！！
凛,野球は9回2アウトからだし……
未央,もうゲームセットしてるから！
凛,くぅぅぅ……
島村卯月,こんにちは！何をしてるんですか？
未央,あ、しまむー
凛,卯月！！！
卯月,？
凛,み、未央、私が卯月に勝ったら、扇ぐのは卯月に押し付けていいよね？
未央,しぶりん……しまむーに挑むって……正気？
凛,う、卯月にだって苦手なものはあるはず……！
未央,10秒後！？
凛,参りました……
未央,なんで！？
卯月,えへへ♪
未央,うっわ盤面真っ黒！？……じゃない！初期状態だ！けど頭に明確に真っ黒な盤面が浮かんだ……！？
卯月,不要な戦いは回避してこそですっ！
凛,わ、私……戦う前から……
未央,吐血！？
凛,ごめん、さっき飲んでたトマトジュース
未央,紛らわしいなあ！！！。これに懲りたらしまむーに勝負を挑むなんてやめといた方がいいよ
凛,そうするよ……
卯月,ふたりとも、なんだか疲れてませんか？
凛,この暑さだからね……
未央,あれ……？しまむー、今着いたわりには汗かいてないね？
卯月,今日は涼しいですよ？
未央,ごめん、そろそろ人間かどうかも疑わしくなってきた。しまむーには温度を感知する器官がないの？
卯月,そんなことないですよ！私だって溶鉱炉に親指を立てながら沈むお仕事の時は熱かったです！
未央,ツッコミどころが多すぎて追い付かない……！！！
卯月,でも、事務所の中ですし、動きやすい服装に着替えますね
未央,別にいいけど……
卯月,最近、Tシャツが安売りしてたから買ったんですっ！
未央,まってその説明ちょっとトラウマなんだけど
卯月,よいしょ……
未央,なんか色も見たことあるし！！！
凛,卯月、ちょっと後ろのデザイン見てもいい？
卯月,もちろんです！
未央,もっとキツい！！！！！。お願いだから捨てて……！！！
卯月,ちなみにイチキュッパでした！
未央,なんでみんな198円で私の商品を売るの！！！
卯月,198000円ですよ？
未央,馬鹿じゃないの！？！？
凛,安売り……？
卯月,未央ちゃんのTシャツって聞いて、思わず買っちゃいました！
未央,ば、馬鹿じゃないの……
凛,あ、照れてる
卯月,公式で売り出さないんですか？
未央,売るわけないじゃんこんなの！198円でも誰も買わないよ！
卯月,じゃあ、実際に売ってみましょう！
未央,……。……。……へ？
卯月,すごいです未央ちゃん！バカ売れです！
未央,いつの間に受注生産システムを作ってたのしまむー……
卯月,こんなこともあろうかと！
未央,もういいや……
凛,その売り上げでこの部屋には高性能なクーラーが設置されたし。当初の目的も達成できたね
未央,私は着てる人を見るたびに顔から火が出そうだよ……部屋は涼しいけど……
凛,まあまあ。未央のファンじゃなきゃ着ないし、良かったんじゃない？
未央,……じゃあ次はしぶりんが作ってもらいなよ
凛,い、いや、私は別に
卯月,島村卯月、がんばります！
凛,き、許可してないんだけど……！
未央,諦めて三人分の売り上げで事務所の全部の部屋にクーラーをつけよう……
卯月,わ、私のもですか？がんばります！
未央,ほら前向き
凛,それが卯月のいいとこだからね
未央,それ以外にもいいとこありすぎて脳が追い付かないけどね
