モバP(女性),うーん、肩が凝るなあ…
ちひろ,プロデューサーさん、ここのところ仕事しっぱしじゃないですか。無理もないですよ
杏,それにプロデューサー、ばいんばいんだしね
モバP,おっさんみたいなこと言うんじゃありません。ちひろさん、少し休憩貰ってもいいです？
ちひろ,もちろんですよ。今回とは言わずもっと普段から頼ってくださいね？
モバP,あはは、すいません…。失礼しますね
杏,いってらっしゃーい
モバP,あんたはレッスンでしょ！早く準備しないとマストレさんにキツく言うよ！？
杏,それは勘弁っ！！
モバP,まったく…。屋上でも行こうかな
ちひろ,いってらっしゃい♪
モバP,ありがとうございます
ちひろ,…後で私も屋上行こうかな？
モバP,んー、やっと涼しくなったな〜。…タバコ吸お。あれ、オイル切れか。火ついたし、まあいっか。…ふぅー…
早苗,ふぁ〜あ…。ねむ…
モバP,おや、早苗さん。お疲れ様です
早苗,あらPちゃん。お疲れ〜
モバP,撮影の方は順調？
早苗,もちろん。あたしのないすばでーでイチコロよ！
モバP,それはなにより。この後も大きな仕事、そこそこあるんで頑張ってね
早苗,了解よ。でも久々にお酒浴びるほど飲みたいわー…
モバP,次の日オフなら毎回飲んでるじゃないか
早苗,お昼っから飲みたいの！…あ、タバコ忘れた。一本貰える？
モバP,いいけど、ライターのオイル切れたから火無いよ？
早苗,あるわよ？そこに
モバP,…？
早苗,んじゃ一本貰うわね〜。Pちゃんはじっとしてて？
モバP,…はい
早苗,んっ…
モバP,(こ、これってシガーキス！？！？)。(ただでさえ顔が良いのにカッコいい表情で迫られてシガーキスまでされたら流石にドキドキが…！)
早苗,どうも〜♪ぷは〜
モバP,…おかまいなく…
早苗,あら？照れちゃって、ウブね〜
モバP,そりゃ誰だってマンガでしか見たことないことやられたら照れますって…
早苗,ん、同性だし大丈夫かと思ったけど♪まあライター無いし、必要な犠牲ってことで！
モバP,私しか犠牲払ってない気がするけど…。まあいいや
早苗,ふぅー…。私達タバコやめれるのかね？
モバP,どうなんだろう。私もそこそこ長いこと吸ってるし、引き返せない気がする
早苗,私もなのよね〜。前職の時はそりゃもう毎日吸えるだけ吸ってたわね
モバP,なんだかすごい本数吸ってそう…。でもストレスの多い職場は沢山あるから仕方ない
早苗,Pちゃんはそこんとこ大丈夫？
モバP,私は大丈夫。ちひろさんや社長も良くしてくれるし、こうして気を抜いて話せる人もいるしね。今吸ってるのはもう習慣に近いよ
早苗,ん、そう言ってもらえて嬉しいわ♪
モバP,そういう早苗さんは？
早苗,今の私、ストレス抱えてるように見える？
モバP,んー、あんまり
早苗,だから大丈夫よ！しいて言えば毎日ビール飲めないのがストレスかしら…？
モバP,それはもう私にはどうしようもないね〜…
早苗,冗談よ！私も習慣に近いからね〜
モバP,まあ、何かあれば言ってくださいね
早苗,あなたが新米の時からの付き合いじゃない。何かあればもう言ってるわ
モバP,それもそうだね。ふぅー…
拓海,げっ…
モバP,おっ、拓海。お疲れ
早苗,お疲れ〜
拓海,お、お疲れ…。それじゃあ…
モバP,…手に隠してるの見せなさい
拓海,な、なんのことだ？
モバP,はぁ…
早苗,あんたその辺の万引き犯の方がマシな言い訳するわよ
拓海,うぐ…。…これだよ
モバP,わお
早苗,未成年喫煙現行犯〜
拓海,すまねぇ！
モバP,え
拓海,いつも人がいない時間とか家で吸ってるんだけどよ…。この時間にいるとは思わなくって…
モバP,なーんだそんなことか
拓海,…え？
早苗,今更とやかく言わないわよ。どうせ大分前から吸ってるんでしょ？
拓海,………
モバP,その代わり本当に周りとか気をつけなさい。何かあった時かばうの大変だから
拓海,…おう
モバP,ここも中庭みたいになってるからマスコミとかは大丈夫だと思うけど、誰が来るか分からないしね。事務所の人間なら大丈夫だと思う
拓海,…わかった。んじゃ失礼するぜ
早苗,むしろ今まで吸わないのか不思議に思ってたぐらいだわ
拓海,まあ曲がりなりにもアイドルだからな。一応気をつけてた
早苗,あんたにしては偉いじゃない♪
拓海,やめろぉ！
モバP,ちなみにいつから？
拓海,んーと、中学くらいからだな。新品のタバコが落ちててよ。興味本位で
早苗,あー。よくあるやつね
拓海,よくあるのか？
早苗,あるわよ〜。落し物とか親のをくすねたとか
拓海,警察らしいな
早苗,警察よ。元だけど
拓海,というか早苗さんはまだしもPが吸ってんのが意外だった
早苗,ちょっと
モバP,そう？
拓海,おう。見た目はまあ人を寄せ付けなさそうだけど美人だし、アタシが言うのもなんだが女だしな
モバP,ちょっと照れくさいね…。まあ私も成り行きでだから
拓海,そうなのか？…ふぅ〜…。なんか、こう、新鮮だな
早苗,何が〜？
拓海,族の時はダチと吸ってたけど、アイドルになる少し前くらいからは一人で吸ってたから新鮮で
モバP,まあ、一緒に吸えるのはこの二人だけと思っときなよ
早苗,そうそう。あ、でも瑞樹ちゃんもたまに吸うわよ？
モバP,そうなの？それこそ意外だあ
早苗,元アナだし、ストレスはヤバそうね
拓海,あの人も美人だしな
早苗,ね〜。でも飲み会とかは大阪人の血が出るわよ
モバP,率先してネタするとか？
早苗,うん、酔いが回ると凄い。友紀ちゃんとか笑い死ぬんじゃないかってくらいゲラゲラするもの
モバP,あの娘元々笑い上戸でしょ
拓海,…でも笑いすぎてピクピクしてる友紀が目に浮かぶぜ
モバP,おや、今日は大所帯ね
瑞樹,あら
早苗,噂をすれば。瑞樹ちゃんお疲れ〜
モバP,お疲れ様
拓海,…ッス…
瑞樹,みんなお疲れ様。一人新人さんいるみたいだけど？
モバP,私が許した。ちゃんと責任取るよ
瑞樹,ま、Pちゃんがそう言うんなら大丈夫ね。拓海ちゃん気をつけなさいよ〜？
拓海,おう。すげえ言ってもらえたし裏切れねーよ
瑞樹,そ！ああ、ちょっとライター貸して
拓海,ほいよ
瑞樹,ありがと〜♪ふぅー…
早苗,瑞樹ちゃん今日お仕事なんだっけ？
瑞樹,今日は雑誌の写真撮影とインタビューね。意外と長引いて疲れたわ〜
モバP,ほんとお疲れ様
瑞樹,ありがと！そういえば何の話してたの？
早苗,瑞樹ちゃんが意外と大阪人の血が濃いってこと
瑞樹,だって大阪出身だもの
モバP,そんなにネタやるの？
瑞樹,どういう話してたか分からないけどそりゃ人を笑わせるのは好きよ。アイドルだし☆
モバP,うわ
瑞樹,ちょっとあんた
モバP,冗談冗談！
拓海,一瞬の殺気がやばかったな…
瑞樹,まったくもう…。しかし、こう大人数で吸ってると懐かしくなるわね
早苗,あー、喫煙者特有のコミュニティ的な？
瑞樹,そうそう！よく分かったわね
早苗,私も経験あるしね。ここ来てからめっきりだけど
モバP,まあ社長とか含めても喫煙者少ないからねえ
拓海,そんなのあるのか？
瑞樹,あるわよ〜。偶然喫煙室で話膨らんでそのまま仲良くなるとかよくあるわね
モバP,喫煙室で仕事決まったこともあったね
拓海,すげぇなそれ
早苗,前職の同僚に気になる人がタバコ吸ってるから自分も吸い始めて仲良くなってそのままゴールインって娘がいたわね〜
モバP,執念ね、そこまできたら
早苗,まあ今も仲良くやってるみたいだし結果オーライね
瑞樹,…うわ、もうこんな時間
モバP,話し込んじゃったね
早苗,んー、ご飯食べて帰ろうかな！
拓海,アタシもそろそろ帰るわ
瑞樹,そうだ！せっかくだし、このメンツでご飯食べてかない？
早苗,おー、私はいいわよ
拓海,…いいのか？
瑞樹,なーに遠慮してんの！外で吸うのはモチロンだめだけど
拓海,そ、そこは吸わねーよ！
モバP,あー、私もうちょっと仕事ある
瑞樹,どのぐらいで終わりそうなの？
モバP,んー、今度のライブの資料のまとめだけ終わらせたいから30分くらい？
早苗,思ってたよりかからないじゃない
モバP,ここ来る前にある程度終わらせてたから
瑞樹,敏腕プロデューサーね♪そのくらいなら待ってるわ！二人もいい？
早苗,もちろん！帰りのタクシー無くなるのは困るしね♪
モバP,それ私飲めない感じになるんだけど
拓海,アタシも大丈夫だ。待ってるから早く終わらせろよ？
モバP,うん。…さて、もうひと頑張りだね
瑞樹,そしたら事務所戻りましょーか
早苗,はーい
拓海,おう
モバP,あーい
