島村卯月,凛ちゃん！凛ちゃん！起きて、凛ちゃん！
渋谷凛,ん……？卯月……？
凛,あれ、ここ……？空は……？
卯月,空？ふふ……凛ちゃん、夢でも見てたの？
神崎蘭子,フフフ……魔導書に魅入られたか……？
ゴブリン,まったく凛は寝坊助ゴブねぇ
凛,
卯月,ほら、そろそろ撮影だから起きてよ～凛ちゃ～ん！
凛,分かった、分かったから卯月。ちょっと離れててくれるかな
蘭子,凛ちゃん……？
ゴブリン,ぐわああああああ！
凛,よし！
蘭子,なんと！？
ゴブリン,痛いしなんか目が見えない！
卯月,凛ちゃん何やったの！？
蘭子,蒼の剣士よ、今のは如何な魔術か！？
凛,待って蘭子首取れる
蘭子,あ、ごめんなさい
凛,その前に二人とも、こんな変な奴が控室に居ておかしいと思わなかったの？
ゴブリン,地底より真っ暗ゴブ！
蘭子,宴の同行者では……？
凛,台本にゴブリンが出てくるって書いてた？
蘭子,うーん……
凛,卯月はこいつ、見たことあるよね？
卯月,ゴブリン……？。あっ
凛,遅いよ。もう来るなって言ったよね？
ゴブリン,り、凛が映画に出演すると聞いて仕返、もとい同族として応援しに来たゴブよ
凛,だれが同族か！
ゴブリン,ごふっ……！
卯月,駄目だよ凛ちゃん、時子さんとキャラが被っちゃう！
蘭子,ゴブ……凛？
卯月,あっ
凛,蘭子
蘭子,し、醜悪なる小鬼よ、何故蒼の剣士を同族と呼ぶのか！
ゴブリン,醜悪なる小鬼
凛,ふふっ
卯月,あっ
ゴブリン,凛
凛,は？
ゴブリン,はい。なぜ凛を同族と呼ぶか、それは……
蘭子,それは……？
ゴブリン,いちぶりん。にぶりん。さんぶりん。しぶりん。ごぶりん
蘭子,んふっ
卯月,あっ
凛,ブリュンヒルデ
ゴブリン,この事から考えても凛は確実に同族……
凛,いいか
ゴブリン,ぐわあ
凛,げんに
ゴブリン,あああ
凛,しろ！
ゴブリン,ああ！。ちくしょう、覚えてろゴブ！
凛,だから二度と来るなと！
卯月,この剣、もしかして本物なの……？
蘭子,して先程の魔法の極意を！
卯月,あ、スタッフさんですか？
ゴブリンキング,我が手下を痛めつけたのは貴様らかァ！
卯月,大きいのが来た！？
凛,また性懲りもなく！。まとめて移籍させてやる！
キング,我らの世界では売却だァ！
卯月,危ないよ凛ちゃん！
ゴブリン,その調子でやっちゃってください！
卯月,……
蘭子,わ、我にも何か宝具を……。これは……？
凛,あれは……蘭子、それを高く掲げて！
キング,余所見をしている場合かァ！
凛,くっ……！
蘭子,ぎ、御意！。むむむ……魔力の奔流よ！。こ、これは……！
卯月,ビッグぴにゃこら太だーっ！
ぴにゃこら太,びにゃぁ～！！
キング,ぐわああああああ！
凛,煙でこっちの姿が見えないこの隙に！。卯月もお願い、出来るはずだから！
卯月,は、はい！頑張ってみます！
蘭子,やったか……？
凛,駄目押しでフルチェインしておきたかったんだけど、人数が……
？？？,その役目、私に任せなさい
卯月,あ、あなたは！
？？？,通りすがりの……世界レベルよ！。アデュー！
卯月,ありがとう通りすがりの世界レベルさん！
凛,ヘレンさんだ……
蘭子,世界の申し子……
キング,中々やるではないか人間……
卯月,どうしよう、まだ平気そうだよ！？
凛,大丈夫、これで止めだから……
ゴブリン,
キング,ごふっ……！。フ、フハハ！今日の所はこれで勘弁しておいてやろう！帰るぞゴブリン！
ゴブリン,覚えてろ！
凛,……蘭子、ちょっとそれ貸して
蘭子,う、うん
凛,二度と……。来るな！
キング,ぐわああああああ！
ゴブリン,大丈夫ですか！
蘭子,巨難は去ったか……
本田未央,やっほーしまむーしぶりんらんらん！そろそろ撮え、い……
未央,どうしたのさこのボロボロな控室！？
凛,あっ
蘭子,あっ
卯月,あっ
