橘ありす,おはようございます
柊志乃,あら……ありすちゃん、おはよう。今朝は冷えるわね……
ありす,橘です。外は雪が降ってますからね……ってそれ、ワインですか？こんな朝から……
志乃,ファンタグレープよ
ありす,！？
志乃,ふふっ……冗談よ
ありす,……酔ってるんですか？
志乃,今年のファンタも良い出来ね
ありす,話を聞いてください
志乃,ええ……。確かに、お湯が入ってると思って持ち上げたヤカンが空だった時の持ち上がり方は異常よね……
ありす,そんな話してないです。私がいつヤカンについて志乃さんに意見を求めたんですか
志乃,昨日の夜かしら……？
ありす,夜間だけにとか言わせませんよ
志乃,……
ありす,……
志乃,腕を上げたわね
ありす,誰なんですか
志乃,あら……？いつもの藍子ちゃ……違うわ、まな板……違う……、そう、タブレットはどうしたの？
ありす,よくもまあ1セリフでそんなに捻じ込みますよね
志乃,いつもなら座った途端にいじってるのに……
ありす,それが昨日、充電を忘れてしまって、もう電池切れなんです
志乃,夜間にヤカンのことばかり考えてるからね……
ありす,実は楓さんが化けてたりします？
志乃,なら少しお話ししましょう？私もレッスンが無くなって暇なのよ
ありす,今日の志乃さん、面倒くさそうなので極力避けたいですけどね
志乃,ツンデレかしら？
ありす,どこにデレがあったんですか
志乃,じゃあ……最近の小学生の流行について教えてもらおうかしら……
ありす,別にかまわないですけど……。やはり最近大人気なのは妖○ウォッチですかね……私は興味ないですけど
志乃,ああ……聞いたことはあるわ……。確か地縛霊のミクニャンが
ありす,ジバニャンです。勝手に殺しちゃダメです。あとみくさんは人間です
志乃,あともばげー！と鳴く小松さんが
ありす,もんげー！と鳴くコマさんです。なんで伊吹さん巻き込んだんですか……
志乃,この前、レッスン前にお酒を没収されちゃって……
ありす,それを世間一般では逆恨みって言うんです
志乃,でもあの娘19歳よ？
ありす,そこに何の反論の糸口があるんですか
志乃,他になにか流行っているものはないの？
ありす,そうですね……昔からありますが、やはりポ○モンに人気は根強いです
志乃,真奈美ちゃんって6Vっぽいわね……
ありす,いきなりすぎてリアクションがとれません。というかけっこう詳しいですよね
志乃,ありすちゃんはちゃんと厳選とかしそうね
ありす,当然です。やるからには勝ちたいので。あと橘です
志乃,茜ちゃんは攻撃ワザしか覚えさせなそうね
ありす,その反応に困るシリーズやめてください
志乃,夕美ちゃんはタマムシジムにいそうね
ありす,もういいですから
志乃,この作品も息が長いわね……確か私がたちば……ありすちゃんくらいの時に発売された気がするんだけど……
ありす,なんでありすに言い直したんですか。……発売は1996年くらいでしたから、確かにそれくらいですね
志乃,1996年……じゃあ菜々ちゃんはまだ生まれてなかったのね
ありす,なんで今菜々さんの名前を出したんですか
志乃,そもそも私たち、19歳も離れてるのね……
ありす,約3倍ですね
志乃,2.5833倍よ
ありす,……
志乃,……。2.583333333倍よ
ありす,桁数を増やされても
志乃,冗談よ……歳なんて気にしてたらアイドルなんてできないわ。菜々ちゃ……ありすちゃんもそう思うでしょ？
ありす,もはや悪意のカタマリじゃないですか。……あ
志乃,どうしたの……？もしかしてロマンスがありあまったの……？
ありす,酔っ払いが地雷原を歩くものじゃないですよ
志乃,そうね、巴以外小指がないものね
ありす,ちょっと語呂がいいのが最高にイラッときますね。いえ、学校の宿題があったことをを思い出しまして……感想文なんですけど
志乃,なるほど……作品は？乃々ちゃんのここで私がやらなきゃ誰がやるんだ！？。それともフレデリカちゃんの経営学入門？。あ、茜ちゃんの平常心かしら？
ありす,この会社は書く内容をくじ引きで決めてるんですか？。走れメロスです。やはり2人の友情について書くのがベターでしょうか
志乃,王を殺そうとしたメロスと独裁者である王の
ありす,その大喜利まだ続いてたんですか。そんな感想じゃ元も子もないじゃないですか
志乃,そうね、ありすちゃん
ありす,何度言えばいいんですか。橘です
志乃,ありすは激怒した
ありす,したり顔やめてください。そういえば志乃さん、朝からずっとおひとりだったんですか？
志乃,いえ……さっきまで加蓮ちゃんもいたわ
ありす,じゃあ私と入れ違いだったんですね
志乃,ええ……ありすちゃんの代わりに……逝ってしまったわ……レッスンに
ありす,志乃さんは誤解を招かないと生きていけないんですか？
志乃,加蓮ちゃんたちのユニット……えっと……TPPだったかしら……？ステキよね
ありす,Pが多いです。貿易上手のユニットみたいになっちゃいました
志乃,激しく溢れ出るこのキムチ
ありす,なんで韓国と貿易を始めてるんですか
志乃,ツッコミ、大変そうね……
ありす,志乃さんが喋らないだけで負担100％オフになるんですけどね。まあ、確かにTriadPrimusは3人ともかっこいいですよね
志乃,そうね……渋谷、神田、北春日部の3人ともクールだわ
ありす,言ってるそばから。というか加蓮さんはさっき呼べてたじゃないですか
志乃,若気の至りね
ありす,若くないですけどね
志乃,それ以上言うと怒るわよ……菜々ちゃんが
ありす,十中八九怒られるのは志乃さんだと思うんですけど。……
志乃,どうしたの……？
ありす,いえ、そろそろ午後の撮影についてプロデューサーさんから連絡が来るはずなんですが……
志乃,あら……なにかあったのかしら……？
ありす,あ
志乃,噂をすれば……ね
ありす,もしもし、連絡が遅いで……え？緊急事態？。はい……加蓮さんが……ポケ○ンヌードルを食べようとして……はい……持ち上げたヤカンが軽すぎて転んで乃々さんの本に頭をぶつけて病院に！？。はい……じゃあまた連絡を……はい……お疲れ様です。……
志乃,……
ありす,……伏線も回収も雑！！！
志乃,妖怪のせいかしらね
ありす,うまくないですから
