モバP(≧P),……ん、朝か
P,…いや、昼か。…だるい。…身体が猛烈にだるい。ベッドから一歩も動けない。比喩とかじゃなくて、本当に一ミリも動かん。いつもは気合いでなんとかなるんだが…昨日俺何かしたか？。ああくっそ…何も思い出せねえ…頭も重いし…病気かな…。体温…た、体温計…手も動かないのか…。仕事…とりあえず…ちひろさんに遅刻の電話を…
加蓮,ちひろさんには休みって言ってるから大丈夫だよ
P,…おお、サンキュー…。…ん？加蓮？
加蓮,おはよう、プロデューサー
P,…待て、ここは俺の家だよな？
加蓮,うん、そうだよ。私が世話しにきたの
P,いや…そんなことしなくても…ぐっ、身体が動かん
加蓮,プロデューサーは動けないんだから大人しくしてて。水枕でいい？布巻いてるから
P,申し訳ない…水枕よりも先にいろいろ理解が追いついてないんだが
加蓮,あ、そこまで記憶飛んでるの？
P,ああ、昨日の夜あたりから全く記憶がないんだ…あっ水枕気持ちいい
加蓮,どういたしまして。えっとね…何というか…昨日はプロデューサーが疲労でフラフラになってたから途中で帰ってもらったの
P,そうなのか…申し訳ないな、看病までさせて
加蓮,いいのいいの。私が好きでやってるから。体温計るねー
P,本当に悪いな…いや待て、それでなんで俺の家にいるんだ？ちひろさんから鍵でも奪ったか？
加蓮,なんでそれが最初に出てくるかな
P,確率の高いものから順に
加蓮,何それ怖い。…とにかく、私がここにいる理由は単純だよ。プロデューサーをここに連れて帰ってきたから
P,いや、そうじゃなくて…そうでもあるか。俺抵抗しなかったのか？
加蓮,うん。フラフラだったからね、私が支えてあげたらそのまま家まですーっと
P,え、それじゃあ一晩中俺ん家にいたの？
加蓮,心配しなくていいよ。ソファで寝たからね。あ、風呂は借りたよ
P,風呂？マジか、風呂場ごちゃごちゃしてたろ。いろいろ置いてあるんだ、すまん
加蓮,大丈夫、気にしてませんってば。それよりもプロデューサー、洗面所にアヒルさんとかジョウロとかあったんだけど…
P,うわーちょっと人のそういうの見るのほんとないわー
加蓮,うるさいなぁ。棚にあったんだもん、仕方ないじゃん
P,まあな。親が押し付けてきたんだよ、子供ができたら使えって
加蓮,独身じゃん
P,四捨五入したら20代だし大丈夫ですー
加蓮,あと1年だけどね
P,そしたら十の位で四捨五入するから大丈夫
加蓮,本気で言ってる？
P,やめて普通に傷つく。それを言ったら加蓮だってしばらく自由に交際できないからな
加蓮,そうだねー…。…まあ、好きな人ぐらいはいるけど
