アドバイサー,では、こちらの書類に相手に求める条件をお書き下さい
アドバイザー,その条件に見合う男性を、我々がご紹介いたします
女,条件といったら、やっぱり年収よね。年収……1000万円以上のザコはお断りっと！
アドバイザー,では預からせていただきます
女,頼んだわよ。……。あーっ！！！。以上と以下間違えちゃった！
アドバイザー,条件に合った方をご紹介します
男,どうも
女,うわぁ～……パッとしないのが来ちゃった。ちなみに年収は？
男,10万円です
女,10万！？逆にすげえわ！どうやって生活してんのよ！
アドバイザー,とりあえず、一回デートなさってみたらいかがでしょう？
男,お願いします
女,う～ん……さすがに年収10万と結婚はないわ……。だけど、以上と以下を間違えたのは、私のミスだし……。分かりました！一回デートしてみましょう！
男,ありがとうございます！
女,もちろん二回目はないけどね！
男,今日はよろしくお願いします
女,こちらこそ
男,じゃあ歩きましょう
女,ええ。あの……
男,はい？
女,どこかお店とか入らないんですか？
男,一切入りません。金がかかりますからね
女,はぁ、はぁ、はぁ……。もう三時間ぐらい歩いてるんだけど
男,歩くっていいですよね。金はかからないし、健康にもいいし、景色を楽しめるし
女,……ええ、そうですね
男,疲れましたか？じゃあそろそろご飯にしましょうか
女,やった！
男,ここの草はおいしいんですよ～
女,……
男,……。よかったら、いかがです？
女,……どうも。これがホントの草食系男子ってやつなのかしら
男,お腹一杯になったら、ここで休みましょう
女,図書館……
男,無料で好きなだけ本を読めますからね。暇潰しには最高ですよ。夜8時で閉まっちゃうのが残念ですけどねえ
女,ええ……
男,喉が渇いたら、あっちに水飲み場がありますよ
女,ど、どうも……
男,じゃあ、今日はこれで！
女,ええ、さよなら！。何時間も歩いて、草食って、図書館でずっと本読んで……前代未聞のデートだったわ！。こんな奴、もう二度と会うもんですか！。ふぅ……。足いってえ……マメできなきゃいいけど。あーあ、ひどい目にあったわ……。だけど、つまんなかったっていうと、そんなことないのよね。あの純朴な感じがクセになるというか――。噛めば噛むほど味が出るというか――
男,いやぁ、嬉しいなぁ！また会って頂けるなんて！
女,アハハ……。なにやってんだろ、私
男,正直いって信じられないですよ！絶対二回目はないな、と思ってました！
女,私も信じられないわ
男,じゃあ、今日もとっておきのデートコースをご紹介しますよ！。ここの草もおいしいんですよ～
女,……
男,……。よかったら、いかがです？
女,……どうも
男,食べたら俺のアパートに案内しますよ
女,あ、一応住む家はあったんだ。てっきりホームレスかと……。うわぁ、すごいボロアパート。ほとんど廃墟だわ。ここ……家賃はいくら？
男,1000円です
女,大きい地震が来たらすぐ崩れちゃいそうね
男,それが意外と、よく揺れるから逆に安全なんですよ～
女,なにその理論……
男,雨水を貯めて、砂糖を混ぜたジュースです。おいしいですよ
女,ありがとう。あら、おいしい！
男,でしょう！。こっちは色んな草や葉っぱを混ぜて作ったサラダです
女,あら、これもおいしい！
男,でしょう！
女,おかしい……。あれよあれよとこいつのペースに……
男,女さん！
女,は、はい！
男,俺、この通り、貧乏で甲斐性なんて全くないけど……。こんな俺でよかったら……結婚して下さい！
女,……はい。あーあ、OKしちゃった
男,今日も草を食べよう
女,うん！。おいしいね！
男,そうだね。……。こんな俺に、よくついてきてくれている……。俺もいつまでもこんな生活してられない……。彼女のためにも、なんとか浮かび上がらなきゃ……！。俺には貧乏生活しながら考えてたビジネスプランがあってね！。やっと形になってきたから、ベンチャー企業を立ち上げたよ！。必ず大金持ちになってみせる！
