北条加蓮,奈緒ー
神谷奈緒,んー？
加蓮,海、行きたくない？
奈緒,なんだいきなり……海？
加蓮,そ。生命の義経と呼ばれる海！
奈緒,源だろ。どうやったらそこで混ざるんだ
加蓮,行こうよ〜
奈緒,そうは言ってもな……
加蓮,イヤなの？
奈緒,イヤじゃないけどさ、日差しとか強いし、怪我も怖いし、まして溺れたりでもしたら……
加蓮,じゃあ、雨の日に、全身防護服で、ずっと砂浜にいればいい？
奈緒,その不審者は何が楽しくて海にいるんだ？
加蓮,そうすれば奈緒の不安もなくなるかなって
奈緒,その場合は加蓮のアタマが不安になるだけだから何も変わんねえよ
加蓮,心配してくれるのは嬉しいけどさ？私だって子供じゃないんだよ？
奈緒,昨日病院に担ぎ込まれた理由は？
加蓮,莉嘉の虫カゴを興味本位で覗き込んだら飛んできたカブトムシが眉間に刺さったからだけど？
奈緒,……
加蓮,……
奈緒,もっかいさっきのセリフ、言えるか？
加蓮,心配してくれるのは嬉しいけどさ？私だってあんまり子供じゃないんだよ？
奈緒,ちょっと保険入ったな。そもそも加蓮はさ、海だったらほら、南の島に行ってたろ？
加蓮,あれは仕事でしょ？楽しかったけど、今度はプライベートで行きたいんだって
奈緒,はぁ……しょうがないな……
加蓮,いいの！？
奈緒,だってこうなったら加蓮は聞かないだろ……？
加蓮,やった！
奈緒,まったく……
加蓮,じゃ、どこの国に密航する？
奈緒,せめて正規ルートで頼む
加蓮,群馬とか？
奈緒,群馬は国内だしそもそも海ねえよ
加蓮,冗談は置いといて、どこ行こっか？
奈緒,こっからだと……湘南とかいいんじゃないか？
加蓮,湘南！いい！
奈緒,まったく……子供かっての……
加蓮,やっぱ肌とか、いい感じになるかな？
奈緒,おいおい……アイドルなんだから日焼けは対策しろよな？
加蓮,胸とか、けっこう大きくいっちゃったり！
奈緒,大きく？あんま際どい水着もよくないぞ？
加蓮,目とかもぱっちりさせたりさ？
奈緒,……ん？
加蓮,鼻あたりをいじる人も多いんだよね
奈緒,……
加蓮,やっぱりいいドクターと出会えるかが大事だよね！
奈緒,もしかして湘南美容外科クリニックの話してる？。アイドルが美容整形の宣伝するの、多分一番ダメなやつだからな
加蓮,好きな言葉は妥協です
奈緒,それ全国CMで宣言することか？
加蓮,好きな言葉は破滅です
奈緒,美容外科の前に精神科いった方がいいよ
加蓮,でも湘南なら、里奈のウチ泊まったりできるからいいよね
奈緒,ああ、麻理菜さんとかもサーフィンの後に泊まったとか言ってたな
加蓮,海の近くに住むの、憧れない？
奈緒,あたしは千葉だから、そこまで縁遠いものじゃなかったけど
加蓮,そっか。私はずっと海より三途の川の方が近かったからさ笑
奈緒,それ笑えるか？？？。悪いけど冗談ってのはもっと遠慮なく笑える内容にしてくれ
加蓮,小逝きなジョークなのに
奈緒,最悪な変換ミス起きてるぞ
加蓮,だけど、海にもプールにもほとんど行ったことないのはホント。ほら、子供の時は泳ぐどころの話じゃなかったし
奈緒,まあ……そうだよな
加蓮,小さい頃は水に溺れ……大人になってからは権力に溺れ……
奈緒,加蓮？
加蓮,辿り着いたのがこのアイドルっていう、客を幻想に溺れさせる職業だなんて……
奈緒,加蓮？
加蓮,……よくできてるね！
奈緒,いや”ｶｯ!!!”じゃなくて。あたし途中居眠りしちゃったのかなってくらい意味わかんなかった
加蓮,大丈夫。私も
奈緒,１対１の会話でそれ言っちゃったらおしまいだな
加蓮,何の話だっけ？源頼朝？
奈緒,源氏の話は最初に終わったからもう忘れていいよ
加蓮,じゃ、早速準備しなきゃ！
奈緒,準備？何するんだ？
加蓮,まずはやっぱり水着でしょ？
奈緒,水着って……それこそ仕事で使ったやつがあるんだろ？
加蓮,わかってないなー。メガネキャラが本気を出した時の演出としてメガネを外させるくらいわかってない
奈緒,そこは個人の自由だろ
加蓮,女の子が一度着た水着を二回着ていいと思ってるの？はかいこうせんだって打った次のターンは動けないのに
奈緒,それも別に勝手だろ。ってかさっきから絶妙に例えが下手だな
加蓮,毎回新しい水着で誘惑してこそアイドルだって♪
奈緒,そういうもんなのか……？
加蓮,ほらほら、ちょうどこの雑誌に水着の特集あるからさ
奈緒,都合いいなまったく……
加蓮,みてみて！来年の流行りはビキニで決まり！だって！
奈緒,今年の流行りを教えてくれよ
加蓮,未来志向なんだね
奈緒,ファッション雑誌は今その瞬間を見つめた方がいいと思うけどなあ
加蓮,目移りしちゃうね……
奈緒,まあ、種類は多いな
加蓮,あ！ねえねえ！
奈緒,なんかいいのあったか？
加蓮,この腰のとこにファラオついてる水着かわいくない！？
奈緒,パレオだろ。なんで古代エジプトの王が水着に付属してくるんだよ
加蓮,クフ王とカフラー王で選べるんだって！
奈緒,ファラオで合ってるのかよ。ナイル川で沐浴でもするつもりか
加蓮,そういうのは幸子の仕事じゃない？
奈緒,おいおい、いくら幸子でも……
加蓮,……
奈緒,……
加蓮,……
奈緒,……ないだろ
加蓮,その間が物語ってるよ
奈緒,そもそもああいう川は衛生面が危ないし、アイドルの出る幕じゃないだろ。芸人さんとかに任せとけって
加蓮,それこそ幸子じゃない？
奈緒,おいおい、幸子は芸人じゃ……
加蓮,……
奈緒,……
加蓮,……
奈緒,……ないだろ
加蓮,天丼が早いなあ。でも今のは流石に幸子に悪いね。あんなにプロ意識が高いアイドルなんていないのに
奈緒,急に褒めるよな。まあ同感だけどさ
加蓮,自分に自信があるって、かっこいいよね
奈緒,……加蓮は自分に自信ないのか？
加蓮,んー？どうだろ。昔はあんまり好きじゃなかったかもね。今は……ま、いいでしょ
奈緒,……自信を持っていいと思うぞ
加蓮,……ありがと
