岡崎泰葉,お仕事お疲れさまです
モバＰ,泰葉も新年特番の収録お疲れ。世間はクリスマスシーズンなのに着物で新年の挨拶するんだから大変な話だ
泰葉,私はこの世界長いですから。もう慣れちゃいました
モバＰ,流石岡崎先輩。亀の甲よりなんとやら
泰葉,そんな菜々さんみたいな扱い…
モバＰ,アレは自爆が主成分だから、扱いとしては別じゃない？
泰葉,知りませんそんなこと
モバＰ,悪かった悪かった。むくれるなよ輩先
泰葉,な、なんですかパイセンって！？
モバＰ,業界用語風？因みに文字にするとこうな
泰葉,
モバＰ,何を考えてるか知らんが、早苗さんは年末の風物詩。密着警察２４時に出てるから来れないとだけ言っておこう
白坂小梅,た、ただい…ま
大和亜季,メリー・クリスマス！(地獄で逢おうぜ！)
モバＰ,おう、おつかれ様
泰葉,
小梅,岡崎先輩…顔赤い…風邪？
モバＰ,輩先は御年頃なんだ。ほっといてやれ
小梅,？
亜季,Ｐ殿！私の着物姿はどうでありますか！？
小梅,ゆ、浴衣より…重い…
モバＰ,似合っているが、わざわざ着物で帰ってこなくてもよかったんじゃない？サンタ服ならともかく
亜季,Ｐ殿に晴れ姿を見てもらうため、好奇の目に耐え、後ろ指を指されながら、命辛々帰還したしだいであります！
モバＰ,亜季に連れまわされて寒くなかったか小梅？
小梅,タ、タクシーで…来た…
モバＰ,タクシーに上半身だけの女の霊とか憑いてなかったか？
小梅,いなかった…
亜季,な、何かリアクションを頂けないでしょうか？
モバＰ,似合ってるぞキュウフタロクマルハチゴウゴウヒト
小梅,な、なんの数字…？
モバＰ,スリーサイズと体重の軍隊風味
亜季,岡崎殿～！Ｐ殿が素直に褒めてくれません
泰葉,ハッ…これがπ尖･･･息が出来ません･･･！！
小梅,輩先…しゃ、喋った…
モバＰ,スポンジボブかよ。飲み物入れるけど小梅は何か飲むか？
小梅,き、着替えてくる…汚すと…ちひろさん怒る
亜季,やはり小梅の様に愛くるしくないと、Ｐ殿は褒めてくれないのでありましょうか？
泰葉,
モバＰ,やああぁぁぁぁぁまとぉぉぉぉぉぉぉぉ！！
亜季,ハッ！なんでありましょうかＰ殿
モバＰ,貴様何時から先輩を絞め落とす程偉くなったぁぁぁ！
亜季,申し訳ありません泰葉殿。つい
泰葉,ｹﾞﾎｯｹﾞﾎｯ!だ、大丈夫です
モバＰ,何時姿勢を崩して良いと言った！
亜季,ヤー！
モバＰ,貴様自分のキュウフタを見て見ろ！
亜季,こ、このネバネバは！？
泰葉,あ、私の涎ですごめんなさい
モバＰ,ちひろになんと言われたか忘れたのか！
亜季,新年ライブが終わるまで絶対汚さない様に・・・と
泰葉,汚したらクリーニング代は各担当Ｐの給料から天引きとも言ってました
モバＰ,貴様の担当Ｐの名を言ってみろ！！
亜季,Ｐ殿であります！！
モバＰ,泰葉と亜季の立場は？
亜季,先輩と無能な豚であります！。今回の失態の責任として、どんな処罰も受ける所存であります！
泰葉,待ってください。チャレンジを要求します！
モバＰ,レスリングかよ
泰葉,亜季さんの着物を汚したのは私です
亜季,ですが泰葉殿を絞め落としたのは私で
泰葉,それはＰさんが亜季さんを虐めたからです。そして私が亜季さんの抱きつきに上手く対応できなかったのは
亜季,も、もしや迷惑だっだでありましょうか？
泰葉,やはりＰさんが私をからかったからです！。以上の事から責任はＰさんにあり、天引きは必然です！！
亜季,つ、つまり私が処罰を受ける必要は？
泰葉,勿論ありません
亜季,私のような役立たずのウジ虫畜生の為にありがとうございます
泰葉,な、なんで落ち込んでるんですか！？
モバＰ,亜季、小梅の着替え手伝って自分も着替えてこい
亜季,ヤー…
泰葉,Ｐさん。今日は悪戯が過ぎると思います
モバＰ,クリスマスが近いからな。俺がうかれるのもしょうがない。それに亜季については欲求不満だろ。明らかに
泰葉,？どういう事ですか。そういえばちひろさんがいませんけど
モバＰ,年末年始は忙しいからな。他のＰと相談して数日休みをプレゼントした
泰葉,ちひろさんがいなくてこの事務所運営できるんですか！？
モバＰ,この時期は必死に営業かける必要もないし、みんなで分担すれば事務員に休みぐらいはあげられるさ。Ｐもアイドルも全員仕事だから一人寂しく過ごしてるだろうさ。ところで輩先は何時までサンタを信じてた？
泰葉,だから輩先って呼ばないでください！
小梅,サ、サンタさん…斧が似合う
泰葉,こ、小梅ちゃん何時の間に？
小梅,あ、亜季さんに脱がせてもらった…。亜季さん…元気なかった…
モバＰ,そうかそうかぁ
泰葉,小梅ちゃんはサンタさんに何を貰いますか？
小梅,プ、プレゼントは貰うけど…本物のサンタさん…いない…
モバＰ,お？どうしてだ小梅
小梅,さ、サンタさんは…は、八割方…精神病患者…
モバＰ,あぁ、こないだ一緒に観たヤツもそうだったな
小梅,ま、また一緒に観よう…ね？
泰葉,一周回って夢の有る話ですね
モバＰ,輩先はサンタを何時まで信じてたよ？
泰葉,私ですか？
小梅,輩先も…サンタさんは精神病？
泰葉,(小梅ちゃんまで輩先扱い)私は…小さい頃からサンタさんは信じてませんでした
小梅,サンタさんは…やっぱりせいしﾓｶﾞﾓｺﾞ
モバＰ,何故だい泰葉？
泰葉,私は、小さい頃から芸能界に居ましたから
モバＰ,今日みたいにクリスマスには新年の挨拶してたか
