高垣楓,勘違いなんです
橘ありす,は？
楓,まるで、事務所でお酒を真昼間から飲んでいるダメ人間に思われてるかもしれませんが
ありす,じゃあこの一升瓶の中身はなんなんですか？
楓,話を逸らしちゃダメですよ
ありす,逸れてません。まごうことなき一本道です
楓,一つ、面白いお話をしましょう
ありす,職場で昼から飲酒してる25歳以上に面白いものがあるなら是非
楓,あれは、私がまだ“クレイジーメイプル”と呼ばれていた時の話です
ありす,想像以上に面白い入りですが、今でもクレイジーですよ？
楓,そうですね……お酒を飲み始めて3年目……といったところでしょうか
ありす,遠く見積もっても一昨年
楓,あの頃は良かったです……
ありす,２年前を語る口調ではないですね
楓,山本昌選手がまだ現役でした
ありす,それ30年間くらい使えるフレーズなんですが
楓,あと、菜々ちゃんは17歳でした
ありす,それも多分30年間くらい使えるフレーズですね
楓,聞きましたか？あの話
ありす,なんでヒントゼロで振るんですか
楓,ヒントは“に・ぼ・し♪”
ありす,私の中で煮干しが話題の中心に躍り出たことはまだないですね
楓,第二ヒントは“パ・ナ・マ♪”
ありす,この迷宮はどこへ続くのでしょうか
楓,第三ヒントは“ｧ・代ｿ繝”
ありす,なぜ口頭で文字化け
楓,明日は晴れるでしょうか
ありす,いきなりなんですか、なにかあるんですか？
楓,ありすちゃんには関係ないでしょう！
ありす,じゃあなんでその話題を選んだんですか
楓,オッドアイ……ですから
ありす,全世界のオッドアイに蹴られればいいのに
楓,雨はテンションが下がってしまいますから
ありす,わからなくもないですが
楓,雨の日に、穴が開いた傘で出かけるんです
ありす,は？
楓,すると……
ありす,すると？
楓,髪がびしょびしょになります
ありす,聞いた私が馬鹿でした。反省します
楓,さて、時刻は午後4時！
ありす,午前11時35分ですが
楓,ごめんなさい、オーストラリア気分が抜けてなくて
ありす,ウソつくにしてもなんで時差のない国をチョイスしちゃったんですか
楓,え？コアラ？
ありす,笹でぶん殴りますよ？
楓,さて、この曲が流れたということは、クイズコーナー！
ありす,幻聴ですか、しかるべき医療機関へ行くことをおすすめします
楓,日本一高い山は……富士山ですが、では、なぜ日本では“反省する”よりも“反省してるように見える”方が重要なのでしょうか
ありす,突然の国民性風刺
楓,はいピンクの方早かった
ありす,アタック25と思いきや笑点になってますね
楓,残念！“デンプシーロールを得意技とする宮本フレデリカ”ではないです！
ありす,何年間逆立ちすればその発想に至ることができますか
楓,だいじなだいじなあたっくちゃーんす
ありす,最重要決めゼリフを棒読み
楓,例えばですよ？例えば
ありす,はい？
楓,この事務所が100人の村ならば
ありす,実際は200人の動物園ですけどね
楓,寂しいですよね
ありす,あ、これ話が続かないパターンですね
楓,相談したいことがあるんです
ありす,私も目の前の酔っ払いについて今すぐ誰かに相談したいですが
楓,鯉の話なんです……
ありす,残念ながらニュアンスが魚類だったんですが
楓,故意ですよ
ありす,故意に殴りますよ？
楓,氷が溶けきりそうなウイスキーとかけまして
ありす,いやな予感しかしない謎かけが始まりましたね
楓,李衣菜ちゃんとときます
ありす,……
楓,……
ありす,……その……こころは……？
楓,ギリギリでロック
ありす,全方位にケンカを売りますよね
楓,時刻は午後3時！
ありす,午前11時45分です。せめて一貫性を持ってください。さっき4時だったのに
楓,ここからは2人でお送りします
ありす,今までも2人でしたよ
楓,9人でしたよ？
ありす,まさかの大所帯
楓,……そうでした……みんな……あの事故で……
ありす,ここからシリアス持ってくんですか？正気？
楓,あれは……年号が平成になって27回目の春でした……
ありす,とうとう去年ですね。よくそんな“遠き思い出”みたいな語り口ができますよ
楓,※この話はフィクションです
ありす,ウソなんですか。僅かに残ってた興味も消滅しました
楓,これは、知り合いの金髪フランス人ハーフに聞いた作り話です……
ありす,情報の出どころから酷いですね
楓,お前だー！！！
ありす,急にどうしたんですか。それオチじゃないんですか
楓,話の中身を忘れてしまって……。その一升瓶の中の“キオクトリモドース”を飲めば……！
ありす,どこかのひみつ道具みたいなネーミングですね
楓,まあ、むしろ記憶を失っちゃうんですけど
ありす,もう帰っていいですか？
楓,帰る前にこちらのアンケートにご協力を
ありす,なんですかそれ
楓,Q1：笑ってー？Aいいとも！Bこらえて！
ありす,なんなんですかこれ
楓,Aと答えたお馬鹿さんに聴きます
ありす,いいとものいったい何があなたの怒りに触れたんですか
楓,Q2：1！2！3！Aダー！Bよん
ありす,これ殺意を測るアンケートですか？わりとMAXですよ？
楓,以上になります
ありす,異常ではありますが
楓,結果は追って連絡できたらしますね
ありす,それ行けたら行くパターンじゃないんですか
楓,私を信じてください！
ありす,まだ“あなたに5億円プレゼント！クリックしてね”の方が信頼に足りますよ
楓,話を戻してもいいですか？
ありす,どこに戻っても地獄なので出来れば避けたいですが
楓,えっと、じゃあ
ありす,どうせロクな話題じゃないんですから
楓,お前だー！！！
ありす,よりによってそこ？。本当に帰りますよ？
楓,最後に、衝撃の事実を教えてあげます
ありす,なんでもいいから早くしてください
楓,実は素面です
ありす,……余計にタチが悪い
