美城常務,ふむ、全員集まったようだな。では、今年最初のプロジェクトクローネ会議を行う
常務,去年は皆、飛躍の年と言って差し支えない活躍だった。私も鼻が高い
鷺沢文香,頭も高いですね
橘ありす,新年早々よく言えますね
常務,だが、だからといって気を緩めることは許されない。プロジェクトクローネの一員として、346プロの一員として、自覚を持った活動を期待している。各自、緊迫感を持って会議にもあたってくれ。……では、この言葉で新年を始めさせてもらおう。……
渋谷凛,……
北条加蓮,……
常務,あけおめことよろ
神谷奈緒,軽っ
常務,さて、早速だが会議に移ろうか。何か質問はあるか
宮本フレデリカ,はいはーい！アーニャちゃんはー？
加蓮,あ、聞くんだ
常務,なぜ来ると思った？
凛,上司として0点でしょその解答
速水奏,たとえ99％無理でも……、残りの2％に賭けたくなる。それがアイドルでしょう？
奈緒,残ってねえよ
文香,そうですね……、たとえ普段の1.5％が無理でも、フェスの3％に賭けたくなるのは仕方のないことでしょう
ありす,なんの話ですか？
塩見周子,ちなみに欠席の理由とかはー？
常務,今考えてるから待っててくださいらしい。まったく、理由を忘れてしまうなんてうっかりさんだな
奈緒,疑えよ！！！
大槻唯,も、もしかして事件とかに巻き込まれちゃったりー！？
凛,それはないと思うけど……
常務,それはないだろう。あっても3億円事件くらいのレベルだ
ありす,くらいの！？
常務,ああ、噂をすれば、アナスタシアから連絡だ。なになに……
奈緒,ぶっこんでくるよなあ！！！
常務,では出席を取る。呼ばれた者は返事と、今年の抱負を言ってもらおうか。大槻
唯,はーい！がんばります！
奈緒,小学生じゃないんだから
加蓮,小学生じゃないんだから
凛,卯月じゃないんだから
文香,その時、トライアドプリムスに亀裂が……
ありす,入りませんから。変に煽るのやめましょう
常務,塩見
周子,死なない
凛,最低限すぎる
文香,加蓮さんと同じですね……
加蓮,言ってないから
常務,速水
奏,そうね……、確かに、一年の計を語るのがこの睦月と呼ばれる月の持っている役割である……。そこには賛成するわ。でもね、果たして、暦の上で区切られているだけに過ぎない、こんな作られた、誰かに決められたという、それだけの折にわざわざ改めて目標を設定するべきなのかしら……？私から言わせてみれば、それはやはり滑稽と形容されてもおかしくないわ。そもそも
常務,宮本
奏,ちょっと
奈緒,自業自得だろ
フレデリカ,今年は話を簡潔にしまーす！
奏,当てつけ？
常務,鷺沢
文香,"鷺沢"と"鷲沢"が似ているのは存じておりましたが、どうやら"贅沢"も割と似ているようです
ありす,会話のキャッチボールをしてください
文香,では、今年はありすちゃんの負担を減らせるように、あまり勝手な言動は控えようかと……
ありす,もう遅いですよ！！！
常務,立派な心がけだ。橘も喜んでいることだろう
ありす,喜んでる顔に見えますか！？
常務,……ああ
文香,……はい
ありす,目を見て言ってください！！！
常務,では橘、今年の抱負は？
ありす,え……？あ、えっと……
フレデリカ,"フレデリカさんともっと仲良くなる"だろーね！
奏,"奏さんと一緒に遊園地に行く"でしょうね
唯,"唯さんとスイーツを食べに行く"かも！？
周子,"周子さんと京都旅行"で決まりかなー
奈緒,この謎ポジティブ軍団をどうにかしてくれ
文香,"文香さんと手を繋ぐ……"でしょうか
凛,なんで急に奥ゆかしいの
ありす,ええと……トライアドプリムスの3人と、その……プライベートとかでも……仲良く……なんて……/////
奈緒,
加蓮,
凛,
ありす,//////
唯フレ奏文香,……〇す！！！！！！！！！
常務,おっと、収拾がつかないな。ははは
周子,いやいや"ははは"って。ちょいちょい
常務,では抱負に戻ろう。渋谷
凛,こ、この流れで言うの……？まあ、ソロでもユニットでも、全力でいくよ
常務,神谷眉毛
奈緒,その注釈はいらないだろ！？
常務,いいから抱負を話せ
奈緒,理不尽だな……！！！誰にもいじられないあたしになるぞ！！！
常務,(笑)
奈緒,ホント覚えとけよ！！！
常務,北条は"死なない"と……
加蓮,言ってないってば！！！
常務,皆、素晴らしい抱負だった
加蓮,私のくだりあれだけ！？
常務,今年もよろしく頼む
フレデリカ,じょーむの抱負はー？
唯,あ！気になる！
常務,腰をいわさない
ありす,リアル
フレデリカ,ああ……うん……
唯,が、がんばってね……？
ありす,反応もリアル
文香,常務もここらが潮時なのでは……？
ありす,文香さん、ご自身の抱負、覚えてます？
常務,さて、そういえば、前回のバスツアー、ご苦労だった
ありす,ありましたね……
唯,楽しかったねー！
フレデリカ,ねー！
常務,視聴率も上々だったようだ
奈緒,やっぱり放送したのか！！！
奏,あら、気が付かなかったわね。どこの局？
唯,いつやってたのー？
常務,先週火曜日、NHK教育の夜26時からだな
凛,どこにターゲットを絞ったらそうなるの！？
文香,今はEテレですが……
ありす,別にそこは論点じゃないですから
周子,あれ？その時間のEテレ、放送してないんじゃなかったっけ？
常務,私が直々に交渉しただけだ。わけもない
加蓮,権力の無駄遣いでしょ
常務,私が三日三晩電話をかけ続けたところ、3週間で快くOKが出た
奈緒,よく捕まってないなこの人！
凛,どこが快く！？
常務,ちなみに、平均視聴率はどのくらいだったと思う？速水
奏,そうね、これだけのメンバーがそろってるんだもの。2％は硬いわね
奈緒,ネガティブかよ。あとその2％へのこだわりはなんだよ
常務,残念。正解は76.2％だ
ありす,その時間のEテレで！？
加蓮,国民の4分の3が！？
凛,馬鹿じゃないの！？
常務,では最高視聴率はどこだったと思う？宮本
フレデリカ,ふふーん！これはわかっちゃったよ！ズバリ！ありすちゃんの食レポ！
みんな,ああ～
ありす,ち、ちょっとみなさん！なんで納得してるんですか！
常務,惜しいな、そこは83.6％で2位だ
奈緒,もうインフレが酷すぎて感覚が鈍ってきた
唯,じゃあ、どこが1位だったの？
常務,アナスタシアの歌唱シーンで、99.8％だ
凛,アーニャはいったい何者なの！？
常務,バスツアーの思い出話はこのくらいにしよう。皆、今年は、我がプロダクションも日本だけでなく、海外にも目を向けて活動していきたいと考えている
唯,おお～！
凛,マトモに方針は考えてるんだね
常務,それに先立って、宮本はフランス、大槻はスペインでそれぞれ仕事をしてもらった。宮本は月末限定。大槻はフェス限だったな
奈緒,その紹介やめろよ
常務,どうだった？
フレデリカ,あのね！あのね！ママの故郷でのライブだったんだけどね！すっっっっごく楽しかったよ！
ありす,フレデリカさん……
フレデリカ,みんなも連れて行きたかったな～♪
常務,楽しんでもらえたなら何よりだが、勝手なことを言ってもらっては困る。君の旅費は、いったい誰が出したと思っているんだ？
フレデリカ,え？
加蓮,ま、まさか……
凛,本当に……！？
常務,会社だ
奈緒,だろうな！！！
常務,塩見はどこか、行きたい国はあるか？
周子,うーん、別にないかなー？ほら、シューコちゃん、和風アイドルだしー？
常務,スリランカ……と
周子,なんで？
常務,速水はあるか
奏,グレートブリテン及び北アイルランド連合王国ね
ありす,イギリスですよね！？なんで正式名称なんですか！？
常務,なるほど、グレートブリテン及び北アイルランド連合王国か、良いチョイスだ。私も何度かグレートブリテン及び北アイルランド連合王国には足を運んだが、やはり良い国だった
奏,そうでしょうね、私も、グレートブリテン及び北アイルランド連合王国の何がグレートブリテン及び北アイルランド連合王国をグレートブリテン及び北アイルランド連合王国たらしめるのか、非常に興味が
奈緒,うるさいな！！！言いたいだけだろ！！！
常務,今のやり取りで、初回の会議のクインテットの流れを思い出したそこの君は見事な読者だ。胸を張っていい
凛,誰と話してるの！？
常務,ふみふみはどうだ
加蓮,いつの間にそんな親密に
文香,そうですね……。強いて言うなら、中東で石油を一発……
ありす,欲の塊
常務,勝手なことを言ってもらっては困る。掘り出した石油を、誰が日本まで届けると思っているんだ？
フレデリカ,ま、まさか……！
奈緒,もういいよこの流れは！
常務,会社だ
奈緒,それはそれで346プロの業務内容が意味わかんなくなるけどな！？
奏,アイドルの育成及び石油資源の運搬……二刀流ね！
凛,マジカルステッキとチェーンソーみたいな二刀流やめてよ
加蓮,その寸劇は何！？
ありす,アイドルの方？石油の方？って！！！
常務,橘は海外での仕事はやってみたいか？
ありす,私ですか……そうですね……
常務,スリランカ……と
ありす,困ったらスリランカ送りにするのやめてくれませんか！？
周子,仲間が増えたーん
加蓮,なんで周子はスリランカ行きを受け入れてるの
ありす,では、イチゴの美味しい国……
フレデリカ,フランスだね！！！
ありす,……は、パスで
フレデリカ,
ありす,あ！せ、せっかくなら、オーロラなどを見てみたいですね……！
常務,スリランカでオーロラは難しいんじゃないか？
奈緒,スリランカから離れろ！！！！！
凛,ありす、フレデリカにフォロー入れときなよ。凹んでるよ？
フレデリカ,
ありす,うわ、本当ですね。自由人なのにメンタル弱いんですから……。え、えーっと、ふ、フランスは、お仕事ではなくて、プライベートで行きたいですねー
周子,棒読みやねー
フレデリカ,！
ありす,そ、そうなると、どなたか、案内をしてくれる人がいると便利かもしれませんー
フレデリカ,！！！。ハイハイハイ！そこはやっぱり、フレちゃ
文香,私が適任かと
奈緒,空気読め！！！
常務,さて、ここで残念なお知らせだ
みんな,？？？
常務,もう渋谷をいじるネタがない
凛,じゃあいじらなくていいでしょ！？
唯,じょーむ！諦めないで！
フレデリカ,諦めちゃダメー！
奏,リンから、科学の元素とかに行くのはどうかしら
常務,なるほど、どう思う？リン酸二水素ナトリウム
凛,化合物にするな！！！
文香,リンからパンに行くのはどうでしょう……？
ありす,いくらなんでも雑すぎませんか！？
奈緒,そもそもなんでみんな常務サイドでアイデアを出すんだよ！？
常務,なるほど、どう思う？パン・シブヤ
凛,なんでちょっとシン・ゴジラに寄せてるの！？
常務,株式会社346プロでは、渋谷凛の名前いじりの方法を募集している
凛,誰に対して！？
唯,応募は下記のサイトまで～！
加蓮,このためにサイト作ったの！？
