草刈蓮太郎,２７
テロップ,草刈蓮太郎２７
今井,違う！！そうじゃない！！やり直しだ！！
テロップ,今井忍４５
今井,草刈、もう少し役と一体化しろ！！
草刈,すみません……。また、演出家に怒られた……。俺は一生懸命やっているのに……
恋人役,まさか……！！連続殺人犯の正体が、よりによって鷹橋さんだったなんて！！
草刈,見てしまったのか……。そうだよ！！俺が、あの悪名高い殺人鬼・流血男爵さ！！
恋人役,そんな……、これは何かの間違いよ！！あなたが、そんなことをするはずはない！！
草刈,残念だが、これが現実なんだよ！！秘密を知られたからには、君も生かしておくわけにはいかない……。ゆ、許してくれ……！！君にだけは手をかけたくなかった！！
甘利,草刈。お前はもう少し、演技に対して工夫をしたらどうだ
テロップ,甘利英輔７１
草刈,も、申し訳ありません。座長……。次の上演では気をつけます……
甘利,俺はお前の将来性を見込んで、主役に選んだんだぞ。だから、大役にふさわしい演技をしてくれ
雑誌,草刈氏の演技は、まだまだ未熟さが目立つ
草刈,ちくしょう！！
今井,一体何度言えば分かるんだ！！草刈！！
草刈,すみません……！。くそっ……！俺は一生懸命演じているのに、どうして周りに認められないんだ！
居酒屋ママ,あら、炎のメンバーの二神君じゃない？相変わらず、かっこいいよねぇ
草刈,こんなアイドル風情の大根の、どこがいいんだ！！バカヤローーッ！！
喪黒,さっきはお店の中で、ずいぶん荒れていましたなぁ
草刈,いやぁ、お恥ずかしい……。大人げないところを人前にさらしてしまって……
喪黒,あなたは、かなり酔っていましたからねぇ。飲まずにはいられない事情があったのでしょう
草刈,ええ。そうですよ……。いろいろ辛いことがあったもので……
喪黒,なるほど。私の仕事柄、あなたを放っておくわけにはいきませんねぇ……
喪黒が差し出した名刺には、,ココロのスキマ…お埋めします喪黒福造
草刈,……ココロのスキマ、お埋めします？
喪黒,私はセールスマンです。お客様の心にポッカリ空いたスキマをお埋めするのがお仕事です
草刈,あなた、セールスマンなんですか……
喪黒,どちらかと言うと、ボランティアみたいなものですよ。何なら、相談に乗りましょうか？
BAR,魔の巣
喪黒,あなたは、劇団シアターオーガの草刈蓮太郎さんですよね？
草刈,ど、どうして俺の名を！？
喪黒,この間、私は流血男爵を鑑賞したのですよ。ほら、あなたの劇団の演劇の……
