霧隠虎太郎,７６５プロのアイドルぅ？なんだそりゃ
風祭鷹介,虎太郎君、知らないの？今、テレビですっごい話題になってるんだよ！
虎太郎,アイドルってあれだろ？姉ちゃんがテレビでいつも見てるあの、男が３人で歌ったり踊ったりしてる……
流崎力哉,そりゃジュピターだろ。それもアイドルだけど、女の子のアイドルってのもいるんだよ！
虎太郎,へー
鷹介,力哉君は、アイドルに興味があるみたいだね
力哉,ま、まあな。特に７６５プロのアイドルといえば、今はテレビをつけたら誰か出てるもんな
鷹介,そうそう！実は僕さあ、萩原雪歩さんのファンなんだ
力哉,へえ。まあ、なんとなくわかるな。清純そうで、ちょっとあこがれの百合香ちゃんに雰囲気が似てるからだろ
鷹介,そ、それは、まあ、なんていうか……そういう力哉君は、誰が推しドルなのさ？
力哉,俺か？俺は、まあ……水瀬伊織さん、かな……
鷹介,ああー！ちょっと気が強そうで、その一方で正義感が強いしっかり者だもんね！桂さんみたいに
力哉,そ、そうだな。それで虎太郎、おまえは誰が推しドルなんだ？
虎太郎,はあー？いや、俺アイドルとかしらねーし
鷹介,僕の予想だと……僕は百合香ちゃんみたいな、おしとやかな雪歩さんのファン。力哉君は桂さんみたいな、しっかり者の伊織さんのファン
力哉,なるほど。じゃあ、虎太郎が好きそうな７６５プロのアイドルは……
結城千夏,みんなー、ビッグニュースよ！ビッグニュース！！
虎太郎,なんだよ、うっせーな。どーせまた、謎の未確認生物が元気堂でお菓子を万引きしたとか、ＵＦＯが墓荒らしをしたとかそんなガセネタだろ
千夏,なによ！あんたには教えてやらないんだから
鷹介,まあまあ。それで千夏ちゃん、ビッグニュースって？
千夏,あのね、７６５プロのアイドルが青空町にやって来るんだって！
鷹介,ええー！あ、あのトップアイドルが青空町へ！？
千夏,商店街でミニライブをするんだって！
力哉,すごいや！あこがれのアイドルが、間近に見られるなんて
千夏,私、独占インタビューをお願いしちゃうんだから！！
虎太郎,学校新聞のインタビューなんかに、テレビにでるような人がこたえてくれるわけねーじゃん
千夏,そんなの、わかんないじゃない！こう見えても私、今まで数々のスクープをものにしてきたんだから
虎太郎,むりやり突撃取材しただけじゃねーか
千夏,なによ！
虎太郎,なんだよ！
鷹介,まあまあ千夏ちゃん。それで、誰が来てくれるの？
千夏,うーん。それはまだわらないんだけど、３人ぐらいアイドルが来てくれるって聞いたわよ
小牧百合香,私、萩原雪歩さんが来てくれると嬉しいなあ
鷹介,ゆ、百合香ちゃん。雪歩さんが好きなの？
百合香,ええ。大人しい人なのに、ステージにあがると堂々としていて……私、バイオリンの発表会とかでよく緊張しちゃうから、ああなれたらなあ……って
鷹介,そうだよね。雪歩さんは最高だよね！
武田桂,あら、私は水瀬伊織さんがいいと思うわよ
力哉,桂さんは、伊織さんファンなんだ
桂,ええ。あの、凛とした雰囲気。憧れるわ
力哉,そうだよね！うんうん
千夏,次の日曜が、楽しみね。ほんと、誰が来てくれるのかしら……
虎太郎,ふあぁーーーあぁ
