橘ありす,おはようございます
宮本フレデリカ,おやっ！へいらっしゃい！宮本探偵事務所へようこそ！
ありす,……はぁ…………
フレデリカ,お？ありすちゃん、調子が悪そうだね！名探偵フレちゃんが解決してしんぜよう！
ありす,原因がよく言いますよ。また変なことを始めたんですか
フレデリカ,変なこととは失礼な！フレちゃんの頭脳を知らないからそんなことを言えるんだよ！
ありす,あなたの頭脳を知っているから言ってるんです
フレデリカ,じゃ、ありすちゃんが今考えてることを当ててあげる！
ありす,は？
フレデリカ,むむむ～ん！！！。……はいっ！わかった！とっととフランスに帰れ！
ありす,当たっても外れてもダメージなのによく口にしましたね
フレデリカ,じゃあ土に還れ？
ありす,フレデリカさんの中で私はそんなに非人道的なキャラですか
フレデリカ,こんなのはまだ序の口！
ありす,それは正解した時に言うんです
フレデリカ,次はありすちゃんの昨日の晩御飯を当ててみせるよ！
ありす,さっきから探偵じゃなくてエスパーの土俵で戦ってません？
フレデリカ,むむむ～ん！！！
ありす,ほらその掛け声
フレデリカ,わかった！お湯！
ありす,虐待じゃないですか！？
フレデリカ,もしくは温かい水！
ありす,言い換えられてない！。そもそも、探偵にしろエスパーにしろ、競合相手が事務所内にいるじゃないですか
フレデリカ,そのあたりは大丈夫！2人共、地元でロケしてるから！その間だけだよ！
ありす,ああ、そういえば、どちらも福井県の出身でしたね。……少し不安ではありますが
フレデリカ,社長排出率第一位の県で聞く～成功のための経営学～って内容らしいよ
ありす,一気に不安が最高潮に
フレデリカ,深夜の1時からN○K教育で！
ありす,いったいどこにターゲットを絞ったらそうなるんですか！？。まあ、事情はわかりましたが、私ならフレデリカさんには頼みませんね
佐城雪美,フレデリカ……ペロ……探して……
フレデリカ,お安いご用♪
ありす,そのみなさんからの信頼はどこから手に入れたんですか？？？
フレデリカ,さて！まずはいなくなった時の状況を教えて？
雪美,……。レッスン終わって……疲れたから……仮眠室でペロと休憩してて……
フレデリカ,うんうん
雪美,30分くらいうとうとして……起きたら……ペロがいなかった……
フレデリカ,なるほど……どう思う？ワトソン君
ありす,……
雪美,……
フレデリカ,ワトソン君！！！！！
ありす,えっ！！私ですか！！？？
フレデリカ,助手といえばワトソンでしょ～？
ありす,そもそも助手になった覚えがないんですが
雪美,ありすは……協力してくれない……？
ありす,うっ……！
フレデリカ,そうみたい……どうでもいいから帰ってマインク○フトやりてぇ～って思ってるよ……悲しいね……
ありす,思ってない！！！。わかりました……今日だけですからね……
雪美,ありがとう……
フレデリカ,やっさし～い！
ありす,後で覚えててくださいね、ホントに
フレデリカ,アタシ……この探偵業が終わったらありすちゃんにご飯をおごるんだ……
ありす,なんでフラグっぽくしちゃうんですか！？
フレデリカ,とりあえず現場に行こっか！
雪美,……
ありす,それがいいですね
フレデリカ,探偵の基本は“現場10回”だからね！
ありす,ただの横着じゃないですか
フレデリカ,とうちゃく！
雪美,このベッドで……寝てた……
ありす,なるほど……カギは閉めてましたか？
雪美,……。ドアは閉めたけど……ペロはドアなら開けられるから……
ありす,地味にすごいですね
フレデリカ,ありすちゃんはドアは開けられる？？？
ありす,よくこの流れでケンカを売りましたね
フレデリカ,じゃあ、雪美ちゃんが寝てる間にどこかへ行っちゃったんだね
ありす,それが現実的ですね。すぐに帰ってこないということは、誰かと遊んでるんじゃないですか？
フレデリカ,それだ☆
ありす,雪美さん、ペロさんは他に誰とよく遊ぶんですか？
雪美,えっと……薫……仁奈……こずえ……舞……拓海……常務……
ありす,衝撃をさらに大きな衝撃でかき消すのやめましょう！？
フレデリカ,たくみん意外～
ありす,それよりも意外な人がいるんですってば！！。大人組ならすぐに連れてくるか連絡するかだと思うので、恐らく年少組と遊んでるんでしょう
フレデリカ,それだ！三三三☆
ありす,星がどこかに飛んで行っちゃいましたよ！？
雪美,りゅーせー……
ありす,ノリがいい！！
フレデリカ,そういえば、さっきレッスンルームに入る薫ちゃん・仁奈ちゃん・千枝ちゃん・千佳ちゃんを見たよ！
ありす,そこに行った可能性はありますね。向かいましょうか
雪美,……
フレデリカ,！雪美ちゃん、ちょっと疲れてる！ここはタクシーモード発動！って言って雪美ちゃんをおんぶしてあげれば、ありすちゃんもフレデリカさん、なんて優しいんでしょう！ぜひありすとお呼びください！ってなるカモ！。ゆきｍ
ありす,あ、雪美さんはレッスン後だから疲れてますよね。フレデリカさん、おんぶでもしてあげたらどうですか
フレデリカ,あ、はい
雪美,ありがとう……
フレデリカ,どういたしまして……
ありす,？
フレデリカ,たのもー！ってあれ？
ありす,誰もいませ……あ！ペロさん！
雪美,ペロ……！よかった……！
ペロ,にゃー
トレーナー,あ！本当に来た！
ありす,あ、トレーナーさん……本当にとは？
トレーナー,いえ、さっきまでレッスン後の仁奈ちゃんたちとペロちゃんが遊んでたので眺めていたんです。そうしてそろそろみんな帰ろうか……ってなったんですけど、ペロちゃんはこの部屋から動かなかったんですよ
フレデリカ,ふむふむ
トレーナー,みんなが言うには、そろそろ雪美ちゃんがここに来るから待ってるって言ってるらしくて
フレデリカ,なるほど！
ありす,なんでみなさんが猫の言葉を理解できるところにはツッコミが入らないんですか
フレデリカ,え！？ありすちゃんわからないの！？
ありす,ふ、フレデリカさんだってわからないでしょう！？
ペロ,にゃー
フレデリカ,今のはYoucan’tunderstandforeverwhatIsay.だね！
ありす,なんで猫→英翻訳なんですか！！というかあなたは私の言うことを永久に理解できないってすっごい煽ってるじゃないですか！？
雪美,ありす……ニュアンス……違う……
ありす,え？
雪美,正しくは……お前ごときが我の意を汲もうとは百億年早いわ！！！って……
ありす,そんなラオウみたいなニュアンスだったんですか！？
雪美,冗談……ふふ……
ありす,雪美さんも言いますね……
フレデリカ,あんまりテキトーなこと言っちゃだめだよ？
ありす,その巨大なブーメラン、頭に刺さってますよ
雪美,フレデリカ……ありがと……
フレデリカ,どういたしまして！
ありす,フレデリカさん何かしましたっけ？
雪美,ありすも……ありがと……
ありす,うっ……ど、どういたしまして……
雪美,照れてる……？
ありす,そっ、そんなことないです！
フレデリカ,照れてる～！☆三三三
ありす,さっきからその星はなんなんですか！！！
フレデリカ,さてさて、一件落着だね！見たか名探偵フレデリカの実力を！
ありす,もう一度言いますがフレデリカさん何かしましたっけ？
フレデリカ,次の依頼人は誰かな～
ありす,だからそんな都合よく来るわけが……
南条光,フレデリカさん！ちょうどいい所に！
ありす,そろそろヤラセを疑いますよ
フレデリカ,どうしたの？
光,うん、実は、聞いてきてほしいことがあって……
ありす,聞いてきてほしい？
光,うん！もうすぐ柑奈さんの誕生日なんだけど、お世話になったから何か送りたいな……って
ありす,なるほど、いいことですね
フレデリカ,現ナマがベター？
ありす,よりによって柑奈さんに！？。欲しいものを聞いてくればいいんですね？
光,うん！
フレデリカ,じゃ、聞いてくるね！
光,ありがとう！……あ、このことは柑奈さんには……
ありす,わかってます、言いませんよ
フレデリカ,うんうん！大胆かつ大胆に聞き出してみせるよ！
ありす,ダイナミック全振りじゃないですか
フレデリカ,あ！いたいた！おーい！
有浦柑奈,あれ？フレちゃんにありすちゃん！こんにちは
フレデリカ,最近どお？
ありす,雑ですね
柑奈,最近はお仕事も増えてきて、とってもハッピーですよ！
フレデリカ,うんうん♪この前のライブも大成功みたいだったね！
柑奈,はいっ！
フレデリカ,何か欲しいものある？
ありす,急に！？
柑奈,？
ありす,い、いやぁ～、柑奈さんってあんまり物欲がなさそうなので、どういうことにお金を使うのかな～ってちょっと気になりまして……いきなり失礼な話題で申し訳ないです……
フレデリカ,そうそう！
柑奈,ああ、なるほど！確かによく聞かれますね……。私が一番欲しいのはピースなので、あまりこだわった使い道はないんですが……
フレデリカ,タバコ！？
ありす,ピースってそうではなく！！！
柑奈,ふふふ、相変わらず仲がいいですね！まさにラブ&ピース！
ありす,そういうのいいですから！
フレデリカ,ふふーん！この前なんて一緒に電器屋に
ありす,その話もいいですから！！！。埒があきませんね……。あの……
柑奈,はい！
ありす,今度、友達にプレゼントを贈ろうと思うんですが、柑奈さんなら何をもらったら嬉しいですか？
フレデリカ,う、うまい！
ありす,せめて心の中で言って！！
柑奈,いい心がけですね！でも、その気持ちが大事だと思うんです。……月並みですが、相手のために悩むことが何よりの贈り物ですよ
ありす,柑奈さん……
フレデリカ,例えば期限が過ぎたおにぎりとかでも？
ありす,フランスではごみ処理とプレゼントが同義語なんですか？
フレデリカ,じゃ、そろそろ行くね！
柑奈,はい！さようなら！
ありす,ありがとうございました
フレデリカ,今度またごはん行こーね！
柑奈,もちろんです！椿ちゃん、沙織ちゃん、星花ちゃんもいっしょに！
ありす,何ですかその集まり
フレデリカ,みんな19歳なんだよ！
ありす,何を話すのか異常に気になるんですけど！？
フレデリカ,ただいまー！
光,あっ！おかえりなさい！何が欲しいって言ってた？
フレデリカ,争いのない平和な世界だって！
ありす,規模おかしいじゃないですか！！！
光,わかった！
ありす,わかっちゃった！？
フレデリカ,というのはじょーだん♪
ありす,まったく……柑奈さんは、プレゼントの中身で良し悪しを判断する人ではないということですよ
光,へ？
フレデリカ,そうそう！あげたいものをあげていいんだよ！
光,そ、そうなのか……
ありす,まあ、自信がないならメッセージカードでも添えてあげれば、きっと……いえ、絶対に喜びますよ
光,そっか……そうだよね！うん！ありがとう！２人共！
フレデリカ,どういたしまして♪
光,とりあえず小梅ちゃんに教わったお店に……
ありす,対極の趣味ですよ！？
フレデリカ,いやー！いい仕事をしたね！
ありす,3回も言うことになるとは思いませんでしたが、フレデリカさん何かしましたっけ？
フレデリカ,あれ？フレちゃんの凄さ、伝わってない？
ありす,まったくもって
フレデリカ,しょーがない！最後に未来予知を見せてあげよう！
ありす,結局エスパーの土俵のままじゃないですか！
フレデリカ,むむむ～ん！！！。見えた！
ありす,なにがですか……
フレデリカ,ありすちゃんは今日の夜、フランス人のハーフの金髪美女と一緒に、ご飯を食べに行くでしょう！！！
ありす,はあ？
フレデリカ,はっ！ありすちゃんの周りのフランス人ハーフの金髪美女といえば、一人しかいないよ！
ありす,……
フレデリカ,……
ありす,……
フレデリカ,……
ありす,はぁ……わかりました。最後くらい、正解にさせてあげますよ……
フレデリカ,わーい！。京風イタリアンこんちキッチンと鷹富士闇鍋店のどっちがいい？
ありす,だから選択肢！！！
