モバP(以下、P),この電話ボックスみたいなのか？
晶葉,その通り！
P,・・・。ちなみにどういった発明品なんだ？
晶葉,電話ボックスの受話器に、仮に○○の世界だったらという感じで自分の望む世界を話すとその通りの世界になるというものだ！
P,それパクリだよ
晶葉,オマージュと言ってもらいたい！
P,物は言いようだな・・・で、これを俺に使ってみて欲しいってことか？
晶葉,いや、そうではない
P,あ、違うの？
晶葉,これはアイドル達に使ってもらう。我々は別室からその様子を観察するんだ
P,我々ってことは・・・
晶葉,無論私と助手、のつもりだが・・・忙しいのであれば別にいいんだ
P,暇暇、ちょー暇
晶葉,そうか。それはそれで心配だが
P,しかし何で別室に行く必要があるんだ？その場にいてもいいだろ？
晶葉,その部屋は仮にボックスの影響を受けない特別な部屋になっている。開発者である私は正常でいなければならないからな！。それに人の目があると当たり障りのないような事しか言えないだろう？
P,まぁ確かに・・・でも、盗み見ってのは気が引けるな
晶葉,では助手は不参加という事ｄ―――Pやるけどね。どっちなんだ
P,アイドル達の心からの願いを知る事もプロデューサーとして大切な仕事の一つだ
晶葉,物は言いようだな
P,あんな大きなもの事務所のど真ん中に置いて・・・今日ちひろさん休みで良かった
晶葉,だから今日にしたのだよ！
P,お、誰か来たぞ
晶葉,この声は・・・
法子,あ、説明書があるよ！なになに～。・・・これ、もし○ボックスだ！
P,・・・
晶葉,仮にボックスとちゃんと書いてあるのだがな
法子,晶葉ちゃんの発明品だって！
有香,相変わらず晶葉ちゃんは凄いですね
ゆかり,あの、も○もボックスというのはどういった物なんでしょうか？
法子,ゆかりちゃん知らないの！？ド○えもんの道具だよ！
ゆかり,ドラえも○をあまり観た事がなかったので
有香,あたしも記憶が曖昧だけど、確か自分の思い通りの世界にする事ができる道具とかだったっけ？
ゆかり,思い通りの世界ですか。少し怖いですね・・・
有香,そう聞くとちょっと怖いよね
法子,あっ、でも効果の範囲は社内だけで10分経ったら元に戻るんだって！それくらいなら大丈夫じゃないかな？面白そうだしやってみようよ♪
P,たった10分だけなのか？
晶葉,まだ試作段階だからな。万が一に備えて今は短めに設定してあるんだ
有香,それなら大丈夫・・・かな？
ゆかり,そうですね。それくらいなら
法子,じゃ決定だね♪。どんな世界にしよっか？
有香,う～ん・・・
ゆかり,あまり人に迷惑が掛からないものがいいですよね
法子,そうだよね～・・・・・あ！
有香,何か思いつきましたか？
法子,ドーナツ買ってきてたの忘れてたよ～
有香,そっち！？
ゆかり,元々は事務所でドーナツを食べる予定でしたからね
法子,せっかくの揚げたてなんだから早く食べないと！
ゆかり,ではドーナツを食べながら考えましょう
法子,さんせー♪。この袋がゆかりちゃんので、こっちが有香ちゃんの分！
有香,こうしてみると結構な量買っちゃったよね・・・
ゆかり,春限定という言葉につい乗ってしまいましたね
有香,明日はPV撮影もあるしセーブしておこうか
ゆかり,そうですね、少しだけ食べて後は事務所の皆さんへのお土産ということにしましょう
法子,えぇ～、全種類食べたかったなー
有香,でも明日衣装が着れなくなったらPさんに怒られちゃうよ？下手したら当分ドーナツ禁止令とか出されるかも
法子,うっ・・・それはヤダ
ゆかり,ふふっ、PV撮影が終わったらまた三人で買いに行きましょう♪
法子,は～い。・・・。・・・・あっ！
有香,？
ゆかり,どうかしましたか？
法子,これ使えばいいんじゃない！？
仮にボックス,
有香・ゆかり,あっ！？
有香,なるほど、その手がありましたかっ！
ゆかり,食べても太らない世界にするわけですね
法子,これでお腹いっぱい食べても平気だよね♪
有香,さすが法子ちゃん！
法子,えへへー///。じゃあ早速使ってみるね！。仮に食べ物を食べても太らない世界になったら！。これでオッケー♪
有香,でも本当にカロリーゼロになってるのかな？
ゆかり,目に見える物ではないので変化が分かりませんね
法子,説明書にベルが鳴ったら成功ですって書いてあるから大丈夫じゃないかな？それより早く食べようよ、春限定の新作ドーナツ！
ドーナツ,
有香・ゆかり,
有香,晶葉ちゃんの発明品ですもんね・・・？
ゆかり,はい、きっと大丈夫なはず
法子,どれから食べようかな～♪
法子・有香・ゆかり,いただきまーす♪
