モバＰ,以降Ｐ表記。インパクト強っ！
Ｐ,自らクソザコメンタルを名乗り他人におんぶに抱っこのスタイルで楽して売れたいと平然と言ってのける炎上芸！。口を開けば溢れ出すガソリンの如き問題発言！その癖いざ攻撃されるとかすり傷で砕け散るガラスどころかプレパラートのような精神力！。見た目はインパクトの塊！中身はスカスカ！その名は新人アイドル、夢見りあむ！
芳乃,そなたーそなたー
Ｐ,うん？どうした芳乃。もうオチか？
芳乃,いえいえー、後ろをご覧くださいましー
Ｐ,後ろ？
りあむ,ヒグッ……グスッ、えぅ……おうおう……
Ｐ,新人さん大号泣しとる
りあむ,グスッ…酷いよ、あんまりだよぉ…何ひとつ言い返せないから一方的に言葉のボディブローでボコボコにされるだけじゃんかぁ…
Ｐ,スマン、今まで出会ってきた中でも群を抜いてのクズだったんでつい
りあむ,うわあああああん！！正論で殴りつけてくるＤＶプロデューサーがいるよぉ～！！
芳乃,ご近所から通報される勢いで泣かれておりますー
りあむ,正論なんて誰も求めてないんだっ！ぼくが欲しいのはぼくに都合のいい言葉だけなんだよ！それも出来る限り優しく！ソフトに！
Ｐ,ハハッ、本当にどうしようもねぇなこいつ
芳乃,そなたーそなたー、新人さんなのですからもう少し優しくしてあげませんとー
りあむ,グスッ…そうだそうだー、そこの幼女の言う通りだー
芳乃,現世を少々甘く見誤り過ぎではないでしょうかー
りあむ,うわああああん！こっちの娘もめっちゃ怖いよぉ！！
Ｐ,はいはい悪かった言い過ぎたよゴメンゴメン
りあむ,ヒック、ひぐっ……目にハイライトないオジサン怖い…
Ｐ,大きなお世話だコンニャロウ。と言う訳で今日から君は我が３４６プロのアイドルという事なのだけども
りあむ,華々しくデビュー！日本中のやみくんやみちゃんからチヤホヤ！それ以外からもチヤホヤ！
Ｐ,華々しくデビューする前にやる事やって貰わんと
りあむ,えっ………枕？
Ｐ,やりたいなら別に止めやしないけど別の事務所行ってくれたまえ
りあむ,ごめんなさい嘘です冗談ですそんな度胸無いです
Ｐ,くれぐれも今みたいな事他の娘の前で言わんように。事務所に入った以上何か問題が生じても君１人の責任では済まない事になるからな
りあむ,うぇぇ…プレッシャー感じる…やむ
Ｐ,まぁ、今日は初日だしこの事務所にいたら個性のモンスター共に揉まれて嫌でも逞しくなれるさ。だからそう心配しなくても大丈夫だよ
りあむ,えっ、今の言葉のどこに安心する要素が
Ｐ,よし、なら今日は他の先輩アイドル達に話を聞いて回る事にするか。君の紹介も兼ねて
りあむ,たった今個性のモンスターとか担当者の口から称された人たちの前にこのザコメンタルを放り投げるの！？
Ｐ,ハッハッ、思い立ったが吉日。社会人は行動力が大事
りあむ,いや、ぼくは社会貢献した事無いから、せいぜい餃子の売り上げに貢献…ちょ待って！心のっ！心の準備期間を！
Ｐ,芳乃、足の方持ってくれ
芳乃,あらほらさっさー
りあむ,オッサンと幼女にドナドナされる！ぼくのアイドル生活初日から詰んでない！？ちょっ、せめてもうちょい高く持ち上げて！胸が床に！！
あかり,賑やかで楽しそうな人んご～
あきら,ニュージェネさん達から貰った新人歓迎会のお知らせ渡し損ねちゃいましたね
Ｐ,と言う訳でまずは我が３４６プロ屈指の常識人アイドルから行ってみよう！
杏,いや、いきなりやってきて何なのさ
りあむ,ぼく知ってるよ！この人ステージ上でお布団敷いて寝転がってゲームしながら歌うアイドルの人だ！
杏,…何これ
Ｐ,紹介しよう。新しくウチにきた新人アイドルの夢見すぎりあむさんだ
りあむ,夢見！やむよ！やむよ！？
杏,うわぁ…またすっごい人拾ってきたねぇ。大丈夫？ちゃんと面倒見れる？
Ｐ,ハッハッ、初日だけどもう放り捨てたい
りあむ,Ｐサマ！？
Ｐ,ほら夢見、挨拶くらいしなさいな
りあむ,えーっと…は、はじめまして！双葉さんみたいなゴロゴロダラダラしているだけでチヤホヤしてもらえるようなアイドルになりたい夢見りあむです！
杏,はじめまして双葉杏です。こんな格好でごめんなさい
りあむ,ＰサマＰサマ！ぼくこの人みたいになりたい！
Ｐ,杏はやる気の無さに反比例してアイドルとしてチートじみたスペックの持ち主なんだ。単に杏の真似したところで刹那で干されるぞ
りあむ,干されるのは嫌だよぅ…炎上してもいいから目立ちたいよぅ
杏,杏がこんな事言うのもアレだけどさ……大丈夫？この人
Ｐ,これから大丈夫になるように何とか調整していくつもりだよ
杏,あー…只でさえ芸能界なんて怖いところなのに一番ヤバい事務所に来ちゃったんだ
りあむ,先輩！何卒ぼくに出来るだけ楽に何もしないでチヤホヤされる人気アイドルになる秘訣をご教授してください！
杏,うぇ～？そんな事言われても本当に杏は何もしてないんだけどなぁ
りあむ,何もしないで売れる方法を何卒！なにとぞ！
杏,なんか難しい日本語だね
Ｐ,まぁまぁ、さっきも言ったけど杏は杏だから許されるのであって杏以外が杏と同じ事をしたところで杏と同じ事にはならんよ
杏,そうそう、この業界良くも悪くも先にやったもん勝ちだしねぇ
Ｐ,それに杏は自分で言うほど何もしないでダラダラしてる訳でも無いしな
杏,そうそう、自分で言うほどただダラダラしてる訳じゃ……って、え？
Ｐ,何やかんや文句たれてもレッスンはちゃんと受けるし歌詞や台本もきっちり覚えてくるし収録でもＮＧはほとんど出さないし
りあむ,え、真面目じゃん
杏,いやいや。それは単にサボるときらりとかトレーナーさんに怒られるからだし。仕事だって下手にミス出すと無駄に長引いちゃうからってだけだし
Ｐ,もう十分働かずに食っていける程度には貯蓄してる癖に辞める気なんてさらさら無いし年少組の面倒見も良いし
りあむ,真面目じゃん！
杏,いやいやいや、まだまだ欲しいゲームはいっぱいあるし今のうちに稼げるだけ稼いでおこうってだけだし！面倒見るのもそういう名目で遊んでるだけだし！
Ｐ,仁奈の遊び相手してくれたり薫の宿題を見てあげたりこずえにオヤツを作ってあげたり楓さん寝かせつけてくれたり
りあむ,何だよ真面目かよ！ファッショングータラかよ！ぼくのリスペクトを返せー！
杏,とんだ風評被害だよ！
Ｐ,年少組にホットケーキを焼いてあげてたけど今度俺にも作ってくれよ
杏,自分で焼きなよ！
りあむ,今の話ツイートしたら秒で炎上したんだけど！？
杏,自分のアカウントは焼くなよ！
Ｐ,とまぁ、こんな感じの娘なんだけど。どう思う？
杏,今のところ不安要素以外のものが何一つ無いよ！
Ｐ,ハハッ、まぁこれからきっと成長するさ
りあむ,ええいっ！匿名という安全圏からしか石を投げられない隠れオタどもめ！すこれ！黙ってぼくをすこれ！
杏,…ほんとに大丈夫？
Ｐ,ハハッ一回シバいておくか。…と言う訳であれが我が事務所が誇るグータラコロポックル双葉杏だ。少しは参考になったか？
りあむ,あの人は元々特別なオンリーワン過ぎて参考にしようがないよ
Ｐ,だろうな
りあむ,だろうなって言ったよ！？言っちゃったよ！？
Ｐ,さてさてそれじゃあ次行ってみようか。あ、何かここまでで質問はあるか？
りあむ,さっきまでいたあの和服幼女はどうしたの？
芳乃,わたくしは１６ですー幼女ではー、幼女ではー！
りあむ,うひゃあああ！！
Ｐ,芳乃ステイ。お前さんはこれからレッスンだろ
芳乃,むーっ
Ｐ,ん？どうした夢見。鳩がルパンコレクション取られたような顔して
りあむ,オッサンのスーツの内ポケットから幼女が飛び出てくる恐怖っ！！
Ｐ,さーて次は誰に話を聞こうか……お、丁度あそこに
りあむ,正直双葉センパイより今の娘の方が遥かにミステリーだよ！座敷童？え、Ｐサマの座敷童？
Ｐ,と言う訳で次は我が３４６プロ屈指のファッション薄幸美少女アイドルにお話を伺おう！
ほたる,えっ？あの、えっ？と言うか何ですかファッション薄幸って……えっ？
りあむ,ぼく知ってるよ！この子潰した事務所の数ギネス記録認定とかネットで騒がれてたアイドルの子だ！
ほたる,ご、ごめんなさいごめんなさいごめんなさい！
Ｐ,こら夢見。千川の悪口は何を言っても許すが俺の大事なアイドルへの悪口は許さんぞ
りあむ,ひぃぃっ！ぼくも大事なアイドルじゃないの！？
ほたる,お、俺のアイドルって……えへへ
りあむ,うわ、一瞬で雌の顔になった
ほたる,あの、プロデューサーさん、一体…？
Ｐ,紹介しよう。新しくウチにきた新人アイドルの夢見てんじゃねぇりあむさんだ
りあむ,夢見！アイドルって夢を見て見せての商売だよね！？
ほたる,あ、この方が例の…初日で炎上起こして常務さんに呼び出されたっていう
りあむ,４時間の正座はキツかったよ！それに炎上ならこの子だって何度も起こしてるよね！？
Ｐ,自業自得で炎上させるのと第３者の無責任な放火による炎上は意味が全然違うわい
りあむ,うぐぐ…Ｐサマは新人に優しくない…やむよ？ぼくはすぐにやむ事に関しては定評があるよ？
Ｐ,優しくなかったらとっくに放り投げてるっての
ほたる,えっと、あの…もしかしてこれも私の不幸のせいなんでしょうか
Ｐ,何を馬鹿な事を。ほたるは不幸なんかじゃないと何度頭ワシャワシャしてやれば理解するんだ
ほたる,わっ、わわっ……もうしばらく理解出来ないかもです…
りあむ,贔屓だ！ぼくもチヤホヤ！チヤホヤ！！
Ｐ,夢見は今一つ可愛げが無いんだよなぁ…
りあむ,言葉を選ぼう！？ぼくみたいなガラスハートには慎重に言葉を選ぼう！？
ほたる,け、ケンカしないでください…ケンカは、駄目です
Ｐ,てな感じで承認欲求ばっかり先走って中身も将来設計もカラッポな新人なんだけどほたる的にどう思う？
ほたる,えぇ～…………………………えっと…、個性的な人だなぁ～、って
Ｐ,どうだ夢見。これが１３歳が必死に絞り出してくれた精一杯のお前さんへの評価だ
りあむ,本気でやむよ！？ぼくはすぐやむ事に関しては誰にも負けない自信があるんだよ！？
ほたる,だ、大丈夫です！一生懸命頑張ればきっと夢見さんもすぐに人気アイドルになります！
りあむ,一生懸命、頑張る……？手っ取り早く目立てない？炎上してもいいからさ
ほたる,……は？
Ｐ,よーし次行こう次。ありがとなほたる。ほら行くぞ夢見。…と言う訳であれが我が事務所が誇るイマジンブレイカー白菊ほたるだ。少しは参考になったか？
りあむ,…最後あの子めっちゃおっかない顔してた……やむ…１３歳にガチギレされた、やむ…
