前川みく,15
Ｐ,ＺＺｚｚｚ…………ん。……んーっ……ふぅ。もう朝か、なんか早いなぁ。ちょっと前に横になったような感じなのに……って。何でここにみくが寝てるんだ……
みく,……ｸｰ……ｸｰ……Ｐちゃん……
Ｐ,確か昨日みくはちゃんと部屋いって寝たよな……。んでそれを見て、俺も自分の部屋入って寝た筈だ。だが起きたら今隣で寝ている。……寝ぼけたフリしてこっちに入ってきたか……？。ったく……いい顔して寝やがって、この
みく,んにゃ……ｸｰ……ｽｰ……
Ｐ,はは、まぁ起きるまでこのまま寝かせておいてやるか。……などと言うと思ったか！人のベッドに勝手に入り込むなど言語道断！！。悪い子にはお仕置きだっ！まずはみくを掛け布団でぐるぐる巻きにして……。そして簀巻き状態のまま持ち上げ運ぶ！！。居間で下ろし……これでカーペットの上で簀巻き状態となる！！。布団から出ている頭は……よし、こうしてっと……出来上がりだ！。ふはは！布団で寝ていたと思ったら床の上で起きたポルナレフ状態になるであろう！！。さあ起きたら光景が変わっていた驚きを味わうがいい！！
みく,…ｸｰ……ん……にゃ……？。にゃ……ふゎぁぁ～……Ｐチャン？
Ｐ,ふはは！どぉ～だいい目覚めだろう？
みく,にゃ……ってここ床の上にゃ！？というかＰチャンなんで膝枕してるにゃ！？
Ｐ,どうしたぁ、何故驚いている？んん？
みく,だって、みく自分のお布団に入って寝たのに起きたらＰチャンの膝枕で……
Ｐ,自分の布団だと？なぁにを言っているっ。みくは俺の布団に潜り込んだではないかっ！
みく,そんな筈ないにゃ……あれ、でもこれＰチャンのお布団？
Ｐ,……ふむ、どうやら寝ぼけて俺の布団に入ってきたようだな
みく,にゃっ！？みくそんな事してたの！？
Ｐ,……ホントに覚えておらんのか
みく,さっぱり覚えてないにゃ……一度お手洗いに起きたとこは覚えてるけど……
Ｐ,ならその時か……てっきりわざとかと思ったわ
みく,むー……じゃあ次は最初からＰチャンのお布団で一緒に寝れば間違えないにゃ！
Ｐ,駄目だ
みく,うにゃっ。チョップひどいにゃ！
Ｐ,一緒に寝ていい訳ないだろうが。というかそろそろ起きろ、いつまで俺の膝枕で横になってんだ
みく,いやにゃっ！みくをこんな床の上に転がすなんてひどいにゃ！。みくの気が済むまで膝枕されてろにゃー！
Ｐ,今日はライブバトルあるだろうが、昼から事務所に行くぞ
みく,むー……ならもうちょっとだけっ
Ｐ,……ぁー…ちょっとだけだからな？
みく,うにゃっ♪えへへ～……Ｐチャンの膝気持ちいいにゃ
Ｐ,…まったく手のかかる奴だ
みく,ごろごろごろ……♪
Ｐ,ほらちょっと経ったぞ
みく,はやっ！？まだ全然経ってないにゃ！！
Ｐ,ちょっと、と言っただけで時間までは言ってないだろう
みく,だーめーにゃー！
Ｐ,うおっ膝を掴むでないっ
みく,気の済むまで離さないにゃー！
Ｐ,ええいっ離せ離せっ！。ったく、結局３０分以上膝枕しっぱなしになるとは……
みく,じゃあみくはお支度の前にシャワー浴びてくるにゃ
Ｐ,へいへい、あんまり時間かけないようにな
