橘ありす,みなさん、お久しぶりです。第3回リトル・マーチング・ファンド・ガールズのお時間です
ありす,司会は私、橘ありすと
佐城雪美,SSR……です……
ありす,タイムリー。ま、まあ、おめでとうございます……
雪美,ありがと……ふふ……
ありす,えっと、一応、名乗った方が
雪美,……
ありす,……
雪美,〔ひみつの小夜曲〕です……
ありす,肩書きではなくて！！！
雪美,佐城雪美……です……
ありす,司会の自己紹介にこんな時間は使わなくていいんですよ……
雪美,この番組……ひさしぶり……ね
ありす,そうですね、前回が9月でしたから、半年以上が経過してますね
雪美,今度こそ……打ち切りかと……
ありす,だから！出演者はそういうこと言わなくていいんですって！
雪美,では……ルール説明を……
ありす,先にゲストの紹介ですってば！！！前回からなんで台本を読んでくれないんですか！！！
雪美,ありす……みんなが前回を読んでるとは……限らない……
ありす,うるさいな！
雪美,的場梨沙さん……
的場梨沙,なんで開始からあんたらの漫才見なきゃいけないのよ
ありす,漫才じゃありません！……えっと、佐々木千枝さん
佐々木千枝,はいっ
ありす,横山千佳さん
横山千佳,はーい！
雪美,カニ
ありす,カニ！？
柳瀬美由紀,かにだよ！
ありす,美由紀さんでしょう！？
雪美,以上……3人と1匹のエビで……お送りします……
ありす,エビ！？
美由紀,かにだよーっ！
千佳,かになの！？
梨沙,ヒトでしょ！？
雪美,ヒト……！？
ありす,なんで驚いてるんですか！？
千枝,え、えっと……？
梨沙,ホラ千枝困ってるじゃない！
雪美,リピート……
千佳,あふたー！
美由紀,みー！
3人,カニ
千枝,カニ
梨沙,テンポよく洗脳するな！！！
雪美,早速……ルール説明……
梨沙,今のゴチャゴチャへのフォローはないの！？
ありす,禁止ワードにしましょうか、カニ
美由紀,タラバガニだよ！
ありす,だ、濁点で切り抜けてきた……！？
梨沙,さっさと説明に入りなさいよ！
雪美,面倒だから……省略……前回の読んで……
千枝,さっきみんなが前回を読んでるとは限らないって言ってませんでした……？
千佳,お金を出すんだよね！
ありす,なんだか誤解を招きそうではありますが……
千枝,プレゼンターの方が、〇〇してやるからおとなしく金を出せって言ってくださるんですよねっ？
ありす,千枝さん？
雪美,みんな……10000円まで……出せる……
美由紀,10000円で何かを買うのー？
ありす,カニは買わないですからね
千佳,ありすちゃん、いきなりどうしたんだろ……？
美由紀,カニ……？
雪美,ありす……疲れてる……？
ありす,あああああもう！！！！！
梨沙,不憫すぎるでしょあのポジション
ありす,もう手に負えません！ゲストを呼びましょう！
梨沙,それがいいわね
雪美,では……どうぞ……！
堀裕子,こんにちはっ！サイキック・ゲストのユッコです！
ありす,はあぁぁぁ～……
裕子,ええ！？
梨沙,残念だったわね、ありす、マトモなゲストじゃなくて
裕子,ひどいっ！？
ありす,で、何をしてくれるんですか？10000円のスプーンでも曲げます？
裕子,ありすちゃん、そんな投げやりなキャラでしたっけ！？
千佳,ユッコちゃんだー！今日はどんなさいきっくを見せてくれるのー？
裕子,ふふふ……ではまず手始めにですね、このス
千佳,やっぱりスプーン曲げー？
裕子,う！ば、バレてしまったのならしかたな
千枝,千佳ちゃん！裕子さんはそんないつも通りのサイキックを、わざわざテレビでやるような人じゃないと思うよ？
千佳,た、確かにー！
裕子,え？
千枝,きっと、千枝たちが知らない、とっておきのすごいサイキックを披露してくれるんじゃないかな！
千佳,ええー！？そんなすごいサイキックを！？
裕子,え？えええ！？
梨沙,……マズいでしょ、あれ
ありす,私と梨沙さんをチラチラ見てますね
裕子,え、ええっと……！
梨沙,……もうちょっと見てましょうか
ありす,そうですね
裕子,ちょっと！？。あ！み、美由紀ちゃんは、どんなサイキックが見たいですかっ！
美由紀,えっとねー！日本の漁獲量を
裕子,サイキック人選ミス！！！！！ゆ、雪美ちゃんは！
雪美,ペロに……日本語を教えてほし
裕子,はい！プレゼンに入りますよぉ！！！時間がないというテレパシーを受信したので、サイキック巻きで！！！
ありす,けっこう時間には余裕がありますが、黙っておきましょう……
千枝,サイキックは収録後に見せてくれるんですよねっ
裕子,はうっ！
梨沙,そこらへんにしといてあげなさい
ありす,では、プレゼンをお願いします
裕子,はい！私のサイキックプレゼンは～！こちら！
ありす,は？
梨沙,は？
