原田美世,幸子ちゃんの髪型ってさ
輿水幸子,はい
美世,自転車のハンドルみたいだよね
幸子,もしかしなくてもこの横にはねてる所だけ見て言ってますよね！？
美世,ということで幸子ちゃん型自転車を作ったよ！
幸子,人の話を聞いて下さい！というか何ですかボク型自転車って！？
美世,お披露目の前に開発スタッフの紹介！
幸子,あっこれ完全に自分のペースで行くつもりですね
荒木比奈,どうも、デザイン担当の荒木比奈でス
池袋晶葉,システム面担当の池袋晶葉だ
幸子,え、それなりに気合入ってるプロジェクトなんですかこれ
比奈,ちなみに自転車は美世ちゃんの提供でス
美世,提供しました
晶葉,いつまでも見慣れた顔を突き合わせていても仕方ないな。幸子型自転車のお披露目といこう
美世,じゃーん！幸子ちゃん型自転車、その名もマシーン・サチーコー！
サチーコー,
幸子,うわっハンドルの所がボクの顔に！
比奈,いやぁ、幸子ちゃんのカワイさを出すのには苦労しましたよ
幸子,いやこれ結構クオリティ高いですよ。現在進行形で見慣れた顔を突き合わせてます
美世,それだけじゃないよ。幸子ちゃん、サチーコーを横から見てみて
幸子,まだ何か……なんで車体がボクの身体を模してるんですか！？
晶葉,そう、それこそがマシーン・サチーコー最大の秘密……電人サチーコー、ゴー！
サチーコー,
幸子,なんですか、なんで自転車から機械音がするんですか！？
晶葉,フフフ、黙って見ているといい
幸子,こ、これは……！
美世,これがマシーン・サチーコーのもう一つの姿、電人サチーコーだよ！
電人サチーコー,フフーン！
幸子,電人サチーコー……
比奈,違和感のない人型にするのも苦労したんスよねぇ
幸子,確かにどこから見ても人間ですけどボクの頭にシュワルツェネッガー体型は合わないと思わなかったんですか！？
晶葉,でも強いぞ
幸子,強さは関係ないです！
美世,マシーン・サチーコーに戻したいときはチェンジ！マシーン・サチーコー！と叫ぼう！
電人サチーコー,
比奈,電人サチーコー、ゴーッ！
サチーコー,
晶葉,変形中に逆のコマンドを入れるんじゃない！壊れたらどうするんだ！
幸子,そのあたりは繊細なんですね
電人サチーコー,フフーン！
幸子,……で、これどうするんですか？事務所に飾るにしても結構場所取りますよ
美世,え、これは幸子ちゃんにプレゼントするんだよ？
幸子,そうなんですか？わざわざボクの為に……
比奈,面白そうだったので
晶葉,変形ロボが作りたかった
幸子,薄々そうだとは思ってましたけど！
電人サチーコー,フフーン！
幸子,便乗しなくていいですから！。というかこの……サチーコーって自律行動できるんですね
晶葉,ああ。AIは泉に作ってもらった
幸子,とことん本気なんですね
比奈,動作の監修は光ちゃんなんでその辺りも本気っスよ
幸子,どの辺りなんですか……
美世,そういえばPさん、マシーン・サチーコーをグッズ化しようかって言ってたね
幸子,なんでボクより先にPさんに見せてるんですか！？
比奈,でも幸子のカワイさがよく再現できてるって言ってましたよ
電人サチーコー,フフーン！
幸子,そのカワイさはボクのカワイさあってこそですからね！。まあ……体格はともかくカワイイのは確かですからね。なにせ顔はボクそのままですから！
電人サチーコー,フフーン！
幸子,行きましょうサチーコー！今日からはボクとあなたでダブルカワイイですよ！
電人サチーコー,フフーン！
幸子,皆さんもありがとうございます！ではこれで失礼しますね！チェンジ、マシーン・サチーコー！
美世,喜んでもらえたようでなによりだねっ！
晶葉,さて、次は何を作ろう
比奈,乃々ちゃんモチーフでジャイアントノノとかどうっスか？
晶葉,いいな、早速取りかかろう
