伊吹翼,以下、翼
ミリP,以下、P
翼,あっ、プロデューサーさんだ！おはようございま～す♪
P,挨拶がてらに抱きつくなよ……
翼,むぅ、つまんなーい……あっ、ひょっとして照れてるとか！？
P,て、照れてない！ほら、離れろって！
翼,えーっ……
P,そ、そこまでガックリされてもだな
翼,だってぇ……も～！小鳥さんからも何か言ってくださいよー
音無小鳥,以下、小鳥
翼,……小鳥さん？
小鳥,あっ、ゴメンね。何かしら？
翼,小鳥さん、怖い顔して何やってるんですか～？
小鳥,……データが消えちゃったから、作り直してるのよ
P,普段から保存してないからじゃないですか
小鳥,あぅ……
翼,うわぁ、大変そ～……プロデューサーさん、手伝ってあげないんですか？
P,元々の書類内容が分からないからなぁ……音無さんが作った奴だし
翼,へぇ、そうなんだ～……。あっ、そうだ！そういう事なら、わたし達のレッスン見に来てくださいよ～！
P,そういう訳にもいかないって、音無さんのフォローしなきゃいけないし
翼,……ダメぇ？
Ｐ,ダメ
翼,あぅ……もー、イジワルぅ
Ｐ,まったく……分かったよ、レッスン頑張ったらご褒美やるから
翼,えっ、ホントっ！？
Ｐ,ああ、俺に出来る範囲でなら叶えてやるぞ
翼,やった～！そういう事なら、張り切っちゃおーっと！
Ｐ,良いぞ、その意気だ！
翼,それじゃ、行ってきま～す！
小鳥,……いってらっしゃい
翼,未来、静香ちゃんおはよ～！
春日未来,以下、未来
最上静香,以下、静香
翼,え～？でも、まだレッスンの時間じゃないでしょ？
静香,そ、それは……そうだけど
トレーナー,伊吹さん、おはよう
翼,おはよ～ございま～す！
トレーナー,それじゃ皆揃った事だし、発声練習から始めるわねー
翼,…………
トレーナー,それじゃ、いったん休憩ねー
翼,うー……つまんない～！
静香,もう翼、文句言わないの！
翼,だってぇ、発声練習ばっかりなんだもん！。わたし、もっと歌いたいよ～！
静香,仕方ないでしょ……こういう事の積み重ねが大事なのよ？
翼,むぅ、そう言われてもー……ねぇ、未来はどう思う～？
未来,…………
翼,未来、なんでスマホと睨めっこしてるの？
未来,あっ、見ないでよ翼！
翼,残念、もう見ちゃったもんね～……。あれ？これって、プロデューサーさん？カーワイー！
静香,プロデューサーが机で居眠りしてる……写真？
翼,良いな～！いつ撮ったの？
未来,こ、この前たまたま……えへへ
翼,そういえば、この前抱き枕にして貰ったんでしょ？。ねぇねぇ、どんな感じだった？
未来,ど、どんな感じって……その。優しくぎゅってしてくれて……頭も撫でてくれて
翼,ふむふむ……
未来,それでそれで！私の事妹みたいーって……！でへへ～♪
翼,うわぁ、良いなぁ～……。……そうだ！レッスン頑張ったご褒美に、わたしも抱き枕にしてもらおーっと！
静香,ええっ！？だ、ダメよ翼！そういう事、むやみやたらに……
翼,もう決めちゃったもんね～♪
静香,そ、そんな簡単に……！
トレーナー,みんなー？そろそろレッスン再開するわよー？
翼,はーい！それじゃ、抱き枕目指して頑張りまーす！
トレーナー,……！？
小鳥,うう、ようやく終わった……
P,お疲れ様でした、それじゃ次の書類お願いしますね
小鳥,プロデューサーさんが冷たい……ちょっとは労わってくださいよぅ
P,だから、データをこまめに保存する習慣をつけてくださいよ。いい加減リカバリー効かなくなりますよ？
小鳥,うう、正論だから何も言えない……
P,音無さんがやる分の書類は大体こっちで終わらせておいたので、後はお願いしますね
小鳥,はい、了解です……ふぅ
P,……とりあえず休憩します？これ、お茶です
小鳥,そうさせてください……。生き返る……数少ない癒しだわ
P,癒しって、大げさな……
小鳥,プロデューサーさんは良いですよねー……女の子と寝られて。私だって、女の子を抱きしめて活力を貰いたいのに……
P,……言い方に悪意を感じるんですけど
小鳥,事実じゃないですかー……どうせ、次は翼ちゃんの事も抱き枕にするんでしょ！
P,いや、そんな事は……
小鳥,あー、どこかに私を抱きしめて癒してくれる王子様とかいないかしらー……
P,…………
小鳥,……プロデューサーさん？
P,そういえば。俺ひょっとして――。――翼に抱きつかれる事はあっても、抱きついた事ないんじゃないか？
翼,でも、抱き枕になるってどうすれば良いんだろ……。誰かに聞いてみよっかな～
星井美希,以下、美希
翼,美希先輩……そうだ！
美希,もぅはにぃったら……もっとぎゅってしてくれても良いんだよ？
翼,美希先輩～！起きてください～！
美希,んむぅ……もー、何？ミキ、ハニーとイチャついてたかったのにぃ
翼,美希先輩、お願いがあるんです！
美希,翼？なあに？
翼,プロデューサーさんの抱き枕になるコツ、教えて欲しいんです！
美希,そんなの、ミキが教えて欲しいの。ミキだって、ハニーの抱き枕になりたいのに……
翼,でも、美希先輩。さっき、夢の中で抱き枕になってましたよ？
美希,ふふん。イメージトレーニングはバッチリ、なの！
翼,抱き枕になるイメージ……どういう感じなんですか？
