島村卯月,奈緒ちゃん、いくらなんでもちょっと言いすぎなんじゃないかな
北条加蓮,ちょっとからかわれたからってそこまで怒ることないじゃん
本田未央,そこまで言ったらしぶりんが可哀想だよ
神谷奈緒,しぶりんだぁ？ふざけんなよ、どう見てもそいつは――
奈緒,ゴブリンじゃねぇか！
ゴブリン,ねえ奈緒、さっきからちょっとおかしいゴブよ。疲れてるなら仮眠室で休んできたら？
奈緒,ほらおかしいゴブよとか言ってるし！
加蓮,凛がゴブゴブ言ってるのはいつもの事じゃん
奈緒,そんな変な喋り方のシンデレラガールがいるか！
神崎蘭子,えっ
奈緒,あっ
蘭子,哀しみのラプソディ
奈緒,違う、誤解だ！待ってくれ！。はぁ、はぁ、なんとか誤解は解けた……
加蓮,今日の奈緒、ホントにおかしいよ？三人いるシンデレラガールの内二人に喧嘩売るなんて
ゴブリン,嫉妬もそこまで来ると見苦しいゴブよ
奈緒,うるせぇ！
卯月,もしかして歴代のシンデレラガール全員を相手取るつもりじゃ……
奈緒,取らねぇよ！
十時愛梨,……
愛梨,えっ
奈緒,あんたもなんで期待してるんだよ！。百歩譲って凛がそんな見た目だったとしよう。それでもお前が凛だって証拠がない限りあたしはお前を凛だとは認めないからな！
加蓮,そんな滅茶苦茶な……
ゴブリン,証拠を見せればいいんだね
卯月,あ、お花だ……
ゴブリン,地底コスモスゴブよ。花言葉は死霊の盆踊り
未央,ほら花言葉まで！やっぱりしぶりんに違いないよ！
奈緒,ああ、確かにそうだな。疑って悪かったよ……
ゴブリン,奈緒……
奈緒,とでも言うと思ったか！
ゴブリン,うわあっ！。強化の餌にされる！強化の餌にされる！
奈緒,うちのはレッスンだァ！
ゴブリン,ぐわああああああ！
未央,見事なコブラツイストだ！
卯月,奈緒ちゃん！。私たちはアイドルなんだよ！？プロレスラーじゃないの！
奈緒,世界でいちばん強くなりたい！
卯月,まだそういうことを言う！
ゴブリン,なんだかんだ言って奈緒もまだ子供ゴブね
奈緒,お前はあたしより年下の人間に成りすましてるんだから徹底しろ！
ゴブリン,私魔界歴52年生まれだけど？
奈緒,せめて平成か西暦で答えろォ！
卯月,静まりなさい！
加蓮,どうどうどう
奈緒,はーっ、はーっ……
ゴブリン,ねえ奈緒。私たち三人、仲間でしょ？
奈緒,お前……
ゴブリン,同じ事務所の……そして、トライアゴブリンムスのね
奈緒,すまん、もう一回言ってくれ
ゴブリン,トライアゴブリンムスの――
奈緒,さりげなくゴブリンを混ぜるな！
ゴブリン,うわあっ！。売却される！売却される！
奈緒,うちのは移籍だァ！
ゴブリン,ぐわああああああ！
未央,見事なキャメルクラッチだ！
卯月,またそういうことをする！
渋谷凛,どうしたのみんな、外まで騒ぎ声が聞こえて……
奈緒,まだ言い張るか！
ゴブリン,ぐおぉ……！
凛,ちょっと待って何事なの
未央,どうする？本物来ちゃったよ？
加蓮,それは……
未央,……
卯月,……
加蓮,凛が二人……！？
卯月,もしかして凛ちゃん、双子だったの！？
凛,ちょっと二人とも、何言ってるの？
未央,ほら、あの子なんだけど……
凛,……うん？
ゴブリン,……死ぬかと思ったゴブ
凛,……は？。はァ！？
奈緒,まあそうなるわな
凛,……
ゴブリン,……な、何ゴブか？
凛,ふーん、アンタが渋谷凛？
ゴブリン,……そうゴブよ
凛,まあ、悪くない……。わけない！
ゴブリン,ぐはぁ！？。ちくしょう、覚えてろゴブ！
凛,もう来るな！
奈緒,やれやれ、これで一段落ついたな
凛,で、そこの三人
卯月,はい
未央,はい
加蓮,はい
奈緒,ついてなかった
凛,あれが私
卯月,……
未央,……
加蓮,……
凛,あのちっちゃい……えっと、なんか、鼻の大きい変な色の……
奈緒,ゴブリンな
凛,そう、ゴブリン
加蓮,ふふっ
卯月,あっ
凛,加蓮
加蓮,はい
凛,渋谷凛
加蓮,……
凛,しぶりん
加蓮,……っ
凛,ゴブリン
加蓮,……っ
凛,ゴブ谷リン
加蓮,……ふふっ
未央,あっ
凛,私は蒼いピカピカが好きゴブ
加蓮,あはははははは！
奈緒,やめろ凛、見てて悲しくなってきた
凛,うん、そろそろやめとくゴブ
奈緒,えっ
凛,あっ。どうしよう、治らないゴブ！
加蓮,あははははははは！
奈緒,ああもうゴブゴブ言ってるから！
未央,もうこれ収拾つきそうにないね
卯月,そうだね
