今日もね、朝、事務所に,やっべーちょっと遅れちゃった☆テッヒ☆
扉の前に律子さんですよ,あっれ？鍵、アタシだけー？
そこでね、,んもー！小鳥さん！？
でそんな仁王・THE・律子の前で背中に,鋭利な刃物なの？
んで、なんとか鍵開けてね、扉開けて,ささ、どぞー
すれ違う瞬間に,マリアナなの？
まぁ、私としては,スリープモードにしときゃいいんじゃない？情弱乙ッスー！
律子さんの,節電
そしたら、次はお掃除、この時ねやよいちゃん辺りが居ると,手伝いますぅ！
大きな音に律子さんが,大丈夫～春香～
んで、パタタと音を立て[これもまた可愛あざとい]近づいてきた春香ちゃんが,私、手伝いますよ！
と言う言葉を飲み込んで,ううん、大丈夫よ春香ちゃん、まずは自分のお仕事の確認ね？
とか言う私は、神話の時代だったら,あれ？小鳥やさしいじゃん、天使とか、やってみる？
口半開きで,んあー
とか考えてたら,ピヨ子？涎たれてるぞ？
あまりの可愛さに頭をナデナデしたら,うがー！朝セットしたのにぃー！！
とか思ってたらデスクの方から,小鳥さ～ん
さっきまで,地獄でも最下層クラスの鬼やらしてもらってますよ！
なんて妄想してたらプロデューサーさんが,大丈夫ですか
とか言われたので慌てて,おほほほほ
ここいらで,じゃ、スパイダーソリティアでもいっちょかましましょうか
ここで私は、,おはよう千早ちゃん
肩で息してるんで,何か急用でもありましたか？
千早ちゃんが一緒に来てくれたら,ここは私が経費で
ちょうど,はっはっは
お昼になった時から,鯖の味噌煮定食、味噌汁は豚汁にランクアップだな☆
とか薦めてくれるんですが,十割そば、わさび乗っけてずぞっと…
とか思ってたら出てきましたよ、暢気な顔して,それではまた！
そういえばネウロに吐血しながら６って書く人いたけど、私もがんばれば,まこゆき
あ,ゆきまこ
もうね、,この場の空気
もう、さっきから,深く～息を吸って～大きく、深呼吸～
