神谷奈緒,はよーっす
P,ああ、奈緒か、おはようさん
奈緒,お、プロデューサーさんだけ？何読んでんの？
P,んー？これ
奈緒,あ！そのマンガ新刊出てたんだっけ！それ面白いよなー。あたしも買わなきゃ
P,次、読むか？
奈緒,いいの？じゃあ読み終わったら教えてよ
P,わかった。それまで適当にヒマを潰しててくれ
奈緒,おっけ
P,早めに読むよ
奈緒,いいよいいよ、気にしないでさ
P,おー……おっ、え、は？いやいやお前それは……えマジ？そこで？お前くるの？え？
奈緒,……やっぱ早めに読み終わってよ。気になってしょうがない
P,そこでその技かー！！！
奈緒,黙って読んでくれない？
P,いや、悪い悪い、急展開でな
奈緒,あたし耳塞いでようかな……
P,悪かったって
北条加蓮,……
奈緒,お、加蓮！お疲れ。聞いてくれよ、プロデューサーさんが酷くてさー
加蓮,……
奈緒,……加蓮？どうした？
加蓮,プロデューサー……
P,加蓮……！
奈緒,？
加蓮,誰よ……誰よその女！
P,……
奈緒,……
加蓮,……
P,……
奈緒,いや神谷奈緒だけど
P,加蓮……違うんだ
奈緒,違わないよ。奈緒だよ
P,……関係ないだろ
奈緒,いやあるよ。同じ事務所の仲間だろ
加蓮,質問、聞いてた？誰なのって聞いてるの
奈緒,奈緒だよ
P,それは……ち、違うんだよ……
奈緒,さっきから語彙が壊滅的だなプロデューサーさん
加蓮,今日、仕事って言ってたよね？なんでここにいるの？
奈緒,ここが職場だからだよ
加蓮,しかも女と！
奈緒,それが仕事だからだよ
P,……わかった、場所を移そう
奈緒,ねえ、何なんだこれ？
加蓮,誤魔化さないで質問に答えてよ！
奈緒,あたしの質問にも答えろよ
P,こ、こいつはただの知り合いだ
奈緒,別にいいけどちょっと今傷ついたぞあたし
加蓮,へー、ただの知り合いね……部屋に呼んでおいて？
奈緒,ここは部屋じゃない、事務所だ。わかるか？
P,……
奈緒,いや否定してくれ
加蓮,その上で見せつけるようにイチャイチャとねぇ
奈緒,イチャイチャしてたか？完全に一人でマンガ読んでたぞ？
P,……関係ないだろ
奈緒,”関係ないだろ”と”違うんだよ”以外にセリフないのかよ
加蓮,”関係ないだろ”と”違うんだよ”以外に言えないの？
奈緒,うっわ期せずして修羅場の片棒を担いじまった
加蓮,もういい
P,か、加蓮……
加蓮,私、帰る。そちらのカ・ノ・ジ・ョさんにもよろしくね
奈緒,ばっ……！か、カノジョとかじゃねえし！！！
加蓮,それじゃ
P,ま、待ってくれ！
奈緒,お、おい！どこに……！。……行っちゃった。なんなんだ全く……
佐久間まゆ,……
奈緒,おわぁ！？ま、まゆ……いつの間に……！？
まゆ,……
奈緒,……
まゆ,……
奈緒,……
まゆ,……この泥棒猫っ
奈緒,なんなの！？。結局さっきのは何だったんだ……。プロデュサーさん、どこ行ったんだろ……レッスン見てもらう予定だったから、レッスン室行けばいるかな……。とりあえず行くか……
P,おお、奈緒、遅かったな
奈緒,普通にいるのかよ……
P,何してるんだ？レッスン室借りれる時間も限られてるし、さっさと始めるぞ
奈緒,何してるんだってこっちのセリフなんだけど……まあいいか
P,とりあえず次のライブのセットリスト順に……
小日向美穂,……
奈緒,あれ、美穂？どうした？もしかしてレッスン被ってたり……
美穂,……
奈緒,……美穂？
美穂,プロデューサーさん……
P,美穂……
奈緒,え、待って、また？
美穂,その人……誰なんですか……！
P,……
奈緒,……
美穂,……
P,……
奈緒,いや神谷奈緒だけど
P,美穂……違うんだ
奈緒,違わないよ。奈緒だよ。こんな短時間に2回も自己紹介することある？
美穂,私という存在がいながら……ひどいです
奈緒,そうだよな。説明なしにノリを進めるのと同じくらい酷いよな
美穂,今日は仕事だって……
奈緒,そこの認識は共通してるんだな。まあここにいる以上は仕事で合ってるんだけど
P,……嘘をついていたことは謝る
奈緒,ついてないだろ謝るなよ
美穂,私とは……遊びだったんですか……？
奈緒,無駄だよこの人マトモな語彙ないし誤魔化すだけだから
P,遊びだ
奈緒,クズじゃねえか急にはっきりするな
美穂,ひどい……一緒によく”ゼクシィの特集が凝ってるね”って話をした仲なのに……！
奈緒,ああ〜〜微妙〜〜確かにそれはちょっと何もないのムカつくというか当確ランプ灯ってる気もするけど〜！
P,すまない……俺はこいつと幸せになりたいんだ……
奈緒,目の前で友達を”遊びだ”って切り捨てたヤツと幸せになれと？
美穂,ひどい……
奈緒,美穂の語彙力はたいがい”ひどい”に集約されていくんだな
P,見守ってくれるか……？
奈緒,くれないだろクズ。いやよくわかんないまま”クズ”とか言っちゃったよごめん
美穂,そっか……幸せになってくださいね……
奈緒,えぇ……？いい娘……
P,じゃあ去れ
奈緒,やっぱクズだろお前が去れよ
美穂,ふたりとも……お似合いだよ
奈緒,ばっ……！お、お似合いなんかじゃねえし！！！
P,美穂！ま、待ってくれ！やっぱりお前がいないとダメだ！！！
奈緒,いや結局追うのかよ最後までクズだな！？。って、また行っちゃった……レッスン……。わけわからん……
まゆ,……
奈緒,おうぁ！？ま、まゆ……いつの間に……！？
まゆ,……
奈緒,……
まゆ,……
奈緒,……
まゆ,……この泥棒猫っ
奈緒,またかよ！？。とりあえず自主練はこれくらいで切り上げるか……。しっかし今日はなんなんだ……ドッキリか？。いや、ただの気まぐれかな。次の予定なんだっけ……。ああ、衣装合わせか、じゃあこのまま衣装室行くかな
P,おお、奈緒。遅かったな
奈緒,そろそろ殴っていいか？
P,次のライブの衣装のコンセプトを決めよう。ある程度は決まってるけど……
奈緒,無視して進めるよな
P,他のアイドルの衣装も参考にしながら……
緒方智絵里,……
奈緒,おいおいおいウソだろ
P,智絵里……
智絵里,……
奈緒,そろそろ趣旨くらい説明しような？な？
智絵里,誰ですか……？その人……
奈緒,ああもう流れ入っちゃったよ
P,……
智絵里,誰なんですかって……聞いてるんです……！
P,……
奈緒,……
智絵里,ねえっ……！奈緒ちゃん！
奈緒,えっあたし！？！？！？。ごめん待って混乱してきた
智絵里,わたしがいるのに……その男は誰……？
奈緒,あたしは智絵里がいるのに男に浮気したってこと？ちょっと状況がピーキーすぎないか？
P,アタシはその娘の友達だけど……問題あるかしら？
奈緒,いや問題だらけだよオネエ口調になるな
智絵里,わ、わたしは奈緒ちゃんに聞いてるんです……！誰なんですか……！
奈緒,一応言っとくけど、あたしたちのプロデューサーだよ
P,あら、自分のことくらい自分で答えられるわよ？あなたこそ誰なの？
奈緒,一応言っとくけど、あんたが手塩にかけて育ててきた緒方智絵里だよ
智絵里,わたしと奈緒ちゃんは運命の糸で繋がっているのに……
奈緒,だいぶヤバそうな状況だなこれは
P,あらあら〜
奈緒,一応これ修羅場なんだから緊張感持ってくれ
智絵里,今すぐに消えてっ……！
P,望むところよ！あなたが消えなさい！
奈緒,あたし的にはどっちも消えないでくれると助かるけどなあ
P,外で決着をつけましょう……
智絵里,ま、負けませんっ
奈緒,ナチュラルにあたしは置いてかれるんだな
智絵里,奈緒ちゃん……待っててね
奈緒,智絵里が強くなってくれてあたしは嬉しいよ
P,奈緒チャンはアタシのものよ！
奈緒,ばっ……！そ、そういうのじゃ……ってその口調で言われても照れないからな！！！。あ、もういない……衣装合わせ……。誰か助けてくれ……
まゆ,……
奈緒,わふぁ！？ま、まゆ……いつの間に……！？
まゆ,……
奈緒,……
まゆ,……
奈緒,……
まゆ,……この泥棒猫っ
奈緒,ちゃんと言うのを待ってたあたしを褒めてほしいよ。……よし！もうこの後は何もないし、帰ろう！うん！。このままここにいたら、また絡まれるかもだし……。漫画はまた明日借りよっと
P,おお、奈緒。もう上がりか？
奈緒,げっ
P,”げっ”とは傷つくな……
奈緒,胸に手を当てて考えてみなって
多田李衣菜,あっ！プロデューサーさん！その人誰！？
奈緒,李衣菜はもうあれだよな。友達の家に遊びに行ったら知らない違うクラスの子がいた時の小学生だよな。あとあたしは神谷奈緒だから覚えといてくれ
李衣菜,まあいっか！仲良く平和を訴えるのもロックだよね！
奈緒,修羅場でもなんでもないけどいいのか。コンセプト急に崩れてるけど
P,……ち、違うんだ
奈緒,平和に纏まりそうだったのに何でこじれさせるんだ？
李衣菜,とりあえずご飯でも行かない？ほら！駅前のハンバーガーショップで、奈緒ちゃ……そこの人が好きそうなコラボやってるみたいだし
奈緒,無理すんなって
李衣菜,じゃ、先に行ってるね！
P,お前も早く来いよな！
奈緒,なんで急にノリが小学生なの？さっきまでオネエだったよな？。ってか足速いなさっきからみんな！。まあいいか……行こう……
？？,……
奈緒,んっ！またまゆか！
前川みく,……
奈緒,ってみく！？
みく,……
奈緒,……
みく,……
奈緒,……
みく,ごめん、奈緒チャンのプリン、食べちゃったにゃ
奈緒,……
みく,……
奈緒,……おう……じゃあ、今度買ってもらおうかな
まゆ,……
奈緒,！
まゆ,……
奈緒,……
みく,……
まゆ,……
奈緒,……
まゆ,……これが本当の、泥棒猫。ですねぇ
みく,……
まゆ,……
奈緒,……。……。……。マジでなんなんだ！！！
