島村卯月,ん～……。普段見慣れないものって目を引くね
城ヶ崎美嘉,ねー。今日の凛は一段と弾けてたわ
卯月,格好もだけど、ほとんど何言ってるか分からなかったよ。パジャマで挨拶したら惚れるだっけ？
美嘉,そのままの意味でしょ？プロデューサーはパジャマフェチ。まぁ、凛曰くだけど
卯月,あのプロデューサーさんが……そうは思えないんだけどなぁ。現にパジャマで事務所に来た凛ちゃんを説教してたし
美嘉,それは、そんな恰好で外を出歩いたから怒って……怒って？あ！そうだ。卯月、ごめん！アタシ、用が出来たんだった！もう行くねっ
卯月,用が出来た？
美嘉,明日の為に一応カワイイパジャマを……って、何でもない！気にしないで！卯月は深く考えちゃ駄目！イイ！？じゃ、そういう事だから、またねっ！
卯月,それ気にしてって言ってるようなもんだよっ！！……行っちゃった
松本沙理奈,おつー
水木聖來,おつかれー
卯月,お疲れ様ですっ
沙理奈,ね、ね！美嘉ちゃんがすごいダッシュかましてたんだけど、なんかあったの？
卯月,あぁ……私は深く考えちゃ駄目みたいです。たぶんろくでもない事ですよ。抜け駆け的な
聖來,おぉ……卯月ちゃんがダークだ
沙理奈,ていうか、抜け駆け？
卯月,あ……いや、その……
沙理奈,……はは～ん。どーやら、卯月ちゃんと美嘉ちゃん、アタシと聖來みたいな関係だなぁ？
聖來,……どういう事
沙理奈,同じ男を堕とそうとしてるライバルって事！
聖來,ちょっ！？
卯月,え！？お二人も！？
聖來,ち、ちがっ……！沙理奈っ！よりにもよって卯月ちゃんに言うなんてっ！
沙理奈,別にいいじゃん。ていうか、卯月ちゃん？その反応はビンゴだね？
卯月,あぁ！！美嘉ちゃんごめん……
聖來,……え！？ごめんって……まさか隠してたの！？
卯月,は、はい。いつボロが出るか分からないので……みんなの前では慎もうって
聖來,あ、あんな好意剥き出しの振る舞いで……
沙理奈,何？どうしたの？
聖來,いや……無意識って怖いなって……
沙理奈,うん……？にしても、卯月ちゃんもか……。よしっ！アタシ達はアイドルでありながら一人の女の子として恋をしてしまった謂わば同志っ！ここは協力させてくれない？
卯月,……協力ですか？
沙理奈,そーそー。相手は誰とかは聞かないからさ。ね？聖來
聖來,……うん。聞かなくても分かるっていうか……沙理奈、自分の首絞めてるよ……
沙理奈,え？なに？さっきからよく聞こえないって。アタシを彼みたいな突発性難聴病にしないでよ
聖來,そういう病気ホントにあるんだから軽々しく言っちゃ駄目だよ。それに彼は沙理奈の言う事本気にしてないだけでちゃんと聞いてるでしょ
沙理奈,え～？だって、束縛してあげよっか？それとも、束縛したい？って聞いたら、え？なんだって？って言われたし
聖來,……それ軽く馬鹿にされてると思うな
沙理奈,はぁ！？あの野郎っ！！
卯月,あ、あの……
沙理奈,おっと、ごめん。卯月ちゃんを愛され女子にしなきゃだね
聖來,……もう十分愛され女子だよ
沙理奈,やる気の無いなー。卯月ちゃんを応援したくないの？
聖來,いや、そうじゃなくて……。あーもう！馬鹿沙理奈！
沙理奈,な、なによ
聖來,……アタシ達二人共が卯月ちゃんを贔屓すると美嘉ちゃんが可哀想でしょ。だからアタシはノータッチでっ！ゴメンね、卯月ちゃん。別に嫌ってる訳じゃないからね
卯月,はい！聖來さんは優しいですね。そんな聖來さんが大好きですっ
聖來,うっ……心にクルなぁ……
沙理奈,んじゃ、始めよっか。美嘉ちゃんが抜け駆けって言ってたけど、何か心当たりあるの？
卯月,カワイイパジャマとか言ってたから、それで何かするのかと……
沙理奈,パジャマ？なんでまた
卯月,その……好きな人がパジャマフェチみたいで……。今日、凛ちゃんがその人にパジャマ姿を……ぁ
沙理奈,え？何？凛ちゃんも狙ってるの？凄いね、その人。アイドルを引き寄せるフェロモンでも出してるんじゃない？
卯月,あぅ～……またやっちゃった……。内密にお願いします……
沙理奈,ははっ！オケオケっ！言わないよ
