――東京都内、橘宅,玄関
ありす,いってきます
ゆっこ,おはようございます、ありすちゃん！
ありす,おはようございます。昨日はどこに行ってたんですか？
ゆっこ,ちょっと文香さんのお家にお邪魔してました。いやー、たまには他の場所でお泊りするのも楽しいですからね！
ありす,図々しい妖精ですね
ゆっこ,ま、さすらいの妖精ですから
ありす,まったく……あまり文香さんを困らせないでくださいね
ゆっこ,わかってますって。魔法少女のありすちゃんのお家にいないと、いざというときに困りますからね！
ありす,おはようございます。文香さん
文香,おはようございます……今日は、体育の授業が、あるんですか？
ありす,あ、この体操着ですか？はい、午後に跳び箱の授業があって
ゆっこ,おはようございます！文香さんは、今日は事務所ですか？
文香,おはようございます……午前の講義を受けた後に、午後から、ボーカルトレーニングが……
ゆっこ,そういえば昨日頂いた筑前煮、とても美味しかったです！まだ残ってますか？
文香,昨夜のなら、余ったものが冷蔵庫に……
ゆっこ,それじゃありすちゃんを学校に送った後でごちそうになります！
ありす,あなた……それは図々しいにも程があると思いますが……
ゆっこ,いやぁ、この世界のご飯は美味しいですねぇ……妖精の舌にもバッチリです
ありす,私も学校が終わったら事務所に行きますので、夕方は一緒に帰りませんか？
文香,はい……待ってます
ありす,それじゃあ、行ってきます。何を言っているんですか。ここはイチゴパスタを作る以外に有り得ません。聞き捨てなりませんね。イチゴパスタはここ最近、ナウなヤングにバカウケの料理なんですよ。……
ゆっこ,もー、そんなあからさまに膨れっ面にならなくてもいいじゃないですか
ありす,なってません
ゆっこ,いいじゃないですかイチゴサンドで。お腹に入ればみんな一緒です
ありす,ユッコさんと無駄に念話を続けていたおかげで、私が話を聞いていないうちにイチゴサンドに決まったのがいけないんです
ゆっこ,はぁ……いいじゃないですか。事務所に行くんですし、切り替えていきましょう
ありす,まったく……まあ、これから事務所に行ったらお仕事の打ち合わせがあります。終わったことをいつまで言っても仕方がありません
ゆっこ,そうですよ！ここはビシッと気持ちを――。んっ！？
ありす,今のは……！
ゆっこ,この感覚は……魔物です、ありすちゃん！
ありす,はい……場所は……
ゆっこ,ペンデュラムが魔力の発生地点を割り出します……こっちです！
ありす,はいっ！
――大田区,大通り
ありす,はぁっ、はぁ……すみません、疲れました
ゆっこ,おかしいですねぇ……こんなに走るなんて。これだけ離れた場所の反応で、ペンデュラムがこんなに激しく動くなんて……
ありす,ここは……オフィス街まで来てしまいましたね。えっと、あっちからこの大きなオフィスビルまで走ってきたので……
ゆっこ,ぶわっくしょいっ！うう……春先だからか、吹いている風が少し冷たいですね。さむい……
ありす,またこの感覚……！それに、何だか体が少し重いような……
ゆっこ,近いですよ！あっ、あそこです！
魔物,ぴにゃ？
ありす,あれは、ホテルの壁に張り付いて……って、なんであのフォルムでビルの壁に張り付いていられるんでしょうか。というか、周りを歩いている人たちの動きが止まっていますけど……
