アニメのかばん的な子,う、うわあああああ！！！！食べるなああああああ！！！！
アニメのサーバル的なフレンズ,誰が食うねんアホ！！！！
杏,へへへへ。！？
モバP,くそったれの扉め！消えろ！。消えろ！！。消えろ！。消えろってんだよ！
杏,うるさい！！！！。何やってんだ！
モバP,魔法じゃねぇ、詐欺さ。
杏,物理だろ！！！！。ていうかなんで玄関のドアを殴るんだよ。インターホンがあるでしょ！
モバP,いや居留守使うでしょ君
杏,いやいやいやいや！。迷惑でしょ！。ていうかなんで来たんだ！
モバP,それはだな…
りあむ,Pサマ！ぼくをすこれよ！！！！
モバP,いいよ
りあむ,イヤアアアアアア！！！！
モバP,…あっ、りあむがすこれって言うから目の前でしこった話は関係なかったわ。
杏,関係ない以前に最悪でしょうが！
モバP,大丈夫大丈夫、ちゃんと薬用石鹸ミューズで手を洗ったから、紳士的に。
杏,そういう問題じゃない！！！！。カス！！！！
モバP,きらりが風邪ひいた。
杏,えぇ！
モバP,それでも杏の家に遊びに行きたがってたからな、代わりに来た。
杏,そ、そうか…
モバP,まあそういうことだ。あがるぞ。
杏,あっ
モバP,ゲ！！！！。何これ！！！！。めっちゃかたづいてる！
杏,ふふふ…昨日まゆにかたづけてもらったのさ。
モバP,はぁ！？何やらせてんだよ！？！？
杏,いやぁ～たまたま、まゆとあってさぁ～
モバP,お前ん家は汚いのがデフォルトだろ！？。いつも散らかしとけよ！。カス！！！！
杏,は？。ひどいな、私だって散らかるのは嫌なんだよ。いつもはあれだ…やる気がないだけでさ…。やろーかなーってときにきらりや響子ちゃんが来てさ、いや申し訳ないよね～。…さっきから何してんの？
モバP,え？決まってんだろ。金目の物を漁ってるんだよ！！！！
杏,やめろ！！！！
モバP,いやだってやることないし…
杏,やることないからで金目のもの漁るやつ初めて見たよ…しかも本人の前で。
モバP,てへ、俺の一族そんな感じだからっ
杏,そんな一族滅びろ！！そして早く帰れ！
モバP,ああっ！！！！
杏,今度は何！？
モバP,お前今日仕事だったわ！
杏,今更！？。いや、すんごい疲れたから今日は
モバP,言わせねぇよ！
杏,えっちょ
モバP,急げぇぇぇ！！！！
杏,離せ！
モバP,諦めろ！
杏,いやなんでキン肉バスターの持ち方なんだよ！！！！。カス！！！！
モバP,ちひろぉ！
ちひろ,うおああ！腐れ外道が来た！
モバP,杏連れてきた！
杏,助けてちひろさん！！！！
ちひろ,とりあえず杏ちゃんを下ろしてください。
モバP,悪い悪い、急いでてさ。で、杏の今日の仕事ってなんでしたっけ？
ちひろ,えっ
モバP,えっ
ちひろ,杏ちゃんの仕事…明後日ですよ？
モバP,…。そうだった…
杏,はぁ！？。じゃあ何！？。休みだったのに連れてきたの！？
モバP,…。メンゴ
杏,あっ！逃げた！！！！
ちひろ,杏ちゃん…災難でしたね…
杏,ホントだよ！！！！。カス！！！！
