渋谷凛,とうとう今日、私たちのアニメが始まるんだね
本田未央,この前制作発表されたような気がするのに、早いなぁ
島村卯月,オンエア開始時間はシンデレラにちなんだ深夜24時でしたっけ
北条加蓮,シンデレラにちなまないオンエア開始時間
神谷奈緒,やめろ
加蓮,一部地域を除く
奈緒,やめろォ！
加蓮,うわっ
奈緒,それが東京出身のやることか！
加蓮,あでやかに咲き消えてしまう！あでやかに咲き消えてしまう！
奈緒,持ち歌を使えェ！
加蓮,ぐわああああああ！
未央,見事な逆エビ固めだ！
卯月,奈緒ちゃんストップ！
奈緒,うおおおおおおお！
凛,なにこれ……
加蓮,り、凛！手ぇ出して！
凛,……何？
加蓮,タッチ！
凛,
奈緒,次はお前かァ！
凛,えっ
卯月,凛ちゃん！
奈緒,この苦しみ……この悲しさ、無念さ！東京にいる俗物どもにもわからせる！
凛,ぐわああああああ！
未央,見事な卍固めだ！
凛,なんでだ！
奈緒,ぱぴぷぺぽぱぷぅ！
凛,なんでノった！
奈緒,……本能？
凛,本能
未央,本能なら仕方ないよねぇ
卯月,本能だもんね
凛,まあ、本能なら仕方ない……。わけない！
奈緒,ぐはぁ！？
凛,納得できるか！
加蓮,まあまあ二人とも、喧嘩はその辺にしときなよ
奈緒,元凶が白々しいぞ
加蓮,で、何の話だっけ？
奈緒,おい
未央,私たちのアニメの話だよ
飛鳥,さて今日のキテレツは…おっと、今はワンピースだったね
加蓮,ところでさ、アニメの利点って何なの？
卯月,うーん……動いたり、喋ったり？
凛,でもそれ、私たちが普段やってることだよね
未央,じゃあ趣味：アニメ鑑賞なアニメの大先生、なおなお先生に教えてもらおう！
奈緒,アニメの大先生やめろ
加('ー`)蓮,なおちゃんはアニメの大先生だから……
奈緒,やめろォ！。アニメの利点は……まあ色々あるけど、実際に見た方が早いな
加蓮,説明できないんだ
奈緒,できるし
加蓮,できない
奈緒,いーやできる
加蓮,大先生笑
奈緒,こいつ……。ウオオオオオ！。アニメウオオオオオオオ！。アーニメエエエエエエエエ！！！。めっちゃアニメ！！！。はーっ、はーっ……。ど、どうだ……アニメっぽい躍動感があっただろ……？
凛,……う、うん、奈緒はそのままでもアニメ化できるね
卯月,昔のカートゥーンみたいでした！
未央,あー……うん、凄かったよ。なんと言うか、凄く凄い凄さだったよ、凄いね
奈緒,。
加蓮,あははははははは！
奈緒,もういいし、みんな紙芝居見てろ
未央,ああっ、なおなおがどよんどしてしまった！？
凛,……で、どうするの。どよんどに染まったこの奈緒を？
加蓮,慰める奴はもういない
凛,いや、ちょっとは慰めなよ……
奈緒,鳥獣戯画でもいい。壁画とか象形文字
未央,ねぇ、これ結構重症じゃない……？
加蓮,私に任せて
卯月,でも、どうするの……？
加蓮,元はと言えば私のせいだから。やれるだけやってみるよ
凛,加蓮……
加蓮,キテレツ大百科
奈緒,。それはうちじゃなくて飛鳥の出身地域だァ！
加蓮,うわあっ！
未央,なおなおが元に戻った！
凛,ふふっ、さすが加蓮だね
卯月,これであとはオンエアを待つだけですね！
加蓮,ねえ、ちょっ、助けっ……
奈緒,そんでもって……誰だ今のォ！
これにて終了です。あけましておめでとうございます。そしてアニメ化で興味を持ったみなさん、これがシンデレラガールズです,大嘘
