白菊ほたる,あのっ！朋さん、智絵里さん！ちょっとご相談が……
藤居朋,？
緒方智絵里,？
朋,どうしたの？そんなにあらたまって
智絵里,お金？
朋,しょっぱなからその発言はどうなの智絵里ちゃん
ほたる,実は……この前、密着取材を受けたんですが……
朋,ああ、あれね……
ほたる,それを見たテレビ局の方が、私のことを何故か気に入ったらしくて……、今度、番組の１コーナーをやらせてもらえることになったんです……
朋,！！！
智絵里,す、すごい……
朋,すごいじゃない！ど、どんなコーナーなの？
ほたる,はい、駅から……今回は○○駅なんですけど、スタートして、その駅から徒歩圏内にある素敵なお店を何件か紹介するという内容なんです
智絵里,わりとありきたりだけど楽しそう！
朋,そのちょっとした言葉のトゲは無くせないのかな智絵里ちゃん。でも、そういうほのぼのとした内容なら、ほたるちゃんにぴったりかもね
智絵里,うんうん
ほたる,ありがとうございます……それで、頼みたいことが……
朋,なになに？下見とか？
智絵里,食レポの練習とかならかな子ちゃんの方が……
ほたる,いえ……あの……お２人に……
朋,うんうん
ほたる,そのコーナーに一緒に出ていただきたくて……！
智絵里,……
朋,……
智絵里,えええ！？
朋,ええ！！！？？？。一緒にって……
智絵里,ええええ！？
朋,あ、あたしなんてテレビほとんど出てないのに！？
ほたる,はい！
智絵里,えええ！？
ほたる,お２人と一緒がいいんです……！
智絵里,えええ！？
朋,ちょっと智絵里ちゃん黙ってて！？
ほたる,スタッフさんが“やりやすいメンバーでいいよ”って言ってくださって。それに、以前の密着取材の時に“仲良しなんです”って名前を挙げた後に、テレビ局に朋さんがどんな娘なのかという問い合わせも来てたらしいので、ちょうどいいから誘ってみたらとも言ってくださったんです
朋,ほたるちゃん……
智絵里,わ、わたしもいいの……？
ほたる,もちろんです！同じ鉢の植木に当たった仲じゃないですか！
朋,そんな同じ釜の飯を食った仲みたいな！？
ほたる,無理にとは言いませんが……
朋,いやいやいや！せっかく誘ってくれたんだから喜んで！それに、これはもっと活躍するチャンスかも！
智絵里,わたしも、力になれるなら協力したいな……
ほたる,ありがとうございますっ……！
朋,ううん！感謝するのはこっちよ！
智絵里,うん！
朋,それにしてもテレビのロケなんて……楽しみ～！
ほたる,あ、茄子さんのお祓いを受けるので、前日から空けておいてくださいね
朋,前言撤回。ちょっと不安
智絵里,ちなみにギャラは
朋,智絵里ちゃん！！！
ほたる,10000モバコインを……
朋,仮想通貨！？
スタッフ,―――――というのが大まかな流れですね、何か不安なこととか質問はありますか？
朋,い、いえ！だ、大丈夫でふっ
スタッフ,噛んだ……
ほたる,噛んだ……
智絵里,噛んだ……
朋,せめて心の中に留めておいてくれたら助かったんだけどな？。いやー……緊張するわね……
ほたる,ふふふ……、大丈夫ですよ、いつも通りで
智絵里,そうですよ！
朋,そうは言っても……
ほたる,スタッフさんも、視聴者のみなさんも、普段通りの会話が聴きたいと思うんです
朋,うん……
智絵里,わたしもそう思いますっ！いつものように、会話を回しつつ、周囲の極端な言動や異常な状況にツッコミを入れ、機を見て会話と撮影の進行を促していただければ！
朋,それが難しいから緊張してるの！！！。でも、年下2人が落ち着いてるのにあたしだけガッチガチなのも恥ずかしいわね……。ふ、ふたりは最初から緊張しなかったの？
ほたる,いえ……今でも緊張しますよ？
朋,え！でも、そうには見えないけど……
ほたる,ふふっ……、今日は、朋さんと智絵里さんがいるから安心してるんです
智絵里,わたしも、朋さんがいるならたとえ何を言っても大丈夫かなって
朋,嬉しいけど、何を言っても大丈夫ではないわ。そっか……２人共、信頼してくれてるんだ……。年上として気合入れなきゃ！。よし！頑張ろ！
ほたる,はいっ！
智絵里,頑張りましょう！
スタッフ,本番2秒前～！
朋,カウントダウンがギリギリすぎじゃないですか！？
ほたる,みなさんこんにちは。白菊ほたるです。このコーナーでは、駅から徒歩で行ける素敵なお店をご紹介していきます。ですが……私一人では不安なので、今日は、事務所の仲の良いお友達を呼んでいるんです！。智絵里さん、朋さん、お願いします！
智絵里,こんにちはっ！バーターの緒方智絵里ですっ！
朋,その宣言必要なの！？……あっ、ふ、藤居朋です！よろしくねっ！
ほたる,智絵里さんはキャンディーアイランドとしても活躍しているので、知っている方も多いかもしれませんね
智絵里,呼んでくれてありがとう！頑張るね
ほたる,朋さんは、まだそこまでテレビには出ていませんが……、これから大ブレイク！ですよね？
朋,うんうん！これからどんどん売れていくつもりだから、みんなよろしくね！
ほたる,今日は、そんなプライベートでも仲良しなお２人と、○○駅からスタートです！
智絵里,疲れた～
朋,杏ちゃんより早い！！。それで、まずはどこへ向かうの？
ほたる,はい！まずは、ガラス細工の小物を売っているお店ですね……
智絵里,どれくらいの距離にあるのかな？
ほたる,えっと……５分くらいですね
智絵里,か～ら～の～？
朋,そのフリからどんな広がりを想定したの！？
ほたる,朋さんは占いが趣味なんですよ、私もよく占ってもらってるんです
朋,そうそう！
智絵里,ほたるちゃんは毎回酷い結果だよね！
朋,智絵里ちゃん
ほたる,毎回最下位だと逆に楽しいですよ？
朋,なんかごめんね！？。あと、パワースポットを巡るのも好きなの！……まあ、あんまり効果はないんだけどね……
ほたる,でも、いるだけで安らぐというか、元気が出る場所ってありますよね
智絵里,うんうん
朋,そうね、結局は気の持ちようだしね
ほたる,私は、こうして朋さんや智絵里さんと喋ってるだけでも力を貰える気がします
朋,お、嬉しいこと言ってくれるね～
智絵里,わたしは、大人数のLINEで発言した後にわりと早いタイミングで誰かが発言してくれると安心して元気が出ますね
朋,ちょっと話のベクトルおかしくない！？
智絵里,わたしの趣味は、四葉のクローバーを対して苦労せずに見つけた人を……あっ！このお店ですね！
朋,なんでそのタイミングで切っちゃうかなぁ！？
ほたる,失礼しまーす……
朋,スルーしていいの！？
二宮飛鳥,やあ、３人共、よく来たね
朋,あれ！？飛鳥ちゃん！？
飛鳥,おや？その反応ということは、聞いていないのかい？
智絵里,え？
朋,へぇ～！ここでは飛鳥ちゃんってことなのね
飛鳥,そうさ、硝子の輝きは言葉では語れない……。指先程のモノから、ヒトの体を簡単に超える大きさのものまで。その繊細かつ大胆な美しさはまさに芸術さ
智絵里,つまり？
飛鳥,え？……いや、硝子細工は様々な大きさのモノがあるけど、どれも素晴らしく、心を揺さぶるモノばかりだと
智絵里,つまり？
朋,やめてあげて
ほたる,では、飛鳥さんのイチオシの作品はどれですか？
飛鳥,ああ、悩むけど……あのステンドグラスかな。光の持つ魅力を存分にヒトの目に映し出してくれるからね
朋,わぁ……綺麗……
智絵里,ほたるちゃん、絶対に近付いちゃダメだよ！絶対に！
朋,そういうノリの番組じゃないわよね！？
ほたる,……
朋,無言で近づかないで！
ほたる,“絶対”には逆らえと教わったので……
朋,どーせ笑美ちゃんとかでしょ！
ほたる,いえ、クラリスさんが
朋,ウチの良心が！？
飛鳥,あとは、この硝子で出来た万年筆も素晴らしい作品だね
ほたる,すごい……！
智絵里,これって実際に書けるの？
飛鳥,無論、可能さ
智絵里,つまり？
朋,さっきから仲悪いの！？
飛鳥,今日はやってないけど、実際に硝子細工を体験することもできるんだ
朋,そうなの？残念ね……
ほたる,また今度、来ましょうか
智絵里,そうだね！
ほたる,じゃあ、割らないうちに退散ですね
朋,正直、何か割ると思ってた……
智絵里,何か割ると思ってたけど、大丈夫だったね！
朋,オブラートって知ってる？。えっと……次はどこに行くの？
ほたる,今回は、2軒で終わりですね……次は、最近できたクレープ屋さんです！
朋,おお～
智絵里,かな子ちゃん見てる～？
朋,率先してユニットメンバー煽っちゃダメよ
ほたる,ここもすぐ近くなので、少し話をしていれば着きますね
朋,！2人共わりとエグいエピソードを話しそうだから、先に言う方がいいかも！。あ、あたしはね！この前、レッスンとお仕事が全部急に延期になって、事務所に来て何にもしないで帰ったことかな！
ほたる,それは不運でしたね……
智絵里,ドンマイです……ほたるちゃんは？
ほたる,私は、飛んできた野球ボールを避けたところに降ってきた植木鉢を避けた時に落としたスマートフォンに気を取られていたらダンプカーが突っ込んできたことですかね……
朋,ほらもう意味わかんないもん！！！
智絵里,やっぱりほたるちゃんはすごいなぁ……
朋,“すごい”で片付く？
ほたる,それほどでも……
智絵里,わたしなんて、風で飛ばされた四葉のクローバーを追いかけてたらトラック……じゃないや、茜ちゃんに轢かれたくらいで……
朋,言い間違いに悪意がないかな！？
ほたる,あ！着きましたね
朋,見てる人は２人のエピソードが気になってしょうがないと思うんだけど
智絵里,ここにはアイドルはいるんですか？
朋,あら、残念
ほたる,じゃ、早速、注文しましょうか
智絵里,うん！
朋,おすすめとかってあります？
店主,ウチのおすすめは、何といっても、イチゴをふんだんに使った“ベリー・ベリー・ストロベリー”さ！
朋,……
店主,あるアイドルがプロデュースしてくれてね、それがあの……
朋,あ、大丈夫です、だいたい感づいてるので。じゃあ、そのイチゴのやつで！
ほたる,私も同じものでお願いします
智絵里,わたしは“トロピカルフルーツメープルヨーグルトクリーム～世界レベルを添えて～”で！
朋,すごい気になるけど空気読んで智絵里ちゃん！！！。わ！おいしい！
ほたる,本当ですね！
朋,特にイチゴのソースが酸味効いてていいわね！
智絵里,芳醇な果肉と濃厚なソースが絡み合い、クリームと生地を巻き込んで描かれるそれはまさに旋律……
朋,急にどうしたの！？
智絵里,えへへ……、杏ちゃんとかな子ちゃんに頼ってばっかりなので、練習したんです……
朋,にしてもいきなりメガシンカ級のレベルアップをしてたんだけど
ほたる,あの……どうやって練習を？
智絵里,まずなるべく蘭子ちゃんの近くで過ごします
朋,荒療治が過ぎるわよ
ほたる,さて、そろそろエンディングですね
朋,えっ！もう終わり？
智絵里,楽しい時間はあっという間だね
ほたる,はいっ！朋さん、今日はどうでしたか？
朋,最初は緊張してたけど、だんだん楽しくなってきたわ！また呼んでね！
