橘ありす,お疲れ様です
宮本フレデリカ,あ！ありすちゃん！
ありす,ああ、フレデリカさん、こんにちは
フレデリカ,……
ありす,な、なんですか……？
フレデリカ,あれあれ？そのポッケ、膨らんでない？
ありす,え？あ、これですか、アメですよ。さっき唯さんに頂いたんです
フレデリカ,わお！梅干し0.0016個分のナトリウムを持っているチュッパチャップスプリン味だ！！！
ありす,その角度からチュッパチャプスを紹介する人初めて見ました
フレデリカ,ありすちゃん！そのアメ……
ありす,欲しいんですか？別にいいですけど……
フレデリカ,この50円玉と交換して！
ありす,……はい？
フレデリカ,そこをなんとか！！！
ありす,まだ何も言ってません！
フレデリカ,お願いだよ～
ありす,だ、だから、別に売らないですって！タダでいいですよこれくらい！
フレデリカ,違うよ～！買うんじゃなくて、50円玉と交換！
ありす,それを世の中では購入するというんです！
フレデリカ,交換することに意味があるの！
ありす,か、噛み合わないですね……、その50円はなんなんですか？
フレデリカ,これね！千枝ちゃんにもらったの！
ありす,はぁ！？
フレデリカ,こ、怖いよありすちゃん！
ありす,小学生から巻き上げたんですか！？お金を！？見損ないました！！！
フレデリカ,違うよー！……あれは、この前のライブ終わりのことだった
ありす,え？回想に入るんですか？
フレデリカ,え！？SSAって"サイパン・サービス・エリア"じゃないの！？。あ、思い出すとこ間違えちゃった！
ありす,どうでもいいです。ちょっと邪魔ではあったんですね
フレデリカ,って感じで借りたんだよー！
ありす,な、なるほど……
フレデリカ,わかってくれた？
ありす,それで今日返すために……って、じゃあなんでアメと交換しようとしたんですか？
フレデリカ,甘いなー！ありすちゃんは！
ありす,はい？
フレデリカ,世の中、やられたら倍返しなんだよ！
ありす,それ仕返しするときのセリフじゃないですか！
フレデリカ,50円貸して、50円が返ってくる……？そんなのつまんないよ！
ありす,なんで貸し借りに笑いを求めるんですか！？別にいいじゃないですか！
フレデリカ,だけど、いきなりお返しにすごいものをあげてもビックリしちゃうでしょ？だから、50円から交換をたーっくさんして、なんかいい感じになったら千枝ちゃんにプレゼントしようかなーって！
ありす,それで"交換"にこだわってたんですね……
フレデリカ,じゃあ改めて！。ありすちゃん、そのアメと、この50円玉を交換してください！
ありす,そういうことなら、受け取りますよ。はい、どうぞ
フレデリカ,ありがと！いただきまーす！
ありす,馬鹿なんですか！？
フレデリカ,冗談だよ！じゃ、このアメと何かを交換するためにしゅっぱーつ！
ありす,結局、付き合わされるんですね……
フレデリカ,たのもー！
ありす,そんなに勢いよく開けなくても……
三好紗南,あれ？フレちゃんとありすちゃん、どうしたの？
フレデリカ,紗南ちゃん、こんにちはー！
ありす,どうも……って、またゲームですか？あまりやりすぎると怒られますよ？
紗南,えー？いいじゃんいいじゃん！
フレデリカ,ゲームは1日8時間！
ありす,中毒じゃないですか！
紗南,それ以上やってる日もあるとか言えない……
フレデリカ,あれれ？そのコントローラー、珍しい形だね？
ありす,ああ、確かに。ゲームセンターの格闘ゲームの操作盤みたいですね、レバーとか
紗南,そうそう！こっちの方があたしには使いやすいんだよねー
フレデリカ,そーなの？フレちゃんもやってみたいな！ありすちゃん！対戦しようよ！
紗南,どうぞー……と言いたいとこなんだけど……
ありす,？
紗南,2つ目のコントローラーが壊れちゃってて……
ありす,あ……本当ですね……
フレデリカ,あー、レバーがなくなっちゃってるねー？
紗南,うん、どっかにいっちゃって……
ありす,まあ、しょうがないですね。新しいのを買うしかないんじゃないですか？
紗南,やっぱりそうだよね……。あーあ、どこかに、先端に球体のついた、いい感じにレバーになりそうな棒を持ってる人はいないのかなー？
ありす,そんな都合よく……
フレデリカ,……♪
ありす,……あ
紗南,？
フレデリカ,チュッパチャップス～
ありす,いや形は近いですけど！！！
紗南,おおー！ナイスタイミング！
