早坂美玲,しゃーなりしゃなり、おじょーさまー
美玲,百年生きてるろりーたー……。……。ウチってダンスとかも結構イケるんじゃないか？。えへへ、なんかアイドルって感じだな……。今度蘭子に衣装も借りてプロデューサーに……。いやいや！別にそこまですることじゃないな、うん！。でも、これからダンスレッスンも受けてみようかな。テレビで見るステージとかドームとかで……。どこかへおでかけーおじょーさまー。あはっ☆。な、なーんてやってみたり……あはは
結城晴,おーい、サッカーや
美玲,はわぁぁあ！？
晴,な、何だようっさいな
美玲,うっさ……おまっ、いきなり入ってくんなよっ！。まままだ他の人が入ってるかもしれないだろ！
晴,えっと、いや普通じゃん？
美玲,そんなの……あれ？そうか？
晴,変なこと言うヤツだな
美玲,なっ……でもいきなり来るのは！
晴,別にいつ入ってきたっていいだろ。順番じゃないんだから
美玲,うっ、そうだけど……
晴,もういい？座るからそこどいて
美玲,え？ああ……
晴,ん。あーアイツいないのか、せっかく来たっつーのに
美玲,うーっ…！
晴,何してんだ？座んねーの？
美玲,う、うるさいっ！……今座るとこだったんだよッ！
晴,いちいちうるさいなー、静かにしろって
美玲,うぐぐぐ……！
晴,ったく子供だな
美玲,お前に言われたくないっ！。ていうかオマエ絶対年下だろ！
晴,知らね。オレは12歳だけど
美玲,ふん！やっぱりそっちが年下じゃんか！。ウチの方が先輩なんだから言うことを……
晴,えい
美玲,ぱちん、じゃない！
晴,ふーん、けっこう面白いヤツだな
美玲,ウチで遊んでんのか！？
晴,別に。ほら、ガム一つやるから
美玲,え？おお、ありがとう……
晴,それ食ってれば静かになるだろ？
美玲,やっぱ遊んでんだろ！
晴,……
美玲,……
晴,……
美玲,……
晴,……
美玲,……ぷー
晴,なんで口で言ってんの？
美玲,全っ然ふくらまない！どうなってるんだよ！
晴,こんなの簡単じゃん
美玲,……。ほら
晴,ほらじゃなくて
美玲,むー、すぐ横でこいつが出来てるのが腹立つ……
晴,こいつじゃねーよ、晴だよ
美玲,こういうのってやり方ないのか……
晴,ベロを動かしてればその内なるだろ
美玲,んー……。！
晴,おー、デカいな
美玲,んー！んーんんー！
晴,いや分かんねーよ
美玲,ふーっ！
晴,あ、そんな勢いよくやったら……
美玲,ふ
晴,……
美玲,……
晴,どっかにデジカメねーかなぁ
美玲,撮るなぁっ！！。ちゃんと全部取れたよな……良かった。って何やってんの？
晴,ボール蹴ってる
美玲,事務所の中で危ないことするなって
晴,大丈夫だろ、ネットあるから飛ばないし。あ、そうだ。どうせなら外でサッカーやんない？
美玲,サッカー？ウチと？
晴,そう、プロデューサー全然来ねーから。来たらアイツを誘ってやったんだけどな
美玲,もしかしてそのためだけに来たのか……
晴,うん。このままネットで蹴ってるだけってのもヒマだしさ。サッカー、相手になってよ
美玲,いや、ウチサッカー出来ないんだけど
晴,ボールを蹴れればいいって。その靴なら大丈夫だろ。それにそっちだってヒマだろ？
美玲,まあ、ウチも何かするために来たわけじゃないけどさ……
晴,よし決まり！この近くの公園でやるぞ！
美玲,今から行くのか！？
晴,当たり前だろ！ほらボール持って！
美玲,わわっ！なあちょっと！なんか絡まったんだけど！
晴,何やってんだよ！あーもうめんどくせーなっ！このまま行くぞ！
美玲,待ってってば！これどうにかしろよ！
Ｐ,ただいま戻りまー、って誰もいないじゃないか……
