モバP,以下、P
P,――――あれ？事務所に電気がついてる。まだ誰かいるのか？
まゆ,あれ？凛ちゃんもいたんですか？
凛,撮影が長引いたからね
P,凛とまゆか。そういえば普段どんな会話してるんだろう？ちょっと盗み聞きしてみよう
まゆ,ところで、手に持っているそれって……
凛,ああ。これ？プロデューサーの。戻って来たら事務所にプロデューサーの
まゆ,誰がゲットした
凛,このままにしておくにはいかないよね
P,事務所にアイドルのパンツが落ちているってどんな状態なんだ？
凛,でもプロデューサーに見られる前に発見出来て良かったよ
P,そうだよな。男の俺が目撃したら色々と気まずいからな
まゆ,ですよねぇ。見つかったら、是が非でもPさんに取り上げられてしまいますから
P,とっ、取り上げる！？俺が！？俺って、事務所に落ちているアイドルのパンツを取り上げる変態って思われていたの！？
凛,俺のものだ！って言いながら、無理やり奪われそうだよね
まゆ,さすがに成人男性の本気の力には敵いませんね
P,アイドルの中の俺はアイドルの
まゆ,ところで凛ちゃん。それはどうするつもりですか？
凛,持ち主を探すよ。困っているだろうし
P,そりゃそうだよな。パンツが無かったら困るもんな
凛,私ぐらいのコレクターになると、洗濯済みには興味が持てないんだよね
P,え？
まゆ,ゴムが緩んでいたり、汗のシミが残ったり、生活感があるのが良いんですよねぇ
凛,それ分かる。キッチリしてそうで実は下着がだらしなかったら興奮するよね
まゆ,普段から見る目も変わっちゃいますよね
P,変態だー！！！AA略。なのこの2人！？アイドルの。……今度のロケから、凛とまゆは絶対に他のアイドルと別の部屋にしよう
凛,でも、これ本当に誰のだろうね？
まゆ,凛ちゃんが拾ったってことは、その直前に事務所を出入りした誰かですよね
P,この部分だけだったら、落し物の持ち主を探す優しいJKたちの会話なんだけどなぁ
凛,黒で前開きのタイプかぁ。これをゲットしたアイドルは
まゆ,洗濯済みなのが惜しいところですよね
P,黒で前開き！？そんな過激な奴なの！？
凛,ちなみにまゆはどの柄がお気に入り？
まゆ,私は美嘉さんから貰った青と白のストライプのプロデューサーの
P,美嘉は青と白のストライプ柄のパンツを手に入れるまでにどんな感動ストーリーがあったんだ！？ってか、意外だな。もっと大人な奴だと思ってた
凛,私はハート柄のやつかな。美優さんとプロデューサーの
P,ハート柄のパンツを穿く美優さん、やべぇ興奮しちゃいけないのに興奮してきた
凛,でも驚いたのは、留美さんがプロデューサーの
まゆ,意外ですね。てっきり、もう何着も持っているのかと……
P,留美さんノーパンなの！？知らなかった！ってか、知りたくなかった！
凛,そういえば、のあさんも持っていなかったね
まゆ,何となくそう思ってはいました
P,悔しいけど、のあさんは納得してしまう
凛,飛鳥も持ってなかったよね
まゆ,蘭子ちゃんも持っていなかったですよね
凛,ナターリアもそういえば持ってなかったね
まゆ,愛梨さんも持っていなかったですね
凛,法子も持っていなかったね
まゆ,幸子ちゃんも持っていなかったですね
凛,薫も
まゆ,こずえちゃんも
凛,ヘレンさんも
まゆ,川島さんも
P,うちの事務所、ノーパン多すぎいいいいいいいいいいいい！！！！
凛,むしろ持っている人を挙げた方が早いんじゃない？
まゆ,そうですね
P,そんなレベルなの！？ウチの事務所は変態しかいないの！？
まゆ,そういえば、ありすちゃんはどうなんですか？
凛,ありすは相変わらずガードが固いね。プロデューサーの
まゆ,独占欲が強そうですものね
P,いや、当たり前だよ！貰えることが当然のように語るなよ！
まゆ,そういえば、茜ちゃんも持っていましたよね
凛,うん。でも最終的に燃やして灰にしちゃうから誰もトレードできないんだよね
P,自分のパンツ燃やすとか茜ちんの精神ヤバい。それとも体温で自然発火してるのか？
凛,ふふっ
まゆ,ふふっ
凛,平和だね～
まゆ,そうですね～
P,何いきなり賢者モードに入ってるの！？
凛,まゆとこういう話をする日が来るとは思ってなかったよ
まゆ,私もです。凛ちゃん。こんな趣味を持っている人なんて、私しかいないと思っていました
P,そうそういてたまるか！！
凛,見えていないだけだよ。加蓮も奈緒も卯月も未央も同じだよ
まゆ,そうですね。打ち明けてみると楽になれるものですね
P,同じなのっ！？みんなアイドルのパンツを虎視眈々と狙う獣なの！？ウチの事務所ヤバい！
凛,昔は人目を盗んで、小さなコミュニティでしか打ち明けられなかったからね
まゆ,今はみんなが理解してくれてとても気持ちが楽です
凛,あの時は激しくプロデューサーの下着を
まゆ,あの夜は夏だから
P,は、激しく求め合う！？そ、そうか。凛とまゆはお互いに求め合う関係意味深。……いや、納得はできないし、したくないけど、理解はできなくもない。けど、俺だって、高校生の時、集めたエロ本やPCの中のエロゲを親に全部消された時は、頭が狂って人には言えないあんなことやこんなことをやっていたからな。性を発散できない環境、自分の気持ちを打ち明けられない世界……きっと、2人も辛く、苦しかったんだろう。だったら、まずは身近な大人である俺が理解を示してあげよう。そうすれば、アイドル達へのパンツ被害も減るはずだ。話は聞かせてもらった！
凛,プ、プロデューサー！？ヤバい。パンツ隠さなきゃ
まゆ,も、もしかして、今の話、聞いてました？
P,ああ。最初から全部聞かせてもらった
まゆ,
凛,そ、そうなんだ。幻滅したよね。プロデューサーの
P,色んな意味で驚いたし、正直引いてる。だけど、お前達をそうさせてしまった俺が作った職場環境
凛,え？
P,確かに今のお前達の立場は世間的にも厳しく、辛いものかもしれない。でも、せめて身近な大人である俺は味方になろうと思う。否定しないで、もっとお前達のことを理解しようと思う
まゆ,認めてくれるんですか？私達をお嫁さんとして
P,ああ！その性的嗜好を
凛,ほ、本当に良いの？世間の目が厳しいのにアイドルとプロデューサーの関係という意味で
P,ああ！大丈夫だ！俺はお前たちの味方だ！ただ……その……パンツを集めるのはさすがにあれだから、やめような？
凛,大丈夫だよ。もうパンツなんていらない
まゆ,はい。だって、本当に欲しいものが手に入ったんですから
P,そ、そうか。その言葉があるだけでも助かったよ
凛,じゃあ、仮眠室に行こうか
P,え？
まゆ,今夜は眠らせませんよぉ
P,え！？何で俺も！？ってか、力強っ！！
