橘ありす,おはようございます
宮本フレデリカ,お前は完全に包囲されているー！！！
ありす,うるさっ！！！。ふ、フレデリカさん……、びっくりさせないでください
フレデリカ,おはよ！
ありす,今日は何を始めたんですか……
フレデリカ,ネゴシエーターだよ！
ありす,ネゴシエーター……、交渉人ですか？
フレデリカ,その通りー！！！
ありす,うるさいって言ってるじゃないですか！！！。というか、そもそも交渉なら拡声器ですよね！？それ高校野球の応援とかで使ってるメガホンじゃないですか！
フレデリカ,拡声器は高かったの！
ありす,見には行ったんですね
フレデリカ,あ！346デンキなら、アキハちゃん監修のトークバトルメガホンがあるよ！
ありす,今回は家電アイドルじゃないんですから
フレデリカ,詳しくは今朝の折り込みチラシで！
ありす,その宣伝費はどこから出てるんですか
フレデリカ,というわけでありすちゃん、交渉人のお仕事、気になるよね？？？
ありす,フレデリカさん以外の交渉人のお仕事は気になりますね
フレデリカ,よし！じゃあフレちゃんが交渉術の一端を見せちゃうよ！
ありす,意見を聞き入れないならなぜ聞くんですか？
フレデリカ,まずはこの2つの文章を見て！
ありす,はい？
フレデリカ,どっちの方が印象がいいかな！？
ありす,ごめんなさいどっちも印象良くないです
フレデリカ,あれー？おかしいなー……？
ありす,おかしいってことはいつものフレデリカさんですね
フレデリカ,良いことと悪いことをどっちも言うなら、後に言った印象が強く残るらしいんだよ？
ありす,そもそも服が黄緑の何が悪なんですか
フレデリカ,目がチカチカする！
ありす,来月の給料、半分くらいになってても知りませんからね
フレデリカ,ハイ次！次いくよ！
ありす,勝手にしてください……
フレデリカ,ところでありすちゃん、アイドルと勉強の両立って難しいよね～？けっこう、学校の成績が悪くて怒られちゃうアイドルが普通みたいだよ？
ありす,なんですかいきなり……。でも、それは甘えです。私は全ての教科で成績5を取っていますから
フレデリカ,はい！今のもテクニックなんだよ！
ありす,え？
フレデリカ,わざと間違ってることを言って、相手が直してくれるのを待つの！
ありす,あ……！
フレデリカ,だってありすちゃん、学校の成績教えて！ってフレちゃんが言ってもどうして教えなきゃいけないんですかって警戒しちゃうでしょ？
ありす,……く、悔しいですが、そうかもしれません
フレデリカ,ふふーん！
ありす,さっきの黄緑のやつじゃなくてこっちを先に披露すればよかったじゃないですか
フレデリカ,順番が大事なんだよ！
ありす,意味わからないです……
フレデリカ,じゃ、あと1個だけ！
ありす,まだあるんですか……
フレデリカ,ありすちゃん！1000万円貸して！
ありす,イヤですけど
フレデリカ,じゃあ500万円でいいよ！
ありす,イヤですけど
フレデリカ,……
ありす,……
フレデリカ,……
ありす,……
フレデリカ,なんで！？
ありす,逆になんで通ると思ったんですか！？
フレデリカ,先に大きなお願いを断ったら、小さなお願いを受けたくなるはずなのに……！
ありす,500万円を"小さな"って形容する小学生がいたらよっぽど問題じゃないですか？
フレデリカ,もうネタ切れだよー……
ありす,よくこれだけの手札で交渉人を名乗ろうとしますよね。きゃっ！
フレデリカ,わっ！
ありす,だ、誰かが目にも留まらぬ速さで机の下に……！？
フレデリカ,あ、ありすちゃん、今きゃっって
ありす,だ、誰かが目にも留まらぬ速さで机の下に……！？
フレデリカ,ありすちゃん
ありす,だ、誰かが目にも留まらぬ速さで机の下に……！？
フレデリカ,ご、ごめんね……？
ありす,誰だったんでしょう……
フレデリカ,あ、続けるんだね
早坂美玲,ここかッ！
星輝子,い、いる……かな……？
フレデリカ,あ！美玲ちゃんと輝子ちゃん！やっほー！
美玲,お！ありすとフレデリカ！ちょうどよかった、ノノ見なかったか！？
フレデリカ,乃々ちゃん？えーっと……
机の下,……
ありす,ああ、なるほど
美玲,知ってるのかッ！なあなあ！どこに居るんだ！
フレデリカ,むむむ！フレちゃんの袖を引っ張ったってことは、交渉の依頼だね！
ありす,そのシステム初耳です
輝子,交渉……？
フレデリカ,ところで、どうして乃々ちゃんを探してるの？
美玲,ウチとショーコはもう水着の仕事をやっただろ？だから次はノノの番なんだ！
ありす,簡潔な説明、ありがとうございます。それは……まあ、乃々さんは逃げますよね
机の下,……
ありす,聴こえてますよ……
フレデリカ,なるほど！じゃあ、乃々ちゃんの水着姿が見たいんだね？
輝子,そ、それはちょっと違う……
美玲,うん！ウチらは、3人で一緒の仕事がしたいの！
輝子,そう……
美玲,だって、せっかくユニットを組んでるんだから、もったいないだろッ！
ありす,ですが、乃々さんが水着の仕事を受けるとは……
美玲,やっぱりそうかなー……
輝子,だ、だよ……ね……
フレデリカ,いくら積めばやってくれるかな？
ありす,1番やっちゃいけない解決手段ですよ
美玲,ノノ、可愛くてファンも多いのに……、どうしてもネガティブというか、前に出ないんだよなー……
フレデリカ,！
ありす,あ、なんか変なこと浮かびましたね
フレデリカ,そうだよね！乃々ちゃんは恥ずかしがり屋さんで自信がなくて……
机の下,……
フレデリカ,でも！
ありす,でも？
フレデリカ,とっても可愛いよね！なんだか抱きしめたくなっちゃう！
机の下,……！
美玲,そ、そうだよなッ！なんか守りたくなるというか……！
輝子,わ、私も、暗いとことか……似てるから……一緒だと心強いというか……
フレデリカ,……
ありす,わ、わかりましたよ……。まあ、動きがどれも小動物的で可愛らしい人ですよね。ファンが多いのも納得できます
フレデリカ,うんうん！この前、机の下で居眠りしてたんだけど、とっても可愛かったんだよ！
美玲,えー！ウチも見たかったぞ！
輝子,わ、私も……よく見るな……フヒ
ありす,いつも一緒に入ってますもんね
フレデリカ,そんな乃々ちゃんの水着だなんて、全国1億人の乃々ちゃんファンが黙ってないね！
ありす,国民全員が
美玲,そうだそうだ！
机の下,み、みなさ……
美玲,ん？
森久保乃々,も、もう……やめて……
ありす,うわあ顔真っ赤！
美玲,ノノ！
乃々,恥ずかしいぃぃ……
ありす,倒れちゃいましたよ！？
輝子,机の下は熱がこもるからな……
ありす,なんで冷静に解説してるんですか！
フレデリカ,今だー♪
美玲,よし！プロデューサーのとこへ連れてくぞショーコ！
輝子,わ、わかった
ありす,運び方が雑
フレデリカ,ふう……、フレちゃんの交渉術が光ってしまったね……！
ありす,いつ交渉してました？
フレデリカ,2回目のノノデリカが待たれるね！
ありす,誰も待ってません。……今日は部屋で待つ感じなんですか？
フレデリカ,うーん、迷うけど、このまま誰も来なかったら移動し
前川みく,……
