おっぱいネタ,アイドルのおっぱいが大きくなったり、小さくなったり
本番シーン,挿入とか
モバＰ,以下Ｐ
拓海,大規模なライブが終わった直後にそうプロポーズされたんだ
里奈,ちょ～ロマンチックぢゃん！
涼,Ｐサンは奥手だと思っていたんだけど...やるじゃないか
里奈,それで？Ｐとの進展はどうなのよ？
拓海,キスは済ました…
里奈・涼,ひゅ～♪
涼,それとほかには？
里奈,えっちいことした～？
拓海,…
…だがそれは決して,恥ずかしいという理由ではない
涼,あー…取りあえず…解散するかぁ
里奈,…そだねー
拓海,２人には悪いことしたな…。大体原因はアイツがあるんじゃねえか。アイツこれが目的で付き合いたいとか言ったのかもな…
事の発端はＰとの交際を初めて一ヶ月後、キスを交える仲になっていた拓海にＰは,ホテルに行こう
このようなことが現在まで繰り返され、段々と期待の薄れと溜まり始める怒り、,自分が攻めればいいじゃん
その中からショーツを履き、次にブラジャーを手にする。いつでも情事に備えるために告白されてから買い揃えた,気合の入ったランジェリー
手慣れた手つきで大きな果実をカップに収めるもその乳肉は溢れ始めるようにはみ出してしまう。Ｈカップで成長が落ち着いたのにＰの,調教
拓海,なにが目指せバスト１００ｃｍオーバー！だ。こっちはいい迷惑だ...よっ！！。おわっ！？何だよ！？。芳乃じゃねぇか。突然出てきてびっくりしたぜ
芳乃,そのことにつきましては申し訳ないことでしてー。それより悩みがあるのでは―？
ジャージに着替え、談話室という名のアイドル達の遊び場で拓海は自動販売機で買ったミルクコーヒーを彼女に渡した。,お茶が良かったのですが―
拓海,実はアイツと付き合うことになってな...
これまでの経緯とＰが重度の巨乳フェチであること,この部分はマイルドな表現
最初は異性に興味を出してきた息子をかげながら見守る母親のような柔らかい表情で聞いていた芳乃だが、胸に関する話になると表面上は平然としながらも渋柿を食べてしまったような顔になった。それも当然、この２人はいわゆる,持つ者
拓海,それでセック...もっと違う付き合い方でもいいんじゃないかって最近思っているわけよ
芳乃,拓海さんは今の付き合い方が本当に嫌いなのでしてー？
中学２年から急激に発育が進み、高校では下種な不良や教師に視姦されるわで自分の豊乳に嫌悪感を抱いていたが、その存在により今の思い人と付き合えるようになったのかもしれない。だが、それでは自分が,乳だけしか取り柄のない女
だからこそ変えるために言うしかない。今話している相手は不思議と悩みある者を良い道へ導く才能を持っている。今しかないのだ、あの情事,未遂
拓海,アイツ、あたしの胸にしか興味なくて告白してきたんじゃないかって、もしこんなにデカくなけりゃ見向きもされなかったんじゃないかと思うんだ
芳乃,...ほう？
芳乃の瞳が一瞬輝いた。漫画の表現に例えるなら,キラーン
芳乃,初めてこの力を使いますが、拓海さんのため...決してそのような気はなく...
拓海,おい、どうしたんだ？
芳乃,折角の機会ですので試練を与えてみようかと―
拓海,はぁ？試練？何の話...ッ！？？。何処だよここ！？てかなんでいつの間にこんなの服着てんだ！？
芳乃,～～～～、～～...
拓海,芳乃？これはいった...むぐっ。何を飲ませるんだよ！？...あぁんっ！！。あぁっ！！なんだよこれっ！？。ダ、ダメ...！！。あああああああああああああああああああああああああああぁ！！！！！
芳乃,思いのほか悦びを与えてしまったようですねー。ですが、気を失ってもらったほうが私としても楽になりまして―...
拓海,...んあっ？。なんだか昨日大変なことになっていた気がする...。今日は小梅が考案したホラーアトラクションの開場記念イベントにゲスト出演するんだったな...。すんなり脱げたな...。まさかっ！。なっ...無い...！
もっとじっくり拓海のおっぱいが萎む描写を書きたかった・・・ッ！,後悔
ブラジャーも外し、手で確認する,元
芳乃,無事に起きられたようで―
それは,胸
拓海,芳乃！昨日のあれはいったい何だったんだよ！
芳乃,乳献上の儀でしてー
戦後,巨乳
この時から摩訶不思議な力で恵みの雨を降らせたり、健康長寿が実現されるなどの実績を多く持つ依田家の女は彼女たちの願望を叶える方法として編み出した方法が,乳を吸い取る儀式
だが、この儀式の難点は,吸い取った乳が自分に集まる
芳乃,...そうして昨晩の相談でこの儀式を初めて使いまして―
拓海,へぇ...ってそうじゃなくて！。返せよ！アタシの胸を！
芳乃,えぇ、返しますともー。その姿で一度Ｐに会い、それでも彼が受け入れましたら―
拓海バストサイズ９５ｃｍ,Ｈカップ
芳乃バストサイズ７３ｃｍ,Ｂカップ
拓海,アイツに会う？この...姿で？。つまりアイツがこの胸を見ても今の関係でいると言ってくれたら戻すってことなのか？
芳乃,仰るとおりでして―
拓海,こんな時に...もしもし？。...あっ。悪い里奈！すぐに行く！話はまた後で聞かせてもらうぜ芳乃！
芳乃,また後で落ち合いましょー
拓海,これ...どうすんだ...
みく,もうアーニャチャンったらまたみくの口にお魚をブチ込んじゃって～。あっ拓海チャンおっはにゃー
拓海,おう...おはよ
みく,どうしたの？片手でみぞおち抑えているけど...オッパイ寄せ上げてセクシーアピールのつもり～？。胸元のボタンをキッチリ閉めてるなんて珍しいにゃ...またＰチャンとのイチャイチャでオッパイ大きくなったって聞いたよー。もしかしていっぱいキスマークつけられちゃった？誰にも言わないからみくに見せてにゃー。あっ...
アーニャ,ごめんなさいミク...ノアからобещание、アー...お約束と言われてつい...ミク？。ミク、ここはТуалет、トイレじゃないですよ...？
拓海,悪い！遅くなっちまった！
里奈,たくみんおそーい
夏樹,いいじゃないか、ギリギリ間に合ったんだし。おっす拓海！
亜季,おはようであります拓海殿！
涼,おはよう。あーその...昨日は悪かったな
拓海,いいんだよ、アタシも悪いんだし
夏樹,今日の衣装また拓海だけ露出が多いけど、大丈夫か？
拓海,げっ。実は...見てほしいものがあるんだ...
４人,ん？
夏樹,こいつはたまげた...
亜季,なんてことでしょう...
涼,つまり、芳乃のやつが全部吸い取ったのか？
里奈,ウチよりないぽよー...
拓海,...くっ、他のやつには言うんじゃねぇぞ？
涼,衣装の問題を解決しなきゃな
拓海,まずい...
夏樹,おい！この遊園地の近くに競泳水着の店があるぞ！
里奈,たくみーん、なんとかなりそー？
拓海,おう！この仕事乗り切れる気がしてきたぞ！
亜季,とりあえず一件落着でありますな！
涼,なるべく脇からタオルが見えないようにするんだ。いいな？
小梅,涼さん...みんな、お待たせ。スタッフさんとの打ち合わせに時間かかちゃった...
涼,おはよう小梅！ミイラの衣装きまっているじゃないか！
小梅,本当は死体風の衣装が良かったんだけど...これも好きだよ。...？どうしたの...？
りょううめ尊い...と４人が思っている時、小梅は突然あらぬ方向を見て独り言を喋った。,あの子
小梅,拓海さん...あのね、あの子がね、嘘をついちゃダメだよって言ってた。なんのことかよく分からないけど...
拓海,...
小梅,それじゃあ...みんなが屋敷に入る前にこのメンバーに体験してもらいます...
司会,いやぁ～拓海ちゃん、出てきてからずっと思っていたけど、なかなかいいシュミしてるねぇ～！主役の小梅ちゃんより目立ってるんじゃなーい？
拓海,いや、そんなことありませんよー
司会,競泳水着を着たサキュバスなんて珍しいね！観客全員の精を搾り取る気ぃ～？
拓海,...あはは、嫌だな司会者さんったら～。まさか...バレたか！？
夏樹,亜季！里奈！拓海の両脇からタオルがはみ出てないか確認しろ！
亜季,右舷、異常なし！
里奈,左も大丈夫～
涼,まさかタオルがずり落ちているのか...？
夏樹,えぇ...
涼,なんだアイツ...
里奈,もしかしてウチと同じおバカ系ー？
亜季,レズ！？なっなんとはしたない言葉を...！
拓海,セエェェェェェェェェェェフ！
小梅,あの大きな人、何を喋っているんだろう...？。あっ、うん...
こうして小梅考案のガチホラーで十分に悲鳴を上げた５人は仕事を終えた。スタッフ同士の話から,最後にあんな仕掛けあったっけ？
拓海,とうとう来ちまったか...
芳乃,とうとうこの時が来ましてー
拓海,芳乃...。なぁ、もしアタシがＰにフラれたら...元々向井拓海の胸はこうだったっていう常識に書き換えられるか？
芳乃,...もちろんでしてー
拓海,これでも元特攻隊の隊長だ！正々堂々と真っ向勝負をかけるッ！！。オッス！Ｐ！
Ｐ,おう拓海か。今日のお仕事お疲れさん！
拓海,Ｐ...実はアタシ今日...
Ｐ,おい...なんだそのふざけたモノは...
拓海,え？
Ｐ,なんで胸に詰め物をしているんだ？
拓海,きゃあ！
Ｐ,これは...
拓海,Ｐ...アタシの胸がこんなに貧相になっても...ずっと恋人でいられるか...？
ここからはバッド,？
前者は短い,予定
向井拓海,１８
Ｂ９５,Ｈ
依田芳乃,１６
Ｂ７３,Ｂ
―バッド,？
Ｐ,ごめん...拓海も薄々感づいてたかもしれないけど、最初からお前の爆乳が目的で告白したんだ...
拓海,...そっか。あ～あ！デカい胸を失くしただけでフラれちまうなんて惨めだなー！
Ｐ,拓海...すまない...
拓海,そうだ！夏樹たちとこれから焼肉だったんだ！悪いなＰ、恋人関係は無くなっちまったが明日も相棒として支えてくれよ！
Ｐ,...すまない。今まで悪いことをしてきた...
芳乃,終わりましたかー
拓海,あぁ...もう知ってるんだよな？
芳乃,約束通り拓海さんの胸の常識を元々平坦な胸だったことにしましてー
拓海,...待ってくれ。芳乃、もう１つだけ頼みたいことがある...
芳乃,今一度胸を取り返す機会が欲しいのでしてー？
拓海,いや、それはもういい...アタシがお願いしたいのは...
夏樹,どうだったＰ？熱いライブにできていたか？
亜季,この感覚、何度味わっても飽きませんな！
涼,いつも全力だが、今日は一段と疲れたぜ
里奈,からだあつーい、お水ちょーだい
Ｐ,おう！いいライブだったぞお前ら！
拓海,おうＰ！このライブ、最高だったろう？
Ｐ,文句のつけようのない最高のライブだったぞ拓海！
拓海,そうか...そうだよな！へへっ
Ｐ,ッ！
拓海,じゃあ着替えてくるから、焼肉奢れよ！
Ｐ,拓海！待ってくれ！。拓海...お前がよければの話だが...俺と結婚を前提に付き合ってくれないか…？
バッド,？
かなり急ぎ足になりましたが、何とかなりました,誤字脱字に目を逸らす
Ｐ,何言ってんだ。それじゃあ拓海との婚約が台無しじゃないか
拓海,え...？
Ｐ,確かに拓海のおっぱいがなくなったのにはビックリしたぜ。でもお前とは絶対に結婚したいしそれ以外はもうあり得ないと考えている。
拓海,だってアンタが胸しか弄らないから...デカい胸しか興味ないんじゃ...
Ｐ,確かに俺は巨乳フェチだが...それだったら俺は今頃及川家に婿入りしているぜ？
拓海,それって...つまりは...
Ｐ,巨乳かどうか以前にお前自身に惚れていたんだよ。んでたまたまＨカップという魅惑の果実があったってワケよ。
拓海,バカ野郎...そういうことは、もっとはやく聞きたかったんだぞ...
Ｐ,ごめんな。告白するときにこういうことも言おうとしてたんだけど、俺もあの時舞いあがちゃって、つい忘れていた。
拓海,良かった...良かったよおぉぉぉ～...
Ｐ,ところでその胸...なんでそんなことに？ていうか元に戻せるのか？
拓海,あっ...確かに...どうやったら戻るんだこれ？
Ｐ,えぇー！？戻してくれなきゃ俺が困るよー！
芳乃,それは私から説明いたしまして―。いやーんでしてー
Ｐ,その胸の形、乳輪の大きさ、乳首の色...非常に拓海のＨカップに酷似している...だがそれだけでない、もう１人のおっぱいの分も加算されているような推定Ｋカップ...吸い取ったんだな芳乃！お前の力で拓海の爆乳をッ！
芳乃,話が早くて助かりましてー
Ｐ,なるほど...拓海にもそんなカワイイところがあったということか。そうかそうか～
拓海,何アタシを見てニヤニヤしてんだよ気持ちわりぃ！
Ｐ,あいたっ！
芳乃,夫婦漫才はそこまででしてー。胸を返す術ですがー...。また乳献上の儀を行い、拓海さんが私の胸を吸い取るのでしてー
拓海,なるほど、やられたことをそのままやり返すカンジか...
芳乃,その通りでーでは、早速行いましょー...
Ｐ,うおっ！？何処だここ？
芳乃,それでは拓海さん、その杯に入っているものを私に飲ませましてー
拓海,なぁ芳乃...昨日アタシにいきなりこれをやったとき、声をかけても無視してたよな？
芳乃,...なにを仰っておるのかー
拓海,アタシの了承も得ずに、それに気絶してからも胸をこんなになるまで吸い取ったもんな～。...どう思ってた？
芳乃,...決してそのバカでかいおっぱいを吸い取ってやったぜ！ざまあみろ！おぉん？今のぺったんこの状態でアタシ胸が大きくてこまっているんですぅ～って言ってみろや貧乳！と思ったことはー...
拓海,Ｐ！
芳乃,っ！！？！
拓海,さっきも言ったがアタシはやられたことをやり返す主義だ。...覚悟はいいな？
芳乃,あっ...ぃや...。きゃああああああああぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！？！！
拓海,来た...！
芳乃,あっ...あーっ...
拓海,ぷはぁっ！流石に両方同時に吸うのには厳しいサイズになったな...
Ｐ,だいぶ戻ってきているぞ！拓海のおっぱいが！
拓海,そうか...次でラストスパートだ！行くぜ芳乃！
Ｐ,行けぇ！拓海ーーーーーーーーッ！
芳乃,も...ゆる...し...でして...
拓海,あれ？ブラのホックが届かない！
Ｐ,えぇ！？
拓海,まさか...！。なっ...無い...！
芳乃,誰が...ここまでやれと...言ったの...でしてー
拓海,Ｐ、メジャーをくれ！今アタシのサイズはどれくらいだ？
Ｐ,ひゃっ...１０１ｃｍ...！やったー！夢の１００ｃｍオーバーだあああぁぁぁ！
拓海,おわっ！こんなところで抱き着くな！...ったく。
向井拓海,１８
Ｂ９５ｃｍ,Ｈカップ
依田芳乃,１６
Ｂ７３ｃｍ,Ｂカップ
それから数日後...２人の関係は変わらぬままだった。その間に芳乃は,びぃかっぷに戻してほしいのでしてー
Ｐ,今度のライブの打ち合わせは以上だ。何か質問は？
里奈,ないぽよー
涼,大丈夫だ
夏樹,別に無いぜ
亜季,大丈夫であります！
拓海,大丈夫だ！
打ち合わせ後、４人は拓海とＰの２人きりにするべく、さっさと部屋から出る。去り際に夏樹に,グッドラック
拓海,あいつら...Ｐ、今晩大丈夫か？
Ｐ,今日は定時に終わるから大丈夫だ！
今日は約束した,夜のお誘い
それから数日後...２人の関係は変わらぬままだった。その間に芳乃は,びぃかっぷに戻してほしいのでしてー
Ｐ,今度のライブの打ち合わせは以上だ。何か質問は？
里奈,ないぽよー
涼,大丈夫だ
夏樹,別に無いぜ
亜季,大丈夫であります！
拓海,大丈夫だ！
打ち合わせ後、４人は拓海とＰの２人きりにするべく、さっさと部屋から出る。去り際に夏樹に,グッドラック
拓海,あいつら...Ｐ、今晩大丈夫か？
Ｐ,今日は定時に終わるから大丈夫だ！
今日は約束した,夜のお誘い
Ｐ,そっ...それは！
パッケージには,めちゃうす
拓海,今日はその...下のほうも使ってくれよ...初めてだけど...。今日は大丈夫な日だから...生でもいいぞ...？
Ｐ,うおおおぉぉー！拓海ぃー！
拓海,待て待て！夜のホテルまで待てないのか！ていうかコンドーム着けろ！いくら大丈夫な日でも限度が...ああん！
程なくして,できちゃった結婚
