モバP(以降P表記),悪いなこんな遅くまで付きあわせちゃって
まゆ,いいんですよぉ。まゆが好きで残ってるので
P,手伝ってくれてるし、帰り飯食いに行くかー
まゆ,本当ですかぁ？うふふ
P,どこ行くかねぇ……あー薫たちまた片付けしないで帰ってらぁ……
まゆ,それじゃあまゆが片付けましょう
P,何から何まですまんな。この書類終わったら帰れるから
まゆ,いえいえ。残りもうちょっとですねっ頑張ってください♪
P,…………
まゆ,ジェンガはこっち。わにわにパニックはあっち……あら？
P,…………
まゆ,これはプロデューサーさんの書類……。でもだいぶ古いものみたいだし、薫ちゃんたちかな……所狭しと落書きされてる……。Pさん、この書類って……
P,ん？なんだー？。ははは！薫たちめちゃくちゃ描いたなぁ
まゆ,いらないものだったらなげちゃおうかと思ったんですけど
P,書類を……投げる……？。……な、投げたらダメだろ
まゆ,なげちゃダメなんですか？
P,確かにいらない書類だかららくがき用紙にしたが投げちゃダメだろ
まゆ,そ、そうですかぁ……。こんなにぐちゃぐちゃだったらなげて良さそうなのに……
P,ち、ちなみにどこに投げるつもりだったんだ
まゆ,えっ、これはあっち(部屋角のごみ箱)ですよね？。資源ごみはあそこであってるはず……
P,壁にかかってるダーツ盤を指さしてる……しかもさも当然のように言われた……。そ、それ投げても楽しくないだろ……
まゆ,？まゆ(片付け)好きですよ？
P,好きなの！？
まゆ,はい♪終わった後部屋を見て私頑張ったなって思えるんです
P,全然意味が分からない……。ま、まぁもし投げたいなら投げてもいいよ。誰もいないし……
まゆ,別に他の人がいてもなげていいような……
P,変わった趣味を持ってるんだな……
まゆ,わかりました♪なげちゃいますねぇ
P,投げるのにシュレッダーかけるの？小っちゃくて投げにくくない？。ま、まゆさん？
まゆ,あっ、シュレッダーのゴミもいっぱいだ……。これも一緒に投げちゃいますねぇ
P,そんなに！？
まゆ,えぇ。せっかくなので
P,……まさかと思うけどそれ全部？
まゆ,はい……だ、ダメでしたか？。ついでだもん、当然だよね……？
P,それ程ダーツ盤にゴミ投げるの好きなのか……そういうスポーツが流行ってるのか……？。め、飯行けるくらいには終わらせてくれよ……？
まゆ,そんなにかかりませんよぉ。一瞬じゃないですか
P,なるほど！まとめて投げるのか！。そ、それもそうだな……。ちゃんと投げた後は掃除機かけるんだぞ？
まゆ,あっ、そうですね。確かに埃が溜まってます
P,いやこれからお前が盛大に散らかすんだろうが！。じゃ、じゃあ俺仕事に戻るから……
まゆ,はぁい。……よいしょっと
P,……あれ？
まゆ,はい？
P,……投げないの？
まゆ,……なげましたよ？
P,ゴミ捨てただけだよね？
まゆ,はい、だから今なげｔ……あっ
P,そういうことだったのか……
まゆ,どおりでなんかおかしいなぁと思いました……
P,まさか方言だったとはな
まゆ,すみません……イントネーションは抜けてきたんですけど……
P,いや、新しい一面が見れてよかったよ。あまり仙台は方言がないイメージだけどな
まゆ,うーん。結構ありますよぉ？いずいとか
P,なにそれ？
まゆ,いずいはぁ……いずいなんですよねぇ……
P,なにそれ？
まゆ,どう表現しましょう……。！。Pさん後ろ向いてくださいっ
P,ほい
まゆ,あっ、ちょっとかがんでもらっていいですか
P,はいよ
まゆ,ちょっとだけ首を前に倒してください
P,はいな
まゆ,…………。首戻してください
P,はぁい……なにこれ
まゆ,首元、どうですかぁ？
P,いや、なんて言うの、これ。収まりが悪い？
まゆ,その感覚が"いずい"です
P,ほほう！なるほどな！なんとなくわかった！じゃあチンp……
まゆ,はい？
P,な、ﾅﾝﾃﾞﾓﾅｲﾖ-。あっぶねー……年頃の女の子の前でチンポジの話するところだった……。さて、仕事も終わったし、帰るか！
まゆ,はい♪食事はどこに連れて行ってくれるんですか？
P,んー東京の外食飽きたんだよなぁ正直……
まゆ,あぁ……ちょっとわかりますねぇ……
P,はぁ……飛鳥汁飲みてぇ……
まゆ,あっ、飛鳥ちゃんの汁！？。ちょ、ちょっとPさんっ！
P,えっなに！？
まゆ,の、飲むならまゆの汁を飲んでくださいっ！！
