池袋晶葉,できたぞ、忍！かな子の口に入った食べ物の味を全ておしんこの味に変えるスイッチだ！
工藤忍,うっわ…。何その超絶無駄なスイッチ…。っていうかなんでその報告をアタシにするの？
晶葉,だって、スイッチと言ったらやっぱり忍だろ？
忍,だからなんで？普通こういうのってPさんにするもんじゃないの？
晶葉,…忍
忍,何？
晶葉,うすうす気が付いているんだろ？なぜ、忍なのかを
忍,…
晶葉,つまり、そういうことだ
忍,今ほど自分の苗字を恨んだことはないよ…
晶葉,さあ、忍！スイッチを押すんだ！
忍,…はぁ、わかった、押すよ。押すけど、もうちょっと、そのスイッチによっておこることを具体的に説明してくれる？
晶葉,フーム。いや、だいたいさっきの説明ですべてなんだが…そうだな、例えばかな子がケーキを食べるとする。
忍,うん
晶葉,その前に、このスイッチを押していれば、そのケーキの味がおしんこに代わるといわけだ
忍,うん
晶葉,つまり、このスイッチは画期的な発明だ！
忍,それは絶対にないとして、その現象が起こるのって、食べ物のときだけなの？
晶葉,いや、そこら辺もちゃんとぬかりなく作ってあるぞ。具体的には、水以外の飲み物すべてがおしんこの味になる
忍,へー、すごいね。ところで、なんで変わる味がおしんこなの？もっと変な味とか、激辛とかでもよかったんじゃない？
晶葉,忍…
忍,うん？
晶葉,なんて恐ろしいことを、そういとも簡単に思いつけるんだ…。忍！お前には人間の心ってものがないのか！あの甘いもの大好きなかな子が、ただでさえ甘いものを食べているのに甘みを感じられない状態に陥るんだぞ！？その上激辛だと？…私には到底無理だ…。まさかあの忍が、ちひろさんと同族だったなんて…。見損なったよ…
忍,いやいやちょっと待って。その理論はおかしい。おかしいにも程があるよ。あと、さりげなくちひろさんを鬼悪魔扱いするのはやめなさい
晶葉,何がだ！ああ、もう忍の身体が蛍光緑に見えてきた…もうおしまいだ…
忍,いや、だからそれ、めっちゃちひろさんに対して失礼だからね？あと、アタシにも失礼だからね？
晶葉,それじゃあ、かな子に対して激辛を味合わせてやろうとしてた自分はどうなんだ！？
忍,いやだから…わかった、晶葉ちゃんはアタシに何をして欲しいの？
晶葉,スイッチ押して
忍,その心は
晶葉,私が実行犯になりたくない
忍,鬼悪魔はおまえだよ！
晶葉,ハハハハハ
忍,アハハハハ
晶葉・忍,……
晶葉,ふう、今日の茶番はいつもより長かったな
忍,主に晶葉ちゃんのせいだけどね
晶葉,まあ、そこはひとまず置いておいて。そろそろかな子が事務所につく時間だ。とりあえずスイッチを押してくれ
忍,オッケー、わかった。…これ？
晶葉,そう、それだ
忍,よーし。じゃあさっそく…ぽちっとな
晶葉,あとはかな子が来るのを待つだけだ
忍,楽しみだね
三村かな子,こんなちは～
晶葉,おお、かな子！
かな子,あ、晶葉ちゃん！そうだ、お家でお菓子作ってきたんだけど、晶葉ちゃん食べない？
晶葉,おお、いいのか。それはうれしいな。かな子のお菓子はいつもおいしいから楽しみだ
かな子,えへへ、ありがとう。それじゃあ私、他の子たちも呼んでくるね
晶葉,ああ。これが今日のお菓子か…いつもの通りうまそうだ…。先に一口味見してみよう…。…うん！うまい！。こんなにおいしいのにおしんこの味しか感じられないなんて…かわいそうだな…
かな子,連れてきたよー
緒方智絵里,あ、晶葉ちゃん…こんにちは…
忍,おっは～
喜多見柚,こっは～
忍,こっは～って何よ
柚,おっは～の派生？
忍,なんで疑問形なの…おっは～の派生形ならこっん～じゃない？
柚,ええ～？なんで～？
忍,だって、おっは～はおはようが元でしょ。そしたらこんにちはを元にしてるからこっん～
柚,なんかこっん～ってダサくない？こっは～の方がカワイイと思うけど
忍,そうかなー。こっん～も可愛くない？
柚,…忍チャンってたまに穂乃香チャンと同じくらいのカワイサレーダ持ってるよね…
忍,そこまで言う？
かな子,さあ、みんなで食べようよ！
智絵里,わあ、おいしそう
晶葉,ああ、美味かったぞ
かな子,あ、晶葉ちゃんつまみ食いしたの！？
晶葉,…一口だけだぞ？
忍,そういう問題じゃなくない？
晶葉,そうか？
忍,そうだよ
智絵里,ま、まあまあ…そろそろ食べましょう？
かな子,あ、じゃあお茶入れてくるね。みんなは先に食べてて
智絵里,あ…ありがとうございます、かな子ちゃん
柚,じゃあ、いっただっきまーす
忍,私も食べよっと
智絵里,い、いただきます
忍,うわ、おいしっ
柚,ホントにおいしいね、これ
智絵里,かな子ちゃんの作るお菓子は、いつもおいしいんですよ
晶葉,自分のことのように自慢する智絵里カワイイ
かな子,お待たせ―。お茶入れてきたよー
忍,あ、ありがとう
かな子,それで、味は大丈夫だった？
柚,もうバッチリだよ！
智絵里,おいしいです
かな子,よかった～。実は今日、時間がなくて味見できなかったから、ちょっぴり不安だったんだよね
晶葉,なんと！かな子が味見をしていないとは…
かな子,ちょっと晶葉ちゃん！
晶葉,ははは、すまんすまん
かな子,もう…まあいっか。それじゃあ私も、いただきまーす。………ん？
智絵里,ど、どうしたのかな子ちゃん？
かな子,みんな、これ本当においしかった？
柚,もっちろん！なんで？なんかあったの？
かな子,これ、おしんこの味しない？
智絵里,おしんこって、あのおしんこ？
晶葉,あのおしんことはどのおしんこだかわからないが、たぶんそのおしんこで当たってるんじゃないか？
智絵里,よかった…
柚,いや、何もよくないから。おしんこって一つしかないから。それよりなんでおしんこの味に感じるんだろう？
忍,一回お茶でも飲んでみれば？
かな子,うん…。…
柚,どう？
かな子,お茶もおしんこの味に感じる…
智絵里,ええ…
