北条加蓮,レッスン終わったけどヒマだなー。何かしよっかなー
加蓮,……ん？。なんかいっぱい転がってる。パンダまみれ。んー……。んんーー…………。…………。可愛いーっ♪
安部菜々,ふいーっナナもうクタクタ――
加蓮,ギャーーーーーーーーー！
菜々,ミンっ！？ななな何ですか異星人の襲撃わぷっ！？
加蓮,あーびっくりしたぁ菜々ちゃんかぁ……。よかった
菜々,よかった、じゃないですよ！クッションは投げるものじゃありません！メッ！
加蓮,ごめんごめん。ホントにびっくりしたんだってば
菜々,しかもこんなに散らかして！
加蓮,散らかしたの私じゃないしっ。元々だし
菜々,あと！何ですかギャー！
加蓮,ぎえー！
菜々,そこでそれ言います！？あと最後のはネタですから！ネタ！。一通り片付きましたかね
加蓮,端っこが動物園状態だね。……パンダばっかりだけど
菜々,見てるだけで笹の匂いがしてきそうですね♪
加蓮,なんかわかるー
高森藍子,あの～？今、加蓮ちゃんの悲鳴が聞こえましたけれど、何か――
菜々,あああ！しまったぁ！
加蓮,ひゃ。何急にっ
藍子,今度は菜々さんのっ
菜々,藍子ちゃんを連れてくるんだったァ！そしたらパンダのクッションをぎゅーってしてる加蓮ちゃんを保存できてたのに！！
加蓮,後悔するとこそこ！？っていうかやめてよ！
藍子,パンダのクッションを抱きしめてる加蓮ちゃん！？どうして教えてくれないんですか菜々さん！！
加蓮,藍子まで！
藍子,最近、パンダブームがすごいですよね
加蓮,だねー。パンダが産まれたり、名前の募集があったり
菜々,ナナも実は名前の募集、送ってみたんですよ！見事に落選してしまいましたケド……
藍子,そうなんですか？
加蓮,なんて名前にしたの？
菜々,ミンミン
加蓮,セミ？
菜々,セミじゃないですー！ウサミンですー！
藍子,ミンミン、のあとにウサミンをつけてみたらどうでしょうっ
菜々,さすが藍子ちゃん！ナイスアイディア♪
藍子,ミンミンウサミン♪
菜々,ミンミンウサミン♪
加蓮,……パンダの名前の話なんだよね？
菜々,パンダブームかぁ。ウサミンブームはいつ来ることやら
加蓮,割といつも来てない？菜々ちゃんがステージに上がる度にウサミンコールすごいじゃん
菜々,ナナの野望はこんなところでは終わりませんよ！
藍子,頑張ってくださいね、菜々さんっ
菜々,キャハッ☆そうだ、第二のウサミン星の命名権とかどうでしょう！パンダに名前をつけるのと同じ感じで！。全国のご主人様お嬢様っ、メルヘンいっぱいな名前を期待して待ってますよ♪
加蓮,どうしよう、どこからいじればいいのか分からない……
藍子,…………
加蓮,？藍子？
菜々,どうしました？
藍子,…………………………えと、ゆ……ゆ……。ゆるふわぶーむはこないかなぁ～……なんて……
加蓮,おぉ
藍子,あ、あはは、なんでもないですなんでもないですっ
菜々,藍子ちゃんが珍しく自己主張を！？パンダブーム恐るべし……
藍子,パンダの名前って、言葉を繰り返すのが特徴的ですよね
菜々,昔から、某動物園のパンダの名前は漢字を重ねるようにしてるんですよ♪。別にそういう決まりがあるワケではないんですケド、一番最初にそうしたからってことで！。あとっ、分かりやすい名前で、その時の流行語ではなく通年使えるように、っていうルールもありますね～
藍子,へぇ～。菜々さん、詳しいんですねっ
菜々,ふっふっふ。あれはウン十年前のことでしたか。この国にパンダが初めて来た時の盛り上がりっぷり！。パンダのこといっぱい調べてどきどきわくわくして、数時間待ったのにたった数十秒しか見られなかった時の悲しみと絶妙な喜びといったら！今でも忘れられませんよ！
藍子,あの……菜々さんって、何歳――
菜々,ハッ！ああえっとテレビ！そうテレビの話ですテレビの話！パンダブームですからね！パンダヒストリーを放送してたんですよ！
加蓮,スマフォでパンダ歴史。……ん？ええと、２０１７ひく１９７２だから。え！？菜々ちゃ――菜々さんって２×歳じゃないの！？もっと年上だったの！？
菜々,１７歳ッ！！言い直さなくていいですから！！！
加蓮,シャンシャン、だっけ。パンダの名前
菜々,ええ。香香と書いてシャンシャンですね
加蓮,藍子がさー、パンダの名前、シャンシャンじゃなくて謝謝シェイシェイ
藍子,わ～っ。加蓮ちゃん、そのお話はナシでっ
加蓮,プロデューサーさんにドヤ顔で言っててさ……ぷくくっ。プロデューサーさん、お、おう。こっちこそありがとな……？ってすっごい困り顔でさっ
藍子,わ～～～～っ！
菜々,あー……。ドンマイですよ、藍子ちゃん
藍子,うぅ。あれ、あとからすっごく恥ずかしかったんですよ……。加蓮ちゃんのばかっ
加蓮,大丈夫大丈夫。私も最初勘違いしてたから。藍子が言うまで私もシェイシェイだって思ってたから
藍子,加蓮ちゃんのばかっ。あれ？
加蓮,ん、どしたの
藍子,パンダの名前は、同じ言葉を繰り返すんですよね。っていうことは……菜々さんはパンダってことになるのではっ
菜々,！？
加蓮,ぷっ。ぷくっ、あはっ、あはははははっ……！！パンダ……！菜々ちゃんパンダ……！
菜々,そ、そんなに笑うことないじゃないですか。あとナナはウサミン！ウサミン星人！パンダじゃありませんから！
加蓮,藍子、衣装室にパンダの衣装あったでしょ。あれ持ってきて！
藍子,はいっ、今すぐ取ってきます！
菜々,ああっ藍子ちゃんがいつにない素早さで！やはりパンダブーム恐るべし……！
藍子,ただいま戻りました
菜々,おかえりなさいませお嬢様♪なんちゃっ……て？
加蓮,お帰りー藍子。遅かった……ね？
藍子,えへへ……
加蓮,……聞いていい？菜々ちゃんに着せる用の衣装、なんで藍子が着てるの？
藍子,衣裳部屋にあったのを見て、可愛いって眺めてたら……。つい着ちゃいたくなって
菜々,藍子ちゃん、まるで絵本の世界みたいですよ！すっごく似合ってますね！
藍子,ありがとうございます、菜々さんっ
加蓮,可愛いけどさー、ちょっと子供っぽすぎない？。確かに藍子は１６歳だけどさ、大人びたファッションの方が絶対似合うって。せっかく着てもらったとこ悪いけど、これはちょっとビミョーかなー
菜々,とか言いつつシャッターを押しまくる加蓮ちゃん
加蓮,あれっ
菜々,じゃーん！笹スティック！
藍子,わ～
加蓮,お香？……じゃなくてお菓子なんだ。わ、ホントに笹の形してる
菜々,この前見つけたので買っちゃいました！ささっ、ナナ達もパンダチャレンジしてみましょう！
加蓮,あむっ
菜々,とりゃー！
加蓮,……笹の味しかしない
菜々,まぁ笹スティックですし
藍子,私も、いただきますね。本当だっ、笹っぽい味がします。もぐもぐ、もぐもぐ……
加蓮,……
菜々,……
藍子,もぐもぐ、もぐもぐ……
菜々,……パンダのきぐるみフード付き
加蓮,……一心不乱に笹のスティック
藍子,もぐもぐ……
菜々,……お持ち帰りしていいです？
加蓮,やだ。私が持って帰る
菜々,いくら加蓮ちゃんでもここは譲れませんよぉ！
加蓮,私だって！
藍子,もぐ……？。もぐもぐ、ごくん。おふたりとも、ケンカしちゃ駄目ですよ。みんなで笹を食べましょうっ
菜々,はい
加蓮,はい
菜々,――ハッ！？あ、あれ！？ナナ達いつの間にこんなに笹スティックを！？
加蓮,え、え？……うわ、気付いたら１個もない！
藍子,もぐ？
加蓮,いつの間にか藍子につられちゃってたね
菜々,恐るべし、ゆるふわ×パンダの合わせ技……！
藍子,……もぐ？
菜々,藍子ちゃんは今すぐ普段着に戻るべきです！！
藍子,ひゃっ。き、急に何ですか……？
菜々,いいですか。藍子ちゃんがこのままパンダ姿でいると――世界が滅びる！
藍子,ええええええ！？
菜々,ナナ達の世界を守る為に！この惑星の平和の為にも！藍子ちゃんは着替えるべきなんです！！
藍子,わっ、分かりました。そこまで言うなら着替え……き、着替えますから菜々さんっ肩、肩いたいです……っ！
加蓮,あーあー……
菜々,……でもたまにでいいのでまた着てみません？笹スティックも用意しますし
藍子,は、はあ
加蓮,あーあーあー
菜々,パンダって、生まれて来る時にすっごくちっこいんですよ！だいたい１５ｃｍくらいみたいですね♪
加蓮,あ、それ見たことある！あんな小さいのに必死で生きてるのってすごいよね……
菜々,そんでもって、生まれたての頃は全身ピンクなんですよ。人間の赤ちゃんに似てるかも？
藍子,そうなんですか！？私、最初から白黒なんだって思ってましたっ
