・,多分
モバP,以下P
楓＆早苗,……はい
P,よかった。これでわからないとか抜かすもんなら真面目に禁酒させるところでしたよ
楓・早苗,………
P,それじゃあ、あちらを見てください。誰がいますか、早苗さん
早苗,……美城常務です
P,そうですね。で、どんな格好していますか？
早苗,……ぴにゃこら太Tシャツにスーツスカートです
P,そうですね。何で常務があんなトンチキな格好しているかわかりますか？
早苗,……
P,答えられないなら代わりに俺が答えましょう。あんたが常務にゲロをひっかけたからだよ
早苗,うぐぅ……
P,今日は346の職員とアイドルしかいない身内だけの飲み会ですよ。ニューイヤーライブも大成功したし、無礼講だとも言いましたよ。だけどね、だからってゲロ引っ掛けるのはやり過ぎだぞあんた。確かに美城常務も、今日は私も君たちに合せるかなんて言ってくれて多少面倒なノリにも付き合ってくれてましたよ
早苗,はい……
P,そんな常務にあなたはゲロをぶちまけたんですよ？
早苗,
P,俺初めて見ましたよ。常務のあんな怒っていいのか憐れんでいいのかわからない表情を。まったく。穂乃果がぴにゃTシャツを持ち歩いてなかったらどうなっていた事か……
早苗,ごめんなさい……
P,……反省しているようですし、今この場でのお説教はやめておきます。とりあえず今後しばらく禁酒ですからね
早苗,後日続きはするんだ……しかも禁酒はさせるんだ……
P,で、楓さん。問題はあんたですよ
楓,確かに私も吐きはしましたけど上司には迷惑はかけていない筈です！何より私が吐くのなんてPさんとの飲み会だったら日常茶飯事ですよね？
P,そういう話じゃ……って俺がいる酒の席のだけ吐いてたのかあんた！。いや、そうじゃなくて。あんた自分が何したかわかってます？
楓,？
P,素でわからないって顔してますねこの6代目シンデレラガールは
楓,
P,くっそ笑顔がまぶしいなチクショウ。まぁ楓さんのゲロ被害者は俺ですよ。そこは別に気にしてません。楓さんにゲロ引っ掛けられるなんて、それこそ酒の席じゃ日常茶飯事ですから。問題はそこじゃないんです。いやそこも大問題ではあるんですけど。俺もね、もうゲロ引っ掛けられたくらいじゃ怒りませんよ。慣れましたし。ただ今回は訳が違います。ただそれが口移しだったら流石の俺も怒りますよ
楓,テヘペロ
P,古いし全然反省してねえなあんた。…楓さん、あなた自分がトップアイドルだって自覚してます？
