モバＰ,以降ノーコンティニューでＰ表記だよ！
Ｐ,ってチッヒいないのか。よし平和だ。ん？…誰だよ人の椅子の上にぴにゃこら太置いたの。うんしょ…何だコレ重たいぞ。まるで中に仁奈でも入ってるような…
仁奈,入ってるですよ！
Ｐ,わっほい！
仁奈,んっふっふ～。驚いたでごぜーますか
Ｐ,そりゃ突然ぴにゃの口の中から女の子の顔が出てきたらホラーだよ
仁奈,プロデューサーびっくり大作戦だいせーこーですよ！
Ｐ,おっ、発案者はあずきかな？
仁奈,千秋おねーさんでごぜーます！
Ｐ,意外な人選。で、どうしたのさ？
仁奈,おしごと終わりやがったですよ
Ｐ,そっか。お疲れ様
仁奈,えへへー。だから仁奈ヒマなんでごぜーますよ！
Ｐ,そっか。俺はまだ仕事残ってるんだよ
仁奈,構ってくだせー！
Ｐ,仕事残ってるんだよ
仁奈,構ってくだせーー！！
Ｐ,よし、仕事なんてどうでもいいよな
ちひろ,おい
Ｐ,あっ大変だぞ仁奈。妖怪課金闇皇帝が現れたぞ
仁奈,みんなのモバコインカードを返すでごぜーますよ！
ちひろ,チーッヒッヒッヒッ！既に課金兵達の身銭は我が血肉と化し…って何やらせるんですか！
Ｐ,意外な名演ですね。あ、素か
ちひろ,くっ…！仁奈ちゃんがいなかったらボコボコにしてるのに
仁奈,ちひろさんも遊ぶですよー
ちひろ,ごめんね仁奈ちゃん。私もそこの社畜もまだお仕事なんですよ
Ｐ,あ、俺終わりましたよ
ちひろ,嘘つけぇ
Ｐ,いえいえ、ほら。ちひろさんと仁奈がじゃれてる間に
仁奈,おー！プロデューサーすげー！
ちひろ,妖怪はアンタの方だよ
Ｐ,と言うわけで遊ぶぞ仁奈ー！
仁奈,遊びやがれー！
ちひろ,私はまだ仕事がありますから。遊ぶなら別の場所にしてくださいね？
Ｐ,よし仁奈。あそこに財布の破壊者チィケイドがいるぞ
仁奈,おまえの罪を数えるでごぜーますよ！
Ｐ,今まで破産させてきたユーザーの数を数えろ！
ちひろ,今更数え切れるか…って、だから他所で遊んでください私で遊ぶなぁ！
Ｐ,銭ゲバコンドルが怒るから別の場所で遊ぶぞ仁奈ー
仁奈,あいあいさー！
Ｐ,おーい、そんなに走ると歌鈴みたいにコケるぞー
ちひろ,まったくもう…人を何だと思ってるんですか
