モバP(以下P表記),まあ冗談なんだけど
周子,冗談って心配したやないかーい
P,嘘つけ、八ツ橋モグモグ食う速度変わらなかったくせに
周子,まあ突然そんな冗談言うなんてどうかしたん？熱でも出た？
P,いや、最近と言うわけではないが俺以外のPが冬だからか火事にあっててな
周子,ほうほう
P,この前はほたるPの奴が丸焦げになってたな。本人はほたるの不運を俺がとかブツブツ呟いてたが
周子,あー……
P,あとは茄子さんのところのPもだ。本人はめちゃくちゃ落ち込んでたが。ということで火事になったら困るよなって
周子,言うてPさん達って稼いでるから火事になってもホテルで生きていけるやん？
P,まあそれはそうなんだが
ちひろ,というかいざとなれば会社がなんとかしてあげますよ？
P,男じゃなかったら女子寮に一旦移るってのもできそうだしな
周子,響子ちゃんとか喜ぶだろうなあ
P,そう考えると火事になってもとりあえず困ることは少なさそうだな？
ちひろ,そもそも仕事の資料とかは事務所保管ですし仕事にも影響はあまりないでしょうね
周子,しいていうなら思い出の品とかが焼失しちゃうぐらい？
P,それもグッズとかなら事務所にも保管されてるだろうからなあ
周子,じゃあ困らないということで
P,いやまて、そんな現実的な話は面白くない。ここは妄想でだな
ちひろ,妄想でって…
P,いやいや、例えばですよ？
周子,えっ、Pさん家が火事になって困ってるん？
P,うう…今夜はどこで寝泊まりすれば
周子,水臭いなー、Pさん
P,まさか！
周子,はい、あたしオススメのネカフェ。家出した時のお世話になったわー
P,違う！
周子,いやー、ネカフェも案外悪くないよ？ジュース飲み放題、ソフトクリームもあるし、ダーツできるところもあるし
P,違うの！そうじゃないの！
ちひろ,面倒くさい人ですねー
P,ダメだぞ周子、俺が女子寮に行くわけには
周子,１日ぐらいならへーきへーき。それにPなら信頼してるし
P,いや、でもだな
周子,それに明日も仕事なんでしょ？こんな寒い中に放り出されてたら風邪引くよ？
P,うっ、いや少し金を貸してくれればホテルにでも
周子,勿体ないじゃん。それにPさんには昔お世話になったし
P,…本当にいいのか？
周子,大丈夫だって、シューコちゃんに任せておき
ちひろ,いやダメですよ？
周子,そもそも女子寮、チェック厳しいから侵入無理だと思うよ？
P,そういやお前起こしに行った時も入るの苦労したな
ちひろ,えっ、Pさん入ったことあるんですか？
P,来ないから女子寮に行ったらソファーで寝てるんですよ、こいつ
周子,あー、そんなこともあったね、うん
ちひろ,あそこチェック厳しいですけどよく許可出ましたね？
P,寮母さんとかあとたまたま入口で掃除してた五十嵐さんとかに許可貰えて共有スペースにまでは入れてもらえました
周子,ああ、だから響子ちゃんがあの日ロビーにいたんだねえ
ちひろ,まあそれはともかく周子ちゃんの手助けは貰えないですね
P,い、いやまだだ。まだ手はある！
周子,えっ、まだ続くのこれ？。うーん、こうなったら仕方ないか
P,なんだ？
周子,そろそろ女子寮から出ようって話はしてたでしょ？
P,あ、ああ
周子,ちひろさんにも手伝ってもらっていい物件探して貰っててさ
P,うん
周子,行く宛困ってるなら来る？
P,いや、来るって
周子,ははーん、さてはこのシューコちゃんと一緒に寝たら手を出しちゃうと
P,だ、出すか！
周子,じゃあ問題ないじゃない？
P,い、いやだが人気アイドルの住む家にPとはいえ男が行くのは
周子,ちひろさんが見つけてくれた物件だからガードは心配ないってさ
P,と、とりあえず一晩だけだ。こっちもちひろさんにお願いして新しい家探してもらう
周子,おっけー、じゃ行こうかね、Pさん。好きなおばんざいでも買ってこー
ちひろ,いやダメですよ。そもそも私どんだけ有能なんですか？
周子,そもそもまだこれ契約できてないよね
P,…確かに。つまり
周子,Pさんが火事になってもあたしは助けられないねー
ちひろ,そもそも家から追い出されてアイドルになって生活してる周子ちゃんですからね
P,くそう、たまには周子に返してもらおうと思ったのに
周子,まあまあそれはほら、アイドルシューコで返してるじゃない？
P,それはそれ、これはこれなの！
ちひろ,…うん？
周子,じゃ、そろそろシューコちゃんは帰るよ
P,お、おう。俺はもうちょい仕事したら帰るからお疲れさん
周子,ほいほい
P,さてと、ちひろさんは終わりそうですか？
ちひろ,えっ、ええ。ところで
P,じゃ頑張って終わらせてお互い早めに帰りましょう。もうすぐ年末で忙しくなりますし
ちひろ,はあ…
周子,そもそもPさんの家が火事になったらあたしも困るんだよねー
P,お前は基本的に女子寮があるだろうが
周子,さすがに学生じゃないのにいつまでも女子寮ってのもどうかなーって
P,稼いでるんだから早く一人暮らしすればいいだろ。菜々さんとかみたく
周子,えー、こうしてPさんの家で寄生すれば楽じゃん
P,ったく。今日の晩御飯は？
周子,特製シチューかな
P,キャンプの時のあれか。隠し味にだしを入れるとか本気でやれば料理上手だよな
周子,誰かさんが鍛えてくれましたから
P,その誰かさんに感謝するんだな。将来の旦那さんは幸せ者だぞ
周子,そうだねー
