・正確には,白露が一番
時雨,あ、また当たった
村雨,時雨姉さんはほんとによく当たるね。いつもガリガリ君の当たりが出てない？
時雨,そうでもないよ。雪風と勝負したことあるけど、あっちは11回連続で当たり出したけどボクは10回で止まったし
村雨,そんな勝負が成立する時点でおかしいような……
時雨,そうかなあ。姉さんはどう思う？
白露,あたしはまた外れ。食べる速さなら一番なのに！
時雨,あはは、それ当たりには関係ないじゃないか。それにトラックは暑いんだから、もっと味わって食べないともったいないよ
白露,味わって早食いしてるから大丈夫！
時雨,もう、姉さんってば
白露,でも時雨はほんっとに強運だよね。こればっかりは天性だしすごいよ
村雨,そうよ、私たちの中でも一番なのは間違いないでしょうし
時雨,一番かい？
村雨,そうじゃない？
白露,……そーだね
村雨,幸運のお裾分けとかできないのかな？
白露,何それ、すっごくほしい
時雨,……じゃあ今日はどれだけ当たりが続くかに挑戦してみようかな。たくさん当たったら姉さんも村雨も食べてよね？
白露,マジ？やった～！
村雨,いいじゃない。姉さんたちがお腹を壊しても困るもんね
時雨,なんだかやる気が出てきたよ。僕の幸運に乞うご期待かな？
白露,大丈夫、時雨なら絶対にできるから！だからアイス頼んだよ！
村雨,うーん、これはどうなのかな……？
白露,どしたの、村雨？
村雨,服がなんだかきつくて……もしかしてふと……ううん、そんなはずは……でも時雨姉さんとアイスいっぱい食べてるし……
白露,あー、これはあれかぁ
夕立,村雨は大きくなったっぽい
村雨,やっぱり!?どうしよう……
白露,なんでそんなに凹むかな。大きくなったのはおっぱいでしょ
夕立,ぽい
村雨,でも、お腹周りもだらしなくない？ここだけ大きくなるなんて
白露,平気でしょ。ま、スタイルのバランスなら白露が一番だけど！
夕立,お姉ちゃんは夕立とそんなに変わらないっぽい
白露,何おう！比べてみるか、夕立！
夕立,別にいいけど……
白露,ん？
村雨,本当に変じゃないかな？
夕立,どんぐりの背比べっぽい！
白露,ぐあああっ!?
夕立,村雨は白露型の中じゃ一番体つきが大人っぽい。だから平気っぽい！
白露,……そうだよね、やっぱ
村雨,うーん……
白露,もうそんなに気になるなら新しい服を買えばいいんじゃない？村雨はおしゃれさんだし、いい気分転換にもなるでしょ
村雨,そう、かな？それなら、よければ今度の休みにみんなで行ってみない？
白露,いいね。じゃあ一番いいのを買わないとね！
夕立,その前にお姉ちゃんは夕立と出撃っぽい！
白露,そういえばそうだった……とにかく村雨は心配しなくてよし！
鳥海,今回のMVPは
白露,あたしがいっちばーん！
鳥海,夕立さんですね。戦艦一隻に巡洋艦二隻を撃破とは、さすがです
白露,そんなぁ！
夕立,素敵なパーティーにしてあげたっぽい！
加賀,そうね。後方から見てたけど獅子奮迅とはああ言うのかしら
霧島,まさかル級を単独の砲戦だけで沈めるほどとは、この霧島の目をもってしても見抜けませんでした
榛名,逆に戦艦組が仕事してないと思われてそうですが榛名は大丈夫です！
鳥海,そんな夕立さんには司令官さんからこちらを預かっています。日頃の活躍もありますので
夕立,間宮券！どうもありがとうございます！っぽい
霧島,私たちには何かないんですか？
榛名,どうして霧島は自分から火中の栗を拾いに行くような真似を……でも榛名は大丈夫です！
鳥海,お二人は……駆逐艦を一隻ずつですか
榛名,秘書艦さんに生暖かい目で見られても榛名は大丈夫です！
鳥海,その、もっと夕立さんを見習っていただけると司令官さんも助かると思いますよ
夕立,それなら次も夕立が一番活躍するっぽい！
白露,いっちばーん……
夕立,お姉ちゃん、早速食べに行こう。今日は夕立が奢るっぽい！
白露,え、マジ？やったー！
五月雨,避けてえ、お姉ちゃん！
白露,はいはーい！お箸持つ方に避けるよ！
五月雨,逆に転蛇します！
白露,ってなんで真っ直ぐ突っ込んでく――
五月雨,あれぇっ!?
白露,うわーっ、しまった！
五月雨,お姉ちゃん、大丈夫!?
白露,うぅ、また衝突するなんて……でも訓練中でよかったあ……
五月雨,ごめんなさい！
白露,あー、いいのいいの。今のはあたしの不注意でもあるんだし。それより怪我してない？
五月雨,うん、お姉ちゃんこそ大丈夫？
白露,もっちろん！なんてったって一番だからね！打たれ強さだっていっちばーん！
五月雨,お姉ちゃん、血！鼻血が垂れてる！
白露,あ、なんか急に目の前が暗く――
五月雨,お姉ちゃーん!?
白露,うーん……
五月雨,あ、お姉ちゃん。体はどう？
白露,よく寝たぁ。でもなんで五月雨が？
五月雨,……もしかして記憶が
白露,え？待ってよ、ちゃんと思い出すから
五月雨,う、うん
白露,あたしは記憶力もいっちばーん
五月雨,それで思い出せちゃうんだ
白露,あ、また衝突しちゃったのか。くそー、艦娘になった今度こそはぶつからないって決めてたのに！
五月雨,ごめんなさい……ドジで本当にごめんなさい……
白露,わわっ、待ってったら。あたしは別に怒ってないよ
五月雨,お姉ちゃんを気絶させちゃったし、こんな迷惑をかけるドジなんて……
白露,まあまあ、五月雨ってば頑丈だしすごいじゃん
五月雨,そんなの関係ないよ
白露,五月雨がそうやって変わろうと……一番努力してるのは知ってるし、あたしが気にしてないんだからそれで問題なし。でしょ？
五月雨,でも訓練中に事故を起こしちゃったんだよ？
白露,そうだった……まー、さすがに提督も怒るかもだけど、その時は一緒に怒られてあげるよ
五月雨,お姉ちゃんまで？
白露,避けられなかったのはあたしもだし、箸を持つほうってどんな指示よって話になっちゃうし。その後でもうドジっ子なんて言わせないようにしていけばいいんじゃない
五月雨,……ありがとう。私、決めた。もうドジっ子なんて言わせないんだから！
白露,うんうん、その意気その意気
五月雨,新しいタオル持ってくるね、お姉ちゃん！
白露,気をつけてよ
五月雨,大丈夫、いくら私でもこのぐらいは――ほあああああっ!?角に小指ぶつけた!?なんでっ!?
白露,やっぱドジだね、あの子。一番の頑張り屋なのに
涼風,姉ちゃん、生きてるかぁ！
白露,生きてるよ！どしたの、涼風？
涼風,あれ、なんか聞いてた話と違うな。危険が危ないって五月雨が言っててさ
白露,意味分かんないし。あ、なになに。もしかして心配してくれたの？
涼風,てやんでえ！当ったりめえだろ！
白露,……なんかごめん
涼風,なんもないならいいけどさー。五月雨も五月雨でもうちっと落ち着けばいいのに
白露,あの子も悪気はないんだから許してあげてよ
涼風,あたいだって怒ってないよ。それよりお粥作ってみたんだ、怪我人にはこれがいいって聞いて
白露,もしかして、あたしのために？
涼風,……じゃなきゃ作らないって
白露,あーもう、涼風はいい子だなあ
涼風,褒めたってなんも出ないぞ！
白露,もしかして食べさせてくれるの？
涼風,甘えんな！
白露,えー、食べさせてくれないの？どうしてもダメ？
涼風,そんなに食べさせてほしいのかよ？
白露,こんな機会なんて滅多にないし
涼風,ぽんぽん衝突したり怪我されてたまるか！
白露,ほんと、いい子だなぁ
涼風,もう置いてくから姉ちゃんが好きに食べてよ。器は後でまた取りに来るからさ
白露,うん、分かった
涼風,へへっ、でも大したことなさそうでよかったな
白露,……いっちばーん
涼風,何か言ったかい？
白露,んーん、なんでもないよ。なんでも
神通,今のは江風が一番よく動けてましたね。海風もなかなかよかったです
海風,ありがとうございます
江風,んっ？聞いたかー、白露の姉貴。江風が一番だってさ？
白露,なかなかやるじゃん
江風,きひひー、悪いねー。江風がいっちばーン
白露,……んー
神通,今のはどうでしょうか……釘を刺したほうがいいのか、それとも
海風,浮かれすぎですよ、江風
江風,んっ、ごめンごめン
神通,海風の言う通りです。確かに江風が一番動けてはいましたが、一番動ける者が一番の戦果を挙げられるわけではありません。その逆も然りです
江風,んっ、分っかりました
海風,あの、後で私がちゃんと言っておきますから
神通,ええ……では帰投しましょう。姉さんと那珂ちゃんもそろそろ終わる頃でしょうし
江風,ふー、おつかれおつかれー！
白露,よーし帰投だよー。帰るのはあたしが一番なんだから！
海風,白露姉さん……。白露姉さん、先ほどは江風がすみませんでした
白露,へ？なんで謝るの？江風が何かしたっけ？
海風,調子に乗って姉さんに失礼な真似を
白露,あー、あれか。あれは確かにね
海風,あの子も悪い子じゃないんですけど……
白露,頭にきました
海風,そんなに……ですか？
白露,ちょっと、今のは笑うとこ！
海風,す、すみません……どういうことなんですか？
白露,すべった冗談の説明しろとかひどい！
海風,ご、ごめんなさい
白露,今のは加賀さんの真似
海風,あっ……私、加賀さんには会ったことないので……
白露,あちゃー、最初っから人選ミスだったか。面白いお姉さんなんだよ、あの人
海風,あの、それより
白露,江風のこと？そうだね……あんまり気にはしてないつもりだけど、あのぐらいで天狗になられちゃ困るかな
海風,言って聞かせます。姉さんこそ大丈夫なんですか？悔しそうでした
白露,そりゃ悔しいに決まってるじゃない。一番になれなくて。でもさ、あそこであたしが怒ってもただの嫉妬じゃん
海風,姉さんはやっぱり姉さんなんですね……
白露,えーっと？
海風,姉さんは一番だっていうことです
