美城常務,ふむ、全員揃ったようだな。では、プロジェクトクローネ会議を……む、どうした？皆、表情が硬いが
橘ありす,ええと……
塩見周子,ちょっと聞きたいことがねー
北条加蓮,みんな、同じ気持ちだと思うけど……
速水奏,ええ、そうね
鷺沢文香,はい……お聞きしたいのは……、常務の得意料理について……
加蓮,ごめん、それはどうでもいい
渋谷凛,そうじゃなくて、気になるのは……
宮本フレデリカ,じょーむのパジャマについて……
加蓮,ごめん、それも本当にどうでもいい
神谷奈緒,だからそうじゃなくて……！
大槻唯,じょーむの休日の過ごし方について……！
加蓮,興味ないって言ってるでしょ！！！
奏,開幕1レス目で既に！マーク3つ……ロケットスタートね
加蓮,うっさい！
常務,皆、良い質問だ
凛,いや答えなくていいから
常務,まず得意料理だが、チャハーンだ
奈緒,キャシャーンみたいに言うな
常務,そのツッコミが誰に伝わるんだ
奈緒,余計なお世話だよ！
常務,次にパジャマだが、キャシャーンの柄
奈緒,それは嘘だろ！？
常務,最後に休日だが、キャシャーンのグッズ収集
奈緒,もういいよキャシャーンは！！！
常務,無駄話はこのくらいにしよう
ありす,どの口が言いますか
常務,それで、何か聞きたいことがあるようだが
周子,予定が9時〜20時だったんだけど、またどっか行くのかなーって
奈緒,言われた
加蓮,言われた
凛,言われた
周子,うわ、何？
常務,はは、何を言っている。今は会議の時間だ。それを放り出して外出すると思うか？
奈緒,……
加蓮,……
凛,……
常務,……
奈緒,……
加蓮,……
凛,……
常務,……。お花見しようよ
ありす,はい？
常務,役員だっていいじゃない
ありす,はい？
唯フレ,パーリラっ！パリラハイっ！
ありす,ち、ちょっと黙っててください
文香,常務の頭の中がパリラハイというお話でしたか……？
ありす,文香さん
奈緒,頭の中がパリラハイってなんだよ
加蓮,バカにしてるニュアンスだけは伝わった
常務,落ち着いて聞いてほしい。世間はまさにお花見のシーズンだ
フレデリカ,ふむふむ！
常務,君たちは今シーズン、お花見はしたか？していないだろう？当然だ。売れっ子だからな
凛,いや……私たち3人はこの前行ったけど
常務,！？
フレデリカ,フレちゃんもこの前行ったよ！ありすちゃんとふみかちゃんとね！
ありす,私は巻き込まれただけですが
常務,！？！？
奏,LiPPSでも行ったから、フレデリカは2回行ったことになるのね
唯,ゆいも行ったよ！ちなったんと！
常務,！？！？！？
奏,そういうことみたいね。気を遣ってくれたのは有難いけれど
唯,うんうん！じゃ、会議を始めちゃおー！
常務,まあ、待て。落ち着け。落ち着こう。落ち着いたか？よし。落ち着け
凛,わかりやすっ
常務,君たちが既にお花見ラーであることは理解した
奈緒,なんて？
常務,だが、まだ君たちはお花見ラーとしてレベルが低いと言わざるを得ない
加蓮,だからなんて？
常務,さらに上のお花見二ストを目指すつもりはないか？
ありす,その呼称ブレたらおしまいじゃないですか？
奏,さらに上の……
フレデリカ,お花見ニスト……！？
唯,なにそれ！？なにそれ！？
周子,肩書きに弱いタイプの人類だ
文香,落ち着きましょうみなさん……プロジェクトクローネのコンセプトをお忘れですか……？
加蓮,そんなのあったっけ
文香,坊主憎けりゃ袈裟まで憎い
凛,初耳オブ初耳
奈緒,そこからアイドルプロジェクト立ち上げるの正気の沙汰じゃないぞ
常務,ふふ……皆、お花見への興味が一層強くなったようだな……
凛,どこ見て判断したの？
常務,仕方がない。今日だけ特別だ。注目！
奈緒,口を挟ませろ
常務,というわけで、今日、君たちにしてもらうのはこちらだ
りんなおかれんありす,デジャブ……
常務,心配はいらない。今回はお花見をするだけだ
凛,……本当に？
常務,……恐らく
加蓮,またライブとかねじ込まれない？
常務,……ないはずだ
ありす,カメラとか入ってませんか？
常務,……善処しよう
奈緒,その何かあっても言い逃れできる余地を残した返答をやめろ
周子,お花見ねえ……今回はどうやって移動？
文香,前回はBUSでしたが……
周子,どうしていきなり発音がよくなるのか
奈緒,英語だよな？ローマ字読みじゃないよな？
常務,今回は近くの自然公園に行くだけだ。徒歩で問題ないだろうと考えている
唯,そこからは移動しないのー？
常務,そのつもりだ。桜の下で食事をし、親睦を深めながら、ついでに会議もする
凛,ついで
常務,いつまでも同じ会議室では疲れてしまうだろう。たまにはシャバの空気を吸うことだ
ありす,その理屈だとここは刑務所になりますが
フレデリカ,はーい！裁判長フレデリカの参上だよ！
奏,では常務の罪状は？
文香,職権濫用以外にありますか？
ありす,何か始まった
奏,検察側の求刑は？
文香,無期懲役でお願いいたします
凛,罪に対して罰が重い
奏,弁護側の主張は？
唯,うちくび！
奈緒,弁護しろよ！
加蓮,重くなっちゃった
常務,まったく……気を抜くとすぐに脱線してしまう
奈緒,そっちがシャバとか言い出したからだろ
常務,ちなみに料理については問題ない。五十嵐ケータリングサービスを予約済みだ
凛,何そのサービス知らない
常務,他に何か質問は？
フレデリカ,バナナはおやつに入りますか！！！
奈緒,それ毎回聞いてるな！
常務,では宮本、バナナとは何だ？
フレデリカ,んー？黄色くて細長いフルーツ？
常務,ではこのペンはバナナか？
フレデリカ,違うよ？
常務,なぜ
フレデリカ,え？き、黄色くないしフルーツじゃないから？
常務,ではフルーツとは何だ？そもそも黄色とは？君の見ている黄色と私が見ている黄色は同じか？
フレデリカ,え？え？
常務,食物の定義とは？食べれるか否か？ならばどの瞬間をもって食べたと？飲み込むだけならなんだって可能だ。食べたら死ぬものであっても、”食べた”という行動の後に”死”という結果が来るのだから、食べること自体には成功している
フレデリカ,？？？？？
ありす,ふ、フレデリカさん！しっかり！
奈緒,また厄日かよ
常務,以上を踏まえ、バナナはおやつに含めない
凛,どう踏まえたの？
フレデリカ,ふぁい……
加蓮,聞いた本人に届いてないけど
常務,では出発しよう。背の順に並んでくれ
奈緒,小学校かよ
ありす,141
奈緒,154
加蓮,155
唯,155
文香,162
奏,162
周子,163
フレデリカ,164
凛,165
常務,先導はもちろんこの私、GTMグレート・ティーチャー・ミシロ
奈緒,訴えられろ
常務,横断歩道ではみんなで手を挙げるように
唯,はーい！
凛,公開処刑かな
常務,交通ルールを守れない者にこの事務所の門をくぐらせるわけにはいかない。引退勧告も視野に入ると思ってほしい
ありす,さっきから理不尽な処罰が続きますね
常務,では、番号！！！
ありす,！？
りんなおかれん,！？
常務,む……聞こえなかったか？
ありす,聞こえたから驚いてるんです！
常務,気を取り直して……番号！！！
ありす,な、なんなんですか……い、１
奈緒,え？２？
加蓮,えっと……３
唯,ひゃく！！！
周子,看過できないインフレ入ったね
文香,2323
ありす,フミフミの語呂合わせ……！？
奏,……ゼロ。でいいかしら
奈緒,減ってもいいのかよ
周子,じゃ、４で
フレデリカ,５億円！！！
加蓮,単位ついちゃった
凛,もうこれ番号の意味ないでしょ
常務,今後はその番号で呼ばせてもらう
ありす,本格的に刑務所じゃないですか！
常務,わかったか？５億円
フレデリカ,あいあいさー！
周子,フレちゃんそれでいいん？ホントに？
常務,そちらはどうだ？もうこれ番号の意味ないでしょ
凛,別に番号の代わりに言ったわけじゃないんだけど！？
奈緒,凛、よく今の反応したな
唯,ねーねー！早く行こうよー！
フレデリカ,そーそー！”善は急げー！”って聞いたことあるよ！
常務,では”善”とは何だ？
フレデリカ,？？？？？
奈緒,もうやめてやれ！！！
常務,さて、到着したが……
唯,わー！人がたっくさん！
ありす,満開ですからね……
奏,場所はどうするの？
常務,良い質問だ
加蓮,そのセリフの時ってろくな答えが返って来ないんだけど
常務,全く考えていなかった
凛,カッコつけて言うのやめて
