これに似た話です,続きモノとかではないです
ちひろ,プロデューサーさんは会議に出ていて、席を外しています。今事務所には、私の他に……
こずえ,くりすます、ぷろでゅーさーといたんだってー……？
雪美,うん……プロデューサー……一緒だった……ふふっ……
ちひろ,こずえちゃんと雪美ちゃんがいます
雪美,お母さんと……お父さん……仕事でいなくて…………二人きり…だった……
ちひろ,確かお仕事が早めに終わって、雪美ちゃんのおうちで親が帰ってくるのを一緒に待っていたそうです。やましいことは無いそうです。決して。
こずえ,へぇー、なにしてたのー？
雪美,クリスマスの…準備……あとは…………
ちひろ,はい、こちら○○プロダクションです……
雪美,ペロと……おひるね……
こずえ,おひるねー？
ちひろ,……はい、伝えておきます。はい。失礼します
雪美,うん…………一緒に……おひるね……してた……
ちひろ,……プロデューサーさんと一緒にお昼寝してたのかしら？
こずえ,ふたりでー？おふとん、せまくなかったのー……？
雪美,うん……狭くなかった…………くっついて……寝てたから……
ちひろ,くっついて寝てた……って、これは事案なのでは……？いやいや、雪美ちゃんが寂しくて寝つけなくて、ってパターンかも……
雪美,私の胸に……頭…すりつけて……甘えてたの…………可愛かった…………ふふっ……
ちひろ,事案だー！！！！
こずえ・雪美,！？
ちひろ,いきなり大声出してごめんなさい……でも、ちょっと確認させてね、雪美ちゃん。プロデューサーさんと一緒に寝てたのよね？
雪美,プロデューサー…………確かに……一緒にいた…………机で……お仕事してた……。うん…………プロデューサー……一緒だった…………
ちひろ,勘違いじゃなかった…………！あの男、やっぱりロ○コン野郎だったのね……！
雪美,ロリ○ン……って……？
ちひろ,えーと……いや、なんでもないのよ。それで、お昼寝の間、雪美ちゃん、プロデューサーさんに何かされなかった？
雪美,何もされてない……と思う…………私…寝てたから……
ちひろ,そう……なら良かったのかしら……。でも、さっき胸に頭をすりつけて甘えてたって……
雪美,……？それって……。ペロの話…………？プロデューサーの話……じゃないの……？あ……でも……確か……プロデューサーも……ペロを……可愛がってくれた…………。ええと…………そう……プロデューサーも……可愛がってくれた…………
ちひろ,可愛がってくれた！？さっきはプロデューサーが甘えてた、って……お互いに何かやってたのかしら……。プロデューサーは、何をしてくれたの？
雪美,プロデューサー…………頭とか……色んなところ……撫でてた……
ちひろ,頭とか！？他にどこを撫でてたの！？
雪美,ええと……あごとか……背中とか……お腹とか……？
ちひろ,お腹って……えぇ……スキンシップ激しすぎない？普通そんなとこ撫でる……？
雪美,お腹なら……私も……よく…なでてあげてる……
ちひろ,
雪美,仲良い人から……お腹……なでられると……嬉しいって……言ってたの……
ちひろ,プロデューサーさんにそんな性癖があったなんて……
雪美,嬉しそうな顔……見てると…………私も……すりすり……しちゃう……
ちひろ,すりすり！？すりすりって何してるの！？
雪美,え……頬ずり…………ほっぺと…ほっぺ……くっつけて…………
ちひろ,ああ、そう……そこは微笑ましくて安心したわ
こずえ,ちひろ、かんちがいしてるー……えへへー、おもしろいかもー。ペロと
ちひろ,一緒にお風呂ですって！？
雪美,え……お風呂……？お風呂は……入らない……
ちひろ,ああ、そう……良かった……
雪美,苦手で……あまり……入りたがらない……
ちひろ,入りたがらない、って……流石に理性はあるようね……
こずえ,このまえねー、いっしょに、はいろうとしてたんだけどねー
ちひろ,はい？
雪美,でも……いつも……逃げられる…………
こずえ,おふろ、たのしいのにねぇー
ちひろ,雪美ちゃんから一緒にお風呂に入りたがるなんて……プロデューサーさんのこと、相当好きなのかしら……。でも、ちょっと危ないような……
P,ただいま戻りましたー
ちひろ,お帰りなさい、プロデューサーさん。あの、ちょっとお話があるんですけど……
P,はい？
ちひろ,さっき雪美ちゃんから、この前のクリスマスの時のお話を聞いたんですけど……お二人とも、とっても仲が良ろしいようで？
P,ん？ああ、まあ、そりゃあ担当アイドルだしな
雪美,うん……プロデューサー……心……繋がってる……
ちひろ,あらあら……でも、その、流石に過剰なスキンシップはどうかな～、って
P,過剰なスキンシップ？せいぜい頭を撫でたり、手を繋いでる位ですけど……過剰ですかね？
ちひろ,いやいやいや、雪美ちゃんから、一緒に寝て、お腹を撫であったりしたとか聞きましたよ？
P,はぁ！？
雪美,え……！？ちひろ……ちがう……！
ちひろ,なぁーんだ、ペロの話だったのね。てっきりプロデューサーが変態なのかと
P,誰が変態ですか！そんなお腹触らせて喜ぶ性癖なんて持ってないです！
ちひろ,こずえちゃんも気付いてるなら言ってくれればいいのに
こずえ,えへへー、ちひろのひょーじょー、おもしろかったよー
雪美,こずえ…………いたずら…………だめ…………
ちひろ,いやー、てっきり一緒の布団でラブラブしてたのかと思いましたよ
P,いやいや、そんな事するわけないじゃないですか
雪美,え……しないの…………？
P・ちひろ,え？
雪美,プロデューサー……一緒の布団で……寝たい…………。……だめ……？
こずえ,こずえもいっしょにねるぅー……。さんにんでねぇ、ぽかぽかぁ、ってするのぉ……
P,えーと、一緒にお昼寝するだけなら大丈夫ですよね？ちひろさん？
雪美,お昼寝……するだけ……？ラブラブ……って……お話とか……手……握ったり……だよね……？。……ラブラブ……しないの……？
P,ラブラブって……キスとか、そういうのだよな……？。えーっと…………し、将来、な。今はまだ早いと思うぞ……？
雪美,……え……早いの……？分かった……。将来……一緒に……ラブラブする……約束ね……ふふっ……
P,えっ……雪美……えっ
ちひろ,やっぱり事案じゃないですか！！！！！！
