ややキャラ崩壊してるかも,特にだりーな
夏樹,うーっす、邪魔するぜー
モバＰ,ん？なんだ夏樹か。今日は李衣菜は一緒じゃないのか？
夏樹,だりーは未央と一緒にレッスンがあるらしいんだよ。だからアタシはここで待ってようかなって
モバＰ,そうか・・・そうだ。夏樹に前から聞きたいことがあったんだ
夏樹,おう、改まってなんだいＰさん
モバＰ,お前、李衣菜と仲いいよな
夏樹,？まぁな。だりーもアタシを慕ってくれてるし
モバＰ,でもさ、李衣菜ってにわかじゃん？
夏樹,まぁ・・・そりゃちょっと疎いところはあるけど・・・
モバＰ,普通にわかって嫌われるじゃん？特にお前みたいに人生ロックに捧げてるような奴からは尚更に
夏樹,う～ん。確かにそういう奴もいるだろうけど、アタシはだりーのこと信頼してるぜ
モバＰ,じゃあみくがシルバーのネコミミ付けて今日からみくもロックだにゃ！とか言い出したら？
夏樹,全力で説教する
モバＰ,だろ？やっぱりお前にとってもにわかって言うのは快い存在じゃないわけだ
夏樹,いや、みくの例えはなんか違うような気がするが・・・
モバＰ,ともかく何故李衣菜のにわかは大丈夫なんだ？
夏樹,なんつーか、だりーのやつはほっとけねーんだよな。なんでと言われても困るんだが・・・
？？？,うっひっひっひ・・・話は聞かせてもらったよ！
モバＰ,誰だ！？
夏樹,今の声はどこから・・・ってうわぁ！？
愛海,こ、これは・・・！鍛えられた張りの下に潜む確かな柔らかさ・・・まさにロック！
夏樹,ｸﾜッ!じゃねぇ！愛海おまえどっから沸いてきた！？
モバＰ,出会い頭になにしとんじゃお前は
愛海,あうっ！ひどいよプロデューサー、あたしの楽しみを奪うなんて！
モバＰ,ならお前は人の貞操を奪うな！
愛海,まぁそのことは置いといて
モバＰ,置いとくな。持って来い。反省しろ
愛海,なんで李衣菜さんはにわかなのに憎めないかって話だよね
モバＰ,むしろ俺は愛海が事務所の仲間から憎まれてないか心配だよ
愛海,あたしが思うにね、それは李衣菜さんが純粋なにわかだからじゃないかな
夏樹,純粋なにわか？なんだそれ
愛海,夏樹さんやプロデューサーに聞きたいんだけどさ、にわかの定義って何だと思う？
モバＰ,そりゃ新参者なのに知ったかしている奴のことだろ
愛海,そう！そこなんだよ。普通、初心者は自分が素人であることを前提にして、そのジャンルを知ろうとしてくるよね？。でもにわかって言うのは、上辺の知識がある分、カッコつけて知ったかをしちゃうんだよ。厳しいようだけど、身の丈よりも高く見せようして、逆に滑稽になっちゃってるんだよね
夏樹,あー、それは分かる気がするぜ
モバＰ,夏樹から見ても李衣菜はそうなのか？
夏樹,悪く言うつもりはないけどさ、だりーは自分の良いトコが分かってねーんだよな、もったいない
愛海,そうなんだよ。ロックをよく知らないあたしがいうのもなんだけど、李衣菜さんはまだ未熟者。だけどなまじ形を知っている分、その本質を理解し切れていないままロックに憧れを抱いちゃってるよね。で、憧れてるからこそ、自分が未熟者だと思われたくない。それが李衣菜さんのにわかって言われる理由になっちゃってると思うんだよ
モバＰ,な、なるほど・・・。まぁ・・・にわかの仕組みはわかったとして、じゃあ純粋なにわかっていうのはどういうことなんだ？
愛海,うひひ・・・まぁまぁプロデューサー、焦らないでよ。揉むのだって急ぎすぎると痛いだけだよ？
夏樹,その例えはどうなんだよ・・・で、愛海。だりーのにわかはどういうにわかなんだ
愛海,順を追って説明するよ。にわかっていうのは、大別して二つの種類があるんだ
モバＰ,二つの種類？
愛海,うん。背伸び型と勘違い型っていえばいいのかな
夏樹,なんだそりゃ？
愛海,簡単に言えば、背伸び型が自覚のあるにわかなのに対して、勘違い型は自覚のないにわかなんだよ
夏樹,？？ますますわからん
愛海,えっと、例えばあたしは女の子の柔らかい部分が好きだよね？
モバＰ,ああ、事務所で問題になるくらいな
夏樹,さっきもアタシのを揉んだもんな
愛海,でもね、あたしは道楽ってだけで好きになってるわけじゃないんだ。全てを受け入れる覚悟も持ってるんだよ
夏樹,？膨らみならでかけりゃでかいほどいいんじゃねーのか？知らねーけど
愛海,あのね夏樹さん、大きさじゃないんだよ？。大も小も・・・全てこいこい☆
モバＰ,言いたいことはなんとなく分かるんだけど、分かったら負けな気がする
夏樹,奇遇だなPさん、アタシも同じ考えだ
愛海,で、全てを受け入れるには当然全てを知らなきゃならないよね？。とはいっても、経験が浅いうちはどうしても知ることのできないことだってあるよ。本来それは恥ずかしがることじゃないんだけど、好きなことだと知らないってことに劣等感を感じちゃうんだよね。さも三浦さんの山脈を制覇したように語ったり、如月さんの盆地帯を通ぶって品評したりさ。でも実際には経験が無いから、色んなところでボロが出ちゃう･･･コレが背伸び型のにわかだよ
モバＰ,お前の趣味の場合は十分な経験を持ったら捕まるけどな
愛海,でもね、このタイプのにわかならいいんだよ。だって自分が自覚してるんだからね。まだまだだなってことをさ
夏樹,確かに・・・テメーが知らなかったってことを一番知ってるわけだからな
愛海,何よりその分野が好きだからこそついちゃう嘘みたいなもんだから、にわかになる動機が純粋なんだよね
夏樹,あ～、確かにだりーもそういうタイプだわ。ロックが好きだから無理に知ったかして墓穴掘ってるもんな
モバＰ,なるほど。李衣菜のにわかっぷりはロックに憧れるが故のものだから純粋なにわかっていうわけか
愛海,そういうこと。それにこの手のにわか経験は誰だってあるはずだもん。寧ろこのタイプを嫌う人はちょっと狭量だと思うよ
モバＰ,そう考えると夏樹が李衣菜のウマが合うのも納得だな。本当にロックが好きな子を夏樹が放って置けるわけもないし
夏樹,な、なんだよ、照れるじゃねーか・・・へへっ・・・
愛海,問題なのは勘違い型・・・コレがにわかにおける最大の問題児にて嫌われる理由だよ
夏樹,勘違いか・・・一体何を勘違いしているって言うんだ？
愛海,それはね、自分を玄人だと思い込む勘違いだよ。人ってのはある程度の知識がついてくると、自分はもうにわかじゃないって自惚れちゃうんだよね。どうしても。まぁそれだけならマシなんだけど、そこで全てを知った気になって見当違いな主張を始める輩がいるんだ
モバＰ,見当違いな主張・・・ってなんだ？
愛海,例えば愛梨さんの山脈しか登ったことのない人が、藍子さんの盆地帯を馬鹿にしたり。薫ちゃんの造山帯を信奉するあまり雫さんの双山を奇形扱いしたりするようなことだよ。・・・まぁ人間だし、好き嫌いがあるのは当然だと思うよ？。でもね、大きさや形は個性であって貴賎じゃないんだ。その分野を全て好きになれ・・・って言うつもりはないけど。自分が好きになれないから認めない・・・なんていうのはおかしいとあたしは思うんだよ
モバＰ,なんかいいこと言ってるはずなのに全くそう聞こえないのは何故だ
夏樹,安心しなPさん、アタシも全くの同意見だ
愛海,ともかく！。李衣菜さんが夏樹さんと仲良く慣れたのは、李衣菜さんのロックに対する思いが純情だったからじゃないのかな。だからこそ、李衣菜さんは自分より玄人である夏樹さんに反発せず素直に尊敬したんだろうし。夏樹さんも李衣菜さんを受け入れることができたんだと思うね
モバＰ,ロックに対する憧れが純粋だからこそ、二人は意気投合できたというわけか
夏樹,まぁ、確かにだりーのロックにかける思いだけはホンモノだからな
モバＰ,ふーむ・・・しかしそうなると、李衣菜の奴が今後勘違い型のにわかにならないとも限らないわけか
夏樹,いや・・・だりーなら大丈夫だと思うぜ？あいつはそんな捻くれた奴じゃないし
モバＰ,わからんぞ。思いは純粋でも知識はまだまだなんだし・・・
夏樹,お、おいPさん・・・
モバＰ,もし李衣菜そうなったら夏樹はどうするんだ？やっぱり敬遠するんじゃ・・・？
夏樹,な・・・！んなことあるわけねーだろ！！
モバＰ,な、夏樹・・・？
夏樹,あ・・・すまねぇ・・・Pさん。ついカッとなっちまって・・・
モバＰ,いや・・・俺のほうこそ無神経なことを言ったようで・・・すまない
夏樹,あ、頭を上げてくれよ。謝れるのってのはどーも苦手で・・・。ただアタシがだりーを見捨てるなんてことはしねーよ。あいつと約束したんだ。今度は二人一緒にギターもってステージに立とうってな。だからアタシはだりーを信じてるし、例えだりーの奴がアタシと違う道に進んだとしたって、その・・・アタシは・・・えと・・・
愛海,最後まで李衣菜さんが戻ってくることを信じて待つ・・・かな？
モバＰ,あ、愛海・・・？
愛海,うひひ・・・プロデューサー、夏樹さんは一度信じた仲間を簡単に見限るようなことはしないよ
夏樹,い、いや・・・なんで・・・その・・・
愛海,ふっふっふ・・・夏樹さん、あたしを誰だと思ってるの？。あたしは棟方愛海・・・女の子の柔らかい部分を極めんとする求道者・・・。一度揉んだ子の胸中を知ることなんて造作もないことよ
モバＰ,威張れることじゃねーよ。お前のセクハラと夏樹の生き様を一緒にするな
夏樹,・・・ふっ
モバＰ,夏樹？
愛海,？夏樹さん？
夏樹,いや、一本とられたぜ。愛海、お前の言うとおりだよ。アタシもなんだかんだで、だりーの奴に頼ってたのかも知れねーな。しかしまぁ・・・ただの淫獣かと思ってたが、とんでもねぇ切れ者だったとはな・・・
愛海,うひひ・・・伊達に欲望のまま生きてるわけじゃないからね。あたしだって我が道を行く求道者だよ？
夏樹モバＰ,担当プロデューサーとしては迷惑この上ない道だけどな
李衣菜,お疲れ様でーす。なつきちいる？
未央,やっほー、みんなのアイドル未央だよー！
夏樹,愛海・・・お前の生き方、本当にロックだぜ！
李衣菜,
未央,え？え？
モバＰ,なんだ李衣菜に未央、レッスンはもう終わったのか？
夏樹,おわっ！だりー、終わったならメールくらいよこせよな
愛海,うひひ・・・噂をすれば何とやらだね。夏樹さん照れちゃって～
夏樹,あ、アタシは照れてなんか・・・ってどさくさにまぎれて揉んでんじゃねー！
李衣菜,
モバＰ,ん？どうした李衣菜
李衣菜,し
モバＰ,し？
李衣菜,師匠！
夏樹・モバＰ・愛海・未央,！？
愛海,ふえっ！？し、師匠ってあたしのこと？
夏樹,お、おいだりー・・・何とち狂ったこといってんだ？スタドリ飲み過ぎたか？
李衣菜,私は正常だよ！それより棟方師匠！
愛海,は、はい！
李衣菜,私に女の子の揉み方を伝授してください！
愛海,・・・ほぅ
モバＰ,李衣菜！？
夏樹,だりー！一体どうしちまったんだよ！？
未央,李衣菜ちゃん気を確かに！？
李衣菜,だって愛海の生き方ってロックなんでしょ？はやくなつきちに追いつくためには色んな方法をためさなきゃって・・・
夏樹,いや違うから！？愛海の生き方がロックってのはそういう意味じゃないからな！？
李衣菜,えー？でも色欲を曝け出すってロックじゃない？
夏樹,ロックじゃねぇよ！
愛海,うひひひひ・・・いいよ李衣菜さん。あたしは弟子をとる性質じゃないけど、同じ事務所の縁で特別に許可するよ
李衣菜,ありがとうございます！
夏樹,よせだりー！
モバＰ,李衣菜！目を覚ますんだ！李衣菜！
未央,やめて李衣菜ちゃん！これ以上Paでもない色物枠が増えたら私の立場がない！
李衣菜,大丈夫だよ、なつきちに未央それにPさん。これで私もロックになる！
夏樹,だから！そんなことしてもロックじゃねぇっつってんだろ！
愛海,うひひ、じゃあ李衣菜さん、試しにそこにいるロッキングガールを一人の女子にしちゃおうね☆
李衣菜,はい師匠！
夏樹,ちょっ、待て！本気で洒落にならな・・・ひゃあ！？
未央,あ、あわわわわわ
モバＰ,お、おい李衣菜やめｒ・・・
愛海,させるか！棟方流揉仙術奥義、千指観音揉！！
未央,ふ、ふわああああ！？あ、あつみん・・・なんで私・・・きゃう！
愛海,ふっふっふ、プロデューサーこっち向いて？愛しの未央さんがピンチだよ～？
モバＰ,な！？二人ともいい加減に・・・
未央,や・・・やぁ・・・プロデューサー・・・見ないで・・・くぅん・・・！
夏樹,ふぁ・・・だ、だりー・・・ダメ・・・んぁ・・・
モバＰ,ぬお！
李衣菜,し、師匠！Pさんが急に前屈みになって動かなくなりました！？
愛海,ふっふっふ・・・クールビズスタイルが仇となったねプロデューサー・・・最早動けまい！
モバＰ,お・・・俺のpがPinPinに・・・これでは立つことが・・・
愛海,いいよぉ李衣菜さん。その調子でもっと揉みしだいちゃっ・・・て・・・
李衣菜,どうしたんですか？師匠
愛海,あぅ・・・う、後ろ・・・
李衣菜,後ろ？
早苗,・・・
真奈美,・・・
清良,・・・
愛海,・・・
李衣菜,・・・
未央,ふぁ・・・あ・・・も・・・ムリ・・・
