南条光,なあ、池袋博士
池袋晶葉,どうした光？トークバトルショーの衣装を着て
光,この腕の装備なんだけどさ
晶葉,ああ、ヒカルーレットのことか
光,……。衣装のメカ部分は全部、晶葉がこの設定画を参考にして作ってくれたんだよね
晶葉,設定画は光の意見を参考にして比奈が描いてくれたんだったな
光,うん、そうなんだ。……で、この腕の装備のことなんだけど
晶葉,……
光,設定画のこれの所に書いてあったよね、シャインスピナーって。でも晶葉、トークバトル中に思いっ切りこれをヒカルーレットって言ったよね
晶葉,クルクルヒカルにするかヒカルーレットにするか迷ったんだがな
光,……
晶葉,……
光,……池袋バカセ
晶葉,言ったか！
光,まあ名前はこの際置いといて。シャインスピナーのギミックなんだけどさ
晶葉,クルクルヒカルのサウンドギミックは特に気合を入れた所だからな
光,ヒカルーレットでしょ？
晶葉,シャインスピナーだろう？
光,……
晶葉,……
光,……高田馬場晶葉
晶葉,まだ言うか！
光,これ、ルーレットみたいにボタンが光っていって止まった時の光ってる色によって流れる音声が違うんだよね
晶葉,その通りだ
光,じゃあまず赤が光った時の音声だけど
晶葉,……
光,誰だよこの滅茶苦茶渋い声！
晶葉,ヘレンのツテでな。これの音声は全て彼に吹き込んでもらったんだ
光,なんで世界レベルのツテを無駄遣いするんだよ！しかもなんだよ赤ピーマンって！
晶葉,数十回に一回パプリカとも言うぞ
光,大して変わらないよ！。……まあ赤はもういいよ、次は青が光った時だけど
晶葉,……
光,なんだよこれ！イマジンの名乗りのアタックライドかよ！
晶葉,やめろ光、それ以上は人を傷付ける
渋谷凛,……
光,……
晶葉,やめてやれ
光,凛さんには後で二人で謝るとして、黄色の時だけど
晶葉,……
光,なんで設定画に書いてある解説をそのまま読ませたんだ！？そこはジャスティススパークだけでいいじゃないか！。しかも思いっ切りシャインスピナーって言ってるよな！
晶葉,いや、あの流れでジャスティススパークは浮くだろう
光,……
晶葉,……
光,……ジャスティススパークが浮かないように赤と青をなんとかすればいいだろ！
晶葉,ぐわああああああ！。はーっ、はーっ……
光,これ、まだ機能があるんだよね？
晶葉,ああ、あるぞ。横にある黄色いボタンを押すと音声が鳴るんだ
光,このボタン、トークバトルショーで押さなくて本当に良かったと思ってるんだ
晶葉,……
光,事務所で初めて押した時、菜々さんにいかがわしいテープじゃないんですからぁ！って言われたんだぞ！なんだよいかがわしいテープって！？
晶葉,いや、それは私も知らん
光,……
晶葉,……
光,お帰り、僕らのジーニアス
晶葉,追えウサちゃんロボ！あいつを引っ捕らえろ！絶対に逃がすな！
凛,……。…………。………………。……………………。それでも私は、蒼が好き
