ミリP(以下P),これが今流行りのリアル脱出ゲームかぁ
琴葉,ふふふっ、プロデューサー……やっと二人きりになれましたね、もう逃しませんよ？
P,なるほど～
琴葉,プロデューサー？
P,いや、なんでもないよ、それより琴葉？これはいったいどういう事だ
琴葉,ご覧の通り、プロデューサーを監禁させて頂きました
P,監禁か、なんでこんな事を？
琴葉,じ……実は、私プロデューサーと二人でお花見がしたいと思ってたんですが
P,花見？おお、いいじゃないか
琴葉,えっと、でもなかなか誘う勇気が出なくて……ほら、プロデューサーも忙しいじゃないですか？だから、私なんかが軽い気持ちで誘っていいものか悩んでしまって
P,琴葉は真面目だなぁ
琴葉,明日こそ言おう！いや、明後日こそ、と踏ん切りがつかないまま日数だけが経っていって。そんな事をしているうちに桜も散ってしまって……
P,うん
琴葉,あっ、もうこうなったら監禁しようと
P,いやいやいやいやいやいや
琴葉,なんでしょう？どこか、おかしかったですか？
P,おかしい事だらけだよ！なんで花見に誘えなかったからって監禁という答えに行き着いちゃったの？
琴葉,そうですね、お花見に誘えない私でも監禁なら出来そうかな？と思いまして
P,花見に誘うハードルより、監禁するハードルの方が低いってどういう事なの？
琴葉,ふふっ、薬を飲んで眠るプロデューサー、とっても可愛いかったですよ
P,嬉しくないけど、一応ありがとう
琴葉,眠りこけて、寝言を言うプロデューサーを見てたら……なんかこう、胸の奥からフツフツと湧き上がるものが
P,あの～、寝てる俺に何もしてないよね？
琴葉,あっ、もちろんです！ここに運んでくる以外は何もしていませんよ？そこは鋼の理性で持ち堪えました
P,その理性で監禁するのも抑えてくれたらなぁ
琴葉,それよりプロデューサー？
P,な、なんだ？そんなに近づいてきて…
琴葉,プロデューサーは今、私に監禁されています。この意味がわかりますか？。ちなみにここは私の部屋ですが、両親は出かけています。あと部屋の壁には防音加工(萩原組施工)がされているので叫んでも誰も助けになんて来ませんよ？
P,くっ、な、何をする気だ！？
琴葉,ふふっ、そんなの決まっているでしょう？
P,や、やめろ……琴葉、俺とお前はプロデューサーとアイドルという立場でーー
琴葉,良かったら、今度やるお芝居の台本の読み合わせに付き合ってくれませんかプロデューサー？一人より二人の方が役に入り込めそうなので
P,琴葉は真面目だなぁ！？
琴葉,ありがとうございました、プロデューサーのお陰でいい舞台になりそうです♪
P,そ、それは良かった
琴葉,さてと……。ん……どうぞ、プロデューサー
P,なんだ？唐突に膝を叩いて
琴葉,プロデューサー、最近お仕事で走り回ってお疲れではないですか？よ、よかったら私の膝を枕に使ってください…///
P,ちょっと待て琴葉
琴葉,どうしましたプロデューサー？。す、すみません勉強不足で……プロデューサーの言う監禁とはどういう事をするんでしょうか？
P,まぁ、そうだなぁ、手錠とかしたり目隠ししたり
琴葉,て、手錠！？そんなのしたらプロデューサーが可哀想じゃないですか！
P,えぇ……
琴葉,やっぱりダメですっ、この機会にプロデューサーには日頃の疲れをとって貰わないと！
P,俺には琴葉がわからないよ……
琴葉,さぁ、プロデューサー
P,いや……うーん、本当にいいのか？
琴葉,はいっ
P,じゃあ、失礼するよ。頭重くないか？
琴葉,い、いえっ、平気です。むしろ、もっと身を預けてもらっても大丈夫ですよ？
P,そうか？それじゃあ……おお
琴葉,ふふっ、気にいって頂けたみたいで何よりです
P,うん。これだけでも充分癒されるよ……
琴葉,あの、プロデューサー？一つお願いがあるんですけど
P,なんだい？
琴葉,私、プロデューサーに耳かきしてあげたいんです。だ、ダメ……でしょうか？
P,えっ、耳かきしてくれるのか？それは嬉しいなぁ、じゃあ、お願いしてもいいかな？
琴葉,はい……はいっ！ふふっ、それじゃあジッとしててくださいね。まず、綿棒でお耳の外側を掃除します
P,ああ～……
琴葉,わっ、結構取れましたよ。プロデューサー、最近お耳掃除してませんでしたね？
P,うん……してなかったかも……
琴葉,ふふっ、これは掃除のやり甲斐がありそうです。では次はお耳の奥の方を掃除していきますね……んっ、しょっ
P,はふぅ……。いやぁ、最高に癒されたよ。ありがとう琴葉
琴葉,そんな、気にしないでください、プロデューサーには日頃から助けて頂いてますから、これくらいの事は
P,いやいや。むしろ、俺の方が琴葉やみんなに助けて貰って……あっ。こ、ごめん。今のお腹の音聞こえちゃったかな？
琴葉,ふふっ、良いですよ。丁度いい時間ですし、そろそろご飯にしましょうか。私が作ってきますから、プロデューサーは楽にしてくつろいでいてください
P,えっ、いいのか？いやぁ、悪いな何から何まで
琴葉,大丈夫です。それじゃあ作ってきますね、えっと…材料は確かアレとアレがあったから
P,琴葉の手料理か～、楽しみだなぁ
琴葉,おまたせしました、どうぞプロデューサー
P,おおっ、ハンバーグか！これは見た目から食欲をそそるなぁ、凄く美味しそうだ
琴葉,お口に合うといいんですけど……
P,それじゃあ頂きます！……
琴葉,ど、どうですか？
P,ん美味い！！
琴葉,本当ですか？よかったぁ……えへへ、おかわりもありますから、たくさん食べてくださいね！あとしじみ汁もどうぞ！
P,ありがとう琴葉、んっ、うん、これも美味い……。ふぅ……ご馳走様でした
琴葉,お粗末様でした、ふふっ
P,まさか琴葉がこんなに料理上手だったなんて知らなかったよ、これはまた違うプロデュースの選択肢が増えるなぁ
琴葉,え、えっと、最近は料理の勉強も少しずつ始めてて…
P,そうなのか？
琴葉,は、はいっ、あの……プロデューサーに琴葉の作る料理は美味しい、って思ってもらいたいから…
P,そこまで俺の事を……琴葉っ！
琴葉,プロデューサー！
P,ってちがーーーうっ！！
琴葉,えっ？
P,癒されちゃった！俺、監禁されてるのに癒されちゃったよ！？ていうかこれ監禁じゃないだろ！ただの部屋デートじゃねーか！
琴葉,で、デートだなんてそんな……///
P,しかも、普通に自分の手でお箸持って食べちゃったよご飯！監禁といったらふふふっ、私が美味しく食べさせてあげますからねとか言って自由に食べさせてもらえないんじゃないの！？
琴葉,はっ、そ、そういう事だったんですか！？
P,やっと間違いに気づいてくれたか琴葉
琴葉,つまり、プ、プロデューサーは私に、あーん…ってして食べさせて欲しかったんですね…///
P,違うそうじゃない
琴葉,プロデューサーは私の何が不満なんでしょうか？
P,そんな純粋な目で見るんじゃない。いったいどうしてそうなっちゃったんだ、琴葉は
琴葉,あっ！いけない、大事な事を忘れていましたプロデューサー！
P,や、やっと本来の目的を思い出したか？
琴葉,食後にデザートが必要ですよね、ちょっと待ってください用意してきます
P,あっ、はい。いやぁ、マッサージまでしてもらっちゃって、本当にありがとう琴葉
琴葉,いえ、明日からもお仕事頑張ってくださいねプロデューサー
P,そうだな。明日からも……ん？あれ、ちょっと待って、俺普通に仕事行っていいの？
琴葉,えっ？はい、大丈夫ですよ
P,監禁されてるのに？
琴葉,プロデューサーを監禁するのは週末までと決めてるので、一週間頑張った自分へのご褒美ですね！
P,斬新だな琴葉は
琴葉,はいっ、来週末も監禁するので楽しみにしててください！
P,うん、もういいよ……琴葉がそれで幸せなら……
琴葉,はいっ♪。プロデューサー、ちょっといいですか？
P,いいよ。どうした？
琴葉,今週末ちょっと忙しくて、プロデューサーを監禁出来そうにないんです……すみません
P,なんだそんな事か、気にするなよ
琴葉,本当にすみません、この埋め合わせ監禁はまたいつか必ずしますね！
P,そんなの埋め合わせなくていいから。ああー、久しぶりに週末を自分の家で過ごすなぁ。やっぱ自分の家のベッドが一番落ち着くよ、はぁ…よし、寝よ寝よ。おやすみなさーい。ね、寝れない……。自分の部屋、自分の使ってるベッドだというのに何故こうも落ち着かないんだ。具体的に言うと猛烈に琴葉に会いたい。いったい何故だ……はっ、もしや。これが狙いだったのか琴葉！あの居心地の良すぎる監禁はこの為の布石だったと……くっ、なんて恐ろしいアイドルなんだ。……琴葉に会えない週末がこんなに苦しいなんて。き、気持ちを少しでも落ち着ける為に、好評発売中のM@STERSPARKLE08を聴こう。北上麗花、島原エレナ、田中琴葉、天空橋朋花のソロ曲に加え52人verのBrandNewTheaterも収録されてるとは、なんてお得な一枚なんだ。お得といえば、4月25日発売予定の七尾百合子、中谷育、松田ぁ！が歌うMILLIONTHE@TERGENERATION7弾、トゥインクルリズムも
琴葉,おはようございます、プロデューサーこれお土産でーー
P,琴葉っ！！
琴葉,きゃっ、ど、どうしたんですか？
P,どこにも行かないでくれ琴葉ぁ、なんでもするから俺の側にいてくれぇ
琴葉,いったいどうし……ん？今なんでもするって言いましたね？。そ、それじゃあ、この婚姻届けにサインをしてもらっていいですか！？えへへ、なんちゃって～
P,書くよ、書くよぉ。琴葉がいないと俺はダメダメなんだ
琴葉,えっ、あれ？。…………。……琴葉ちゃん大勝利？
