？？,よし……これで大丈夫、明日は頑張りますよ！
菜々,おはようございます、プロデューサーさん！
Ｐ,おはようございます、菜々さん。今日も三歩進んで二歩下がってますか？
菜々,え……えと、ナナは普通に来ましたよ。ウ、ウサミン星から電車で！
Ｐ,え？あ、ああ……そうですか。確か１時間でしたもんね
菜々,どうしたんです、プロデューサーさん。あ、ご主人様って呼んだ方が良かったとか！
Ｐ,それはいいです
まゆ,そう呼ばれたいなら、まゆが何度でも呼んであげますよ
Ｐ,いきなり出てくるとビックリするぞ、まゆ。……まぁ、前やってちょっとした騒ぎになったからやられると断る
まゆ,そうですかぁ
菜々,まゆちゃん、おはようございますっ
まゆ,おはようございます、菜々さん
菜々,今日の午前のレッスンはまゆちゃんとでしたよね？ナナと一緒に頑張りましょう
Ｐ,じゃあ、車で送るから２人とも準備してて
まゆ,はぁい
菜々,分かりました。もう今日の予定は無いんですか？
Ｐ,そうですね。お仕事も含めて菜々さんの予定はもうないですよ
菜々,分かりました、ではナナはちょっと散歩してきますねー
Ｐ,いってらっしゃい、散歩はいいですが気をつけてくださいね
菜々,はーい
Ｐ,……全員集合
卯月,えっ、な、なんですか？
Ｐ,分からないなら分からなくてもいいが……今日菜々さんに違和感を感じた人、手を上げて
みく,……
まゆ,……
杏,……
愛海,……
卯月,え、ええっ！？違和感なんてありました？
みく,きっと卯月チャンはあまり一緒に居なかったから分からなかったんだにゃぁ
まゆ,そうですね
杏,……正直、私は愛海が若干震えてる時点でなんかヤバい気がするんだけど
愛海,……
Ｐ,一体何があったのかは後で聞くとして……菜々さんと言えば
杏,墓穴掘りでしょ
卯月,失礼じゃないですか？
杏,いや、冗談抜きで墓穴掘りすぎ。永遠の１７歳って言ってるけど実際は――
Ｐ,そこから先は知ってても言うな。……で、自分が今日の菜々さんに違和感を感じたのは朝だ。みんなは？
まゆ,まゆはレッスンの時です
みく,みくはお昼の時かにゃ
杏,同じくお昼の時
愛海,……
Ｐ,……愛海に一体何があったんだろうか
卯月,な、なんなんでしょうね
Ｐ,とりあえず、自分が違和感を感じたのはやけに元気なところだな
まゆ,あれ、それは普通だと思ったんですけど
Ｐ,みんなは分からないと思うけど昨日仕事でかなり疲れてたから、今日あんなに元気なのはどうかと
まゆ,そうなんですかぁ
