早坂美玲,そうなんだよ！ウチはちひろが働かせすぎたからって聞いてるぞッ！
森久保乃々,あのＰさんならありえなくはないんですけど…
白坂小梅,ちひろさんは…どす黒いオーラ持ってるし…
輿水幸子,あのプロデューサーさんが無断欠勤したなんて信じられませんしね
輝子,でも…それってウワサなんだろ…？
美玲,うぐっ、まぁそうだけど…
幸子,嘘かもしれないし、本当かもしれませんよ？
小梅,そ、そうだ……
乃々,どうしたんですか、小梅さん…？
小梅,私たちで…調べてみるのは、どう…？
幸子,ここがプロデューサーさんの机…
輝子,ﾌﾋ…私はずっと下にいるから机をしっかり見たことはなかったな…
乃々,もりくぼもですけど…
美玲,キレイだな…埃１つないぞ
小梅,本当にキレイ…でもなんで？
輝子,なんでって…プロデューサーはキレイ好きだろ…？
乃々,資料が少なすぎると思いますけど…
幸子,それは仕事を頑張ったからじゃ…
小梅,あっ、もしかして…
輝子,ﾌﾋ、どうしたんだ？
小梅,Ｐさんはもしかして初めから休む気だった…とか？
美玲,どういうことだッ！プロデューサーがウチらをほっといたってことか！？
幸子,なるほど…資料が少なかったのはプロデューサーさんがある程度身辺整理をしたということですか…
乃々,それなら納得がいくんですけど…
輝子,名探偵コウメ…だな、ﾌﾋ
小梅,えへへ…
美玲,ま、待てよッ！プロデューサーがウチらを捨ててどっかいくはずないだろ！
幸子,確かに…そこは不思議な点ですね…
乃々,仕事が恋人みたいな人間ですし…
美玲,だ、だからきっと誰かがプロデューサーに何かしたんだよ！そうに決まってる！
幸子,ボクたちを置いてどこかにいったってことは…
小梅,あ…勝手に引き出し開けちゃまずいよ…
幸子,あるはずです、どこかに書き置きが！プロデューサーさんの性格からして絶対に残してあるはずです！
乃々,でも…Ｐさんが思い詰めた顔とかしてるの見たことないんですけど…
輝子,確かに…
幸子,ありませんね…どこにも…
美玲,ほらなッ！ウチの推理が正しかったってことだろッ！
幸子,うぐっ…
輝子,これで…また振り出し…か
乃々,あの…無断欠勤ならちひろさんに聞けばいいんじゃ…
美玲,ウワサじゃちひろが元凶なんだぞッ！
小梅,そうだ…Ｐさんの家、行ってみようか…？
幸子,えっ！家の場所知ってるんですか！？
輝子,小梅…すごいなぁ…
小梅,待って…みんな…
乃々,もりくぼにはむーりぃーなんですけど…
美玲,ウチ、見直したぞッ！
小梅,違う…違うから…
佐久間まゆ,なるほど、Ｐさんが心配で家に行きたいからまゆのところに来たってわけですねぇ
小梅,そう…まゆさんなら…家の場所わかると思って…
まゆ,えぇ、確かにまゆはＰさんの家の住所を知ってますよ♪
輝子,それじゃ…私たちに教えてくれ…
まゆ,うふふ、条件があります…
美玲,条件ッ！？ウチらを取って食うつもりか！
乃々,ひぃっ…許してほしいんですけど…
幸子,ま、まゆさんがそんなことするはずありませんよ…
小梅,それで…条件って…？
まゆ,あぁ、そうでした…私も一緒に行動させてください♪
輝子,ﾌﾋ…そ、それだけ…？
幸子,ﾌﾌｰﾝ!それくらいならカワイイボクが許可しますよ！
小梅,奇跡的に…今日は全員仕事終わり…
まゆ,Ｐさんの家に攻め込むしかありませんねぇ
