白菊ほたる,う……
ほたる,ん……。……。ふぁあ……。今日は……オフだったよね……。目覚まし……いつもの時間にかけちゃってた……。にどね……。……。……起きよう。リビング、誰かいるかな……。……あ、いい匂い……響子さんかな……？。……おはようございます……ふぁ
藤居朋,あ！ほたるちゃん、おはよ！なんと今日の朝ごはんはあたしの手作り！目が覚めたら食堂へレッツゴー！
ほたる,あ……ともさん……おふぁようございます……
緒方智絵里,あ、ほたるちゃん、ねぐせが……！整えてあげるから、そこに座って？
ほたる,はい……
智絵里,～♪
朋,智絵里ちゃん、上手ね～
智絵里,えへへ
ほたる,……。……。……。……なんで朋さっ！？えっ！？智絵里さ……いや智絵里さんは寮でえっ朋さんはなん……えっ！？
朋,状況把握、けっこうかかったわね。それにしてもほたるちゃん、オフなのに早起きさんなのはえらいけど、そんな寝ぼけながら来なくても……
ほたる,ちっ、ちがうんです……！
智絵里,確かに珍しいような……
ほたる,今日に限って……アラームの設定を間違えてしまって……！お仕事の日ならもう少し部屋で整えてから来ますし、お休みの日はもっと遅くまで寝ているんですが……！き、今日に……限って……うう
朋,まあまあ、かわいいほたるちゃんが見れてあたしは満足よ？
ほたる,恥ずかしいです……
智絵里,わたしはほたるちゃんの部屋でお泊りすればいつでも見れますけれどね……！
朋,マウント取る必要ある？
ほたる,そっ、そんなことより、どうして朋さんがここに……！？
朋,どうしてって……ほたるちゃん、今日は何月何日？
ほたる,えっと……4月の19日ですが……
智絵里,つまり？
ほたる,4月の……第3金曜日……？
朋,逆に聞くけどそれ理由にしてドッキリじみた登場すると思う？。もう！話が進まないから言っちゃうけど、今日は誕生日でしょ！
ほたる,ああ、中日ドラゴンズ、根尾昴選手の……
朋,ほたるちゃんの！！！！！
ほたる,そ、そうでしたね……
智絵里,ちなみに”すばる”じゃなくて”あきら”って読むんですよっ
朋,智絵里ちゃんは誰に言ってるの？
ほたる,ええと……私の誕生日を祝うために……？
朋,もちろん！
ほたる,す、すみません……！私なんかのために……朋さんと智絵里さんが……
朋,こらっ！”私なんか”じゃないでしょ？
ほたる,す、すみません……！私ごときのために……朋さんと智絵里さんが……
朋,悪化した！
智絵里,”私ごとき”じゃないでしょ？
ほたる,す、すみません……！私のために……朋さんと智絵里さんごときが……
智絵里,そ、そこじゃなくって……！！！
朋,まだちょっと寝ぼけてるのかしら……。はいはい、とりあえず、顔洗ってきなさい？智絵里ちゃん、髪はもう整った？
智絵里,盛りますかっ
朋,大丈夫みたいね。ほらほら
智絵里,無視……
ほたる,智絵里さん、すみません、髪、整えさせてしま
智絵里,むっ！
ほたる,！？
智絵里,……
ほたる,えっと……すみま
智絵里,むむっ！
ほたる,あの……なぜビンタを……
智絵里,……
ほたる,？？？
朋,ほたるちゃん。智絵里ちゃんが言ってほしいのは、謝る言葉じゃなくって……
ほたる,あ……
智絵里,……
ほたる,智絵里さん……、ありがとう……ございます……
智絵里,……
ほたる,……
智絵里,……うんっ！
朋,結局！？。それはおかしくない！？
智絵里,ご、ごめんねほたるちゃん……！そういう流れかなって……
朋,智絵里ちゃん、単にビンタしたいだけの人だったけど！？
ほたる,と、とりあえず顔を洗ってきます……
朋,い、いってらっしゃい……
智絵里,ほたるちゃんのタンスから開けますか？机の引き出し？クローゼット？
朋,やめなさい
智絵里,はい……
朋,おっはよー！
智絵里,おはようございますっ
五十嵐響子,あっ、おはようございます！
朋,響子ちゃん、あたしたちがやっちゃうわね！ほたるちゃんは座ってて！
ほたる,えっ、でも……
響子,普段はセルフサービスですけど……今日くらいは待ってて大丈夫だよ。お誕生日、おめでとうございますっ♪
ほたる,あっ、ありがとうございます……
朋,ごはんと～お味噌汁と～こっちのお皿は～
智絵里,こっち、運んじゃいますねっ
響子,……
ほたる,あの……響子さんは、台所に行かないんですか？
響子,はいっ。だって今日は、朋さんと智絵里さんが……
朋,おっと響子ちゃん。そこからはあたしたちが説明するわ！
ほたる,……？
響子,ふふっ。じゃあ私は黙ってますね
朋,はい、ほたるちゃんの朝ごはんよ！
ほたる,は、はいっ……あの……もしかしてこの料理……
朋,ふっふーん！よくぞ聞いてくれました！この料理、あたしと智絵里ちゃんの手作りよ！
ほたる,そうなんですね……！嬉しいです……！
智絵里,まあほとんど響子ちゃんに教わったままだけど……
朋,い、いいのよ！こういうのは気持ち！でしょ？
響子,そうですよ！
ほたる,どうして脳内に直接……！？
智絵里,食材も、3人で買いに行ったんだよっ
ほたる,そうだったんですか……
朋,朝4時にね！
ほたる,！？
智絵里,響子ちゃんには朝早くから付き合ってもらっちゃったけど……
響子,……………………ぜんぜん大丈夫ですよっ
ほたる,間がありましたね……。で、でもどうして
朋,なんか朝早い市場の野菜とかお魚って美味しそうじゃない？
ほたる,えっと……答えになっていないような……
智絵里,朋さんっ、趣旨をそろそろ説明してあげましょう？
朋,あ、それもそうね！
ほたる,？
朋,えー、ｺﾎﾝ
智絵里,今日はっ
朋,なんと！
ほたる,なんと……？
朋＆智絵里,超☆ほたるちゃん甘やかしデーなのよ！なんだよっ！
ほたる,ち、超☆ほたるちゃん甘やかしデー……！？
朋,そ！だから朝早くからお世話をするためにリビングでスタンバイしてたし、その前に食材を買ったり朝食の準備を整えたりしてたの！
ほたる,な、なるほど……？
智絵里,もっと嬉しそうにしていいんだよ……？
ほたる,い、いえ、少しびっくりしてしまって……
朋,ほたるちゃんの誕生日を迎えるにあたってね？智絵里ちゃんと話してたの
智絵里,ほたるちゃん、大きなパーティーとかは気を遣っちゃいそうだし……
