P,ふう…
未央,ただいまー！あり？Ｐさんだけ？
Ｐ,おかえり。今日は他のみんなは帰ったぞ
未央,あちゃ～。しぶりんに借りてた雑誌返そうと思ってたのに
Ｐ,次会うときに返せばいいんじゃないか？
未央,イヤイヤ。しぶりんこれからトラプリで九州じゃん
Ｐ,あっそうか。次未央と一緒になるのは一週間後か
未央,おおう、だいぶ先だね。あーあ、九州いーなあー
Ｐ,東京寒いからな
未央,茜ちんも居ないし事務所の平均気温がダダ下がりですよ
Ｐ,もう俺も上がるから暖房切ってるしな
未央,あっそうなんだ。お疲れ様
Ｐ,未央もさっさと帰れよっと
未央,おやおや？空腹ですかな？
Ｐ,晩飯食いそびれたからなあ。帰りにコンビニ寄るか
未央,……コンビニ？
Ｐ,自炊しないから飯は基本コンビニ弁当だな。外食すると高い
未央,いやいやいや。そんなんじゃ栄養偏っちゃうよ！？
Ｐ,はっはっは。Ｐは身体が資本でな、多少の栄養の偏りくらい…っと仕事終わり
未央,でも…
Ｐ,よし、じゃあ未央送って…
未央,ちょっとちょっとＰさん！！
Ｐ,っとすまん。立ちくらみが
未央,やっぱりＰさん大丈夫じゃないよね！
Ｐ,大丈夫。よくあるから
未央,余計大丈夫じゃないよ！Ｐさんが倒れたら私…
Ｐ,心配してくれるのか、未央
未央,…急に撫でるのはどーかと思うんですけど
Ｐ,おっとすまんすまん
未央,……決めました
Ｐ,何を？
未央,この未央ちゃんがＰさんの為にお弁当を作ってきてあげよーじゃないか！！
Ｐ,ごめん間に合ってます
未央,あり？
Ｐ,いやまゆとか響子とかが日替わりでお弁当作ってきてくれるんだよね
未央,おおう、モテモテですな！
Ｐ,ただ中身が…
未央,あー
Ｐ,せっかく俺の為に作ってくれるんだからうれしいんだけれどね
未央,んー
Ｐ,別に悩まなくたっていいんだぞ？俺のことを心配してくれるだけでうれしいんだから
未央,……じゃあさ
Ｐ,ん？
未央,今日みたいに遅くまでＰさんが残っている時にさ。夜食を作るってのはどう？
Ｐ,夜食？
未央,うん。っていってもそこの給仕室で作れるような簡単なもので
Ｐ,それだよ未央が帰るの遅くなるじゃないか
未央,どうせ千葉だし。レッスンで遅くまで事務所にいるのはかわらないから
Ｐ,うーん
未央,まあまあそんなに深く考えないでよ！どうせ作れるのはおにぎりとかそれぐらいだし！
Ｐ,そうか…。じゃあ無理しない範囲で…っと
未央,どうったの？
Ｐ,あーやべえなこれ。急に書類出せって言ってきやがった
未央,マジ？
Ｐ,ああ、これ今夜泊りかも
未央,うおっ、ご愁傷様
Ｐ,ちくしょう
未央,じゃあそんな不幸なＰさんに夜食を作ってあげますぜ！
Ｐ,はいはい。じゃあせっかくだからお願いしようかな
未央,何かお好みは？
Ｐ,お任せで
未央,任された！
Ｐ,あーあ、何でこんな大事な資料今頃言って来るかなあ
未央,年末年始で向こうも忘れてたんじゃないの？
Ｐ,つっても限度があるだろ？
未央,まあまあ
Ｐ,ふわぁ…ねむ
未央,ホレホレ！頑張れば終電に間に合うかもよ！
Ｐ,間に合わないんだなこれが
未央,…ほい！出来た！
Ｐ,もう？
未央,じゃあこれ食べて元気だしなよ！
Ｐ,お！焼きおにぎり
未央,お米はサトウのごはん
Ｐ,そりゃご飯なんて炊いてないしな。！！うまいなこれ！！
未央,そう？お米握って醤油とかつけて焼いただけだよ？
Ｐ,いや…なんかちゃんとあったかいもの食べたの久しぶり…
未央,そんなに？
Ｐ,うん…なんか元気出た
未央,やった
Ｐ,……ありがとう
未央,どういたしまして
Ｐ,さて…じゃあもうひと頑張りといきますか！
未央,おー！
Ｐ,お前は帰れよ？
未央,えー
Ｐ,えーじゃないの
未央,うそうそ。Ｐさん困らせちゃうし
Ｐ,よしよし、素直な子は大好きだぞ
未央,えっへっへ。んじゃ帰るね
Ｐ,おう、んじゃ気を付けてな
未央,Ｐさんも早く帰れるようにねー、じゃ！
Ｐ,ふう…、未央の奴め。……ほんとにうまいな。さて、もうひと頑張りと行きますか！
未央,ただいまー
Ｐ,おい
未央,いや外
Ｐ,ん？。あー雨か
未央,傘忘れたから取りにきた
Ｐ,はいはい…ってかこの雨だと電車遅れるな
未央,そうだね。終電遅くなるかも
Ｐ,……。……もし30分くらい終電が遅れたら…
未央,おっと希望が見えてきた？
Ｐ,無茶には変わりないけれどな。でもちょっとだけ…
未央,……
Ｐ,未央は帰れよ？
未央,……
Ｐ,未央
未央,終電遅れるんだったら私も同じだし
Ｐ,遅くなるからダメ
未央,…今日は
Ｐ,？
未央,運命共同体ってことで
Ｐ,……
未央,ほらほら手が止まってるぞ！
Ｐ,……はいはい！。未央それよそでやったらぶっ飛ばすぞ
未央,なんでっ！
Ｐ,なんでもない気にするな！
未央,……
Ｐ,……
未央,……
Ｐ,………。なんか不気味
未央,なんでさ
Ｐ,パッション未央はどこ行ったの
未央,仕事の邪魔しちゃ悪いし
Ｐ,あっそう
未央,……
Ｐ,……終電まであと何分？
未央,ん、ちょっと待って。遅延であと３０分
Ｐ,あっ読み通りか
未央,終わりそう？
Ｐ,……どうだろう
未央,……
Ｐ,……
未央,…帰れっていわないの？
Ｐ,運命共同体なんだろ？
未央,ん
Ｐ,……帰りたい？
未央,んん
Ｐ,そっか。よかった
未央,……えっ？
Ｐ,何でもない
未央,……
Ｐ,……
未央,私はよかった
Ｐ,ん？
未央,久しぶりにＰさんとゆっくり出来た
Ｐ,ん
未央,あっ！言っとくけれどそんなんじゃないから！
Ｐ,大丈夫
未央,ん
Ｐ,…あと20分か
未央,そうだね
Ｐ,……
未央,……もしこのまま帰れなかったら
Ｐ,事務所で一泊だな
未央,だよね
Ｐ,……
未央,……。……私は
Ｐ,よし終わった！帰るぞ未央！
未央,あっ！マジ！おめでとう！
Ｐ,言ってる場合じゃないぞ！ほらさっさと傘用意！
未央,あっとちょっと待ってって！。……あれ？
Ｐ,どうした未央！駅までダッシュだ！
未央,だから待ってってば！
