社長,う、うむ……詳細はわからないが……とにかく事情を聞きに行ってくるよ
小鳥,そ、そんな……
律子,全員集合！！！！！
美希,インコージョーレイってなに？
小鳥,Wikipediaによると淫行条例とは、18歳未満の男女との淫行などを規制する条文……だそうよ
律子,これは犯人を見つけださないといけないわ！
亜美,でも犯人なんか見つけてどうするの？
伊織,決まってるわ！私のプロデューサーに手を出した悪い虫は吊るし上げるのよ！！
あずさ,……
貴音,ひぃっ！？
真,あ、あずささん……？
美希,ハニーはでこちゃんのモノじゃないし、人の恋路は邪魔しないほうがいいと思うな。あふぅ
雪歩,でも美希ちゃん、例えば美希ちゃん以外の娘が、プロデューサーに手を出してたら……どうする？
美希,許せないの！！
響,……これ、美希が犯人じゃないか？
春香,でも、全員ここにいるよ？……社長とプロデューサーさん以外
千早,……犯人にはまだ連絡が来てないのかしら
律子,全員！全員携帯電話を提出！スマホもよ！
一同,……
千早,これって……誰が通報したのかしら？
真,そりゃあやっぱり……お父さんかお母さん……じゃない？
亜美,でも亜美たちアイドルだよ？ファンの兄ちゃん姉ちゃんってこともあるんじゃない？
律子,いや、いくらファンでも通報まで証拠を揃えるのは難しいと思うわ
真美,じゃあ記者さんとか？写真とか撮るだろうし
小鳥,いや、記者さんなら……
千早,……事務所の電話ね
小鳥,はい、765プロでございます……えぇええ！？
一同,
小鳥,はい、はい！すぐに確認します！はい！それでは！。た、大変よ！
春香,お、音無さん一体何が！？
千早,あっ、また電話が……
小鳥,ふんっ！
律子,小鳥さん何をしてるんですか！？
小鳥,……これ以上電話は無駄よ。今日発売の週刊雑誌にこんな記事があったそうよ……。熱愛発覚！？白昼堂々ラブホにプロデューサーを連れ込む！。そのアイドルは……。美希ちゃん、あなたよ
美希,そんな……ありえないの！
響,なんだ美希かぁ……
真,まあやっぱり美希だよね
真美,知ってた、って感じなの
亜美,いつかー絶対そういうことすると思ってましたー
春香,これにて一件落着、ですね！
律子,ちょっと待って春香。やっぱり通報したのは記者じゃないわ
伊織,確かに……こんな美味しいネタ、通報なんてせずに記事にするわよね
律子,通報するにしてもしょっ引かれる瞬間を撮りたいはず……つまりこのタイミングではあり得ない
真美,つまり犯人は親バレ以外あり得ない、ってこと……？
律子,そういうことよ。状況を整理すると……。雪歩と真はもう18歳になったから、犯人から除外ね
真,もちろんです！
雪歩,うぅ……もしそんなことになったとしても、お父さんなら通報しないで自分で処理すると思いますぅ
律子,なるほど……保護者の方次第ではそういうことも……
亜美,いおりんの所もそうかな？
伊織,ちょっとぉ！水瀬財閥をそんな怪しい組織みたいに……いや、お父様ならやりかねないかも……
雪歩,う、うちは怪しい組織なんかじゃないよぅ……
春香,でも娘がそういうことになって……大事にしない親御さんって他にいるかな？
やよい,うぅー……もし私のお父さんが気付いても通報しないかなーって
あずさ,やよいちゃん、それってどういうことかしら？
やよい,プロデューサーが捕まっちゃったら、私のお仕事が減っちゃいます！
小鳥,本来なら事務所としてはそっちが一番大事問題ですよね
やよい,お父さんは泣き寝入りするしかないかなーって
真,うーん、それなら違いそうだね
響,なるほど……やよいはかしこいな！
千早,高槻さんかわいい！
伊織,……。やよい、それあんたが考えたの？
やよい,ううん。プロデューサーが教えてくれたんだよ？
一同,……
伊織,なんであいつはわざわざやよいにそんなことを教えたのかしら？
やよい,えっ？えーっと……
伊織,……
やよい,えっと、それは……
伊織,……やよい
やよい,グスッ……ごめんなさぁい……
伊織,やよいは寝かせたわ。少し休ませてあげて
真美,あれ？そういえばミキミキは？
あずさ,向こうで簀巻きになって出荷待ちのブタみたいになってるわ～
響,……
貴音,ですが、やよいの言うことも正しいでしょう
真美,つまり……どういうことだってばよ？
律子,やよいはこの事件の犯人、ではないってことよ
響,や、やよいのお父さんが通報したんじゃないか？だからこの話は終わりさー
真美,あれあれひびきん、さっきはやよいっちの言うことに納得してたよねん？
亜美,そんなこと言うなんてやましいことがあるんですかねぇ……？
響,自分そんなことないぞ！！！
雪歩,ところで響ちゃん、そのマフラー温かそうだね
響,ふっふーん、これは今年の自信作だぞ！
雪歩,でも部屋も暖かくなってきたし、そろそろ外したら？
響,い、いやいいぞ！自分寒がりだしちょっとくらい暑い方がちょうどいいさ?！
真,汗かきすぎるとまた体重減って胸のサイズ変わっちゃうよ？
響,や、やめて首筋は弱くて……ひゃぁん！？
真美,あれれー？こんなところに季節外れの虫刺されがあるよー？
亜美,バーロー
あずさ,うふふ……
響,ひぃっ！？違っ、これはイヌ美が……うぎゃあああああああ！！
律子,でも響は一人暮らしだから親御さんにわかるはずもないし……
春香,いくらハム蔵でも通報は出来ないよね
真美,うあうあー！捜査は振り出しだよー！
真,いや、そうでもないよ
亜美,えっ？
真,まず淫行条例は18歳未満にしか適応されない……
小鳥,私、律子さん、あずささん、貴音ちゃん、真ちゃん、雪歩ちゃんは除外ね
真,親御さんしか通報はしないから一人暮らしもあり得ない
あずさ,千早ちゃんも除外ね
千早,は、はい
真,あとは既に別件で犯人だと確定した3人を除けば……
貴音,犯人は春香、伊織、亜美、真美の4人に絞られましたね
春香,えぇっ！？私！？
伊織,ちょっと！私が犯人だと言いたいわけ！？
亜美,あ、亜美たちも違うよ！？
真美,そ、そうだよ！
あずさ,伊織ちゃんはややアリバイあり？かしら
伊織,ぐっ……不本意ながら……
亜美,でもいおりんはさっきから発言多いし、やましいことあるんじゃない？
伊織,そ、そんなわけないでしょ！それを言ったら律子だって……
律子,私はもう二十歳だから除外よ！
真美,今回の犯人から除外されてる、ってだけで兄ちゃんに手を出してないとは言えないっしょ！
一同,……
春香,千早ちゃん、この前プロデューサーさんに指輪ねだってたよね
千早,そういえば春香、いつもプロデューサーのお菓子は別に作ってきてるわよね
雪歩,真ちゃん、首に虫刺されがあるよ？
真,そ、そんなカマには引っかからないよ！
あずさ,あらあら～、貴音ちゃんはどうなのかしら？
貴音,あ、あずさ、わたくしはそのようなことは……
高木,ふぅ～……ただいま諸君
小鳥,お、おかえりなさい、社長
律子,社長……どうでしたか
高木,うむ……今は話し合いの途中だが、事務所としても処分をせねばならないだろう……
小鳥,そ、それで？
高木,今は当人達と保護者の方で、話し合いをしているよ？
亜美,当人……
真美,達……？
高木,おっと、すまんすまん……。相手はジュピターの天ヶ瀬冬馬君だそうだ
一同,
高木,どうやら誕生日前日から深夜にかけて色々あった所を親御さんに目撃されたようでね……。ギリギリ条例に引っかかるかそうでないかを揉めているが……以前から交際をしていたようでね……。すまないが今日の所は早めに帰らせてもらうよ。明日から忙しくなるだろうからね……
一同,。……
小鳥,……これからどうします？
律子,……鬼ヶ島羅刹との問題が大丈夫だったとしても、美希の件もありますからね
亜美,でもその前に……
真美,兄ちゃんは○しておかないとNE！
千早,私以外の女の子に手を出すのも許せないのに男の人なんて……
あずさ,あらあらあら～(憤怒)
春香,雪歩、スコップ貸～して♪
雪歩,うふふ……お父さんにも電話して手伝って貰いますぅ
伊織,これは結局……
律子,全員に手を出してた……のかしらね？
真,15股かぁ……
貴音,今まで隠し通していたことに驚きを隠せません……
小鳥,事務所の皆と棒姉妹！？まさかの天ヶ瀬冬馬君とも棒姉妹！？ピヨォォォオー！！！
