松永涼,へぇ……アタシがアイドルだって？573プロ、ねぇ
P,君を街中で見たときにビン！と来たんだ。君ならきっとトップだって
涼,面白いこと言うね。アンタの熱意はウソじゃないだろうし興味もあるけどさ。アタシこれでもバンドのボーカルやってるんだよね。ま、知らないだろうけど。だから、悪いけどパス。悪いけど他を当たってくんない？
P,……わかった。でも、気が変わったらいつでもここに連絡を来れないかい？君ならいつでも大歓迎だ
涼,アハハ、それ声をかけた子みんなに言ってるんでしょ。ま、でも覚えておくよ。でもアイドルっつったらアレでしょ？。グラビアでずーっと同じポーズ続けたりとか。絶対ムリムリ。家に帰って調べてみたら、ちゃんとした事務所みたいだ。もしかしたらエンコー的なものかと思ったけど。アタシがアイドル、ねぇ……全然想像付かないな……。GWなのになんか疲れた……寝よ寝よ。でもああいうスカウトが来るってことは……アタシも自信持っていいのかな…
P,うーん……
美嘉,なに悩んでんのプロデューサー？
P,いやさ、社長に言われて新しい子を探してるんだけど……中々いい娘がいなくてね
美嘉,ヘェー……
P,そういや美嘉、妹がいるんだっけ？いい感じだったりしない？
美嘉,なにその言い方……まぁ、確かに莉嘉はこういうのキョーミありそうだけねー★。そういやアタシも街中スカウトだったけどこの事務所ってそういう子ばかりなの？
P,まー、社長がガンガン行こうぜっていう方針だからね。俺も876プロからの引き抜きだし
美嘉,ふーん……浮気は男の解消っていうけどさッ他の子プロデュースするにしてもアタシのこと忘れんなよ★
P,ああ、何にせよ中途半端にはしないさ
美嘉,ヤるだけヤって後はポイとかアタシはゴメンだからねー★
P,卑猥は言い方をするんじゃない……お、もうこんな時間か
美嘉,？
P,ちょっと原石の様子を見て来る。棚のカントリーマムは食べていいから
美嘉,オッケーオッケー、行ってらっしゃーい★
涼,あれから色々考えたけど。やっぱりアタシにカタッ苦しいのは合わない！。今が楽しめるように全力で歌う！それがいい！。ここがアタシの居場所なんだ！。みんなーッ！それじゃ今日もトバシてくよーッ！
P,……ふむ
涼,――ッ！――ッ！！
P,荒削りだけど、いい歌声だ。アマチュアにしてもかなりレベルの高い方だろう……磨けば歌手にもなれるか。だが俺の直感は彼女を絶対アイドルにしろ！と言っている。この娘がスポットライトを浴びている姿を見てみたい……でも、今は
涼,――ッ！
P,彼女の歌をしっかり聴こう
涼,歌はいい。何も考えずにいられる！。――！。将来のことも！ウザったい教師も！。――！。全部ぶっ飛ばしてスッキリ出来るんだ！。――ッ！。まだまだアタシはイケるんだ！。――！。――ってアレ？
P,……
涼,……あの時の
バンド仲間A,おつかれさーん
バンド仲間B,今日もいい感じだったな、涼
バンド仲間C,スゲーかっ飛んでたよ……で、この後飲みにいかねー？
A・B,お、イイネー
涼,……悪いケド、アタシパス…ちょっと用事あるから
C,そっか、残念
涼,また今度いこっか……じゃっ
P,お疲れ様、いい歌声だったよ
涼,アンタ暇人なの？わざわざこんなトコまで来てさ
P,アイドルの為ならどんな時間でも無駄にはしないさ
涼,はぁ……わかんないかなぁ。いい？アタシは自由が好きで今のバンドやってんのよ。アイドルってたかがカレシ作ったぐらいでカメラにストーカーされたりすんでしょ？アタシそういうの嫌だから
P,だが――
涼,しつこい男は嫌われるよ。女の子を相手にするなら覚えときな
P,……わかった。けど、またこうして君の歌を聴きにきてもいいかい？
涼,それならいいけど……。その、暑苦しいスーツは止めてよね？ここの空気には合わないから
P,……わかったよ
涼,あれから、あの人はちょくちょくライブハウスに訪れた。アイドルの話はしなくなったけど、たまに歌のアドバイスをして来る。プロデューサーを名乗るだけあって適切な指示だった。なんか悔しい。あ、信号赤だ。……って、あのタクシー…アイツが乗ってる？。しかも……一緒にいるのは
美嘉,～♪
P,……っ！
涼,昨日TVで見た城ヶ崎美嘉だ……嬉しそうにアイツに腕を絡めている。本当にプロデューサーだったんだ……けどなんか絵的に。……エンコーっぽく見える。マスコミとか大丈夫か？……あ、信号青になった
P,良いのか？莉嘉と事務所が違っちゃうけど……あの娘、お姉ちゃんっ子ぽいが
美嘉,だからだよ。アイドルの仕事は私にベッタリじゃダメなのはプロデューサーもわかるっしょ？
P,確かに……けど、LIVEで競うことになるかもしれないぞ？
美嘉,その時は姉の偉大さってやつを見せ付けてやるよ★。家ではお姉ちゃんでも外ではライバルに、ね♪
P,そういうもんか。美嘉は立派なお姉さんだな
美嘉,エヘヘ……惚れ直してもいいんだぜ★
P,はいはい調子に乗らない……んじゃ、次の営業行くぞー
美嘉,ハイハイ……はー、早くAランクに成りたいなぁ
P,Cランクになったばっかりだからな。こうやって地道にやってくのが一番の近道だよ
