鬼龍院皐月,蛇崩いるか
蛇崩,あら皐月様、あけましておめでとうございまぁす♪
皐月,うむ、あけおめ。うむ、ではお年玉をやろうかな
蛇崩,わーい♪皐月ちゃん大好き！
皐月,纏流子との戦いではよく粘ったな、奴の神衣の進化速度が尋常じゃないくらい早くなかったらお前が勝利を手にしていただろう
蛇崩,ありがとうございます！
皐月,あと文化部統括委員長としても一年間良く働いてくれた、反制服ゲリラの変態も追っ払ったしな
蛇崩,頑張りました！
皐月,うむうむ、以上の働きをザッと計上して今年のお年玉は……五万円だな
蛇崩,五万円！？いいの皐月ちゃん！？
皐月,うむ、蛇崩はよく頑張ったからな。よいよい、泣くな泣くな、可愛い顔がぐじゅぐじゅだぞ
蛇崩,うわ゛ーん！
皐月,次は猿投山に新年の挨拶に行くか。あけおめ
猿投山,は、ははぁッ！あけましておめでとうございますッッッ！！！
皐月,うむ、上がるぞ
猿投山ママ,だぁれー？彼女ー？
猿投山,ちっげーよ！！部屋入ってくんなよな！！
皐月,……
猿投山,お、お茶をいれてきました
皐月,ではお年玉タイムといくか
猿投山,待ってました！！
皐月,……
猿投山,あ、いえ、すいません
皐月,うむ。今年も運動部統括委員長、ご苦労だったな
猿投山,いえ！余裕でした！
皐月,そうか……纏流子との戦いだが、天通眼という特殊能力を持ちながらそれに甘えてあの体たらく、恥と知れ
猿投山,ハハァッ！
皐月,だが己の目を塞ぎ心眼通を得て雪辱を果たした事は評価できるな、よくやった
猿投山,ありがたきお言葉！
皐月,しかし針目縫との戦い、あれはどうしたことだ
猿投山,ぐっ…！
皐月,せっかく姿形に囚われぬ心眼通を得たにも関わらず……貴様、針目縫の外見に惑わされたな？
猿投山,返す言葉もありません…！
皐月,まぁ針目縫も強いからなぁ……しかしもう少し上手く立ち回れても良かったと思うのだが……うーむ、まぁマイナス5点という所だな。よって今年のお年玉は……3万円！
猿投山,ぐ、じゃなかった、ありがとうございます！！
皐月,うむ、今年はもう少し頑張れよ
猿投山,ハハァッ！
皐月,次は犬牟田の所に行くか。いーぬーむーたー！いーーぬーーむーーたーー！。うむ、機械はよくわからんでな、すまん
犬牟田,はぁ……まあどうぞ
皐月,あぁそうだ
犬牟田,はい？
皐月,あけおめ
犬牟田,あ、はい、おめでとうございます
皐月,うむ。またインターネットをやっていたのか
犬牟田,まぁ、はぁ
皐月,たまには外に出ろよ
犬牟田,はぁ
皐月,ではお年玉タイムといくか
犬牟田,あ、はい
皐月,情報戦略部委員長の任、ご苦労だったな
犬牟田,あ、どもありがとうございます
皐月,パソコンの事はよくわからんからお前が何をしてたのかはよくしらんが……
犬牟田,……
皐月,まあ伊織がよく褒めていたから頑張ったのだろうな。纏との戦いだが……うーむ。敵前逃亡は本来打ち首なのだが……お前は情報…情報なんとか部委員長だからなぁ……纏のデータを手に入れられれば仕事はできている、とは言えるな
犬牟田,はぁ
皐月,うむ、特に欠点も無いが特筆して褒める所も無い、しかし一年よく頑張ったという事で、今年のお年玉は……4万円だ！
犬牟田,あ、どもありがとうございます
皐月,これで以前欲しがっていた好きなアニメのブルー……ブルー……ブルーボックスとやらでも買うがいい
犬牟田,はぁ
皐月,うむ、ではな。次は蟇郡か
蟇郡,皐月様、新年、あけましておめでとうございます
皐月,うむ、出迎えご苦労
蟇郡,奥にお汁粉の用意があります、よろしければ是非
皐月,うむ、餅は三個だ
蟇郡,ハッ！
皐月,蟇郡、今年も風紀部委員長としての任、大義であったな
蟇郡,ハハァッ！。皐月様を思えばこそであります！
皐月,うむ……何かしょっぱい物が
蟇郡,お節の数の子が
皐月,頂こう。うん……うん……。お前は纏流子も完膚無きまでにボコボコにしたしな、最後纏流子にセクハラしたせいでキレられて負けはしたが……。セクハラさえなければ完璧な仕合だったぞ、次は頑張れよ
蟇郡,身に余るお言葉であります……ッ！
皐月,うむ
蟇郡,えーでは私の番でありますな
