あの人をテレビで見た私が次にやったことはアイドルになりたいと叫ぶことじゃなく、何日かして勇気を出して,普段は滅多に行かない
ほたる,おかあさん、お話ってなあに？
白菊母,以後母
ほたる,う、うん
母,正座です
ほたる,は、はい正座
母,……
ほたる,なんだろう、お母さん、これまで見たこともないような顔をしてる
母,……ためいき
ほたる,困ったような、苦しいような……どうしたんだろう
母,呼んだはいいものの、なんだか切り出しにくくて……どうしようかしら
ほたる,あの、お母さん？
母,なあに？
ほたる,……私のことでまた、どこかから苦情があったの？私が何か悪いことをして、それで私を
母,違うのよ？違うからね？あわあわ
ほたる,おかあさん？
母,ほたるは私の自慢のかわいい娘だからね？そんな苦情は屁でもないからね？
ほたる,苦情があったことは否定しないんだね
母,そそそそれはいいから！置いといてね！？
ほたる,う、うん
母,……とにかく安心して。お母さんは、ほたるを叱るために呼んだんじゃないのよ。ただ、これはほたるとちゃんとはなさなくちゃいけないことだと思ったから
ほたる,話さなくちゃ、いけないこと……
母,……今日、ほたるの部屋を掃除していて。ベッドの下からこの本を見つけました
ほたる,あれは、私がこっそりかくしておいた、あの雑誌……！
母,……確認しておくけど、これはほたるの本で間違いないのね？
ほたる,か、勝手に見つけちゃうなんてひどい……！！
母,ごめんね、お母さんも見つけるつもりはなかったんだけど、ほたるの部屋に迷い込んだ黒猫を追い出そうと奮戦してたら不幸にもベッドの下からこう、ドサーッと
ほたる,わあん、その場面が目に浮かぶみたい！
母,それで、読んだらああいう内容じゃない。これは一度話し合わないとって
ほたる,……はい
母,……それでもう一度確認するけど、この雑誌、ほたるのもので間違いないのね？
ほたる,……は、はい……
母,そう……
ほたる,お母さん、あんな深刻な顔をして……
母,……ほたるがこういうことに憧れるのは解るの
ほたる,お母さん
母,ほたるの毎日がどんなに辛いかなんて、解っているもの。それがここ数日、なんだか明るい顔が多くなって。私もお父さんも、よかったって思っていたわ
ほたる,……うん
母,だから、雑誌を見られてよかったって思うの。ほたるを明るくしてくれたものが何だったのか、わかったから
ほたる,お母さん……
母,ほたるが希望を持ってくれるのはうれしい。だけど……同時に心配でもあるのよ。まだほたるは小さいんだもの。だから、見て見ぬふりはせず、ちゃんと話し合っておかなくてはいけないって思ったの。解ってくれる？
ほたる,お母さん……不安がらせると思ったのに、そんなに私のことを……
母,どう？ほたる
ほたる,……うん。私も、お話ししたい。あの人のこと。憧れていること……怒らずに聞いてくれる？
母,誰が笑うものですか。お母さんもお父さんも、経験したことですもの
ほたる,２人とも！？なんだか意外……
母,でも、そうよね。年月は流れるものだもの……子供だと思っていたほたるも、いつかそういうことに憧れる歳になるのよねめくりめくり
ほたる,不安がらせるかもって。きっと怒られるって思ってたけど。これなら話していいのかな。私の憧れを。アイドルになりたいって、夢みたいな話……
母,恋のＡＢＣあの人と踏み出すＮＥＸＴＳＴＥＰか……
ほたる,……。あえ、あ、え？。何それ？なにそれ！！
母,あらまあ今更あわてちゃってフフフ
ほたる,それじゃないです！？というかそんな記事あったの！？
母,何言ってるの。この雑誌の今月の総力特集記事じゃない
ほたる,あの人の記事しか見てなくて気づかなかった……！
母,それじゃないならどれだって言うの
ほたる,あ、うぐ
母,他にベッドの下に隠さなきゃいけないような記事、なかったと思うんだけど
ほたる,ええと……あの
母,どの記事？
ほたる,どうしよう、お母さん、私がアイドルに憧れてるって気づいてないんだ。でも、話したら不安がらせて、つらい思いをさせて……
母,ふふ、無理に言わなくていいわよ
ほたる,おかあさん
母,恥ずかしいわよね……わかるわかる。私も誰にいえなかったなあ。わたしとあの人だけの、大切な秘密。ふふふ
ほたる,どうしよう、誤解が既成事実になりつつある……
母,はじめはビックリしたのよね。ベッドの下からえっちな本が出てくるなんて、男の子がいる家でしかないことだと思ってたから
ほたる,大丈夫だから？私まだそういうことに興味は、その
母,無いの？
ほたる,……無いって言ったら嘘になるけど／／／
母,それにしても、ワンステップじゃなくてネクストステップなのね……お母さんたちが知らない間にほたるったらもう恋のファーストステップを踏み出していたのね……
ほたる,よくわからないけどいろいろ怒られそうな言いがかりはやめて！？
母,勘違いしないで、お母さん、怒ってるわけじゃないのよ？
ほたる,娘を傷つけないよう配慮した感じの笑顔もやめて？
母,あの人に触れるのを怖がっていほたるが、ちゃんと年頃の女の子らしいことにも興味を持っている。あなたの思いを受け止めてくれる人がいる。それが本当に、本当にうれしい
ほたる,こんな形でなければうれしかったかも知れない言葉なのに……！
母,女の子ですものね。この本に書いてあるような事だって……パラパ
ほたる,ねえお母さん、記事と私を見比べるのやめて？
母,だって、ねえ。このごろの女の子って凄いのねえ……あらやだこんなことまで
ほたる,その記事ってどんなえげつないことが書いてあるの？
母,ね、ね？ほたるが好きなのってどんな人？うちに遊びに来た事のある子？
ほたる,わあん、お母さんの目がキラキラしてるう！
母,だって気になるもの。あのほたるを幸せな気持ちにしてくれる、ネクストステップしたいと思えるような相手ってどんな子なのか
ほたる,ええとその……ええとその……笑顔がとっても素敵で
母,うんうん
ほたる,見ているだけで幸せになれるみたいな。あの人みたいになりたいって思えるような……でも、私、こんなだから。そんな風になるのはきっと無理で……
母,大丈夫！ほたるは蒜山小町と呼ばれたお母さんの娘。どんなにだってかわいくなれるわよ
ほたる,うれしいけど。本当にそうならうれしいけど！
母,ルックスには自信持っていいのよ……あれっ、でもうちに遊びに来たメッチャ数少ないほたるのお友達って、みんな女の子だったじゃない？
ほたる,あ、うん。私、男の子のお友達なんていないから……
母,……た、多様性の時代だとは言うけれど、お母さん、初恋が女の子同士ってちょっとどうかなって
ほたる,ひどい誤解です！？
母,だって心配なのよ。ほたるったら私に似て思いこんだら突っ走るほうだから。思いこみで間違った方向に突き進まないかって心配で
ほたる,今の言葉、そっくりお母さんに返したいなあ
母,ほたる？
ほたる,というかこのまま誤解が積み重なっていくと大変なことになりそうな気がするし……やっぱり、勇気を出してぶつぶつ
母,ほたる？ねえほたる？
ほたる,あのねお母さん、誤解なの。私、その記事読んでもいないし、ネクストステップしたい人もいないの
母,ええっ！？ものすごく残念！！
ほたる,ごめんね、でも恋愛記事なんて興味は……
母,……
