佐久間まゆ,ねぇ幸子ちゃん？
輿水幸子,なんですか？
まゆ,なんだか最近Ｐさんの反応が素っ気ない気がするんです
幸子,素っ気ない、ですか
まゆ,朝、事務所の前で待っててもあまり無理して早起きするなって言うだけだったり。一緒にお弁当食べようとしても忙しいから後で一緒に食べようって言うんです！
幸子,……普通の反応じゃないですか？
まゆ,まゆはもっとＰさんになでてもらったり、ぎゅってしてもらいたいんです！
幸子,知りませんよ！
まゆ,もしかしたらこのままＰさんに嫌われちゃうんじゃないかと……
幸子,むしろさんはまゆさんを気遣ってると思いますよ？。心配しすぎですよまゆさん！
まゆ,で、でも……
幸子,ああ、じゃあ分かりました！ボクも一緒にその事について考えてあげます！
まゆ,本当ですかぁ？
幸子,ええ、ただ少し待っててください！
多田李衣菜,で、私たちも呼んだってわけかー
幸子,一人だとなんだか疲れそうだったので……
緒方智絵里,それで、まゆちゃんはどうしたいの？
まゆ,Ｐさんに、少なくともこれ以上嫌われないようにしたいんです……
李衣菜,話聞いたらそんな心配しなくてもいいと思うんだけどな
幸子,ボクも言ったんですけどね
李衣菜,じゃあプロデューサーに何かアピールしてみるとかどう？
まゆ,アピールですかぁ……
智絵里,でもまゆちゃんはもうやってるみたいだよ？
李衣菜,そこは変化を入れてさ！今までとは違うアプローチをしてみればいいんだよ！
幸子,例えばどんなものですか？
李衣菜,あー……そこはまあその……みんなで考えよっか！
智絵里,はいっ
幸子,はい、緒方さん！
まゆ,どんなアイデアでしょうか？
智絵里,えっと、何かプレゼントするとかどう……かな？
李衣菜,なるほど、プレゼントかぁ
幸子,ちょっとベタな感じがしますけど、いいかもしれませんね
智絵里,前、Ｐさんにクローバーのしおりを渡したらとっても喜んでくれて……。今も使ってくれてるみたいでわたしも嬉しいし……
李衣菜,やっぱり手作りのものだと気持ちがこもってる！って感じやすいのかもね
まゆ,手作りで……気持ちが……。なるほど分かりました！まゆ、行ってきます！
幸子,ど、どこに行くんですか！？
まゆ,Ｐさぁん
Ｐ,おお、どうしたんだまゆ
まゆ,えっとですね……
幸子,どこに行くのかと思ったら……
李衣菜,プロデューサーさんの所だったんだね
智絵里,でもまゆちゃん何するつもりなんだろう……
李衣菜,さっきの話聞いてプレゼントあげに行ったんじゃない？
幸子,こんなにすぐ用意できるとは思えませんが……
智絵里,あっ、まゆちゃん何か渡すみたいだよ！
まゆ,これ、まゆの気持ちです！
Ｐ,これは……
李衣菜,んーよく見えない……あれ何？
智絵里,折り紙で作ったハート……かな？
李衣菜,折り紙？
幸子,だからこんなにすぐ用意出来たんですね……
まゆ,自分なりに手作りで気持ちのこもったプレゼントを考えてみたんですけど。皆さんから見てどうでしたか？
幸子,条件は確か満たしてますけど……
智絵里,うん、まゆちゃんらしくてかわいかったよ！
李衣菜,プロデューサーもまゆはかわいいなぁって喜んでたし、いいんじゃない？
まゆ,そうですかぁ、少し安心しました。それで次は何をすればいいでしょうか？
幸子,まだやるんですか！？
まゆ,一回だけではやっぱり心配です。それにまゆからＰさんにアピールするのではなく……。Ｐさんの方からまゆにあれこれやってくれるような状況が……！。まゆにとってのゴールなんです！
幸子,だから知りませんよ！
智絵里,一生懸命なんだね
幸子,わがままの間違いですよ！。仕方ないですね……また考えましょうか
李衣菜,じゃあはい！
まゆ,はい、李衣菜さん
李衣菜,ここはひとつロックな、つまり硬派な自分を見せるのはどう？
智絵里,硬派なまゆちゃんって……どんなのだろう
幸子,というかロックは硬派って意味じゃないと思うんですが
李衣菜,あれ？違うの？。なつきちとか見てると硬派だぜー！って感じがするんだけどな
幸子,ああ、硬派の方を履き違えてるんですね
まゆ,硬派な自分を見せる……一体どんな？
李衣菜,さっきまゆちゃんＰさんの方からなんとかーって言ってたでしょ？。だからプロデューサーに自分は簡単になびかない、流されないぞ！。っていう態度で話しかけてみるんだよ
まゆ,そ、それでいいんですか？自分からそんな……
李衣菜,いやいや、むしろこうすることによってプロデューサーの気持ちが。まゆがこっちを向いてくれないから俺から口説いてやるぞ！。って燃え上がってくれるんだよ！
まゆ,なるほど……それなら上手くいきそうですね！
智絵里,おぉー
幸子,おーじゃないですよ緒方さん
まゆ,ロックに……硬派に……。分かりました、行ってきますねぇ
智絵里,まゆちゃん頑張ってねー
幸子,まゆさんは今の話から一体何を掴んだんでしょうか……
李衣菜,どう？私の案なかなか良かったんじゃないかな？
幸子,今のところボクは不安しか感じません
李衣菜,実はさっきの日菜子ちゃんから聞いた話を参考にしたんだよ！
幸子,なおさら心配になってきましたよ！
まゆ,……
智絵里,Ｐさんの方に近づいていったね
幸子,今回はどう解釈したんですかね
りーな,お、Ｐさん気づいた
Ｐ,ん？今度はどうしたんだ？
まゆ,……。……
智絵里,あれ？どうしたんだろ
幸子,プロデューサーさんに背中を向けましたね
まゆ,まゆはＰさんのことなんか好きじゃないんですよ～
Ｐ,？
まゆ,まゆは別になんでもいいんですけど。もし好きになって欲しいんでしたら……。まゆをなでてもいいんですよ～？
幸子,何ですかあれ……
まゆ,李衣菜さんのアドバイスの通り、あえてＰさんのこと見ないで。そして硬派なまゆをさりげなくアピールしてみました！。上手くいったと思うんですけど、どうでしたか？
幸子,硬派のかけらも見当たらなかったんですが……
智絵里,背中を向けるのは思いつかなかったなぁ、すごいねまゆちゃん！
李衣菜,プロデューサーもまゆはかわいいなぁって言いながらすっごいなでてたしね、オッケーだよ！
まゆ,ですよね？ですよね！
智絵里,じゃあ次は……
李衣菜,幸子ちゃんに案出してもらおっか？まだ言ってないし
幸子,ええっ！？ボクがまゆさんに言えることなんてないですよ！
まゆ,大丈夫ですよぉ幸子ちゃん
幸子,ま、まゆさん？
まゆ,今度は自分で考えてＰさんに話しかけたいと思います
幸子,あ、そうですか。よかった……
智絵里,平気なの？まゆちゃん
まゆ,はい、今までのでなんとなくですけどコツが掴めた気がします
李衣菜,おーさすがだね
まゆ,ですから、皆さんにも見ててもらってもいいですか？
幸子,むぅ、仕方ないですね！ここまで来ましたし見守っててあげますよ！
智絵里,うん、わたしも！
李衣菜,もち！ここで行かなきゃロックじゃないでしょ！
まゆ,皆さんありがとうございます……早速行ってきます！
幸子,まゆさん自身でですか……一体どうす……
まゆ,……
智絵里,あれ？どうしたの？
まゆ,あの……やっぱり恥ずかしいかもしれないので、見ないでくれますかぁ……？
李衣菜,ああ言われたけど結局見にいっちゃうんだよねー
幸子,もうこれで最後だと思いますしどうせなら、ですよ
智絵里,ファイト、まゆちゃん！
まゆ,Ｐさん、ちょっといいですか？
Ｐ,ん？なんだ？
まゆ,聞きたいことがあるんです。Ｐさんはまゆのことを……。嫌いになったり、してませんか？
李衣菜,おお、直球だね
幸子,でも消えちゃいそうな声ですね
Ｐ,おいおい、いきなり何言うんだ
まゆ,だって……最近Ｐさんがまゆを見てくれてない気がして……。もしかして……き、嫌われるようなことしちゃったんじゃないかって心配で……
Ｐ,ははっ、大丈夫だ。まゆは何もしてないし俺がまゆを嫌いなんてならないぞ
まゆ,ほんと、ですか？
Ｐ,ああ、本当だ
まゆ,本当に……ほんとですか？
Ｐ,本当に本当だ
まゆ,本当ですよね？まゆのこと嫌いじゃないんですよね？
Ｐ,当然。俺はまゆが大好きだ。だからな？大丈夫、泣くなって
まゆ,は、はいっ……。Ｐさんはまゆが好きなんですよね？。じゃあその……お願いしてもいいですか？
Ｐ,もちろん。何でもいいぞ
まゆ,それじゃあ……。まゆをぎゅってしてください。Ｐさんの音が聞こえるくらい強く、ぎゅーって
幸子,おお……
智絵里,……
Ｐ,それだけでいいのか？
まゆ,いいんです。まゆにとってはだけって言えるものじゃないですから
Ｐ,ははは、まゆは可愛いな
