その姿が,とある物
ナカジマ,西住隊長、元会長ついに完成しました！
ツチヤ,三日間もドリフト我慢したんですよ～！
ホシノ,しかしこれモロだよね
スズキ,完全に一致だね～
杏,おっ早いね～さすが自動車部
みほ,ありがとうございます！。早速見せてください！
ナカジマ,はいはーい、ホーシノー！
ホシノ,ジャーン！これです
みほ,おお！すごいです！想像通りです！
杏,へーさすが我が校の至宝自動車部、、、ってなにあれ？
ナカジマ,ん？なんですか？
杏,なんか先っぽが膨らんでない？
ナカジマ,あー、実は試作の段階でゴムの弾性が強すぎて反動で自爆しちゃって
杏,自爆！？
ナカジマ,自爆だよ～
ツチヤ,レオポンの鼻が曲がっちゃいました
ナカジマ,で、砲弾の受け皿が必要という結論になりまして。先っぽに膨らみをつけて、砲弾のポケットにしました
杏,あんなんつけたらモロじゃん！完全体！デッカいコン○ームそのもの！
ナカジマ,あー言っちゃった、言っちゃったね～
杏,言うよそりゃ！言うでしょ！
ナカジマ,棒から出るものを外に漏れないように防ぐとなると、あの形にたどり着くんですよ！
杏,いや～さすがの私もビビるよ。ど、どうかな？西住ちゃん
みほ,スバラシイです！エキサイティング！ベリーナイス！コングラチュレイション！
杏,なんか興奮してどっかの教官みたいになってるよ
ナカジマ,パンツァーハイだねぇ
みほ,試してみてもいいですか？
ナカジマ,うん、やってみようか～
みほ,ではⅣ号で！
優花里,西住殿～
沙織,みぽりんおまたせ～
華,授業が少し長引いてしまいまして、、
みほ,ううん！ちょうどいいタイミングだったよ。みんなありがとう
優花里,で、西住殿の言っていた安全装置が完成したんですか？
みほ,うん！こっちきて！
杏,あんこうチームおつかれさま～呼び出して悪いね～
優花里,いえ！安全担当として重要な任務であります！
杏,さっそくはりきってるね～
沙織,みぽりん、あのダルンてなってるのがそう？
華,あら、美味しそう！
ナカジマ,食べないでね～
みほ,ジャーン！これです！自動車部特製ゴムカバー
優花里,おお！これを砲身に被せて誤射を防ぐんですね！素晴らしいであります！
沙織,み、みぽりん。これマジで？いや、さすがにこれは、、///
華,あら、お花を活けたら映えそうですわね！
沙織,か、かいちょー
杏,ん？武部ちゃんどったの？
沙織,その、これってヤダモーの時にヤダモーに着けるあれですよね、、
杏,んまぁ、似てるっちゃ似てるね、ははは
沙織,これはお嫁に行けない、確実に行けない
みほ,沙織さんすごいでしょう！
優花里,これはいいものですぅ！
華,オニギリが何個はいるでしょうか
杏,武部ちゃん？
沙織,うっ、なんてキラキラ、、。というか私以外分かってないのかな？
杏,まだヤダモーしたことないんじゃない？
沙織,わ、私だってまだヤダモーしたことありませんからっ！！
みほ,では、早速Ⅳ号で試してみましょう。戦車搭乗、、の前に。麻子さん、起きて！
沙織,んもぉ！麻子また授業サボって戦車の中で寝てたの！
麻子,ん？なんだ？音を立てずに走るのは無理だぞ？
優花里,実はかくかくしかじかでして～
麻子,で、あそこにあるのがそのカバーとやらか？。どれ、、、ほ～これを着けるのか？随分思いきった作りだな？
みほ,自動車部さん渾身の作品なの！
優花里,いいものであります！
麻子,会長、こんな巨大コン○ームを戦車につけて大丈夫なのか？
杏,うぐ、、、ストレートだね冷泉ちゃん。仕方ないんだよ
沙織,麻子が知ってた、、
麻子,まぁいい、早速使ってみるんだろ。やろう
みほ,おお！見事に砲弾が止まりました！
優花里,素晴らしいであります！
杏,だ、大成功だね
ナカジマ,よかった～
杏,まぁよかったね、うん
麻子,だがこんなものを戦車に着けて行ったら皆ドン引きだぞ
沙織,うん、、でもあの笑顔見て
みほ,やったー
優花里,いいものですぅ
麻子,うっ、寝起きにはキツイ
沙織,てか麻子は何で知ってるの？まさかヤダモーしたことあるとか！？
麻子,なんだそれは、意味が分からない。気が触れたか沙織
沙織,ん、んあ、ぬあ！麻子がヤダモーしてるなんて
麻子,？
杏,まぁとりあえず実用化決定だね
ナカジマ,ここまで来たら後には退けない戦いだねえ
杏,ふぇええ～
みほ,では自動車部さんのおかげで成功したので今日の放課後練習でチームみんなにお披露目しましょう！
優花里,おー！
華,おー！
桃,全員揃ったか？。ではこれより練習を開始する！気合を入れ、
杏,かーしま、長い
桃,こ、これでですか
杏,いーからいつも長いんだよ
桃,はっスミマセン会長！
杏,はい、皆に発表があるよー。かくかくしかじかで～。あとは西住ちゃんから
みほ,ふぁ、ふぁい！。実は戦車道をより安全に行うためにあるものを作りました。これだっっ！
ナカジマ,ほい！
