モバＰ(以下Ｐ),書き置きがありました
ちひろ,か、書き置き？。アイドル辞めたいが文末の結語みたいになってますね
Ｐ,寂しいアピールが可愛いですよね。時子様の下りはスルーですか
ちひろ,しかし探さないで欲しいって書いてありますね。どうするんですか？
Ｐ,うーん。実際問題、探すってのも難しいのでその辺りは書き置きに従おうと思います
ちひろ,そうですか
乃々,……探してくれないんですか。なんでですか。いぢめですか
Ｐ,いや、そうは言ってもだな。いや……。だからな？
乃々,なんですか
Ｐ,……出社して早々、出会い頭に膝の上に飛び乗ってホールドされたら探すも何もないんだが。そのためにはまず、俺の膝から降りないとなぁ。このまま探しまわったら流石にシュール過ぎる
ちひろ,コーヒー淹れてきますね。いつも通りブラックでいいですか？
Ｐ,あ、はい。すみません。お願いします
ちひろ,乃々ちゃんは？
乃々,お砂糖２しゅがしゅがで……
Ｐ,なんだその単位
ちひろ,はいはーい
Ｐ,…………
乃々,…………
Ｐ,…………
乃々,…………
Ｐ,…………その、寂しかったのは分かったからさ……取り敢えず降りない？
乃々,……むーりぃー
Ｐ,えーっ……。無理かぁ……
乃々,家出ですから……。浮気な恋をはやく諦めない限り、ウチ(机の下)には帰らないんですけど
Ｐ,ユーミン……って幾つなんだよ乃々……
乃々,魔女宅好きですし……。ルージュの伝言……付けるんですけど……ん、ん
Ｐ,ちょ、やめっ！それは伝言じゃなくてマーキングっていうんだ！あ、こら！シャツに……あーあ
乃々,……よし
Ｐ,……よくねー。はぁ……、まぁ、いいや。……なんで珍しく自発的に口紅なんか付けてるのかと思えば……
ちひろ,コーヒー入りましたよー。ブラック２つと２シュガシュガおまちー
Ｐ,あれ？今日はちひろさんもブラックなんですね
ちひろ,ええ、なんだか砂糖要らずな予感がしたので
Ｐ,…………
ちひろ,予感がしたので
Ｐ,二回言わなくていいです
乃々,……また浮気ですか……。そんなんじゃ、森久保、ウチに帰りませんよ？
Ｐ,今さらつっこむのもなんだけど、お前の家って机の下かよ！家出ってなんだよ！健全かっ！
乃々,まいすいーとほーむ。冷暖房完備。１００人乗ったらだーいさーんじー
Ｐ,そりゃな？てか冷房は事務所のが効いてるし冬場には毛布と電気あんか持ち込むしな！快適だろうけど、家じゃあないぞ！？
乃々,さんにん入ってもだーいじょーぶぅー……。Ｐさん、ツッコミがくどいです
Ｐ,まさかのダメ出し！？
乃々,Ｐさん……つ、ツッコミ過ぎです……
Ｐ,この体勢で頬を染めて言わないでくれるかなっ！！。痛っ！？足の指と指の間に何か刺さった！突き立てられた！怖い！見たくない！
乃々,くんかくんか
Ｐ,嗅ぐな嗅ぐな。それは他の娘達の領分だ。ちょ、こら。なに写真撮ってんですか。ちひろさん
ちひろ,乃々ちゃん、もうちょっと色っぽい顔できる？
ありす,おはようございま……す……
Ｐ,えっ……？
ちひろ,あっ……
乃々,ぺろぺろ
Ｐ,………………
ありす,………………
ちひろ,………………
乃々,ちゅーちゅー
ありす,………………
Ｐ,あ、あのー。橘さん……。どちらにメールを……。的確に致命的！！あと拡散能力高そう！？
ちひろ,清美ちゃんはオマケ扱いですか
乃々,くぅー……
Ｐ,森久保は可愛いなぁっ！！！
