モバP,あぁ^～、みりあちゃんの子供になりたいんじゃ～。みりあちゃんにママになって欲しいんじゃ～
ちひろ,また何くだらないこと言ってるんですか。セクハラでうったえますよ
みりあ,みりあ、プロデューサーのママになってもいいよ！
P,ホント！？やったー！！
ちひろ,できるわけないじゃないですか。そんな事より早く仕事してください
晶葉,できないこともないぞ
ちひろ,晶葉ちゃん！？
晶葉,この懐妊マシンを使えば助手をみりあの胎児にすることも可能だ。しかもマシンの効果で出産まで胎児のサイズを調整可能だからみりあの体でも出産可能な仕様だ
Ｐ,さすが天才！早速使わせてもらうぞ～
ちひろ,やめてください。大体プロデューサーさんが胎児になったら誰が残った仕事をするんですか
みりあ,プロデューサーもう使っちゃったよ？
ちひろ,はい！？
晶葉,さすが私の助手。素晴らしい即決力だ
ちひろ,あーもー、知りませんからね。晶葉ちゃん、プロデューサーさんが出てくるのにあとどれぐらいかかるんですか？
晶葉,そうだな大体、助手は今妊娠3カ月といったところだ。出産まで後半年はかかるだろうな
ちひろ,は、半年！？そんなに長いんですか！？てっきり5分とかそのぐらいかと…
晶葉,命が誕生するのだぞ。そんな軽いものなわけないだろう
ちひろ,だったら、そんな軽いノリでプロデューサーさんに勧めないでください！。みりあちゃん、大丈夫？あー、これどうしたらいいんでしょうか？
みりあ,みりあは大丈夫だよ
ちひろ,そういうわけにもいきませんよ…晶葉今すぐプロデューサーさんを出してください！
晶葉,生まれてくる子供をおろすと言うのか！？それは命への冒涜だぞ！大人たちの都合で罪の無い子供を殺すなんで無責任だろう
ちひろ,プロデューサーさんはおっさんですよね！？
晶葉,マシンの影響でかなり小さいが助手も順調に成長しているぞ。あ、胎児の写真も見るか？
みりあ,…
晶葉,どうした？助手は順調に育っているぞ？
みりあ,みりあ、赤ちゃんおろしたい…
晶葉,なんだと！
みりあ,子育ての本を読んだの。そしたら、すっごく大変そうで…みりあ、一人でこんな大変なことできるのか不安で…
晶葉,だからおろすと。だがもう手遅れだ。もう赤ん坊は大きくなりすぎた。おろすことはできない
みりあ,…
晶葉,もう覚悟を決めるしか無い。それに、子育ては大変なことばかりじゃない。大変な分、子が育つ喜びというのも大きいのだ。それに、みりあだけで育てるわけじゃ無い。私とちひろもサポートする。だから安心しろ
みりあ,本当？
晶葉,あぁ。
みりあ,じゃあ、みりあ頑張ってみる！。プロデューサー！ママだよー。マ・マ！
P,ママーーーー！！！
みりあ,凄いよ、この子！もう喋れるんだよ！。将来は、お医者さんか弁護士かもぉ！
P,ニート！ニート！
ちひろ,とんでもない親不孝者ですね、この人は
みりあ,元気に育ってくれればママはそれだけでも嬉しいよ！
晶葉,みりあもすっかり母親に慣れたな
ちひろ,早くプロデューサーさんを戻してくださいよ。みりあちゃんのことで各方面から不穏なウワサやらが流れてきてるんですよ
晶葉,子供の成長は自然に任せるのが一番だろう
ちひろ,その自然が不自然なんですが
みりあ,エヘヘ。みりあ、今度は娘が欲しいな！
晶葉,ちひろ、出番だぞ
ちひろ,遠慮します
