白露改二,いっちば～んな改二なりました！
提督,おお！がんばったもんな
白露,えへへへ！
提督,……
白露,提督？くすぐったいよ。髪の毛いじりすぎ
提督,白露。女の子なんだから、ちゃんと朝に髪を整えた方がいいと思うぞ
白露,寝癖じゃないから！
提督,昨日は四駆の皆が休暇で夏祭り行ったらしいが楽しめたかな？お、ちょうどあそこに嵐がいる。感想を聞いてみよう。お～い嵐
嵐,あ、司令……。しまった見つかっちまったか
提督,昨日はどうだった……なんだこの球体
嵐,萩だ
萩風,ごふっ
提督,……はい？。いやこれあれだろ。ガンダムに出てくる……
嵐,それはドム。これは萩だ
提督,コジロウの手持ちだった……
嵐,ドガースじゃない。萩だ
提督,グレープと思いきやブルーベリー味の……
嵐,ふーせんの実ガムでもないんだよ！これは萩風なんだ！現実を見てくれ司令！
提督,おおよそ現実とは思えないものを前に言われても。なぜこんなことに
嵐,昨日夏祭りに行って、屋台のものを食べて夜更かしをしたばっかりに……
提督,なんでそれでふーせんの実になるんだよ
嵐,萩は普段は健康で規則正しい生活をしているからな。そのリズムが崩れるとこうなるんだ
提督,本当に人か
萩風,あ～～～…
嵐,どうした萩
萩風,油食いたい
提督,絶対萩風から出てこない言葉が！。とにかくこれから萩風をどうするんだ
嵐,ひとまず倉庫に隠そうと思う。司令手伝ってくれ
提督,手伝うって持てそうにないけど
嵐,転がせばいいから
提督,それでいいのか。じゃあ……、小学校の時の大玉転がしを思い出す
萩風,あ、司令、そこはっ、Hっ///
提督,どこ触っても同じ感触だったんだが
嵐,なんとか誰にも見つからず運べたぜ
提督,案外しんどかったな
萩風,zzz
提督,呑気に寝やがって
嵐,とりあえず明石さんを呼びに行こうぜ
提督,どうにかなるのかなあ……
武蔵,納涼花火の花火玉がここにあるらしいがどれだろうか。暗くてよくわからん。うむ、丸いしこれだろうか。よし持っていこう
萩風,zzz
嵐,萩、明石さん連れてきた……、あれどこ行った！
提督,勝手に動けるわけもないし
明石,もう、こんなところに連れてきてなんなんですか。花火始まってしまいましたし。あ、メインの5尺玉が……
嵐＆提督,はぎかぜーーーーー！！！
嵐,萩ーよかったああ
萩風,嵐心配かけてごめんね
提督,いい話には絶対ならないからな
風雲,あら、提督。どうしたのやけにビシッとした格好しちゃって
提督,ああ風雲これから会合でね。こういう格好はなれないんだけど
風雲,似合ってるじゃない。あ、でもネクタイが曲がってる
提督,あ、本当だ
風雲,艦隊の長がそんなんでどうすんの。じっとしてて。直してあげるから。こうして、はい完成
提督,おお、お見事。ありがとう
風雲,伊達にネクタイしてるわけじゃないの
提督,てっきり料理みたいに不器用だからだと
風雲,一言多い！……まあこの前のはひどかったけど。提督、今度練習に付き合ってくれるって約束覚えてる？
提督,もちろん。がんばろうな
風雲,うん。よろしくね
巻雲,イチャイチャしてるなあ
夕雲,秋雲さん。記録を
秋雲,言われずとも
涼月,お月見ですのに……
提督,見事に曇りだね
涼月,せっかく用意したかぼちゃ団子も泣いています
提督,まあ僕としては隣に月があるからいいんだけどね
涼月,お月様の輝きはないですけどね
提督,いやいや。……綺麗ですね
涼月,……告白ですか
提督,どうだろう
涼月,残念ですが、まだ死ぬつもりはありませんよ
提督,それはよかった
涼月,？
提督,まだまだ輝く月を見たいからね
涼月,……死ぬ気はありませんが、死んでしまいそうです
