剣の乙女,以下、乙女
火の四天王,以下、火王
乙女,そうかしら？それで、話って？
火王,……ああ。キスしようとした時、相手が何か言いたげだったら……。……お前なら、どうする？
乙女,……。うん。うん、何が？何て？
火王,何だ、聞こえなかったか？
乙女,ううん？聞こえてたわよ？
火王,……もう一度、聞く。キスする時、相手が何か考え事をしていたら……。……お前ならば、どうする？
乙女,……。はい。キスって……切り捨てる、略してキス？
火王,何だ？まさか、キスを知らないか？
乙女,いや、そうじゃないけど……
火王,……ならば、三度聞く。キスする時、婚約者の様子が普段と違ったら……。……剣の乙女のお前ならば、どうする？
乙女,……。はあ、婚約者
火王,何分、剣と将の道以外には疎くてな
乙女,なるほどね
火王,こういった時、どうすれば良いものか、な
乙女,はー……はー、はー、はー。貴女は、聞こうと言うのね？。ファーストキスもまだの私に、それを聞くのね？
火王,……。えっ？。そう……なのか？
乙女,そうだけど？
火王,その……す、すまん
乙女,あらあら、まあまあ。剣と将の道以外に疎い！？。馬鹿にしてるの！？婚約者が居るのに！？
火王,す、すまん！な、何だかすまん！
乙女,ねえ、どうして私に聞いたのかしら？
火王,お、お前は、その……女の私から見ても美しいからだ
乙女,うん、それで？
火王,それに……人間は、お前位の年齢ならば
乙女,ならば、何だって言うの！？ねえ、何！？。静の剣と、動の剣の道しか歩いて来なかったけど！？
火王,……。せ、静の剣だけでなく……動の剣も使えるのだな！
乙女,急に来て、何？えっ、婚約者とキスしてるって自慢？
火王,きっ、キスだけ！それも、チュッとだけだ！
乙女,……
火王,……
乙女,……もし、今の言葉に偽りがあれば。私は、私の全てを以て貴女を斬るわ
火王,……
乙女,チュッとなら、セーフ……まだ、私達は対等……！
火王,それ以上は、結婚してからと……な
乙女,未婚だから、セーフ……まだ、私達は対等……！
火王,で、では、私は帰――
乙女,待ちなさい。まだ、話は終わってないでしょう？
火王,……
乙女,それで、何て言ったかしら？
火王,こ、婚約者が……キスする時、何か言いたげでな
乙女,今まで、チュッとしかしてこなかったのよね？
火王,それは……結婚前ならば、当然だろう
乙女,そんな訳ないでしょ！？。ねえ、何！？貴女はんんんああああああ！？
火王,頼む！せめて！せめて、人の言葉で！
乙女,貴女は！チュッとしかさせてこなかったのよね！？
火王,あ、ああ……そうだが
乙女,馬鹿じゃないの！？ねえ、馬鹿じゃないの！？
火王,なっ！？この私を愚弄するか！
乙女,ディープなキッスをしたがってるのよ！。貴女、そんな事もわからないの！？
火王,でぃっ、ディープな……キッス！？///。それは、お前……し、舌を……///
乙女,絡めてくんずほぐれつさせるアレよ！
火王,あ……ぁぅぁ///
乙女,何照れてるの！？ぶった斬るわよ！
火王,……そ、そうだとしても！。私には、ディープなキッスの仕方がわからん！
乙女,私だって知らないわよ！知りたいわよ！。むしろ、キスする時って呼吸はどうしてるの！？
火王,えっ？チュッとだから、こう……止めている
乙女,ディープの時は！？ねえ、どうするつもり！？
火王,……わ、わからん！///私には、わからん！///。想像しただけで、全身から炎が溢れそうだ！///。……出る！(ﾎﾞﾜｯ)///絶対、火のブレスが出てしまう！(ﾎﾞﾜｯ)///
乙女,想像だけで火のブレス出てるじゃないの！
火王,！だから……父上は、チュッとする以上を禁じたのか！
乙女,貴女の父上って……火龍王よね？
火王,ああ、そうだ……それ以上は、結婚してから、とな
乙女,……これは、私の推測だけれど。結婚したら――貴女と相手に加護が与えられて……。……火のブレスが出ない、もしくは平気になるんじゃない？
火王,！。それだ……そうに違いない！。そうでなければ……ディープなキッスなど夢のまた夢！
乙女,……ねえ
火王,む、何だ？
乙女,貴女の婚約者は……それを知ったんじゃないかしら。……そうだとしたら、全てに説明がつくわ。今までチュッで良かったのに、急に何か言いたげになったのは――
火王,――……プロポーズ……？
乙女・火王,……
火王,いや、そんな……まさか
乙女,違うと言い切れるかしら？
火王,だ、だがっ！。私の顔の左側は、龍の鱗に覆われている！。幼き頃より、陰で醜いと言われているのだぞ！？
乙女,私は、女の貴女から見ても美しいみたいね。けれど、ファーストキスもまだよ
火王,……
乙女,何か言って頂戴。そもそも、貴女の婚約者はその顔について？
火王,か……顔というか、だな？
乙女,うん
火王,幼き頃より、奴は……奴だけは……。か……可愛い、と///。この私をだぞ？///か、可愛いと言うのだ……！///
乙女,……。うん
火王,そう言う時の笑みは、偽りなく真っ直ぐで……///
乙女,はい
火王,や、奴が……？(ﾎﾞﾜｯ)///プロポーズ……？ﾎﾞﾜｯ
乙女,……っふ。魔王軍幹部！火の四天王ぉぉぉおおおああ！！。剣の乙女の、この剣はぁ！んんあああああ！！。うううううううう！！ほあああああああ！！
火王,！？どっ、どうした！？
乙女,これ以上、好きにはさせないわ！
火王,剣の乙女！？
乙女,そもそも、私達は相容れぬ運命！
火王,いや、式には招待す――
乙女,全て、断ち切ってあげるわ！。剣の乙女の、秘奥を以て！
火王,……そうは行かんぞ！。火の四天王の、燃え盛る炎を消せると思うな！
乙女,……ちいっ！逃したか……！
風の四天王(以下、風王),――おやおや、穏やかじゃないね
乙女,あっ、貴方は……風の四天王！？
風王,美しい顔に、そんな表情は似合わないよ
乙女,っ！？///……な、何をしに来た！？///
風王,僕は、君に会いに来たのさ
乙女,……。えっ？。わ……私に何の用かしら？///
風王,君は、僕から見て魅力的な女性だからね
乙女,みりょっ！？///
風王,そんな君に、色々と教えて貰いたいんだ
乙女,な……何を……？///
風王,長らく、男のフリをしてきたからね
乙女,はい///。…………はい？
風王,彼の……男の心を射止める秘訣を教えて欲しい
乙女,……。とりあえず、奥義を使うわ
