渋谷凛,あ、穂乃香。おはよう。
綾瀬穂乃香,おはようございます、凛さん。
穂乃香,すごいですね、シンデレラガールおめでとうございます。こんなに沢山いるアイドルの中の頂点だなんて。
凛,ありがと。でも、私だけの力じゃないよ。ここまで来れたのも事務所のみんなやトレーナーさん、プロデューサーのおかげかな。
穂乃香,プロデューサーのこと信頼してるんですね。
凛,まあね。この事務所の規模がかなり小さな頃からの付き合いだから。それに、私はまだ止まらないよ。もっと、もっと、上を目指したい。誰もが見たこともない頂点のその先へ。だから、穂乃香。早く来ないと置いてくよ。
穂乃香,そうですね。私もがんばります。シンデレラガールになったというのにすごく謙虚ですね。そして、さらに上を目指そうという飽くなき向上心。私も、見習わなくちゃ。
凛,そうだ、柚に用事でしょ。多分、プロデューサーとこっちにいると思う。案内するよ。
穂乃香,ありがとうございます。
凛,えーっと、この部屋だっけ？プロデュ……。
穂乃香,？。何かあったのでしょうか？
凛,タイミング悪かったかな？少し、外で様子見しよっか。
穂乃香,はい。
モバP,何も違わないだろ。これだけ証拠があって、まだ白を切るつもりか？
柚,へへっ……失敗しても許される許され系アイドルめざすっ｡…ての､ダメ?
モバP,お前さぁ……自分がどれだけのことをしたのか、分かって言ってるの？
柚,……ごめんなさい。
モバP,はぁ……まぁ別にいいよ。
柚,……本当！？
モバP,過ぎたことどうこう言っても仕方ないしね。
柚,ありがとーっ、Pさんっ！。いやぁ、ごめんごめん。次から明日からこなくていいから……えっ？
モバP,聞こえたでしょ。もう、明日から来なくていいから。
柚,冗談……だよね？
モバP,いいから、帰りなさい。
柚,そんな…もう一回だけ！！チャンスを！お願いっ！
モバP,…………。
柚,ごめんなさい！もう、二度としないから……だから……。
モバP,……。
柚,お願い……Pさぁん……。
モバP,……はぁ。そこまでお願いされたら仕方ないな。
柚,ゆ……許してくれるの……？
モバP,まぁ、考えないこともないかな。
柚,……！！
モバP,でも、タダでという訳にはいかないよ？それなりの態度ってものがね？
柚,うんっ！そうだねー、どうしよっかなー？。じゃあ、料理でいいかなっ？前は食べるだけだったからねっ！作ってあげよー！
モバP,いやいや。そうじゃないでしょ。
柚,……？
モバP,はぁ……わかんないかなぁ……。体だよ、カ・ラ・ダ
柚,ひぃっ……やめてっ！
モバP,……。……チッ。
柚,あっ……ご、ごめんなさい。で、でも……。
モバP,ふーん。ま、柚がそれでいいなら別に気にしないよ。二度とここの舞台には立てないだろうけど。
柚,……っ！！
モバP,大人になったほうがいいんじゃない？ほら……。
柚,うぅ……。
モバP,どうなんだい？
柚,……。……わかった。
モバP,うん、素直な子は好きだよ。
柚,……っ！！
凛,これって……あれだよね？
穂乃香,……。嘘……ですよね……？。プロデューサーと柚ちゃんが……そんなことって……。
柚,やっぱ、無理！ごめんなさい！離してっ……！
モバP,ちっ……ｶﾞﾀｶﾞﾀうるせえな！
穂乃香,…っ！！
モバP,お前はなぁ……大人しく言うこと聞いてればいいんだよ！！。なんでもしまむらって言ってればいいんだよ！
凛,ん？
モバP,こんな感じでいいか……？柚？
柚,うんっ！ありがとっ、Pさんっ！
モバP,この後、島村卯月扮する全身タイツのなんでも島村さんが登場。そこから、いつものコントに発展……と。
柚,意外と難しいね、Pさん
モバP,ごめんな、柚。本当はドラマの仕事とかとってこられたら良かったんだけど。
柚,全然問題なーしっ！慣れないけどね、そこそこ頑張ればなかなか楽しいからねっ！どんとこーいっ！
モバP,そう言ってもらえると助かるよ。ニュージェネの冠番組だからな、新規ファン獲得の大きなチャンスにもなるはずだ。
柚,凛ちゃんもシンデレラガールになったし、この機会に一気にファン増やしちゃうよっ
モバP,凛もこの番組が深夜のころは、結構コントやってたんだ。
柚,そうなの？あんまりイメージ沸かないかなー。
モバP,そうだな。でも、今じゃシンデレラガールとしてアイドルの最前線を走ってる。こういう下積み時代の経験が生きてるんだと思うぞ。
柚,へー。
モバP,本当感心するよ、凛はさ。
凛,やっぱりコントだったんだ、プロデューサー。
モバP,お、凛。来たか。
凛,外にも声聞こえてたからね。誤解されて早苗さんに締められてもしらないから。
モバP,すまん、すまん。次から気をつけるよ。柚。これから凛を現場に連れてくから、今日はここまでで。
柚,Pさん、付き合ってくれてありがとうねーっ
モバP,おう。そうだ、この企画、まだ当事者以外には知らされてないはずだから、他の人には内緒にしとけよ。
柚,はいはーい。了解っ！
凛,プロデューサー、もたもたしてると置いてくよ。
モバP,ちょっと待ってくれよー！じゃあ、柚また明日！
柚,お疲れ様―！お先にしっつれーい！
凛,本当感心するよ、凛はさ……ね
モバP,あぁ。それも聞いてたのか。やめてくれよ、恥ずかしいな。
凛,プロデューサー、わたしのことそんな風に思ってくれてたんだね。
モバP,まぁな。面と向かって言うのは恥ずかしいけど、それなりに思ってるつもりだよ。信頼してる。
凛,ふーん。
モバP,ふーんって、なんだよ、もっと何かないのか？
凛,ま、悪くないかな？
モバP,悪くない……ね。手厳しいな、凛は。
凛,そうかな？。ふふっ、プロデューサーも信頼してくれてるんだ。よかった。疑ってたわけじゃないけど、はっきり言葉にされるとうれしいよね。さっき穂乃香に言った時は……。……。あっ！？
モバP,どうした？
凛,い、いや、なんでもないよ。まずいかも……。穂乃香のこと忘れてた……。
穂乃香,はぁ……はぁ……。途中で逃げ出しちゃいました……。あれって、そういうこと……ですよね？。芸能界って、怖いとこって聞いてたけど……Pさんまで……。……。
楽しい…楽しいですプロデューサー！私に足りなかったのは,表現を楽しむこと
穂乃香,私……プロデューサーと出会ってから……やっと心から楽しめると思ったんです……。アイドルであること……プロデューサーのそばに居られること……。でも……全部……。全部、嘘だったんですね……。私……プロデューサーと出会ってから……やっと心から楽しめると思ったんです……。アイドルであること……プロデューサーのそばに居られること……。でも……全部……。全部、嘘だったんですね……。プロデューサーと出会って、心から楽しいと思えた……表現の幅も広がった……。そう、思ってたのは……私だけだったんですね。……。柚さんは……。あんなに元気で楽しくて優しいのに……。そんなのって……。……。うん、絶対ダメです。私がとめないと……友達なんだから。助けなきゃ！。ただいま戻りました。
柚,あ、おかえりーっホノカちゃん！
穂乃香,柚ちゃんも事務所にいたんですね。
柚,うん、家にいるより面白そーだしねっ！
穂乃香,そうですか……。あの、何してたんですか？
柚,えっとね、さっき、Pさんが……。あっ、内緒にって言われてたよね……誤魔化さなきゃ。
穂乃香,プロデューサーが？
柚,一人でかな子ちゃんのケーキ食べてたんだ。すっごくおいしーよ！
穂乃香,でも、今プロデューサーって……。
柚,へへっ、何でもないよー。何んでもないったら何でもない♪
穂乃香,そう……ですか。きっと、プロデューサーに口止めされてるんですね……弱みを握られて。写真とかビデオとかに……許せない！！
柚,どうしたの穂乃香ちゃーん？あんまり元気ないと、ぐさーってしちゃうよ、ぐさーって！
穂乃香,本当は泣きたいはずなのに、気丈にふるまって……。
柚,おーい！ぴにゃこらたピンチだぞー！おーい！
穂乃香,柚さん！！
柚,うわっ！ビックリした！いきなり両手掴んで、そんなにぴにゃが柚さん！！……どうしたの？
穂乃香,隠さなくていいんですよ。全部知ってますから。
柚,へ？何のこと？
穂乃香,私、さっき見てしまったんです……。プロデューサーがその……。柚ちゃんに……。
柚,なーんだ、見てたのかー。てことはバレてる？。なら、言ってもいいよねっ、多分！。あちゃー、バレちゃったかー。一応、秘密にしといてね？
穂乃香,いいんですか……？
