モバＰ,もう嫌だ
ちひろ,急にどうしたんですか？アイドルも皆トップクラスになって、今がまさに稼ぎ時ですよ？
Ｐ,俺はこの事務所、プロデューサー業をやめさせてもら..
ちひろ,何か言いました？
Ｐ,ああ！俺は、この事務所をやめ
ちひろ,今までのドリンク代…イベント代を一括請求しますよ？
Ｐ,俺が間違ってました。
ちひろ,プロデューサーさんはやっぱりこうじゃなきゃ♪
Ｐ,なんて言うわけねえだろうがぁー！！
ちひろ,…ちなみに利子を含めてこれだけの額ですよ？それに、その他にアイドル達の為の…
Ｐ,金ならここにある！
ちひろ,なぁ！！
Ｐ,とういうわけで、俺はこの事務所を
ちひろ,ま、待ってください。これだけの額…強盗でもしないとプロデューサーさんのお給料じゃ絶対
Ｐ,売ったのさ
ちひろ,う、うったってまさか…
Ｐ,もちろん俺の体だ
ちひろ,ま、まさか…
Ｐ,ああ、俺の給料じゃ絶対無理だ。けどな、体ならどうだ？
ちひろ,け、けど
Ｐ,ドリンクだけで馬車馬のように働けるこの体を売ったのさ！！
ちひろ,そんな！ドリンクが裏目に…
Ｐ,と言うわけで俺はもう行きます。俺を買った人が待っているので
ちひろ,ま、まって！
Ｐ,なんですか？
ちひろ,そ、その…売るって…嘘ですよね、わ、私…ショックで泣いちゃいますよ
Ｐ,何十人もプロデュースして年収４００万以下、食事はドリンクのみの俺の方が泣きたいですよ。
ちひろ,け、けど…
Ｐ,しつこいですね。辞表はもう出しました。千川さんとはもう他人です
ちひろ,そ、そんなぁ…ちひろさん…なにしてるの？。何って、私のプロデューサーさんを引き留め…
凛,プロデューサーは今、私のだよ。
Ｐ,凛!
凛,来るの遅いから迎えに来ただけ…ほら、早くいこうよ
Ｐ,ああ。
ちひろ,行くって…まさか凛ちゃんが！？
凛,ちひろさん、またね。プロデューサー、手…
Ｐ,ほれ
凛,ん…暖かいね
Ｐ,凛もな
凛,もう///
ちひろ,ちょ、ちょっと待って！凛ちゃんが…プロデューサーさんを買ったの！？あんなに大金で！？。ちょっと、答えてください！！
凛,時間が惜しいのに…
Ｐ,ココは説明しといたほうが良いんじゃないか？千川さんもしつこそうだし
凛,プロデューサーがそういうなら…
ちひろ,じゃあ話してくれるのね
凛,買ったのは私であって私じゃないよ。私が買えたのは今日を含めて１週間
ちひろ,１週間…じゃあ、１週間経ったらプロデューサーさんは戻ってくるのね？
まゆ,次はまゆの番ですよ…まゆ、いっぱい…いっぱい、Ｐさんとリボンで繋がりたいです…うふ
ちひろ,ま、まゆちゃん！？
まゆ,その次は
美優,わ、私です…すみません
晴,その次はオレな。はやくＰとサッカーしてぇなぁ～
幸子,それよりカワイイボクとデートのほうが良いですよね！プロデューサーさん♪
Ｐ,待てって、ちゃんと約束は果たすから。とりあえず、今週は凛。だろ？
凛,そうだよみんな。順番守らないと私、後で邪魔するよ
まゆ,それはまゆ...こまっちゃいます。だからまゆ…待ってますね
ちひろ,ま、まさか…
Ｐ,ええ。話を聞いた俺のアイドルたちが、俺を千川さんから解放してくれたんです
ちひろ,そんな…だって、アイドルの子たちだって、プロデューサーさんが辞めればデメリットが
晴,Ｐを１週間独り占めできるんだぜ？デメリットなんてねーよ
ちひろ,け、けど
まゆ,アイドルとプロデューサーじゃなくなる…うふ♪
美優,これで…壁は無くなりました
ちひろ,で、でも…
凛,ちひろさんしつこいよ。時間もないし、私たちもう行くね
Ｐ,じゃあ、みんなまたな。
晴,じゃーなー！新品のボール用意しとくぜ
まゆ,Ｐさんを買ったの…まゆたちだけじゃないのが残念ですね。
幸子,そうですね。次に会えるのが…だいぶ先なのが辛いです。まったく、カワイイボクを待たせるなんて
美優,ココに来ていない人も、お金を出しているから
まゆ,短時間でも…Ｐさんとはできます…うふ
ちひろ,そ、そんな…じゃあ、Ｐさんはもう
まゆ,お金ってすばらしいですよね…
ちひろ,い、いきなりなにを
まゆ,だって…ちひろさんのおかげで、今のＰさんならお金で買えます…うふふ
ちひろ,お金で、Ｐさんを…けどそれって
美優,それがたとえ…歪んだ愛情だとしても
幸子,ボクたちはＰさんを愛してますから！
まゆ,Ｐさんを奴隷のように扱うちひろさんは…もうＰさんとは無関係、部外者ですよね？
晴,だから外野は黙っててくれよ。あいつはもうあんたのものじゃないんだぜ？
美優,これからはあの人を…私たちが守ります。
ちひろ,そ、そんな…でもそれなら私
美優,あ、ちひろさんはＰさんを買うことはできませんよ。
ちひろ,なんで…お金なら、ほらここに
美優,あの人の…唯一のお願いですので
まゆ,今頃…Ｐさん…何をしているかしら
凛,まずは買い物...ね？
Ｐ,俺は何処へでもついて行くぞ。
凛,じゃあ私、ペットショップがいい。
Ｐ,ペットショップ？ああ、ハナコの買い物か？
凛,ふふ、何買うか聞きたい？
Ｐ,ああ、興味はあるよ
凛,プロデューサー♪
Ｐ,なんだ？ご機嫌だな
凛,プロデューサーは何色が好き？
