くるみ,めぐねぇぇぇぇぇ！！！！！
めぐねえ,…私の名前は佐倉慈。私立巡ヶ丘高校の国語教諭をしています。………。私はあの子たち…学園生活部の子たちを守って…。扉の向こうのあの子たちを死なせないために…。………。代わりに目の前の歩く死体に襲われる…。はずだったのだけれど…。………。奴ら………。突然動かなくなりました…。どうしたのでしょうか…？
実況,さて始まりました！！今回の舞台は、謎のウイルスにより街中、世界中がゾンビであふれる中、。教え子を導き、たくましく生き続けてきた高校教諭、佐倉慈選手です！！。…死因はゾンビにかまれたことによる…これは一種の中毒死、ということで良いでしょうか？それはともかく。教え子たちの危機を命を捨ててまで守る。世界広しとはいえ。いったい何人の教師が真似できるというのでしょうか！！？。私が教師だったとしても決してそんなことはでき…。あれっ？
解説,
実況,どうされました？
解説,
実況,もしもーし
解説,あっ…あの後ろから二番目のゾンビの顔をマジマジと見ていたんですが。あまりに醜く恐ろしくて、一瞬意識が飛んでおりました…
実況,…あまりマジマジと見るべきものではないと思いますよ…
解説,いやぁ、怖いもの見たさでつい
実況,え～、佐倉選手のロスタイムは…53分のようです！
解説,真面目に生きてこられたのでしょうね、チト選手と同じく無駄のあまりない人生だったようです
実況,さぁて、佐倉選手はこの53分間でどのようなプレーを見せるのでしょうか？
解説,…。…っ！
実況,…ゾンビの顔を見るのも大概にお願いしますね…
解説,あっ…申し訳ない
めぐねえ,…えっと、あなた方はどちらさまでしょうか…？サッカーの審判さんのようですけど
実況,さて佐倉選手、突然現れた謎の審判団にやはり困惑している様子だ！
解説,まぁ、毎度のことでしょう…そろそろ選手向けの状況説明書でも紙で作って配布したらよいと思いますがね。ただでさえ残り時間が少ないのに選手に酷すぎる
めぐねえ,えっと…主審の安達さん...ですか？
実況,ああっと！！主審がなんと自前で名刺を用意してきていたようです！！！
解説,審判団も毎回選手が困惑するのにうんざりしていたのでしょうね
実況,…しかし、主審安達、とだけ書かれても、選手にとっては何の状況説明にもなりません！！！
解説,何の主審なんだよ、って普通はなりますね
めぐねえ,…えっと、サッカー協会からきた主審…さん？
実況,…最初から副審のように身振り手振りで説明すればいいと私は思うのですが
解説,いや、口で説明すればいいんじゃないですか
実況,…それは審判にはタブーなのでは？
解説,いやこの前、別の主審、選手と普通に喋ってましたし
めぐねえ,…ということは、私はあと49分後には死ぬことになっていて、今は人生のロスタイムということなのですか。なるほど…。あの子たち…大丈夫かしら…。………。！！！
実況,佐倉選手、やはり教師の鑑、。扉の向こうの教え子を一番に確認しに行くようです！
解説,とはいっても、事故現場から一定範囲内の領域は時間の流れが超スローになっているので
3人,………
めぐねえ,え…まさか…この子たちまで動かなく…。ダメだったのね……。…ｸﾞｽｯ
解説,まぁ、こうなりますよね
めぐねえ,…では、この子たちにもまだ希望はあるのですね？。はぁ…良かった…。…そうですね、ここで安心している場合ではありませんね…
実況,おおっと、佐倉選手、ようやく走り始めました！！。審判団も後を追っていきます
解説,佐倉選手、走るのめちゃくちゃ速いですね…審判団がゼーゼーいってます
実況,さて、佐倉選手はまずどこに向かうのか！！！。ああっと、ここで案の定ゾンビたちが寄ってきました！！
解説,ん…？ゾンビたち、佐倉選手には一切興味ないようですね
実況,これは…！？審判団がゾンビたちに追われています！
解説,安達主審、すごい顔して逃げてますね
実況,彼らに十分な報酬と休日が与えられることを祈っておきましょう。ここで佐倉選手、駐車場にたどり着き…車に乗り込みました！。審判団も大急ぎで乗り込みます
解説,あれ？安達主審、乗りあぶれてませんか？
実況,ああっと！！安達主審、ここで痛恨の定員オーバーだ！！
解説,安達主審、車の天井にへばりついてますね…
実況,中の審判たちをすごい顔でにらみつけてますね
